header,contents,date
경북 여행지 필수코스~! 우리나라 보물이 숨어있는 제 2석굴암 군위군 부계면...,우리나라 보물이 숨어있는 제 2석굴암 군위군 부계면 삼존석불에서 힐링여행 어떠세요? #경북 군위군 삼국시대 창건된 #제2석굴암 아미타래여래삼존 석굴~ 대구 팔공산을 넘어서면 #군위군 부계면과 연계되어 #드라이브코스로 참 많이 사랑받는 곳이 있습니다. 이곳은 삼국시대 창건된...,2020. 9. 7.
"경북 군위군, 안성 칠장사(당일치기)","주말에는 나들이를 다녀왔다 토요일은 경북 군위군, 일요일은 안성 칠장사! 먼저 군위군은 처음 가봤는데 조용하고 평화로운 시골 마을이라 그냥... 너 정말 귀엽게 생겼다 다가오는 주말은 여름휴가를 갈 예정인데 아직도 여행 일정을 제대로 못 짰다 왜 이렇게 바쁜지 흑흑... 어서 틈틈이 일정 짜야지!",2021. 8. 19.
경북 군위군 삼국유사면 군위댐 뷰가 보이는 카페댐댐,"ㅎ 군위에서 리버뷰 카페를 찾으시는 분들 강추입니다 ^^ ! 경북 군위군 삼국유사면 학성리 402-8 매일 11:00-22:00 0507-1486-3039 단체석 주차 반려동물 동반 키즈존 #군위카페, #카페댐댐, #군위카페댐댐, #군위댐카페, #삼국유사면카페, #경북카페, #군위가볼만한곳, #군위여행, #군위여행코스",2021. 8. 1.
[휴일 바람 쐬기] 화산마을을 아시나요?- 경북 군위군 화산마을 여행 [20200813(목)],경북 군위군 고로면 화북 4리에 위치하고 있는 화산마을은 화산(華山 해 발 828m) 기슭의 700m 고지에 자리 잡고 있어 아름다운 자연 경관과 경북... 이곳 화산마을에 오면 대부분 화산 전망대와 화산 산성을 찾는다. 우리는 다음에 화산 산성을 찾기로 기약하며 화산마을 여행을 마무리한다.,2020. 8. 16.
경북 군위군 여행 화본역 화양연가 촬영지,경북 군위군 여행 화본역 화양연가 촬영지 정말 백만년만에 윤이랑 경북 군위군에 위치하고 있는 화본역 다녀왔어요. 대구에서 많이 멀지 않아서 여행이라고 하기 뭐하지만 타지역이니 군위군여행이지요. 울 윤이 어릴때는 우리 가족 가끔 왔던 곳인데 점점 활동지역이 멀어지다보니 가까운 곳을 더...,2020. 5. 4.
#가을에 가 볼만한 여행지 #경북군위군 #화산산전망대 #화본역 #리틀포레스트 촬영지,바라보는 창 넘어 풍경 마루 창에서 바라본 마당 풍경 거실에 앉아 난로를 바라보는 풍경 모든 것이 아름답고 편안하다 이런 아름다운 곳을 어찌 찾아을까? 그리고 어찌 이렇게 이쁘게 만들을 쓸까? 2021년 가을이 다가온다 이 가을에 경북 군위군 여행을 추천 드립니다 후회 없는 여행 길이 될 것입니다,2021. 8. 28.
"[경북/군위군] 아미타여래삼존 석굴, 대율리 대청, 화본역과 급수탑, 화본국수...",경북에서 근무할 때 가보고 싶었던 군위군을 이제서야 가 본~~~ㅋㅋ 군위 아미타여래삼존 석굴 군위군 팔공산 절벽의 자연동굴에 만들어진... 코레일과 군위군에서 주관해 '화본역 그린스테이션 사업'의 일환으로 1936년대 화본역의 옛모습을 그대로 살리면서 여행객들이 편리하도록 새롭게...,2021. 7. 10.
경북 군위군 군위현지인맛집 수복식당 썰고 온 후기,어디든 가고싶다능 코로나 얼른 끝날 수 있게 모두모두 경북 군위군 갔을때 먹은 군위현지인맛집 수복식당 생각이 나서 포스팅합니당 수복식당은... 대는듯 #군위맛집 #군위현지인맛집 #군위읍맛집 #군위가볼만한곳 #군위수복식당 #군위여행 #군위돈가스 #군위식사 #수제돈가스 #군위군맛집...,2021. 8. 23.
경북 군위군 카드단말기 설치 후기- 중앙돈가스,안녕하세요~ 대구 경북 쉬운포스 친절한 카드단말기 관리 전문 카드플러스입니다. 오늘은 군위군 삼국유사면에 위치한 중앙돈가스에 카드단말기... 카드단말기를 설치하는 날 군위 날씨도 좋고 곳곳에 꽃도 피어있어 여행가는 기분으로 갔습니다. 중앙돈가스 가는길엔 화본역 금수탑이 있습니다....,2021. 4. 12.
공모사업 군위군 #티키타카클래쓰 어린이 가족체험수업 #군위군인구정책 # #경북주말체험,가족체험수업 #군위군인구정책 # #경북주말체험 군위군 티키타카 클래쓰는 경상북도 군위군과 함께 저출산 및 인구감소에 따른 인구구조... 다목적센터 (군위군 효령면 장군당1길 24-6) 11/06(토) 오전 10:30 - 12: 00 삼국유사 역사여행 인각사 & 유퀴즈 자기백 삼국유사역사퀴즈 이벤트...,2021. 10. 9.
