header,contents,date
경북 김천시 교동 캠핑장 구화산 비비큐 카페 뜨락,"경북 김천시 교동 253 단체석 주차 포장 예약 셀프 바베큐 100% 예약제 예약문의 054-430-8585 ***-****-**** 매주 화요일 휴무 평일 16:00-00:00 주말 및 공휴일(금토일) 12:00-00:00 바베큐이용료 3시간(4인기준) 30,000원 #김천카페, #경북바베큐장, #경북근교여행, #경북근교가볼만한곳, #김천가볼만한곳...",2021. 9. 19.
[경북 김천시 대덕산 백패킹_일흔번째] 대덕산으로 떠난 친구들과의 잊지못할 먹방여행...,[경북 김천시 대덕산 백패킹_일흔번째] 대덕산으로 떠난 친구들과의 잊지못할 먹방여행~~후후~~배불러~~ 2020년 12월 5일 이번 주는 동갑내기 친구들과 김천시 대덕산으로 백패킹을 떠났다. 친구들과의 약속 장소인 무주 공영터미널로 차를 몰고 갔다. 터미널 건너편에 잠시 주차를 해두고 서울에서...,2020. 12. 15.
장인마루/ 경북 김천시 부곡동 부곡화성타운 / 대신강 라이트그레이 18박스 시공,밖에 나갈일도 줄이다보니 옷도 많이 안사게 되는것 같아요 ㅎㅎ 이렇게 좋은날씨가 계속될때면 예쁜 옷 사입고 놀러가고싶기도 하고 가족들과 친구들과 여행가고 싶어집니다 ^^ 김팀장이 오늘 가져온 시공후기는요! 경북 김천시 부곡동의 부곡화성타운 입니다~ 사용한 자재는 대신강...,2021. 4. 28.
"[경상도/김천여행] 김천시 덕산재 근린공원(부항댐 근처) - 김천 별구경, 경북...","근린공원① 김천시 덕산재 근린공원③ 아이폰 사용자라면 필수어플 2개 ⓐSky Live ⓑStar Walk2 Ads+ ⓐSky Live - 천문관측 예보, 스타 가이드 ⓑStar Walk2 Ads+ : 별자리 스카이 지도 표 https://youtu.be/H9z-gNUceZ0 #김천 #김천여행 #김천야경 #김천별 #김천별구경 #김천_별구경 #김천별 #부항댐...",2021. 3. 8.
경북 김천시 관광지도,"탑, 김천시립박물관, 건강문화원, 솔향다원, 여행자센터 등이 있다. 위치 : 김천시 대항면 운수리 224 #사명대사공원 김천시립박물관... 위치 : 김천시 지례면 부항댐길 50 #산내들오토캠핑장 산내들패밀리어드벤처파크 경북 김천시 지례면, 부항댐 아래에 자리 잡고 있는 산내들...",2020. 9. 7.
[김천 유튜버l경북 유튜버] 김천시 사명대사 공원 한복체험관 리포터 김종식이...,#김천유튜버 #김천유튜브 #김천시공식유튜브 #유튜버 #유튜브 #MC #리포터 #김종식 #경상북도 #경북유튜브 #경북유튜버 #경북MC #경북리포터 #크리에이터 #SNS #한복체험관 #사명대사공원 #김천나들이장소 #김천가족여행 #김천광광지추천 #김천체험 #사명대사공원체험 #가족여행추천 #가족추억 #친구추억...,2021. 3. 25.
"김천시 경북혁신도시 이지더원 특수보조키 설치, 율곡동 보안장치 보조키 설치 후기...",안녕하세요 이원열쇠 입니다 김천시 경북혁신도시에 이지더원 아파트에 특수보조키를 설치하러 다녀왔습니다. 특수보조키는 뭐냐면 도어락이나... 하시면 여행을 가거나 멀리 출장을 가실때 디지털도어락과 함께 현관문에 보안을 강화해줄 최고에 보조키 입니다!! 안쪽 설치 모습입니다. 녹색으로...,2020. 5. 4.
(경북 김천시) 휴게소 폴딩도어 - JH폴딩도어,"오늘은 경북 김천시에 위치한 추풍령 휴게소 폴딩도어 시공사례를 보여드리려고 합니다. 요즘 휴게소를 보면 예전과 다르게 휴식, 쇼핑, 먹거리 등 다양하게 접목이 많이 되어있고 즐길거리, 볼거리도 많아지고 있어요 ~ 그래서 여행을 떠날 때는 휴게소를 지나치지 않게되죠 ㅎㅎ 휴게소의...",2020. 9. 21.
"[금오산 도립공원]경북 구미 칠곡군. 김천시 금오산 현월봉 976m, 케이블카-대혜폭포...","경북 구미시와 김천시, 칠곡군에 걸쳐있는 금오산은 1970년 우리나라 최초로 지정된 도립공원으로 경북 8경의 아름다운 단풍과 기암절벽이... 왕복으로 결정 2020년은 여행시 마스크 무조건 챙기기 관리소 ~ 대혜폭포 1.9km 케이블 카 슝!!! 케이블 카 도착 편하게 금오산 중턱까지 왔어요 케이블카로...",2020. 7. 14.
경북 김천시 꼭들러야할곳 직지사 평화의탑,"싶네요 날씨 가 더 좋았으면 훨씬 더 멋있는 사진 을 남길수있었는데 너무 너무 아쉽습니당ㅠㅠ 이쁜날 좋은날 꼭 한번 가보시길 추천드릴게요~~~ 너무 행복하고 마음이 힐링되는 장소,명소 였습니다 #경북 #김천시 #김천 #김천가볼만한곳 #직지사 #평화의탑 #여행 #힐링 #건축물 #죽기전에꼭가봐야할곳",2020. 7. 18.
김천시 증산면 수도산 가을 여행,"경북 김천시 증산면 평촌리 수도산 가을 여행 경북 김천시 수도산은 신령이 깃든 산 이란 뜻에서 불령산,선령산,신선대 선유봉등 여러가지로 불리었습니다. 통일신라때 도선국사가 수도산에 들어와 청암사 를 창건한뒤 이 터를 발견하여 수행처로 수도암을 창건했다 합니다....",2021. 5. 22.
경북 김천시 성내동 청심식당,저만 맥주한병 먹었는데 급 사장님이 맥주한병 서비스로 주셨어요 이때는 왜 주시지 했는데 이제와 생각해보니 다른 밑반찬을 못받아서 주신거 같기도해요..? 불친절한 말투에 그렇지못한 친절한 행동..! ㅋㅋㅋㅋㅋ 그래도 맛잇게 먹고왔습니다아 #김천맛집 #김천여행 #찐맛집 #청심식당,2021. 6. 21.
경북 김천시 증산면 수도리 55-3 금낭화타운 금낭화펜션 신규오픈,"금요일 - 코로나가 터진후 처음으로 여행을 다녀왔습니다. 아직 코로나가 유행하고 있는지라 가야햐나, 말아야하나 엄청고민했습니다. 아이들은 "" 엄마 왜 우리는 여행안가?? "" , ""엄마 누구누구는 어디 갔다왔데..."" ""엄마 나 놀러가고 싶어..."" 등 2년동안 많은 이야기를 했지만, 한번도 들어주지...",2021. 8. 1.
[2021.02.05~06] 경북 김천시 구성면 - 김천 포도CC,"참 오랜만에 떠난 3박 4일의 여행중 1박 2일의 골프 ▲ 경북 김천에 있는 포도CC ▲ 때가 때인지라, 출입구에서 체온 확인을 ▲ 지어진지 얼마 안된 골프장이라 깔끔하다. ▲ 표정이 너무 이뻐서 한컷 ▲ 탈의실 분위기는 이런 느낌 역시 최근 인테리어라 간접조명으로 ▲ 필드쪽에서 바라본 클럽...",2021. 2. 8.
"장인마루/ 경북 김천시 율곡동 주택 / 구정 프라하 헤링본 스웨디쉬화이트48박스, 구정...",경북 김천시 율곡동에 위치한 주택인데요 !! 시공한 자재는 구성 프라하 헤링본 스웨디쉬 화이트 48박스와 구정 강마루 스웨디쉬 화이트 17박스... 매일매일이 여행하는 기분일것 같아요 ~ ^^ㅎㅎ 김팀장이 오늘 가져온 후기도 봐주셔서 감사합니다 ^^ 작업할때는 힘들지만 고객님들이 만족해주셔서...,2021. 5. 8.
"경북등산명소, 가을등산, 가을여행 :: 경북 가을 등산하기 좋은 장소 5곳",드높은 가을 하늘 아래서 등산하기 좋은 경북 등산 장소를 소개합니다. 1 상주 속리산국립공원 경상북도 상주시와 충청북도 보은군 사이에 있는... 교통편안내 참고: 2 구미 금오산 한국 최초의 도립공원으로 지정된 금오산은 경상북도 구미시와 칠곡군 김천시의 경계에 있습니다. 해발고도...,2021. 9. 29.
