header,contents,date
경북여행 봉화군에서 만나본 알프스뷰 카페 ‘오렌지꽃향기는바람에날리고’,"경북여행, 봉화군 뷰맛집 오렌지꽃 향기는 바람에 날리고 위치 : 경북 봉화군 명호면 남애길 438-1 (관창리 853-3) 펜션 운영과 함께 카페 운영중 주차장 있음 여행에미치다 인스타그램을 보고 알게 된 봉화군에 있는 오렌지꽃향기는바람에날리고 카페에 가게 됐다. 오렌지꽃향기는바람에날리고...",2021. 10. 7.
경북 여름휴가 휴양지로 좋은 봉화군 하눌체험마을 숙박 가성비 끝판왕 가족여행,"그래서 그곳으로 가족여행을 떠났습니다^^ 경북 여름휴가 휴양지로 좋은 봉화군 하눌체험마을 가성비 끝판왕 가족여행 경북 봉화군에 고모가 살고 계세요. 고모집에 모이기로 했다가 근처인 봉화군 펜션을 알게되었습니다. 호텔,펜션에 익숙한 우리는 농촌 체험마을 몰라서 그렇지 펜션보다 더...",2020. 6. 9.
"[경북1박2일여행] 봉화군 한옥펜션오로지,연수네밥상,오프루티커피 카페",역시 여행은 1박 2일 너무 짧다 주소 - 경북 봉화군 소천면 현동리 280-3 영업시간 - 입실 15:00 ~퇴실 11:00 연수네 밥집 가기전 언니네 가게에서 밥한끼하고 보낸다며 ㅎㅎ 어머님과 인사도 하궁 저의 픽은 이집 시그니처 #곤드레밥 언니는 #소고기무국 내부는 7 테이블 정도있어요 ! 곤드레밥 전용...,2021. 5. 31.
[여행지추천] 경북 봉화군여행 <오로지펜션> 오로지카페 <황토집 온돌방> 숙소추천,경북 봉화에 여행 가시려고 해도 정보가 많지 않으시죠? 전 대통령 때문에 유명한 경남 김해 봉하 마을이 아니고 경상북도 봉화군입니다. ^^ 제 친구가 경북 봉화군에 살아서 친구 소개로 다녀왔어요. 서울에서 직장 다니다가 고향으로 귀촌했어요. 현지 주민이 추천하는 펜션이랑 맛집 좀 소개해...,2021. 4. 28.
[국내여행] 한국에 이런곳이? 경북 봉화군 청량사 나들이,벌어지네요~ 경북 봉화군에 위치한 청량사는 신라 문무왕 3년 (663년도에) 원효대사가 창건했다고 합니다. 정말 아름다운 사찰이네요! 참고로 등산이라고는 한번도 해보지 못한 저희 31개월 딸아이도 손잡고 걸어서 올라갈 수 있는 정도였으니 아이들 데리고 가볼만한 여행지인것 같습니다. 올라가서...,2020. 10. 17.
경북 봉화군 여행,"머리 부분이 없습니다 안타깝네요 경북 유형문화재 제154호로 지정되어 있습니다 8각형의 중대는 각 면에 사천왕 입상을 돋을 새김으로 만들었습니다 봉화군 청암정 청암정은 충재 권벌(冲齋 權橃, 1478~1548)이 조원한 곳입니다 봉화읍 닭실마을에 자리 잡고 있으며 닭이 알을 품고 있는 형상이라고...",2020. 11. 23.
특강 후기 | 경북도민대학 봉화군캠퍼스,반찬이 풍성하게 세팅되니 군침이… 송이돌솥밥 맛있개 먹고… 봉화군청소년센터에 이동해~ 2시간 동안 경북도민대학 봉화캠퍼스 2021년 3번째 과정에서 <부자가 되는 정리의 힘> 특강을 마치고 올라왔어요 다음엔 봉화에 여행오고 싶네요,2021. 9. 17.
"경북 봉화군 맛집 / 토속음식을 파는 ""예담"" 메밀묵집",#태백산맥수목원 #태백산맥수목원맛집 #경북봉화군맛집 #경북봉화맛집 ✔ 경상북도 봉화군 춘양면 석문동길 14 ✔ 평일 11:00 - 20:00 매주 일요일... 맛있어서 아주 그냥 싹싹 긁어먹었네 봉화여행와서 토속음식도 맛보고 정말 이색적이고 의미있는 경험이었다. 그리고 무엇보다 맛있고 속이 편한...,2021. 7. 5.
경북 봉화군 청량산 장인봉 하늘다리 자소봉 2020.06.28,"느끼지 않았으니 오늘의 산행이 얼마나 즐거웠는지는 충분히 알 수 있지 않겠는가. 그 시간의 기록을 어리숙한 활자로는 이만 줄이고, 정말로 멋진 모습은 사진으로 남겨 놓는다. 먼저 청량산 등산로를 올리고... 여기부터는 시간 순으로 올리는 사진이다. #경북여행 #봉화군 #청량산 #청량산등산로",2020. 6. 30.
"7월 31일(토), 경북 봉화군 명호면~소천면구간 낙동강 오지 70km + 8월1일(일)...","1일차 경북 봉화 낙동강 상류 오지 자전거여행입니다. 낙동강 오지 중 비경길(승부역~양원역 구간)은 잘 알려진 구간이고, 아직까지 잘... 일시,장소 : 7월 31일 토요일 아침 8시 봉화군 명호면 주차장 2.인원: 코로나 상황에 따라서 3. 코스 및 난이도 총거리 70km로 약간은 어려울 수(트래킹...",2021. 7. 11.
