header,contents,date
"속리산 국립공원 문장대 산행 - 경북, 상주시, 등산, 자연 좋은 곳, 자연 여행, 장관",날씨는 덥지만 가족과 함께 문장대를 산행하면서 더위를 이겨 보시면 어떨까요? #경상북도 #상주시 #경북상주 #이웃 #추천 #서이추 #환영 #상주가볼만한곳 #속리산 #속리산국립공원 #문장대 #산행 #등산 #운장대 #세조 #삼강오륜 #천황봉 #비로봉,2021. 8. 18.
경북 문화기행 HI STORY 상주시 낙동강 따라 한량여행 후기,기회가 된다면 상주곶감으로 직접 만드는 체험도 해보고 것도 좋은 여행코스일 것 같습니다. 02 낙단보 수상레저센터 경북 상주시 낙동면 낙동1길 108 운영시간: 10:00 ~ 18:00(변동가능) 전화: 070-4820-3875~6 www.seksj.co.kr 상주시 수상레저센터 상주시는 상주보와 낙단보 두 곳에서...,2020. 8. 1.
상주시 경북 문화기행 HI STORY 낙동강 따라 한량여행 (상주강정만들기...,"상주시 경북 문화기행 여행으로 hi story 낙동강 따라 한량 여행을 1박 다녀왔습니다 하루 동안 상주 강정 만들기를 하고 낙단보 수상 레저에서 보트를 타고, 국립낙동강생물자원관을 둘러보고, 국제승마장에서 승마체험을 하고 자전거박물관을 거쳐서 회상나루 객주촌에서 숙박을 하는 알찬...",2020. 8. 2.
12컷 경천대(경북 상주시) 6월 여행 스케치,상주시는 인심도 좋아요. 차에서 내린 입구부터 마음이 편안해 집니다. 2. 춤을 추며 비를 기다리던 무우정 '무우정'은 춤을 추면서 비를 기다리는... 경북 내륙지방에 이런 풍경은 매우 드물다고 생각합니다. 5. 강 건너 들녘 6월의 벼가 익어가고 있습니다. 넉넉한 낙동강이 논밭을 기름지게 합니다....,2021. 6. 27.
상주시 경북 문화기행 HI STORY 낙동강 따라 한량여행 고고,"낙동강의 변천과 교류품을 알아보고 직접 조선시대로의 여행을 할 수 있었어요. 전화문의 054-532-6380 주소 상주시 낙동면 낙동리 197-1번지... 전화문의 054-530-0700 주소 경북 상주시 도남2길 137 운영시간 매일 09:30 – 17:30월요일/1월1일, 설날 추석 전일 및 당일, 자원관설립일(6. 3) 휴무...",2020. 8. 3.
[국내여행] 경북 상주시 가볼만한곳 도남서원,[국내여행] 경북 상주시 가볼만한곳 도남서원 처음 가본 곳이라서 설렘을 안고 작은 문을 열고 들어가보았다. 희끗희끗하게 색은 낡았지만 경치가 좋아서 한참을 구경하고 싶은 도남서원이였다. 오래된 곳에서 느껴보는 편안함..... 넘 좋다. 처음 들어보고 처음 오게된 도남서원은 경천섬이...,2020. 12. 30.
"상주 고택체험 가능한 오작당 - 경북, 상주시, 상주 여행, 한옥 숙박, 경상북도 민속문화재",고택의 운치를 느껴보세요~ 상주 고택체험도 가능하다고 하니 숙박 여부는 홈페이지나 아래 번호로 문의해주세요. 문의전화 : ***-****-**** #경상북도 #상주시 #경북상주 #이웃 #추천 #서이추 #환영 #상주가볼만한곳 #고택 #상주여행 #상주고택 #고택체험 #고즈넉함 #중후함 #오작당 #경상북도민속문화재,2021. 9. 22.
"한국의 민가 정원에 이름 올린 상주 우복종택 - 경북, 상주시, 상주 여행, 우복종가...",맞춤 여행지라고 알려지기 시작하면서 입소문이 나고 있다고 합니다. 한식 목조 기와집의 고건물 연구의 중요한 자료가 되고 있다는 우복종가가 좀 더 잘 보존되었으면 합니다. #경상북도 #상주시 #경북상주 #이웃 #추천 #서이추 #환영 #상주가볼만한곳 #우복종택 #배산임수 #민가정원 #민속문화재...,2021. 5. 26.
"황토방 숙박과 다양한 체험이 가능해요 - 경북, 상주시, 상주 여행, 영남권 우수 체험마을",경치 좋고 공기 좋은 승곡에서 숙박하면서 힐링해보세요~~ 승곡체험휴양마을 경북 상주시 낙동면 승곡리 546-1 054-531-0154 #경상북도 #상주시 #경북상주 #이웃 #추천 #서이추 #환영 #상주가볼만한곳 #승곡체험휴양마을 #낙동강 #자연경관 #영남권 #우수체험마을 #전통문화체험 #자연생태체험 #상주여행,2021. 8. 13.
12컷 경천섬공원(경북 상주시) 6월 여행 스케치,"그럼 차를 마시지요. 차를 마시던 창가 풍경입니다. 어떤 기대를 하셔도 그 보다 더 아름다운 경상북도 상주시에 있는 경천섬입니다. 자주 찾을 것 같습니다. 6월 26일 여행 아침엔 비, 낮에는 매우 맑음 온도는 25도 ~27도 더운 편이지만 강바람은 시원했습니다. 여행거리 200Km",2021. 6. 27.
