header,contents,date
잘 알려지지 않은 숨겨진 여행지 [경북 성주군 성주여행],"오늘의 추천 여행지 [경북 성주군] 입니다. 출처: 한국관광공사 경상북도의 성주, 들어보신 적 있으신가요? 저는 이번 포스팅을 통해 처음 알게 되었는데요. 알고 보니 구석구석 매력적인 여행지가 들어서 있는 마을이더라고요 ☺ 그럼 ""고즈넉한 분위기의 성주 여행"" 추천지를 살펴보겠습니다....",2021. 7. 17.
경북 성주군여행 성주힐링명소 삼봉서원,안녕하세요^^ 오늘은 경상북도 성주군에서 아직 잘 알려지지 않은 삼봉서원을 소개해 드리겠습니다. 삼봉서원은 한개마을 지나가다 보면 산아래... 짜잔~한개마을과는 또 다른 분위기의 삼봉서원 아직 성주여행지로 잘 알려지지 않아서 그런지 깨끗하고 보존이 잘 되어있어요. 한옥에서만 볼...,2021. 7. 23.
"[경북여행]대구근교 경상북도 성주군 여행::성밖숲,서울칡냉면,카페 리버스",피크닉 여행지 성주군 성밖숲 경북 성주군 성주읍 경산리 공원 바로 앞 신성강변타운 앞으로 공영주차장이 있지만 사람들이 많아 주차자리가 넉넉하진 않다. 조금 더 가면 시장 공영주차장이 있고 골목 사이사이 주차할 곳은 많아 보였다. 왕버들나무 군락지 #헬리녹스 캠핑의자 펴고 앉아 있고...,2021. 9. 22.
[경북 성주군 여행] 경북 성주군 가볼 만한 곳 경북여행 청휘당 한옥펜션 한옥 독채펜션...,다 사라진건지.. 저 담달에 또 여기 놀러가는데 그때 더 자세히 사진 찍어와서 더 많이 보여드릴께요..ㅎㅎ 오늘도 긴글 읽어주셔서 감사합니다. #경상북도 #성주군 #경북성주 #가볼 만한 곳 #경북여행 #청휘당 #한옥펜션 #한옥독채펜션 #수영장 있는 펜션 #서재 #명의재 #동재 #거경재,2021. 8. 18.
성주군 대가면 옥성리 신축모인모텔 매매/ 경북 성주군 신축 급매 모텔매매,궁금한 사항은 언제든지 연락을 주세요^^ 한적하고 소소한 연꽃단지인 대가면 옥성리 대가 백련이 아름답기로 우명한 옥련지 생태공원 여행... 자 그럼 본론으로 들어가서 본 신축무인모텔은 경북 성주군 대가면 옥성리에 위치하고 있습니다. 한적하고 조용한 이곳은 대실을 찾는 분들이...,2021. 8. 19.
경북 성주군 펜션공사,"산넘고 물건너 댐을 지나 꼬불꼬불 2020년 12월의 시작 경북 성주군의 펜션 무주까지 1시간, 대전까지 1시간 대구까지 1시간, 어디든 한시간 거리에... 동남아 여행 사진만 보면 좋지만 실제로 가보시면 습해서 찐득찐득 머 그런거랑 비슷해요. 추워서 손가락 떨어져나가는줄알았어요. 다듬지않은...",2020. 12. 10.
"경북 성주군 ""새양골펜션"" 편백나무 펜션 가족여행 커플여행 경북펜션 추천♡",집앞에서 집앞에 놀러왔으니 ㅋㅋ 인심좋으신 사장님 감사하네요 경북성주 새양골펜션에서 잘놀다 왔습니다ㅎㅎ 사장님도 너무친절하시고 좋으시네요 가족이나 커플끼리 와서 산뷰보면서 오붓하게 놀기좋은 곳이네요 여름에는 계곡도 다근처에 있기때문에 성주여행오시는 분들 추천해요!!^^,2021. 3. 20.
경북 성주군 풀빌라 독채 수앤수펜션 아이와함께 온수수영장후기,"이번에 아이와 가족여행으로 풀빌라를 직접 내돈으로 예약하고 다녀오기로 하였습니다. 명절연휴때 정말 예약이 꽉차 있어, 이곳저곳 찾아보다 예약한곳은 경북 성주군에 있는 풀빌라 독채 수앤수펜션!! :) 저는 대전에서 출발 하여, 주말이라 차가 막힐거 같아서, 미리 점심쯤 출발하여...",2021. 2. 20.
경북 성주군 성주선바위캠핑장,2020년 10월 경북 성주군 금수면에 위치한 선바위캠핑장 김천과 인접한 성주 끝자락에 위치해 있어 울집에서 조금은 먼 느낌 날씨도 춥고 컨디션이... 와보기로~~ #캠핑 #깡언니 #남매맘 #여행하는엄마 #노스피크 #클리브랜드 #성주군 #성주캠핑장 #성주펜션 #성주계곡 #선바위캠핑장...,2020. 10. 24.
성주 가볼만한곳 농사가 아닌 삶을 짓는 경북 여성 농업인의 인생이야기 성주군...,"삶을 짓는 여성 농부 울림나무 이정민 대표의 울고 웃는 경북 성주군으로 귀농・귀촌 이야기 한번 들어 보시겠어요 이곳은 경북 성주군 수륜면에 있는 약 1300평의 농지에 이름만 들어도 생소한 특용작물을 키우고 있는데요. 샤인머스켓 연동 하우스 600평, 블랙 사파이어 단동하우스 4동과...",2020. 9. 4.
[경북 언택트 관광지를 찾아 ] 의성군과 성주군,"보랏빛 맥문동에 반하는 여행자도 적지 않다. 하지만, 겨울날 왕버들도 관광객들에게 서정과 낭만을 안겨준다는 차원에서 보자면 여름날의 역할 못지않다. 취향에 따라 방문 시기를 선택할 수 있기에 오히려 더 좋다. ▲ 성주군의 언택트 관광지 성밖숲에 하얀 눈이 쌓였다. ⓒ 경북매일 자료사진...",2021. 2. 5.
