header,contents,date
[지역N문화 테마여행] 경북 안동시 여행코스 :: 한국의 멋따라 맛따라! 안동으로!,"경북 안동시 여행코스 한국의 멋따라 맛따라! 안동으로! 한국의 멋따라 맛따라! 안동으로! 경북 안동시 *출처 : 화회마을 홈페이지 우리의 전통적인 멋을 간직하고 있는 안동. 조선시대부터 선비정신을 지켜가고있는 하회마을, 안동의 근대를 상징적으로 보여주는 안동교회, 댐을 만들며...",2020. 10. 29.
"(2021년 8월여행) 9. 경북 안동시여행. 안동 만휴정, 독서와 사색을 위해 지은 정자!","ㅎㅎ 여행객분들은 이곳에서 작품사진을 찍으시던데 제가 건진 사진은 이것 뿐 그냥 갈 수 없다며, 엄마는 기필코 다시 한 컷... 0 2021년 안동여행 0 1. 묵계서원 https://blog.naver.com/oblradi/222488230708 2. 봉정사 영산암 https://blog.naver.com/oblradi/222479185589 3. 봉정사 https://blog.naver.com...",2021. 9. 2.
경북 안동시 월영교 야경 여행 어떠신가요?,경북 안동시 월영교 경북 안동에 잇는 월영교 라는 야경 맛집이다. 사실 연애를 하면 초반에 항상 드라이브 식으로 야경을 보러 가곤 했는데 왜냐면... 사진출처 : 한국관광공사 안동지역에 놀러가게 되면 밤에 술만 먹지말고 이런 곳을 찾아가서 같이 여행간 사람과 더 좋은 우애를 사랑을 나누기 딱...,2020. 10. 17.
[경북 안동시 드론]경상도 안동호 드론 촬영 고화질 영상,[경북 안동시 드론]경상도 안동호 드론 촬영 고화질 영상 이번에 촬영한 장소는 바로 경상북도 안동시 안동호입니다. 바람이 조금 불었지만 해가... 위치는 경북 안동호이고 안동호에 북쪽에서 촬영을 하였습니다. 안동은 초등학교시절에 견학을 다녀오고 나홀로 오토바이 여행에서 혼자...,2020. 2. 23.
[경북 안동시 풍천면] 경북 안동여행 안동가볼만한곳 안동하회마을,글/사진 hongbohongbo 2019.10.25~27 안동여행 약 6개월 만에 지난 안동여행을 이어 포스팅합니다. 친구가 차려준 맛있는 아침을 먹고 30분을 달려 안동하면 떠오르는 곳에 도착했어요! 안동 가볼만한 곳 안동하회마을 입니다. 주소 : 경북 안동시 풍천면 전서로 186 (지번 : 하회리 265) 전화번호 : 054-853-0109...,2020. 6. 7.
[경북 안동시] 안동 하회마을 : 하회 마을 한 바퀴,[경북 안동시] 안동 하회마을 : 하회 마을 한 바퀴 #하회마을주차장 에 도착하니 방문차량으로 주차장이 가득하다. 하회마을 주차장은 주차비가... 하회 마을 골목 골목 골목 (도보 여행 추천) 하회 마을은 지정되어 있는 스팟도 좋지만 이렇게 골목골목 다니는 게 정말 좋다. 담벼락 사이로...,2020. 9. 22.
[경북 안동시 맛집] 김정순명인의 집 별미 매운탕,"오늘은 경북 안동시에 위치한 매운탕 맛집을 소개해 드리고 싶어요^^ 3월 쯤이었나,,,지나가 보기만 하고 한번도 가보지 안았던 안동이란 곳이 궁금해져서 여행을 가게 되었는데요~ 안동하면 찜닭, 안동 간고등어가 정말 유명하잖아요~ 그런데!! 그 와중에 찾게 된 맛집! 김정순명인의 집 메기매운탕!...",2021. 7. 5.
경북 안동시 정하동 AIRBNB 모닝빌(Feat.안동소주),"여름 및 여행 주간에만 임시로 운영하는 게스트하우스라는 점을 알아둘 것. 경북 안동시 정하동 AIRBNB 모닝빌 복도와 비상탈출 안내도 에어비엔비 예약은 어플로 했고, 평일 숙박 4인 기준(방이 두 개) 79,933원이었다. 숙박 요금은 70,000원인데 에어비엔비라서 수수료로 9,933원. 예약 후에 어플로...",2020. 1. 3.
"안동시, 경북 최대 관광랜드마크 조성 '성큼'",현황도 안동시 도산권역에 추진 중인 국책사업인 3대문화권 사업이 마무리 수순에 들어선 가운데 경북권 최대 관광 랜드마크 조성이 가시권에... 수학여행 코스를 개발하고 아울러 안동호를 활용한 수상관광자원(수상택시) 등 그린 관광뉴딜 개발방안도 모색 중이다. 권영세 안동시장은...,2021. 8. 23.
토지 1029평 3만원씩 부동산 토지 투자 땅 매매 주소 경북 안동시 도산면 태자리 1159번지,21.02월 농지원부용 자연인용 농업경영체용 가격 저렴한 싼 급매물 토지 경북 안동시 도산면 태자리 1159번지 1029평 평당 3만원씩 총 3000만원 3천만원... 바닷가 여행 관광 낚시 섬토지 섬임야 섬농가주택 섬펜션 섬낚시용 컨테이너 설치용 토지 섬 소규모 소액 토지 섬 여행 관광 낚시 휴양지...,2021. 1. 15.
경북 안동시 태화동 소품샵 백화상점 탈탈 털러 간 후기,담에 가면 물어보겠음...ㅈㅅㅈㅅ #안동가볼만한곳 #안동여행 #백화상점 #소품샵 #소품 #아기자기 #귀여운 #인형 #스티커 #에어팟케이스 #인형꽃다발 #졸업선물 #입학선물 #기념일선물 #생일선물 #잡화점 #안동시 #안동 #경북 #안동백화상점 #안동소품샵 #안동데이트 #안동드라이브 #화병 #유리컵 #양말...,2021. 7. 22.
안동 베이커리카페 | 폴모스트 | 경북 안동시 남후면,"서울시민이 안동여행 중 들른 카페! 폴모스트 위 치 : 경북 안동시 남후면(경북 안동시 남후면 암산1길 15) 메 뉴 : 베이커리, 커피•음료 금 액 : 2만원대 시간대 : 오전(9시 오픈) 블주 특: 디저트없는 카페 취급 안함 갬성도 갬성이지만,,,카페는 디저트가 있어야지 이 카페 베이커리가 엄청 많다 죄다...",2021. 8. 24.
#089 / 장터분식 / 골부리국 / 다슬기국 / 경북 안동시 길안면 / 안동 맛집 / 만휴정 맛집,방문 전 전화해 보시고 가시길 권장합니다 만휴정 여행 계획 있으시면 이곳 장터분식에서 골부리국 드시길 완전 쌍으로 강추합니다~♡ 아래에... 다슬기 #장터분식 #안동맛집 #길안맛집 #꼴부리국 #골부리국 #다슬기국 #안동골부리 #길안골부리 #경북안동시길안면맛집 #안동맛집 #만휴정맛집...,2021. 9. 10.
경북 안동시여행. 안동구시장. 안동 찜닭골목(ft. 1박2일에 나온 현대찜닭),"우리는 해가 쨍쨍한 날도, 비오는 날도 여행을 계속되어야 한다는 걸 실천중! 빗방울이 새끼손가락만큼 굵게 떨어지네요 ㅋㅋㅋ 공영화장실 위에 안동을 대표하는 #간고등어 #소 #닭 #문어 간고등어의 유래는 알겠는데... 나머지는 입소문과 마케팅 성공아닌가요??? 비를 피해...",2021. 8. 18.
"[트래블 다이어리] 글로벌 채널 히스토리, 경북 안동시와 공동제작 4부작 다큐멘터리...","배우 데이비드 맥기니스가 길, 음식, 유산, 다리라는 네 가지 테마로 안동을 직접 여행하고, 내레이션까지 진행합니다. [트래블 다이어리] 글로벌 채널 히스토리, 경북 안동시와 공동제작 4부작 다큐멘터리 ‘트래블 다이어리: 안동, 더 헤리티지 시티' 한국 포함 아시아 19개국 방송 특히...",2020. 6. 17.
중앙선 안동역 - 경북 안동시의 중심 기차역. 12월 이설을 앞두고 추억 남기기...,"하회마을은 어차피 안동시내외 멀리 떨어져 있고, 다음 안동 여행의 기회가 있을때 둘러봐도 늦지 않습니다. 안동 도산서원. 여기도 이번 출사에서 생략! 안동역 승강장과 선로. 이제 12월부터 새로운 안동역으로 이설되면 이곳에 더이상 열차가 운행하지 않습니다. 안동역 대합실로 나가는곳...",2020. 11. 13.
[경북 안동시 도산면] 안동 여행 / 안동 가볼 만한 곳 도산서원과 자가제면 집 메및꽃피면,글/사진 hongbohongbo 2019.10.27 일요일 #경북안동여행 #월영교 에서 멋진 야경을 보고 #한국관광공사 에서 KQ 인증받은 숙소로 향했어요. 아이들은 집에... 주소 : 경북 안동시 도산면 선성4길 22 지번 : 도산면 서부리 179-30 전화번호 : 054-843-1253 영업시간 : 매일 10:30 - 18:00 / 토요일휴무 메밀꽃 피면은...,2020. 6. 25.
[안동사랑][경북온뉴스=안동시] 안동시립합창단 기획공연 “5월의 여행” 개최,(안동시=경북온뉴스) 김승진 기자 = 지역 음악 발전과 시민 화합에 기여하고 있는 안동시립합창단이 5월 가정의 달을 맞이하여 21일 저녁 7시... 만나보는 ‘안동시립합창단 기획공연 – 5월의 여행’을 개최했다. 이번 안동시립합창단 기획공연은 코로나19로 힘든 시간을 늘 함께한...,2021. 5. 22.
"예(禮)를 찾아 떠나는 여행, 경북 안동시","안동 시내에서 낙동강 지류를 따라 서쪽으로 향하면 세계문화유산으로 등재된 안동하회마을의 고풍스러움이 우릴 반기고, 고루하다고만 생각되는 유교의 정신을 재미있게 배울 유교랜드도 관람객을 기다리고 있다. 산과 강, 땅의 조화 속에 자리한 안동하회마을 안동하회마을은 안동시 풍천면에...",2020. 12. 21.
"전주대 관광경영학과 현장견학 - 경북 안동시 일원(하회마을, 안동찜닭) / 전주...",모시고 경북 안동시 일원으로 현장 견학을 다녀오는 일정이었습니다 오전 8시 출발입니다 전주에서 경북 안동까지의 거리가 꽤 멀기 때문에 이른... 멋진 여행의 동반자가 되어드립니다 대절문의 및 상담은 전화가 가장 빠르고 간편합니다! 인스타그램 팔로우 하시면 많은 정보를 받아보실 수...,2020. 11. 8.
안동 가볼만한곳 달빛투어 달그락 경북 안동시,https://in.naver.com/seoul-lee1m & 안동 가볼만한 곳 추천 안동 달빛투어 달그락 2020 경북 안동시 코로나19로 인해 * 2020년도 일정이... 이용요금홈페이지 참고 & 상품 구매시 ▶이니셜 영문 무료로 새겨 드려요◀ https://post.naver.com/seoul-lee1m?isHome=1 #안동가볼만한곳 #야간 #여행,2020. 6. 30.
"안동시 전통문화콘텐츠박물관 :: 안동여행, 아이와 가볼 만한 곳...","여행에 앞서 이곳을 먼저 방문한다면 하회마을뿐만 아니라 안동의 다양한 장소를 더욱 알차게 여행할 수 있을 것입니다. 하회마을을 영상으로... * 안동전통문화콘텐츠박물관 주소 : 경북 안동시 서동문로 203 (동부동 447-8) 운영시간 : 매일 09:00 ~ 18:00 (휴관일 : 월요일, 1월 1일, 설날, 중추절)...",2021. 7. 21.
경북안동 | 246번 하회마을 트롤리버스 와 안동시 버스정보시스템,"혹시 탑승하실 분들은 아래 소개하는 안동시 버스정보시스템을 통해 시간을 꼭 확인하세요~ 그리고 안동은 ㅇ.ㅇ)관광도시임을 이야기하지만, 대중교통으로 뚜벅이가 여행 다니기 정말 ㅠㅠㅠㅠㅠ 불편한 곳이죠. 주요 관광포인트들의 넓은~ 안동에 흩어져있는 데다가, 시외버스 운행시간...",2021. 4. 4.
