header,contents,date
"경북영덕군 뷰맛집라면맛집! ""카페-봄"" ""라면집""영덕여행시 필수! 뷰맛집! 인정!!!제발...","경북 영덕군 강구면 영덕대게로 192 매일 11:00 - 10:00 ( 여름 운영시간) 저로시는 이번여행에서 정말 생각을많이하고 고민도다털어놨습니다! 세상에는 고민없는 사람이없습니다 다덮고 사는거라고합니다!! 우리 이웃분들도 항상 행복만가득하면 좋겠습니다! 현재 전세계적으로 ""코로나19"" 로 난리가...",2021. 8. 6.
영덕고래불해수욕장 병곡면 영덕군 경북,고래불해수욕장 다녀왔어요~ - 영덕 여행 중에 - #핑크마미 안녕하세요^^ 요즘 매일 육아로 바빠 포스팅이 늦어지네요~ 오늘은 #영덕군 에 위치한... #경북 #해수욕장 #고래불 #캠핑 #캠핑버스 #카운티캠핑 #노지 #모래놀이 #아이들과 #함께 #일상 #이야기 #블로그 #여행 #행복 #추억 #시간 #정보 #소통...,2021. 7. 12.
경북 영덕여행 영덕삼사해상공원 영덕군여행자센터 카페 커피앤펍,"경북 영덕여행 영덕삼사해상공원 영덕군여행자센터 카페 커피앤펍 경북 영덕여행을 가면 가장 먼저 생각나는 곳이 영덕 삼사해상공원이예요. 아마도 대구에서 영덕군을 진입할때 가까운 곳에 있어서 그런거 같기도 하네요. 주위에 전시관부터 카페.맛집,바다를 바라볼 수 있는 곳이 몰려 있어서...",2020. 8. 30.
경북 영덕군 영덕여행 영덕맛집 라면집 호로록한 후기,영덕 강구들어가는 다리 저 대게 조형물보면 다 왔다는 생각에 괜히 흥분 영덕여행 영덕맛집 영덕가볼만한곳 사람 많을까봐 서둘러서 갔더니 아무도 없네용 일부러 사람 하나도 없는 곳 찾아갔슴당 사실ㅋㅋㅋ 영덕여행 영덕맛집 영덕가볼만한곳 사색에 잠길랬디만 차도 쪽 민박 사람들이 나만의...,2021. 8. 4.
경북 영덕군 <동해안바지락칼국수> 찌그러진 OOO와 청소 안 된 □□□에 ㅠ_ㅠ,"경북 영덕군 <동해안바지락칼국수> 찌그러진 OOO와 청소 안 된 □□□에 ㅠ_ㅠ 장시간 차량에 있다보면 식사를 어떻게 해결해야 할지 고민이 된다.... 추석 여행 마지막 날, 오전부터 비는 세차게 왔다. 갑자기 뜨거운 칼국수 같은 게 먹고 싶어졌다. 그런데 정말 칼국수 집이 나타났다. 만두도 판다고...",2021. 9. 22.
경북 영덕군 나만 알고 싶은 바다전망 카페와 대게 횟집,어릴 때 저도 바닷가에서 정말 진심을 다해서 놀았는데 그때 생각도 나고 경북 영덕군의 바다가 특이했던건 모래사장이 아닌 돌로 이뤄졌다는... 떠난 여행이라 바다만 보고 금방 돌아와서 이곳 저곳 가보지못했는데 영덕에 아기자기하게 예쁜 곳이 많은 것 같아요 다음 기회에 더 많은 곳을 가보고...,2021. 9. 19.
170) 해파랑길 21코스 -영덕 블루로드 B (경북 영덕군),"#2021경복100주년,함께하는경복 170) 해파랑길 21코스 -영덕 블루로드 B (경북 영덕군) 영덕해맞이공원~대탄리오보해변~경정리대게마을 ~죽도산... 국내 여행도 제대로 다니지 않았으면서 이태리 나폴리 어쩌구저쩌구 하면서 외국 항구 타령하는 사람들을 보면 그것이 얼마나 속빈 강정, 골빈...",2021. 6. 18.
[국내 맛집] 경북 영덕군 옛 날 맛 짜장면집 맛집 리뷰,오늘은 여행중 진정 맛집을 찾아 추천합니다. 경북 영덕군 강구면 동해대로 4413 옛날맛 짜장면집 입니다. 이 옛날맛 짜장면집 사장님의 이색적인 또 다른 직업에 또 놀랄수밖에 없는 사실이 있네요 ㅎㅎ 이날 비가 와서 짱뽕이 생각나 주문해서 먹었어요 요즘 진짜 어려운 경제로 걱정했었어 손님이...,2021. 10. 11.
"안전이 제일 우선인 시대, 인기 좋은 캠핑, 경북 영덕군","안전이 제일 우선인 시대 인기 좋은 캠핑, 경북 영덕군 안녕하세요. 자산개발 서대표입니다. 코로나19 발생 이후 국민들의 관광행동 변화를 분석한 결과, 코로나19로 인해 높아진 안전에 대한 의식이 여행 트렌드를 바꾸고 있는 것으로 나타났습니다. 관광활동에도 '안전'이 최우선 고려사항이...",2021. 1. 20.
해파랑길 23코스 경북 영덕군 - 해파랑길 울진구간,"해파랑길 23코스 경북 영덕군 11.9km 4시간 난이도 평점 코스형태 쉬움 7점 비순환형 코스개요 - 해파랑길의 23번째 코스로 울진 구간에 속하는... 울진여행의 대표적인 코스 칠보산 자연휴양림 - 홍게가 유명하고 숙박시설과 편의 시설, 맛집이 많은 후포항 - 후포항 전망과 함께 후포등대와...",2021. 2. 1.
