header,contents,date
"문학여행 :: 근대 대표적인 문학가, 청록파 시인 조지훈의 흔적을 찾아서! 경북 영양군...","비대면 시대에 딱 맞는 경북 영양군 지훈문학관을 추천합니다! *가급적 여행 및 방문 일정을 사회적 거리 두기 하향 시로 계획하시고, 사회적 거리 두기 시행에 따라 방문 시에는 마스크 착용, 손 소독, 옆 사람과 거리 두기 등 방역 수칙들을 준수하시는 것 잊지 마세요! 지훈문학관 경상북도 영양군...",2021. 9. 8.
경북 여행 국보 있던 영양군 산해리 봉감모전오층석탑,그래도 알찬 여행 하고 왔었던 경북 영양군 여행이였네요. 오늘은 리얼 방콕 하다 저녁 12시쯤 저녁에 먹은 홍게 껍질 버리러 한번 나갔다 왔네요 ㅎㅎ 먹고 자고 먹고 자고 돼지인가 사람인가 구분안되었지만 오랜만에 많이 자서 몸은 개운해진듯 ㅋ 잠이 보약입니다 진심. 석탑까지는 걸어서...,2020. 12. 6.
[경북 여행] 경북 영양군 반딧불이 첨문대 별생태체험관,"오늘 소개할 여행지는 경북 영양군에 위치한 영양반딧불이천문대 입니다. 사실 영양군 이라고 하면 ""영양고추""가 유명하던데 실제로 영양군에 가면 고추밭이 많이 있고 수박 수확을 하는 곳도 있었습니다. 가는길에 길이 너무 좋아서 찍었는데 비도오고 날씨가 흐리네요;; 짜잔~! 우선 주말인데...",2021. 8. 31.
경북 가볼만한곳 영양군 맹동산 풍력발전단지 풍력발전소,"눕방을....ㅎㅎㅎㅎ! 초보 드라이버 딱지도 떼고, 언젠가 좀 더 힘세고 큰 차를 사게 되면 그때는 걱정 없이 풍력발전소 드라이브를 즐기러 올 수 있을 것 같아요. #경북여행 을 계획하고 계신다면 #인생사진 을 남길 수 있는 #뷰맛집 영양군 풍력발전소에 들러보셔요~!! & & &",2021. 2. 22.
[경북 영양군 여행/휴양림] 본신리 금강소나무생태경영림 산책 / 금강송을 비롯한...,"Whisper of Forest 경북 영양 본신리 금강소나무 생태경영림 경상북도 영양군 수비면 본신리 일대에는 금강소나무로 이루어진 거대한 소나무 숲이 있다. 우리나라 소나무라고 한다면 구불구불한 소나무만을 떠올리기 쉬운데, 사실 그렇지 않다. 줄기가 곧고 붉은 색을 띄는 소나무인 금강소나무도 있다....",2020. 6. 23.
경북 영양군 두들마을 음식디미방 소부인상 / 조선시대 반가 레시피를 맛보다.,"#음식디미방 #두들마을 #음식디미방소부인상 #정부인상 #영양여행 #경북영양 #경북영양군 장계향문화체험교육원 내에 위치한 음식디미방 체험관, 이 곳에서 오늘 400여년전 조선시대 반가의 레시피를 맛 볼 예정이다. 푸짐한 한정식 한상이 아니다. 겸손과 이곳의 문화가 모두 녹아든 어느 반가의...",2020. 10. 21.
경북 영양군 가볼만한곳 / 두들마을,#경북영양군가볼만한곳 #영양군가볼만한곳 #두들문화마을 #두들마을 #이문열집 #영양군여행 #경북여행 #경북가볼만한곳 너무나도 깔끔하게 잘 가꿔진 두들마을 사람도 거의 없어 한적하기까지 하니 가을 산책길로 최고입니다 이번에 방문한 곳은 이문열 작가의 집이랍니다 이문열 작가의 집은...,2020. 10. 30.
영양군 음식디미방 / 장계향문화체험교육원 /경북 고유의 맛 탐방/ 경북 하이스토리,식사를 하러 가야 하지만 물까지 틀어 주신다고 하니 기다려야죠~ 드디어 확::::)) 쏟아지는 물에 한바탕 웃음바다로 여행지 추억을 또 한 장 남깁니다. #영양군음식디미방 #장계향문화체험교육원 #경북고유의맛탐방 #경북하이스토리 #경북가볼만한곳 #경북가을여행 #경북한옥체험 #부의주...,2020. 10. 28.
영양군 여행 단풍 물든 두들마을 음식디미방 경북 고유의 맛 탐방 하이스토리 경북과 함께,그럼 지금부터 이 잘 알려지지 않은 경북 영양군에 위치한 두들마을의 소개와 함께 이곳에서 어떤 여행을 했는지 오목조목 설명해 보겠습니다. 서울에서 출발해 3시간을 넘게 달려 첫 번째 도착한 이곳은 두들마을에 있는 음식디미방 전통주 체험관입니다. 전통주라 하면 안동소주가 전부인 저인데...,2020. 10. 26.
경북 영양군 오지탐험 아는 사람만 오는 전망 너무 좋은 곳 - 노을 & 별 보기좋은 곳,여행 내내 말벌과 싸우느라 무서워서 문도 못열고 사진도 제대로 못 찍었지만 ㅠㅠ 그래도 너무너무 아름다웠던 경북 영양군 이었습니다. p.s 아참 저기~ 지도에도 길이 안나오고 안쪽으로 좀만 들어가면 인터넷도 잘 안터져요 ;;; 길 잃을 수 있으니 미리 지도 다운로드해놓고 온 길을 외울 수 있을...,2021. 7. 30.
경북 영양군 흥림산 목재문화체험관,#경북 #영양군 #흥림산 #자연휴양림 #에코둥지 #산림휴양림 #모노레일 #겨울미운영 #숙박시설 #목재 #문화 #체험장 #피톤치드 #맑은공기 #힐링 #여행 #아이들 #함께 #즐거운 #알찬 #시간 #핑크마미 꿩 대신 닭이라고 ~ - 영양군 목재문화체험관 편 - 울진군 백암온천에서 1박2일의 여정을 보내고 영양군...,2020. 1. 18.
경북영양_ 수하계곡과 영양군생태공원사업소 캠핑존!,힐링~ 앉아서 한참 물놀이 구경하고 캠핑존 한바퀴 돌면서 구경했다 ㅋㅋㅋㅋㅋ 보면서 남편씨도 캠핑하고 싶다는데 좋아보이면서 동시에 넘 귀찮아 보인다.. 우린 의자랑 테이블만 사는걸로 #경북 #경북여행 #경북영양 #경북영양여행 #영양수하계곡 #수하계곡 #영양군생태공원사업소 #캠핑존 #계곡,2021. 10. 5.
"경북 영양군, 충주호 숲속 여행","^^ 사실, 경북 영덕 여행이기는 했지만 인근 경북 영양군, 울진 쪽으로 더 많이 다녔습니다.ㅋㅋㅋ 태어나 처음 가본 곳인데, 사실 인기가 많은 여행지는 아니기 때문에 아주 조용하고, 시골 정취가 그대로 드러나는 곳이 었습니다. 어찌보면 심심할수도 있고, 좋게보면 조용히 힐링을 하고 올 수...",2021. 8. 4.
12월 국내여행 경북 영양군 풍력발전단지 인생샷 찍자!,"12월 국내여행 경북 영양군 풍력발전단지 인생샷 찍자! 요즘 지역별로 하나씩 생기고 있는 풍력발전단지, 영양에도 있습니다. 일반인들이 접근이 가능하도록 오픈이 되어 있는곳이 많아서 언젠가 부터 풍력발전단지가 인생샷 찍는 명소로 바뀌고 있더라구요. 우리동네에는 근처 여수 금오산 정상에...",2020. 11. 27.
[영양군 교통정보] 경북 영양버스정류장 소개,"영양버스정류장 안녕하세요 영양별지기 보니입니다^^ 오늘은 경북 영양읍에 오실 때 가장 먼저 방문하게 될 곳, 바로 영양버스정류장을... 고장인 영양군을 여행하실 계획이 있으시다면 꼭 들르게 되실 장소인 영양버스정류장 소개 및 안내였습니다. 참고로, 영양군으로 오시는 교통정보는...",2021. 8. 31.
경북 가볼만한곳 영양군 삼지수변공원 카페삼지 연꽃 명소,& & ▲▲▲ 아침 일찍 일어나 #경북여행지 영양군 #지훈문학관 과 #청기저수지 를 둘러보고 오는 길인데 영양의 푸르름을 보며 내도록 감탄했어도 연꽃뷰는 또 다른 감동으로 다가왔지요. 카페에 들렀다 갈지 물어볼 새도 없이 삼지 수변공원에 도착하자마자 친구들은 연꽃이 만발한 길을 따라가기...,2021. 8. 24.
경북 영양군 농업기술센터 강소농팀 에코감귤교육농장 방문,경북 영양군 강소농팀분들도 직접 농사를 하시는분들였습니다 사과 .벼 .고추등등... 제주여행 하시면서 제주에서 좋은추억 많이 많이 담고 가세요 오늘은 에코감귤교육농장에서 경북 영양군 강소농팀과 체험하는 모습을 먼훗날 추억으로 남겨 봅니다 잇님들 오늘도 즐거운 하루 되세요,2021. 7. 6.
청정지역 경북영양군의 석보면 화매리 지인형님댁 오미자농장수확,새벽 3시반 일어나 토굴의 문을 열어제끼니 찬바람이 온몸을 감싼다 소낙비 소식이 있으니 서둘러 영양군으로 애마의 고삐를 움켜쥐고 애마의... 머리속에는 오직 사찰 순례여행의 계획표가 주르륵 ᆢ프로그램 되는구나 ! 꽃사과가 주렁주렁 ~~ 오미자농장 형님내외분의 정성이 가득하다 깔끔하게...,2021. 9. 28.
"경북 영양군 수하계곡, 해바라기 민박&캠핑장","이번에는 작년부터 가보고자 했던 영양군을 여행지로 먼저 정하고 숙박업소를 찾다보니 너무 제약이 많았다. 반려견 동반이 가능한 숙박업소는 꽤 있으나 유선상 문의를 할 때면 큰 댕댕이는 곤란한 곳이 대부분... 그렇게 이번에도 영양군에 있는 반려견 동반 가능한 업소들을 물색한 결과, 정말...",2021. 9. 1.
경북 영양군 고유의 맛 탐방 / 음식디미방 하이스토리경북,"경북 영양군 고유의 맛 탐방, 음식디미방 하이스토리경북 경북문화기행 하이스토리경북 사업은 경상북도와 경상북도문화관광공사에서 추진하고 있는 사업으로 경상북도의 3대문화권 관광진흥사업 중 3대문화 ( 유교 가야 신라 )를 기반으로 테마 여행상품을 개발하고 운영하는 상품입니다 장계향...",2020. 10. 31.
대티골 영양군 농촌체험휴양마을 경북농촌체험관광SNS기자단 발대식,거예요 추억의 한 페이지 영양여행~~ 고추만 유명한 곳이 하님 ㅎㅎ #경북농촌체험관광SNS기자단 #대티골마을 #영양군체험마을 #경상북도 #경북농촌체험휴양마을 #영양군가족여행지 #경북가족여행지 #경북체험여행 #대티골숲길 #외씨버선길 #하바리움체험 #쌀빵만들기 #하바리움볼펜 #황토구들방,2021. 7. 19.
[하이스토리 경북]경북 고유의 맛 탐방하러 영양군여행,경북 영양군은 경북여행 중 잠시 경유한 경험만 있고 여행을 제대로 한 건 이번이 처음이었어요. 영양군에서 꼭 가볼 만한 곳이라면 장계향문화체험교육원입니다. 장계향문화체험교육원 여행기를 시작하기 전에 장계향(1598~1680)이라는 인물에 대해 잠시 소개하겠습니다. 장계향 필자도 이번에...,2020. 10. 30.
영양여행 1박2일 : 하이스토리 경북 고유의 맛 탐방 영양군 두들마을...,"영양여행 1박2일 코스 두들마을 장계향문화체험교육원에서 전통주 빚기 / 음식디미방 맛 탐방 / 한옥체험까지 가을이 깊어지고 있는 요즘 영양여행은 경북 맛탐방의 시간이었답니다. 영양군 하이스토리 경북, 경북 고유의 맛 탐방에 참여했는데요. 「경북문화기행 'HI STORY 경북'」 사업은...",2020. 10. 21.
