header,contents,date
경북 영주시 여행,"2021.7.16(금)-7.18(일) 경북 #영주시 에 여행을 다녀왔다. 주요 방문지는 여우생태관찰원, 부석사, 단산지 등이다. 영주시는 경북 북부지역의 조용하고 선비풍이 풍기는 농촌 고장이다. 영주시에 속한 풍기읍에서 가장 유명한 건 사과와 인삼인데 인삼 재배지는 쉽게 보이지 않고 사과밭은...",2021. 7. 20.
<경북여행-영주시>부석사 가는 중 들른 시골짜장면집 단산반점,경북 영주시 투어중 소수서원/선비촌 방문을 마치고 영주 부석사로 이동 중 점심시간이 되어 출출해집니다. 무엇을 먹을까! 영주 단산면을 지나면서 마을이 보이고 시골짜장면 맛보고 싶어 네비게이션에서 보이는 가장 가까운 중국집을 찾아갑니다. 우연히! 단산반점 주차장이 따로 없는 길옆에...,2021. 5. 19.
"여행숙소 - 경북 영주시 풍기면 1박 4만원 ""휴스테이모텔"" 2021.07.02","여행숙소 - 경북 영주시 풍기면 ""휴스테이모텔"" 1박 4만원 2021.07.02 드라이브 여행 영주시 풍기면 숙소 여기어때기준 1박 4만원 소백산 등산을 마치고 저녁도 마늘 석갈비로 배불리 먹고 이제 숙소로 이동합니다. 이동 중에 소백산을 바라보니 마치 불이 난 것처럼 빨간 하늘이 너무도...",2021. 7. 7.
"⭐️ 다큐온, 버스정류장 하숙집 간이식당 오래전 그날로 시간여행 경북 영주시...","10월 2일 다큐 On에서는 경북 영주시 봉현면 노좌1리 에서 60년 세월동안 그 자리를 지켜온 오래된 점빵. 점빵을 지키는 팔순의 노부부와 함께 가난해도 정이 넘치던 오래전 그날로 시간여행을 떠난다. [사진출처=KBS] 김치는 마당에 묻고, 추억은 오래된 점빵에 묻다 사과의 고장으로 이름난 경북...",2021. 10. 2.
경북 영주시 영주호글램핑장,3만평규모 경북최대 캠핑장 글램핑장 볼거리 먹거리가풍부한곳 일할때는 힘들지만 휴식은 열심히 일한사람만이 알수있는힐링이죠 낮잠을자도좋고 누군가와 대화도좋고 같이 여행하고 캠핑도하면 금상첨화겠죠 소백산과 부석사와 볼거리와 먹거리가 풍부한고장 영주시입니다 밑으로는...,2020. 11. 2.
"어래산 · 시루봉 등산코스 시간 여행정보, 강원도 영월군 · 충북 단양군 · 경북 영주시","어래산 · 시루봉 등산코스 시간 여행정보, 강원도 영월군 · 충북 단양군 · 경북 영주시 어래산(御來山, 1063.6m)은 백두대간 선달산에서 북서쪽으로 뻗어 내려온 능선으로 약 7kmm거리에 있으며 강원, 경북, 충북 삼도의 경계를 이루고 있는 산이다. 시루봉(950m)은 어래산에서 북쪽능선으로 약 3km...",2021. 1. 19.
"[경북 영주] 여행계획 중이라면, 영주시 문화관광 사이트에 놀러와~(여행정보, 교통편)","하지만, 영주시만의 문화관광 특색이 있으니 이 번 여행은 대중교통과 함께 영주시의 옛정취를 느끼는 방향으로 계획을 세워봐야겠습니다. #경북, #영주, #여행계획, #영주시버스, #관광택시, #영주시지도, #관광안내책자, #책자신청, #문화정보, #문화관광, #택시비지원, #영주시문화관광",2021. 9. 15.
동궁 영주점/경북영주시맛집,나물이 널큰해서 젓가락이 더 안가긴 했지만 기가 찬 막걸리와 이 세가지만 있어도 우주여행이 부럽지 않았을만큼 행복했다. 다른 반찬 다 제치고... 어머님 다 드리고 내 것은 딱 세 장만 가져와서 너무나 너무나 아쉬웠다! #풍기맛집#경북영주시맛집#아름찬동궁 #영주시한정식집#풍기인견물건,2020. 5. 18.
경북 영주 렌트카 문화여행 시골여행 영주시 대표렌트카 업체 하이렌터카 영주영업소,blogId=hirentalcars8888 #영주렌터카 #영주렌트카 #풍기렌트카 #봉화렌트카 #예천렌트카 #단기렌트 #장기렌트 #렌트할인 #사고대차 #영주맛집 #영주여행 #문화관광 #경북여행 #영주문화관광 #선비촌 #소수서원 #부석사 #무섬마을 #선비의고장영주시 #영주시 #경북영주 #힐링도시영주시...,2021. 6. 14.
"오마니 손두부, 정도너츠 - 경북 영주시 맛집 2탄","오마니 손두부, 정도너츠 경북 영주시 맛집 지난 주말 경북 영주로 갔던 가족여행의 마지막 포스팅 입니다 마지막으로 맛집 두번째 글을 올립니다 ㅎ 같이 보면 좋은 포스팅(제 글입니다ㅎㅎ) - 숙소 및 워터파크, 온천(경북 영주시) - 경북 영주시 맛집 1탄 오마니 손두부 두부전골, 순두부찌개 등...",2020. 8. 4.
부석사 여행 - 경북 영주시,"예전 산에 다닐때 한번 가 봐야지 가 봐야지 하며 가 보지 못했던 곳인데 드디어 벼르기만 하던 부석사를 찾아가 본다 부석사 676년(문무왕 16) 2월에 창건 되었다고 한다 2018년 6월에 ""산사, 한국의 산지승원"" 이라는 명칭으로 유네스코 세계유산에 등재 되었다고 한다 2021년 3월 22일(맑고 포근한...",2021. 4. 2.
