header,contents,date
1박2일~14박15일 경북 영천에서 살아보기-영천시가 지원하는 체류형관광여행....,1박2일~14박15일 '영천에서 살아보기-영천시가 지원하는 체류형관광여행 신청하기 경북 영천시는 4월27일부터 예산소진시까지 생활공간과 관광자원을 결합한 '영천에서 살아보기' 사업을 시행한다고 밝혔다. 개별관광객 인센티브 지원을 통해 체류형 관광산업의 경쟁력 제고 및...,2021. 5. 11.
"경북 영천시, 민간 관광 활성화로 영천을 알린다","힐링 여행 상품 운영, 외국인 유학생 대상 경북관광 알리미 사업이다. 경상북도와 23개 시군의 출연금을 통해 시행되는 경상북도 관광진흥기금 사업은 올해로 3년째를 맞고 있으며, 영천시는 코로나 사태 장기화로 경영난을 겪고 있는 관광 사업체와 지역의 문화예술단체, 사회적 기업 등을...",2021. 8. 2.
"경북 영천시 여행지 : 만불사, 와인터널, 보현산 천문대","만불사, 와인터널, 보현산 천문대 등 경북 영천시 여행지 추천 그리고 이번주 주말 날씨까지~ 지금바로 함께해요 : ) ㅡ 우리나라에서 가장 많은 '부처님' 이 계신 곳 <만불사> 영천 만불산에 위치한 '만불사'는 20세기 설립된 한국불교의 중심 도량으로, 우리나라에서 가장 많은 부처님을 모시고...",2020. 11. 13.
210624(2일차) 서울-부산 시내버스 여행... 낙오 | 김천 | 대구 | 경북 영천시 | 무인텔,세상 거지꼴을 하고 깨끗한 여행자는 우리밖에 없을거라고ㅋㅋㅋㅋ 다은이가 찍은 사진 다행히 아침엔 마을버스가 있어서 지난밤에 40분간 걸었던... 그래도 여행하면서 가장 많이 들었던 기계음이 아닐까 싶다 서울에서는 절대 볼 수 없었던 6월의 초록함이 버스 타는 내내 펼쳐졌다. 생각을...,2021. 10. 1.
"[뉴스경북=영천시] 위기를 기회로! 2021년 영천관광의 재도약!,,, 민간 중심의 지역관광...","(영천시=뉴스경북) 김승진 기자 = 영천시가 2021년 새해를 맞아 힘찬 재도약을 준비하고 있는 관광분야의 야심찬 계획의 키워드는 언택트 관광... 조성하고자 영천시가 역점적으로 추진 중인 보현산댐 관광벨트 조성사업의 경우, 舊자천중학교 일원에 조성중인 여행자 센터가 금년 연말 준공되어...",2020. 12. 24.
[경북 영천시] 편대장 영화식당,유명한 식당인데... 나랑은 입맛이 맞지 않는걸로~ 대한민국 백년가게 선정된 식당인데.. 두명이서 두명이서 육회1인분과 소고기찌개 2인분을 주문했다. 반찬은 딱히 머라 할것이 아니다. 그냥 메인메뉴에 집중하며 식사했다. #영천시 #편대장영화식당 #보현산댐짚와이어 #영천여행,2021. 9. 30.
경북 영천시 관광지도,공모1-행복프젝트는 1곳만을 선정하였는데 대상지가 경북 영천시 화산면 가상리~화산리~귀호리 일원으로 마을 곳곳에 45점의 다채로운 작품들을 설치하여 평범하던 지역을 대규모 미술 마을로 바꾸어 놓았다. 공모2-기쁨두배프로젝트는 2009·2010년 이미 조성된 사업지 중 발전 가능성과 파급효과가...,2020. 8. 17.
"영천시, 경북도 관광진흥기금 공모사업 8건 선정 [출처 경북일보]",이번 사업은 경북도가 지난해부터 23개 시군 출연금을 기반으로 시행하는 관광진흥기금 사업으로 올해 총 11건의 사업 중 영천시가 8건에 선정되는... 개별여행이 더욱 주목받을 것으로 예상됨에 따라 민간 사업체가 지역의 관광산업을 견인할 수 있도록 가능한 지원을 아끼지 않을 계획이다”고...,2020. 6. 10.
경북 영천시 5살 때부터 동네 친구 윤희정·김재홍 부부 “윤 빌리지! 알콩달콩 하룻밤”,"경북 영천시 5살 때부터 동네 친구 윤희정·김재홍 부부 “윤 빌리지! 알콩달콩 하룻밤” 뉴스를 알아봅니다. [EBS 한국기행] 집 밖이 그리워... EBS 한국기행은 대한민국의 숨은 비경을 찾아 떠나는 공간 여행이자 역사와 풍습, 건축, 향기를 느끼고 전달하는 아름다운 시간 여행이다. 우리들이...",2021. 9. 23.
[경북영천시] 미슐랭 원스타가 부럽지 않다. | 삼송꾼만두 영천본점,그렇기에 우리는 낯섬을 찾아 여행을 떠나기도 하고 그 낯선 곳에서 익숙해졌던 음식과는 다른 그 곳만의 매력을 느끼기도 한다. 하지만 그런... 비교적 우리나라보다 식도락에 대해 이르게 관심을 가졌던 프랑스에선 이미 100여년도 전에 이러한 여행지에서의 맛집을 위해 미슐랭 가이드 레드를...,2020. 5. 4.
