header,contents,date
엄마랑 둘이서 경북 예천군 용궁면 용궁로 80에 위치한 경북선 용궁역까지 기차여행을...,오늘 2021.10.10.(일) 저는 엄마가 경북선 용궁역 주위가 외진데고 승차권 파는 곳과 역장님이 없는 열차가 서지만 간이역과 비슷해서 혼자 가는것이 너무 위험하다고 하셔서 엄마랑 둘이 경북 예천군 용궁면 용궁로 80에 위치한 경북선 용궁역까지 기차여행을 했습니다. 그래서 저희는...,2021. 10. 10.
[경북 예천군 여행] 초간정원림(초간정) - 미스터 선샤인 촬영지,<당일치기 예천 여행> 예천군 경상북도 기간:2021.10.04 ~ 2021.10.04 (1일) 컨셉:나 홀로 떠나는 여행 경로:초간정▶삼강주막▶회룡대 전망대 ▼ 예전에 식구랑 즐겨봤던 미스터 썬샤인이라는 드라마에 나온 초간정. 일부러 오긴 좀 그랬는데...이번 여행 코스에서 그리 멀지 않아서 방문해봄. 국도변...,2021. 10. 8.
경북 예천군 낙동강쌍절암 생태숲길트레킹,(38명) ※경북 예천군에 위치한 낙동강 쌍절암생태숲길 최근 문화체육관광부가 2017년 우리 걷기 여행 축제 봄 프로그램13곳 중 한곳으로 선정 되었다. <오늘 산행지는 원주소금산을 계획 했지만 많은 비로인해 예천낙동강쌍절암생태숲길 트레킹으로 급 변경하게되었다> <조금 이런시간이지만...,2020. 11. 21.
[경북여행] 경북 예천군 회룡포 유채꽃밭에서 봄을 느끼다,더 해가는 이세상이 싫어 싫터라 나이제 그곳으로 돌아 가련다 내마음 밭아 주는곳 아 어머님 품속같은 그곳 회룡포로 돌아 가련다 이만 마칩니다 #예천가볼만한곳 #경북여행 #예천여행 #회룡포 #경북예천 #뿅뿅다리 #예천유채꽃 #회룡포유채꽃 #여행자의발걸음 #여행자 #부동산찾아주는키다리아저씨,2021. 4. 18.
"경북 예천군 용궁 막창 순대 맛집, 박달식당 내돈내먹 방문 후기","#예천막창순대 #예천박달식당 #순대랑수육 #박달순대국밥 경북 예천군 용궁 맛집-박달식당 순대 국밥, 순대랑 수육 내돈내먹 방문 후기! 안녕하세요... 식당에서만 맛나게 먹고 나왔네요 순대나 순대 국밥 좋아하는 분들은 예천 여행하며 한번 방문해봐도 좋을듯합니다. 그럼 정미희 강사의 예천...",2021. 8. 26.
(2021년 7월여행) 5. 경북 예천군 여행. 회룡포마을을 가기 위한 뿅뿅다리,발판구멍에 물이 퐁퐁솟는다고? 퐁퐁다리에서 뽕뽕다리로... 2021. 7. 31. #제1뿅뿅다리 #뿅뿅다리 우리는 뿅뿅다리가 궁금해서 그곳으로 가고 있어요 #내성천 너무 뜨거운 햇살에 꽃잎도 축 쳐졌네요 그래도 우리는 걸었어요 이 구멍으로 물이 퐁퐁 올라온다고 해서 퐁퐁다리? 아니...,2021. 8. 15.
경북도청 맛집 예천군 호명면 곱이곱다 본점 추천해요,등 여행하면 좋은 곳도 많이 있으니 좋은 곳도 방문하고 맛있는 것도 먹고 1석2조에요 맛있고 분위기 좋고 가성비까지 좋은 맛집을 찾으시는 분들께 좋을 것 같아요 경북도청맛집 예천군 호명면 곱이곱다 본점을 추천해요 도움이 되셨으면 왼쪽 아래에 공감 버튼(하트) 꾹 눌러주시고 댓글과...,2020. 6. 23.
"경북 예천군, 경북관광 100선 챌린지 투어에 4곳 선정","예천군 제공 경북도문화관광공사가 진행한 ‘경북관광 100선 챌린지 투어’에 예천지역 관광지 4곳이 선정됐다. 예천군은 회룡포, 삼강주막... 경북관광 100선 챌린지 투어는 스마트폰을 활용한 미션투어 프로그램이다. 도문화관광공사는 경북도 주요 관광지 중 언택트 여행수요에 적합한...",2021. 8. 2.
"[ 주유소 매매] 경북 예천군 지보면 2차선 도로변 주유소 매매,,,",우리나라 최후의 주막인 삼각 주막에서 막걸리를 한잔하는 것도 여행의 묘미다. 우리나라에서 가장 빼어난 경치를 자랑하는 물돌이 마을... #주유소매매 #경북예천군주유소매매 #신도청부근주유소매매 #투자용주유소매매 #수익률좋은주유소매매 #예천군주유소매매 #예천군토지매매...,2020. 10. 24.
경북 예천군 여행기 - 이것은 밥을 맛있게 먹기위한 밑밥으로 용궁갔다왔어요..*^^*,이번 경북특집 2탄 예천군에 왔습니다. 사실 예천은 대구에 출장으로 갔다가 엄종원 팀장의 추천으로 와본 곳인데.... 여기 정말 별천지입니다.... 네 이름은 같더라구요 ㅎㅎㅎㅎㅎ 잠시 용궁역에 관한 이야기는 다른 여행작가분이 쓴 기사를 연결해 놓을테니 관심있으시면 한번 읽어보세요. http...,2021. 6. 23.
