header,contents,date
"[맨블] 을릉도 여행코스 | 관음도,예림원,천부해중전망대","울릉도 여행코스 관음도,예림원,천부해중전망대 울릉도 여행 북면 지도 오늘은 울릉도 북면에 위치한 대표적인 관광지 관음도/예림원/천부해중전망대를 가볼꺼에요:) 여기 [경북투어패스] 울릉아일랜드 24시간권(성인 1만)을 사용하면 세 곳의 관광지를 모두 들어가 볼 수 있어요. 봉래폭포와...",2021. 10. 9.
경북 울진 여행 / 구산항 대풍헌과 독도조형물,"경북 울진 여행, 구산항 대풍헌과 독도조형물 구산항은 작고 조용한 어촌마을임에도 볼거리가 많은 곳이였네요 조선시대부터 을릉도 독도 지키기위해 파견된 관리가 묵었던 대풍헌과 독도모형을 그대로 본딴 독도조형물과 개관준비중인 수토문화전시관도 있으니 울진 여행시 꼭 들려보세요...",2020. 9. 9.
경북 하이스토리 / 울진 1박2일 여행코스,경북 하이스토리 울진 1박2일 여행코스 새로 오픈한 신상 왕피천 케이블카도 타보고 금강송 숲속에서 힐링할수 있는 금강송에코리움 하룻밤 숙박도 너무 좋았으며 금강소나무숲길 트레킹은 걸을땐 너무 더워서 힘들었지만 걷고 나서 느껴지는 상쾌함에 뿌듯했고 조선시대부터 을릉도와 독도를...,2020. 8. 20.
울릉도여행 필수품 울릉도투어패스... 이용권 및 울릉도 관광지입장권 할인 경북패스,"을릉도 여행에 버스를 활용하면 렌트카는 굳이 필요가 없습니다. 버스무제한이용권으로 교통비 아끼며 24시간 또는 48시간으로 제한없이... 울릉도를 여행하는 가장 좋은 방법, 울릉아일랜드 투어 패스(경북투어패스)를 소개합니다! 독도전망 케이블카, 예림원, 관음도 등 20여 곳의 명소 및...",2021. 5. 2.
경치맛집 오션뷰 펜션✨ #을릉도... 보여 을릉도 최고의 뷰를 자랑하는 곳이에요!!...,"보여 을릉도 최고의 뷰를 자랑하는 곳이에요!! 일몰이나 일출 감상하기에도 좋아서 풍경만 바라봐도 스트레스가 확 풀리는 숙소에요!! ⠀ 주소 경북 울릉군 북면 추산길 40 ⠀ Tip 입실 15:00~ 퇴실 10:00 ⠀ 이미지 출처 @rosie.ina, @hue_happy 여행, 여기서 행복할 것 채널에 제보해주세요!...",2021. 9. 13.
[울릉도] 여행예보: 살면서 한 번쯤 가볼만한곳! 울릉도여행,출처-한국관광공사 [을릉도] 여행예보: 살면서 한 번쯤 가볼만한곳! 울릉도여행 전화번호: 054-790-6454 주소: 경북 울릉군 서면 도동1길 5-3 울릉도여행 참고 & 관광지 혼잡도 평일에는 보통으로 여행지를 즐기실 수 있지만 주말에는 혼잡할 수 있으니 참고하시고 여행계획을 잡으시면 좋을 듯합니다....,2021. 5. 31.
경북 가볼만한곳 국립백두대간수목원 산책,"오늘은 경북 가볼만한곳으로 봉화에 있는 엄청 큰 국립백두대간수목원에 대해서 이야기를 해볼까 하네요 일반적인 수목원보다도 커서 적잖이... 우리나라에서는 만병초, 홍만병초, 노랑만병초 등 3종이 을릉도를 포함한 지리산, 강원도 및 북부지방의 고산지대를 중심으로 자생하고 있답니다....",2020. 7. 2.
2020 봄향기 따라 여행하기..1편 [경북/영양/수비면 /신암리/어리골],1년만에 다시찾은 어리골의 봄향기 단양에서 점심을 쏘가리회와 매운탕 그리고 맛난 요리로 거하게 먹고나서 목적지인 경북 영양 백곰성님댁을... 집뒤 산자락에 이식해놓은 을릉도 특산물인 명이나물(산마늘)..!! 이미 주변에 명이나물이 많이 있는데 내년에는 더욱 많이 퍼지겠네여..!! 오늘 저녁...,2020. 5. 13.
#울릉도여행 ㅡ 3 #힐링로드코스 #한국드림관광,4곳입니다 경북 포항의 포항여객터미널 강원도 동해의 묵호항 강원도 강릉의 강릉항 경북 울진의 후포항입니다 포항~울릉간 썬플라워호 편도 5만... 주셔서 ‥고맙습니다 #독도#독도박물관#독도전망대#독도의용수비다#한국드림관광#한국글로벌문화관광협회#을릉도여행#울릉도가볼만한곳#도동항...,2020. 10. 23.
2020 봄향기 따라 여행하기..2편[경북/영양/수비면/신암리/어리골],도착후 바로 이번 여행의 목적인 산나물 채취를 위해 콩아네 농장으로 출발..!! 콩아네 농장엔 주변에 수령이 수십년된 엄나무가 많은데 우리의... 황매화군락 주변엔 을릉도 특산물인 명이(산마늘)밭을 만들었는데 몇년전에 이식한것이 퍼져서 군락지를 이루고 또 다시 점점 넓혀가는중..!! 그 옆에는...,2020. 5. 15.
