header,contents,date
경북 울진군에 위치한 금강소나무숲길... (안일왕산 해발 818m 위치 한 대왕소나무) 여행,"* 여행 일자 : 2021년 09월 19일 일요일 * 여행 창석 : 정근,경화,범주(3명) * 여행 위치 : 경북 울진군 금강소나무숲길 * 등산 이동거리 : 왕복 약11km * 등산 소요시간 : 왕복 4시간(점심식사 포함) 금강소나무숲길 4코스 사전에 소나무슾길 입장을 워해 인터넷 예약을 하고 도시락도 같이 예약을...",2021. 9. 19.
경북여행 하이스토리 울진군 등기산 스카이워크,"친구와 연인, 가족이 함께 새로운 삶의 에너지를 충전하고 싶다면, 경북 울진군 여행을 추천드립니다. 경북 하이스토리 울진군 여행 등기산 스카이워크 울진 후포리 신석기 유적관 유일하게 무더운 여름에 에어컨이 빵빵하게 나왔던 오아시스와도 같은 장소입니다. 신석기 시대 유적이 궁금하지...",2020. 8. 14.
<경북 울진군/폭풍속으로 세트장>'출사여행'이라고 쓰고 '마실'이라 읽는다!(2020.11....,경북 울진군 죽변항 근처에 있는 '폭풍속으로 세트장'을 다녀왔습니다. 요즘도 극한의 업무스케쥴에 휩싸여 생활하는 덕분에 심적으로 많이 지쳐있었답니다. 캠핑가는 것도 여의치 않았고 마땅히 여행다니기도 쉽지 않았지요.(물론 지금도 그렇다는 것은 '안비밀'입니다.ㅜㅜ) 제가 좋아하는...,2020. 11. 15.
경북 하이스토리 울진군 당일치기 가능한 울진 여행코스 추천,"수토문화전시관 (연중무휴 상시개방) 경북 하이스토리 울진군의 역사 테마여행 주제의 기반이 됐던 수토문화전시관은 수토문화를 테마로 영토와 영해 교육을 특화해서 지어졌는데, 수토는 일본이 독도 소유권을 아직도 포기하지 않고 주장하는데 그 당시 독도는 거의 무인도로 취급하면서 일본...",2020. 8. 14.
"바닷가, 계곡여행(경북 울진군 죽변항 해안스카이레일, 삼척 비화항, 삼척 해신당...","가을바람이 느껴지는 8월 20일, 당일치기로 여행길에 올랐다. 첫번째 행선지는 경북 울진군 죽변항 해안 스카이레일이다. 지난 8월 초에 개장했다는 기사를 보곤 멀지 않은 곳이기에 한번쯤 가보고싶단 생각을 했었다. 죽변항 폭풍 속으로란 드라마촬영지 바로 옆에 있다. 한여름에 와 탔던...",2021. 8. 25.
겨울 여행(경북 울진군),바로바로~ 경북 울진군 후포항♡♡ 게라고 하면 정신을 못차리는 신랑 및 아이들이 있어 겨울(설 연휴 전전주~전주쯤)엔 마음먹고 질리도록 게를... 바람이 부니 다리가 흔들렸어요 ㅠㅠㅠㅜㅜㅜㅜ 집에와서 아침에 사서 쪄온 대게를 배 터지게 먹고 여행끝! 2020년 겨울에도 다시 가볼 그곳. 후포항...,2020. 3. 12.
경북 울진군 구수곡자연휴양림 (2021.9.11),"경북 울진군 구수곡 자연휴양림 ▶ 위 치 : 경북 울진군 북면 십이령로 2721 ▶ 숙소이름 : (숲속의집) 트리하우스 / 2인실/ 주말 60,000원... [행복한여행 블로그] 울진 응봉산 등산 (2021.9.11.) 참조 ※ 울진 여행할만한곳 [행복한여행 블로그] 경북 울진(죽변해안스카이레일, 죽변항로표지관리소...",2021. 9. 15.
"경북 하이스토리, 울진군 여행 1박 2일 / 금강송 숲길부터 대풍헌, 구산항 전망대...","출발지: 울진군 금강송면 대광천길 83 / 출발시간 10시 ▶가족탐방로는 점심시간을 포함하여 약 3시간 소요되며 점심식사비는 1인당 7천원을... ■ 등기산 스카이워크(무료) 관람시간 3월~5월, 9월~10월 9:00~17:00 6월~8월 9:00~18:00 11월~2월 9:00~17:00 +울진여행일정 첫번째, 경북 울진여행 1박 2일-①...",2020. 8. 21.
반려견과 함께하는 울진여행 - 경북 울진군 월송솔머리펜션 추천,"경북 울진군으로 반려견과 여행하기 사실, 숙소부터 정하기 너무 힘들었어요. 펜션이나 리조트등 우리 댕댕이들이 입실할 수 있는 곳이 많지 않고, 있다고 해도 가격이 높더라구요~ 물론 시설도 좋겠지만^^ 일단 제가 선택한 숙소는 월송솔머리펜션 인데요. 울진반려견동반숙소 입니다. 위치는...",2021. 6. 28.
하이스토리경북 울진군 여행 금강송테마전시관 금강송에코리움 금강소나무숲길 체험 (2),"하이스토리경북 울진군 여행 금강송테마전시관 금강송에코리움 금강소나무숲길 체험 (2) 울진군 팸투어 2탄 이어져 갑니다! 경북 문화기행 HI STORY 경북사업은 경상북도와 경상북도문화관광공사에서 추진하고 있는 사업으로 경상북도의 3대문화권 관광진흥사업 중 3대문화(유교,가야,신라)를...",2020. 8. 20.
