header,contents,date
21.5.3-경북의성군 여행,"의성군 첫여행 느낌은 생각보다 별로였다. 여행을 방해하는 요소인 날씨, SNS, 투자에 대한 생각 등도 다분히 있었지만 군전체가 70년대 골목느낌이어서 이 부분에 감성이 젖어들지 않고 그저그런 자연풍경에 동화되지 않으면 지루한 여행지였다. 오늘 내가 딱 그랬다. 숙소와서 목 축이며 책 읽는게...",2021. 5. 4.
경북 의성군 가볼만한 곳 :: 과거로의 시간여행⏳ '탑리리' 한바퀴(의성탑리리오층석탑...,^^ 오늘은 의성군 금성면 탑리리에 다녀왔습니다. 멋진 탑들은 물론 과거로의 시간여행까지 할 수 있었는데요! 지금부터 함께 둘러보아요~ 먼저 탑리리는 고즈넉한 시골마을인데요. 이곳의 집들과 건물들은 그때 그 시절의 모습을 그대로 담고 있답니다. 오래된 세탁소부터 사진관까지. 간판들이 참...,2021. 3. 22.
[경북 언택트 관광지를 찾아 ] 의성군과 성주군,"고대왕국의 유적지를 어슬렁거려본 여행자는 안다. 거기서 보고 듣게 되는 건 장구한 역사가 선물하는 낭만만이 아니라, 각종 질병으로 고통 받던... ""삼한시대 초기 경북 의성군 금성면 일대에서 세력을 형성했던 부족국가로 규모가 작은 나라였다. <삼국사기>에는 185년 신라 벌휴왕 때 파진찬...",2021. 2. 5.
빙계계곡 춘산면 의성군 경북,"- 의성, 빙계계곡 - #핑크마미 안녕하세요 오늘은 최근에 다녀 온 ~ #경북 #의성군 에 위치한 #빙계계곡 을 보여드릴려고 #포스팅 을 시작합니당... 요~근래 여행 다니면서 하늘이 너무 맑아 아이들까지 더 빛나 보이던 #의성 #빙계계곡 에서의 우리 아가들과 함께 한 #카운티캠핑 이였습니당 #가볼만한곳...",2021. 7. 16.
경북 의성군 의성군산림조합 영양산골형제농장 견학은 조금은 특별했다.,"경북 #의성군 의성군산림조합에서 영양산골형제농장 산나물 농장에 교육을 겸한 견학을 왔습니다 ""산림소득 임산물 생산자 교육"" 의성군산림조합 엊그제 미리 사전에 #의성군산림조합 이건호조합장님이 견학 및 교육 내용을 파악하고자 다녀 가시면서 교육을 확정하여 산주 임업인 조합간부 직원...",2020. 5. 15.
"숨겨진 대구 근교 가볼만한곳, 경북 의성군 금성면 탑리","위치는 ‘경북 의성군 금성면 금성현서로 10’로 탑리 중심가에 있으며, 대구 인근 지역에서는 인기 있는 집으로, 많은 리뷰를 확인할 수 있습니다.... 탑리여행의 종착지인 산운생태공원·산운마을에 도착! 과거에 폐교한 산운초등학교를 가족 단위의 방문객들이 자연생태관찰과 함께 전통문화를...",2020. 5. 18.
경북명품고택 관광여행가이드2-의성군 사촌마을 만취당 파종택,#만취당 #경북의성 #경북명품고택 #경주사랑신문 의성군 역사와 전통이 살아 숨쉬는 의성 사촌마을에 위치한 전통고택 만취당 파종택 안동김씨 집성촌 사촌 문중의 상징물이자 자존심 사촌마을 가운데 우뚝 서 있는 만취당은 송은 김광수의 증손으로 퇴계 문하의 고제 부호군 감사원이...,2020. 8. 3.
경북 의성군 관광지도,"위치 : 경북 의성군 금성면 수정리 423-1 #금성산 청화산 해발 700.7m 853ha(구천구역)의 청화산이 우뚝 솟아 구천을 감싸고 있다. 청화산 내 지명으로 마당미기, 수리덤, 방앗골, 점티골, 칭 이골, 벌샘, 옷샘, 불당골, 위기소, 통시웅덩, 대목바위 등이 있는데 모두가 깊은 전설을 가졌다. 백련사지...",2020. 7. 27.
경북 의성군 비안면 서부리 농막용겸 창고용 3x6 컨테이너 전체용접판매...,"오늘은 경북 의성군 비안면 다녀왔습니다. 이번 주에 먼 길 가시는 분들도 있으시고 여행 계획을 잡으신 분들도 있으시죠?! 대구, 구미, 칠곡, 경북 컨테이너 납품담당 일성컨테이너는 연휴 전 날까지 업무합니다. 컨테이너 구매하신 사장님께서 바닥 보강 원하셔서 서비스로 해드렸습니다. 컨테이너...",2020. 1. 20.
"[공감소통] 안동의 이웃 동네, 경북 의성군 견학을 가다 - 사무국 워크샵 (8/25)","먼저 청년시범마을로 알려진 경북 의성군 안계면 이웃사촌지원센터*를 방문하였습니다. 민재희 도농연계 팀장에게 센터 활동을 듣고, 예술인 마을 프로젝트 사업을 마무리하는 마을잔치에 참석하였습니다. 청년과 농촌 마을을 연결하는 활동을 몸소 느꼈습니다. *<이웃사촌지원센터...",2020. 8. 29.
경북 의성군 탐리역,#의성군 탐리역#의성군 맛집#의성군 가볼만 한 곳 #의성군 여행 #탐리역 열차 시간표 업무차 의성에 내려왔다가 시간의 여유가 조금 생겨 여기저기 돌아 다녔어요 시골 마을이라 차가 많지 않아서 천천히 운전하며 여유를 즐겼지요 ㅎㅎ 옛날 그대로의 간판들이 정겹네요. 혼자 운전 하느라 간판은...,2021. 6. 14.
삼한의 부족국가부터 삼국시대까지의 역사를 품은 의성군 역사여행,"경상북도 ‘의성군’하면 어떤 것들이 떠오르시나요? 대표적인 의성마늘이나 고추를 먼저 떠올리시는 분들도 계실겁니다. 아니면 인접 도시인... 신비스러운 조문국의 이야기와, 천년고찰 고운사와 수정사가 있는 ‘의성여행’ 어떠신가요? 경북 안동, 경주쪽으로의 연계여행을 하기에도 좋은...",2021. 5. 30.
"의성군 슬기로운 여름생활... 빙계계곡(빙혈·풍혈), 빙계얼음골야영장 #경북여행추천","의성군기자단 김금주 의성군기자단 김금주 빙혈과 풍혈은 여러 군데 나 있는데 이를 빙산이라고 하며 그 산을 감돌아 흐르는 천을 빙계라고 부릅니다. 빙계가 만드는 절경 빙산과 빙혈의 골짜기 부근이 바로 빙계 계곡입니다. 자연을 거스르는 ?! 풍혈,빙혈 빙혈은 한여름에도 얼음이 얼어 찬 기운을...",2021. 7. 28.
"[경북/의성군] 공룡관련 각종 체험 공간과 아이들의 놀이 공간, 쾌적한 북카페까지 한...",#29개월아들과함께 #의성여행 #경북여행 #의성가볼만한곳 #의성조문국박물관 #의성상상놀이터 #육아맛집상상놀이터 #공룡화석발굴체험... 관내(의성군민) 거주자는 신분증 지참시 50% 할인됩니다. 상상놀이터 중 '모험의 성'만 유료 입장입니다. - 만 2세부터 만 9세미만 유료 (24개월 이하 무료...,2021. 5. 7.
경북 의성군 단북면 애견동반캠핑장 [의성펫월드],#대구시청 #의성군수 #경북도청 . 지금은 오픈을 하지 않았습니다. 4월4일 오픈예정이였지만 코로나19 로 잠정적 폐쇄중입니다. 조만간 코로나... 애견동반캠핑장 #경북의성펫월드 #경북애견수영장 #의성애견수영장 #애견실외수영장 #의성가볼만한곳 #의성애견동반 #애견동반여행...,2020. 3. 10.
경북 의성군 달빛공원 방문기! 별구경은 처음이지~?,먹을것을 판매하지않기에 보온병에 챙겨가거나 의성시내에서 챙겨가시는걸 추천! 사진을 야간모드로 찍고싶다면 상의가 밝아야지 사진이 나오니 꼭! 밝은옷입기! 이곳이 경북 별구경 스팟! 코로나로 외출힘들지만 차에서만 봐도 감상가능하고 사람도 많이없고 조용하게 데이트나 여행가시와요~~,2021. 1. 22.
"중앙선 의성역 - 경북 의성군의 중심 기차역,중앙선 복선전철화 증축 및 개량 공사중",잠시후 의성역에 도착하겠습니다 영천에서 출발하여 약 50분쯤 달리고 달려서 의성역에 도착하는것으로 본 출사여행을 시작했습니다 의성역에... 철도여행 중앙선 의성역을 정면에서 바라본 모습 중앙선 의성역 역간판 중앙선 의성역 좌측에 위치한 쉼터 조금 뒷편에서 담아본 의성역 전체 모습...,2020. 11. 15.
"[여행큐레이터의 추천] 의성군에서 관광하고, 경비도 지원받고","경북 의성군에서는 볼수록 매력적인 의성올래(來) 참가자들에게 여행경비를 지원해주는 프로그램을 운영하고 있어서 여러분께 소개하려고 해요~ 의성을, 봄 ✅ 참여대상 : 전국민 2~4인 소규모 그룹 ✅ 신청기간 : 2021년 4월5일 ~ 5월5일 ✅ 여행기간 : 2021년 4월5일 ~ 6월30일...",2021. 4. 14.
[경북/의성군 봉양면] 가성비가 내린다~ 샤라랄라랄라라~ 의성마늘 먹은 질 좋은 한우...,안녕~ 이알양이예요 :-) 작년 포항여행에서 돌아오는길에 충동적으로 방문했던 봉양한우마실작목회 리뷰할 생각이 크게 없었던터라 사진을 많이 찍지 않아 그냥 여행기에 언급했었는데 5월초에 시부모님과 다시한번 방문했어요 의성IC 근처에 위치해있어 여행갔다가 집으로 돌아가는길에 살짝...,2020. 5. 22.
[경북 의성군 의성읍 맛집] 이게 치킨이다..! 의성 마늘 닭 “원주꼬꼬”,"아이들에게 참 소중한 추억,, 저도 어렸을 때 부모님이랑 몇 번 안 간 여행이지만 참 기억에 남아요 어린 나이에 많이 대리고 다녀야 해요 추억 회상^^ 헤헤 돗자리 펴고 치킨 타임...!!!!!! 크.... 원주꼬꼬 사랑해요♥ 넘나 영롱하지 않나요?? 진짜 맛이 직인답니다^^ 좀 느지막이 갔던 터라 금방 해가...",2020. 7. 21.
슈퍼우먼 의성군여행 빙계계곡 빙계 얼음골야영장 캠핑 양양 수륙양용차 오늘방송맛집,겨울 여행지 경상북도 의성군 - 빙계계곡 - 주소 : 경북 의성군 춘산면 빙계리 896 - 빙계 얼음골 야영장 - 주소 : 경북 의성군 가음면 빙계계곡길 51 ※ 얼음골 야영장은 사전 예약 필요합니다. 온라인 예약 : https://www.usc.go.kr/icevalley/main.tc <100 년 단골의 추천 맛집> ■ 통문어 누룽지탕...,2021. 7. 7.
경북 의성군 '숨은 포토존을 찾아라!' ② :: 살랑살랑 봄바람 타고 가볍게 걷기 좋은...,^^ 오늘은 경북 의성군 '숨은 포토존을 찾아라' 시리즈 2탄! 의성조문국사적지에 다녀왔습니다. 입구에 이렇게 의성 금성산 고분군 종합 안내도가... 봄바람을 타고 옛이야기 속으로 시간 여행을 해본 오늘 하루~! 실내가 아니라 거리 두기 수칙과 개인방역 수칙만 잘 지키면 봄나들이 하기에 딱 좋은...,2021. 3. 18.
경북 의성군 #언택트산책 한바퀴 ① 구봉공원~의성교~남대천 수변공원 가볍게 걷고...,"안녕하세요~ #의성군블로그기자단 유일종입니다. 코로나19가 장기화되면서 모두의 불안감도 커지고 있습니다. 오는 26일부터는 백신 접종도... 오늘은 코로나19 시대에 집에만 있기 답답하고, 그렇다고 여행을 다니기에도 힘들고~ 시내에서도 마음대로 활동할 수 없는 요즘에! 편안하게 즐길 수 있는...",2021. 2. 22.
경북 의성군 학습동아리 지원 소식 :: <2021 평생학습 우수동아리 지원 사업> 안내 (~7.23),23.(금) ✅ 지원대상 : 의성군민 10인 이상으로 이루어진 학습동아리 ✅ 지원규모 : 우수 학습동아리 10개소 내외 선정 ✅ 지원내용 : 동아리당... 교육·여행 등을 목적으로 신청한 사업 성격의 동아리 ③ 강사가 일정액의 강사료를 받고 회원이 되어 운영하는 동아리 ④ 강사가 타 동아리에...,2021. 7. 20.
경북 카페 100선에 소개된 의성 카페_의성군기자단 박성재,"경상북도에서는 경북 카페여행 100선을 선정하여 도민들에게 소개해 주었습니다. 거기에 우리 의성의 카페 5곳도 선정되어 있는데요. 한번... 이곳은 의성군 블로그 기자단 2기 발대식이 개최된 장소인데요. 어울마실은 카페뿐만 아니라 음식, 정원 등을 함께 즐길 수 있는 포인트가...",2021. 2. 15.
경북 의성군 #슬기로운 문화생활 :: <2021 평생학습 우수동아리 지원사업> 재공고...,의성군 이웃 여러분 안녕하세요. :) 오늘 전해드릴 소식은 우리 의성군민 10인 이상으로 이뤄진 학습동아리를 대상으로 '강사료'를 지원하는 <2021... 교육·여행 등을 목적으로 신청한 사업 성격의 동아리 ▸강사가 일정액의 강사료를 받고 회원이 되어 운영하는 동아리 ▸강사가 타 동아리에...,2021. 7. 26.
경북 가볼만한 곳 #포토존 추천 :: 5월 의성군 작약꽃 선공개 예쁜 꽃밭 미리보기,"의성군 꽃 여행도 타이밍!입니다. 지금 이때 의성군이 준비한 작약꽃 볼 기회를 잡아야 인생 추억을 만들어 낼 수 있습니다! 코로나19 바이러스로 자유로운 꽃 여행이 불가하지만, 방문 시 개인방역 수칙을 철저히 지켜주세요! 자~그럼! 랜선으로 떠나는 의성군 작약꽃 미리 공개합니다! 시대 불문!...",2021. 5. 20.
경북나드리 책자에 소개된 우리의 의성_의성군기자단 박성재,안녕하세요 의성군기자단 박성재입니다 :) 경상북도는 경북나드리를 통해 다양한 관광명소를 소개하고 있습니다. 이번에는 그중에서 관광책자에... 다음으로 소개할 것은 겨울/가을 경북여행입니다. 여기에서는 단촌의 고운사와 천년숲길을 소개하고 있습니다. 이곳은 바로 위의 최치원문학관과...,2021. 2. 15.
"경북 여행 의성 가볼만한곳 BEST 7 (탑리마을, 사촌전통마을외)","의성전통시장 경북 의성군 의성읍 전통시장1길 15-3 캠핑이나 여행을 가면 꼭 들리는 곳 중에 하나가 전통시장인데요 시장을 둘러보면 그 지역 특산물과 함께 맛있는 것도 먹을 수 있지만 무엇보다 좋은 건 지역 주민의 정을 느낄 수 있어 좋아하는 편입니다. 의성전통시장은 2일, 7일 열리는...",2021. 9. 27.
"꼭 가봐야 할 경북 여행 관광지 100선, 지금 여기 오면 상품은 덤!","놓칠 수 없는 경북여행의 즐거움, 경북에 오면 100가지 행운이 쏟아진다. 경상북도는 경상북도문화관광공사와 함께 7.15일부터 ‘경북관광 100선... 100선 의성군 (2) ∘조문국사적지 ∘고운사 천년숲길 청송군 (3) ∘세계지질공원 주왕산 ∘객주문학관 ∘송소고택 영양군 (2) ∘국제밤하늘보호공원...",2021. 7. 15.
경북 의성 가볼만한 곳 고운사 필수 여행코스,"의성 여행을 따로 계획하기도 쉽지않다 그런데 작은 시골도시 의성에서 나는 보물 하나를 찾았다 앞으로 자주자주 발길 닿을 것 같은 곳 이름도 참 이쁘다 고운사 주소 : 경북 의성군 단촌면 구계리 116번지 신라 신문왕 681년에 의상조사가 창건하고 고운 최치원이 여지, 여사 두 대사와 함께 중건...",2021. 8. 20.
