header,contents,date
2021.07.18 경북 청도군 바이크 투어 여행. 방골재&비티재를 넘어...,"경북 청도군 여행, 특히 청도군 바이크투어나 경북 청도군 드라이브를 계획하시는 분들이라면 조금 도움이 될만한 코스들을 짜보았습니다. 글과 사진을 좋아해서 글과 사진으로도 남기지만, 전체적인 코스들의 모습과 주행영상, 설명들은 영상으로 보시면 더 자세히 나옵니다 ^^ https://www....",2021. 10. 6.
경북여행 청도군 성수월마을 몰래길 걷기좋은 곳 성곡댐,지금은 운영하지 않는 코미디 철가방 극장 2012'우리 마을 녹색길 공모 사업'심사에 선정된 경상북도 청도군 몰래길 !! 개그맨 전유성과 패션디자인... 보여진다 경북여행지로 성곡권역 농촌체험마을로 휴양하기에 너무 좋은 자연경관을 가지고 있는 곳인데 사람이 오가는 흔적을 볼 수 없어 아쉽다...,2021. 5. 24.
[19/11/26-27 청도국내여행] 청도 감말랭이 향수병에 쓰는 경북 청도군 여행 일지 1편,감와인) 소 F4 오빠야들 만난 미령 산타할아버지가 그동안 선물 안줘서 밀린 선물 받으러 산타 찾아간 미령 그럼 끝 #국내여행 #국내관광지 #청도여행 #청도군 #신화랑풍류마을 #청도소싸움경기장 #청도운문사 #여행지추천 #여행사 #가이드 #스탬프투어 #투어 #공감 #댓글 #서로이웃,2020. 3. 7.
경북 청도군 베이커리 뷰카페 엘파라이소365,청도군 뷰 카페라 그런지 사람들 많았습니다. 가족 단위로 오는 사람 많았네요. 문득 부산 기장에 위치한 웨이브온 카페 생각났습니다. 이런 공간이 있다니...역시...엘파라이소 365 좋아 보였습니다. 만족스러운 청도 여행을 느끼게 해준 카페. 오랜만에 시골에 와서 너무 좋았습니다. 식사 대신...,2021. 5. 27.
경북 청도군 장연생태공원 친환경생태공원에서 놀아봐요~,안녕하세요~ 청도군 홍보단 이정옥입니다. 비가 잦은 봄~ 만물이 소생하는 봄을 맞아 친환경 생태공원으로 언택트 여행을 떠나봤습니다. 매전면... 경북 청도군을 하나도 빼놓지 않고 별자리로 찾아볼 수 있어서 아이들과 함께 여기가 어디쯤인지 함께 찾아보는 것도 재미있는 놀이가 아닐까...,2021. 4. 5.
[경북여행] 경북 청도군 청도읍성에서 힐링 산책하기,과거 청도 군수들 이름이 적힌 비석입니다 길을 건너기 전에 고마청이라는 말을 관리하던 건물과 특이한 말이 보여서 가까이 가봤습니다 타일을... 곳> #여행자 #여행자의발걸음 #부동산찾아주는키다리아저씨 #청도읍성 #청도여행 #경북여행 #청도꽃자리다방 #청도읍성작약 #청도읍성연꽃...,2020. 6. 1.
여름휴가지 대구근교계곡/경북 청도군에서 추천하는 언택트여행장소.,해마다 6월이면 더워서 잠을 설치기 시작하고 대구경북은 5월부터 이미 에어컨을 틀어야 마땅한데 낮에 기온이 많이 올라가긴 하지만 작년에... 더 많고 다양한 청도여행지를 만나보시고 싶다면 아래 청도군 홈페이지 링크로 들어가시면 청도의 모든 가볼만한곳들이 잘 정리되어 있습니다 :),2021. 6. 4.
세컨하우스로 적극 추천드리는 경북 청도군 청도읍의 청도 톨게이트에서 10분 거리의...,오늘은 제가 위치한 지역에서 조금 멀리 떨어진 경북청도군 청도읍의 전원주택매매를 소개드려요 전원주택 내부 외부 조건도물론 중요하겠지만... 인해 여행을 갈 수 없는 이 시기에 마치 팬션 구해서 여행나온거 같을거예요 보세요 앙징맞은 장독들 그것들을 안고 있는 장독대 그리고 울타리 안의...,2020. 7. 4.
[사찰여행] 경북 청도군 청도읍 경북 문화재자료를 보유한 대운암을 가다. 시멘트임도길...,전통사찰 가-83호 경북 청도군 청도읍 유호리 산1 에 위치한 대운암 대운암은 1868년에 청건 되었다고 한다. 청도 오례산 에 자리하고 있는데 역시나 그렇 듯 1900년 화재로 소실이 된 걸 다시 중창하였다고 한다. 이 곳에는 경상북도 문화재자료 제309호 대운암 목조 관음보살좌상 및 복장유물을...,2021. 3. 4.
경북여행 청도군 가볼만한곳 만개한 작약꽃 담았어요~~~,"지방지도 청도군 이란 설명된 자료도 묵묵하 읍성을 지키고 있네요 우측에 보면 무인판매대가 있는데 아직은 시작하지 않은듯 해 보입니다... 경북도, '문화가 있는 날 지원' 공모에 안동시·경주시 선정 #작약꽃길따라거닐다 #대구경북청도가볼만한곳 #아이와함께경북여행 #청도여행...",2021. 5. 16.
"경북 청도군 맛집, 청도추어탕거리 역전추어탕","경북 청도군 맛집, 청도추어탕거리 역전추어탕 설 명절이 시작되는 첫 날, 시댁인 대구로 출발합니다! 가는 길에 안개때문에 정말 고생했지 모에요..... 뼈가 많이 씹혀서 좀 더 갈아줬음 좋겠다는 거.....? 청도 여행가시면 청도맛집 청도추어탕거리에서 꼭 한그릇 하셔요❤",2020. 1. 27.
"[경북 청도군] 청도 여행 : 군파크루지, 프로방스테마파크, 카페 버던트, 청도읍성...",이번 2월 말 나의 언택트 여행의 목적지는 청도였다. 청도는 넓고 볼거리가 꽤 많다고 알고있었다. 가장 기대했던 건 아직 한 번도 경험해보지... 청도읍성 경북 청도군 화양읍 동상리 청도읍성 성곽 일부 청도에 왔으니 읍성을 한 번 살펴보기로 했다. 현지인들의 말로는 주변에 산책할 예쁜 산들도...,2021. 3. 1.
[ 산행 ] 경북 청도군 남산 한재 미나리 삼겹살_2020.02.16,산행 일기는 여기서 마무리 오늘의 산행목적은 바로 이것~~~ 청도 한재 미나리 삼겹살 맛이 일품 이더이다 한재 미나리 때깔 좋쥬? ㅋ 미나리 효능은 참고 하시라~^^ 오늘도 수고한... 울~~~ 지니~~~ ^^ #경북 #청도군 #남산 #한재 #미나리 #삽겹살 #산행 #여행 #트래킹,2020. 2. 17.
청도군 맛집 청도 삼계탕 먹고 여행 시작!!,"즐거운 여행길~~ 첫번째 목적지는 경북 청도군이었답니다. 이번 여행에선, 가는 곳마다 이렇게 벚꽃이 화사하게 만개 해 있었답니다. 둘째, 셋째 날엔 황사와 미세먼지가 심해서 야외활동을 많이 하진 못했지만, 그래도 운전하는 내내 꿈길을 달리듯, 즐겁게 달릴 수 있었어요. 금강산도 식후경....",2021. 4. 1.
