header,contents,date
청송군 주산지 / 경북 하이스토리 / 경북 고유의 맛과 단풍 가족여행,경북 하이스토리 청송군 주산지(注山池) 경북 고유의 맛과 단풍 가족여행 에남매 일상 올 가을 사람들 발길이 그나마 적은 곳이 어디일까? 10월의 멋진 어느 날 사계절이 아름다운 신비의 저수지 청송군 주산지로 떠나봅니다. 매일 여행가방을 싸고 이곳저곳 누비고 싶지만 어디 우리네 삶이 내...,2020. 10. 26.
[하이스토리 경북]청송군여행에서 경북 고유의 맛 탐방,안채는 전체적으로 ㅁ자형을 이루고 있으며 대청마루에는 세 살문 위에 빗살무늬의 교창을 달았어요. 각 공간이 구분되어 있는 조선시대 상류주택의 특징을 잘 간직하고 있답니다. 하이스토리 경북 고유의 맛 탐방하러 청송군여행기를 마칩니다. 조만간 영양군 여행기로,2020. 10. 30.
경북 청송군 여행 (청송 신촌식당.청송맛집.주왕산.킹냥이들이랑 고기 나눠먹기),약 100km 달려 가는 경북 청송군 여수여행(편도 약 290km)을 다녀온 이후로 주행거리 두자리수면 오..갈만한데?싶음. 물론 그건 내가 운전을 안해서인듯 ㅎ. 영덕 지나는중 까먹고 내 brand-new 고슴도치 담요 안들고와서 후리스로 다리 따숩게 해서 부릉부릉 =3 포항을 지나 영덕을 지나 터널도 한 4개?5개?...,2020. 12. 22.
청송 가볼만한곳 1박2일 산소카페 청송군으로의 경북 힐링여행,#청송가볼만한곳 #산소카페청송군 #청송여행 #청송1박2일여행 #청송군 #경북가볼만한곳 자연을 노래하는 산소카페 청송군을 1박2일로 다녀왔습니다. 아무래도 짧은 일정이라서 많이 돌아보진 못했는데요. 그래도 그 중 경북 청송 가볼만한곳 베스트를 뽑아볼게요 :) 인물사진 좋아하시고 느리고 쉼이...,2020. 11. 6.
경북 청송가볼만한곳 산소카페 청송군 1박2일 여행코스,경북 청송가볼만한곳 산소카페 청송군 1박2일여행코스 나름 국내 구석구석을 돌아다녔다고 생각했는데 돌이켜보니 경북지역은 저에게 아직도 생소한데요 간혹 지역명만 듣고 거기가 어디지? 하는곳들이 있는데 저에게 경북 청송이 그 중 한 지역이였습니다 가을 사과철이 되면 생각나는 지역...,2020. 11. 12.
[청송 숙소] 경북 청송군 에어비앤비 후기 평점이 아주 좋은 숙소 방문기. (내돈내숙),경북 청송군 에어비앤비 평점이 아주 좋은 숙소 방문기 경북 청송군으로 아이들과 함께 겨울 여행을 떠났습니다. 눈 구경도 하고 좋은 숙소에서 많은 추억을 쌓고 돌아왔는데 1월 초 바쁘다 보니 리뷰를 다소 늦게 올립니다. 이곳은 에어비앤비로만 예약할 수 있는 숙소입니다. 일반적인 펜션이...,2021. 1. 31.
경북 가볼만한곳! 경북 청송군 병암서원과 지질공원의 또 다른명소 구천숲 병풍림,"경북 청송군 병암서원과 지질공원의 또 다른명소 구천숲 병풍림 경북 청송군 병암서원과 지질공원의 또 다른명소 구천숲 병풍림 영천 보현산 댐을... 아이들과 함께 우리나라 역사와 자연경관이 뛰어난 청송군 여행 어떠신가요? 경주처럼 많은 유적지가 있는 지역은 아니지만, 지역에서 가장...",2020. 12. 24.
경북 고유의 맛 탐방 청송군 가을단풍 여행코스 with 하이스토리 경북,"Chungsong 글, 사진, 영상 by 미스터트래블 청송군 가을단풍 여행코스 달기약수닭백숙 해성 - 주산지 - 송소고택 얼마 전 하이스토리 경북을 통해 경북 고유의 맛 탐방을 다녀오면서 곧 만발할 국내 단풍여행지를 다녀와 보았는데요. 아마 경북 단풍 명소로 손꼽히며, 곧 절정을 이룰 시기가 될 곳으로...",2020. 10. 23.
[경북 청송군] 계곡물소리 들으며 산책하기 좋은 /주왕산 국립공원,"청송군 도시 브랜드는 산소카페인데 맑고 청정한 자연과, 슬로시티로 쉼과 여유를 주는 곳이라고 하는데 힐링도시 인정이다 이번주말에 청송을... 꿀맛이당ㅋㅋ #청송여행 #경북여행 #주왕산 #청송가볼만한곳 #주왕산국립공원 #용추폭포 #용연폭포 주왕산 맛집은 요기 https://m.blog.naver.com...",2021. 6. 20.
"[경북_청송군] 청송여행, 소노벨 팜파티(with 팜파티아) _ 어느 날씨 좋은 10월 청송...",금요일은 제가 활동하는 <경상북도 관광공사 팸투어>가 있었고 주말엔 목포 여행이 있었거든요. 원래 목포는 한 달 전부터 예약한 여행인데 팸투어 일정이 잡히면서 본의 아니게 정신없는 주말이 되고 말았네요. 그럼에도 정말 좋은 시간을 보내 마음이 너무 행복하답니다. 그중에 팸투어로 다녀온...,2020. 11. 3.
