header,contents,date
"[지역N문화 테마여행] 경북 포항시 여행코스 :: 바다내음 느끼며, 포항","경북 포항시 여행코스 바다내음 느끼며, 포항 바다내음 느끼며, 포항 경북 포항시 *출처 : 한국관광공사 푸르른 바다 사이로 떠오르는 붉은 태양, 포항은 뭐니뭐니해도 일출 명소로 잘 알려져 있는데요. 일출을 시작으로 해양도시 포항의 매력을 보고, 또 맛보는 여행을 떠나봅니다....",2020. 11. 24.
"경북 포항시 남구 동해면 도구리 '도구 해수욕장' - 일출 풍경, 차박 여행",경북 포항시 남구 동해면에서 차박을 하기로 합니다. 길을 지나다 보니 해변에 차량들이 조금 모여있어 차박하기로 점찍어 두었습니다. '도구 해수욕장'입니다. 도착했습니다. 차량이 그래도 꽤 있습니다. 하지만 그렇게 붐비지는 않습니다. TV를 보다가 잠이 듭니다. 아침 햇빛에 눈을 뜹니다....,2021. 9. 30.
[2020타경3421] 경북 포항시 남구 연일읍 중단길4번길 <<포항공장경매>>,대구 경북 경매 권리분석에서 낙찰 입주까지 완벽처리 [ 포항시공장경매 ] 오늘의 명언입니다 : 여행과 변화를 사랑하는 사람은 생명이 있는 사람이다. - 바그너 오늘은 경북 포항시 남구 연일읍에 있는 공장 물건을 포스팅합니다. 2020타경3421 부동산임의경매사건이며...,2021. 6. 17.
"경북 포항시 죽도시장 ""용호횟집"" - 포항 여행에서 빠질 수 없는 죽도시장",이때까지 포항은 정말 셀 수 없을 만큼 갔었는데 저는 죽도시장은 난생처음 가봤네요 ㅋㅋㅋ 지난 주말에 떠난 애꼰이들과의 포항 여행에서 꼭... (•ε•；) 요 근래 지긋 지긋한 장마철이었잖아요 근데 딱 여행 간 날 날씨가 갰더라고요~ 이런 맑은 하늘이 너무 반가웠어요 ㅠㅠ 죽도시장...,2020. 8. 4.
[포항 숙소] 경북 포항시 발라스 게스트 하우스 추천.(내돈내숙),경북 포항시 발라스 게스트 하우스 강력 추천 (아침 조식과 분위기가 최고인 게스트 하우스) 경남 창녕 여행을 마치고 저녁 10시쯤 경북 포항에 도착했습니다. 고속도로를 운전해서 약 3시간 넘게 달려온 것 같습니다. 늦은 시간 포항으로 넘어온 이유는 내일 새벽에 호미곶 일출 사진을 찍기...,2020. 10. 17.
경북 포항시 자연이 주는 햇빛으로 꿈을 꾸는 공간 썬룸 시공,포항에 가시면 마지막코스로 꼭 한번 가셔서 따뜻한 커피한잔 드시고 예쁜 추억의 사진도 찍고 여행하면서 지친 피로감 싹~~다 풀고 오세요. 어린 아이가 살고 있는 주택의 썬룸을 설치함으로써 꿈을 꾸는 공간이 되었으면 합니다. @썬룸과전원주택 썬룸 디자인 @썬룸과전원주택 경북 포항시...,2020. 10. 24.
[사찰 탐방] 경북 포항시 운제산 오어사,이상은 '돌베개'에서 펴낸 《답사여행의 길잡이 8》에 나오는 오어사에 대한 서문이다. 오어사의 주변 환경과 역사를 간결하면서도 멋지게... 경북 포항시 오천읍 항사리에 있는 운제산 오어사 일주문 동자승으로 만든 오어사 경내에 있는 약수 오어사 응진전 오어사 산령각 오어사 경내 오어사...,2021. 2. 11.
[21-306 토지] 경북 포항시 장기면 창지리 계획관리지역 땅 65평을 1040만원에...,"16만원 경북 포항시 장기면 장지리에 있습니다. 동해안 바닷가에서 멀지 않은 곳입니다. 구룡포, 모포항, 백경오토캠핑장 등이 인근에 있습니다.... 여름철 바닷가 여행, 해수욕의 베이스 캠프로 만들어 보세요. 무엇보다도 매매가 총액이 작습니다. 부담없이 세컨하우스, 농막, 텃밭에 대한 꿈을...",2021. 6. 9.
"경북 포항시 맛집 / 가성비 좋은 한식뷔페 :: 8,500원 한식뷔페 ‘이뜨락’ 솔직후기!!...","포항여행에서 우연히! 방문하였던 가성비 짱짱! 맛도 짱짱!! 너~~무 괜찮은 맛집을 찾았어용ㅎㅎ 그래서 뒤늦게 포스팅을..헤헤 다양한 종류의 맛있는 한식이 푸짐하답니다!! 그럼 바로 보러가시죠!!! 경북 포항시 맛집 / 가성비 좋은 한식 뷔페 :: 8,500원 한식뷔페 ‘이뜨락’ 솔직후기!! 이뜨락 경북...",2020. 7. 15.
[경북 포항] 포항구룡포 일본인가옥거리 /포항시 남구 구룡포읍 구룡포길 145...,[경북 포항] 포항구룡포 일본인가옥거리 /포항시 남구 구룡포읍 구룡포길 145 (구룡포리 249-36) 여행지 : 포항구룡포 일본인가옥거리 주 소 : 포항시 남구 구룡포읍 구룡포길 145 (구룡포리 249-36) 누 가 : 바람 가족들 일 시 : 2021- 02 -13 호미곶에서 구룡포 간 해변을 따라 승용차로 달리면 바다 끝과...,2021. 2. 18.
"[경북 포항시] 포항 전 객실 오션뷰, 신축 풀빌라 A301 ""헤이미쉬 풀빌라""","주소 : 경북 포항시 북구 송라면 지경리 332-2 - 전화번호 : 0507-1312-9677 - 입실 : 15:00 ( ~ 20:00) - 퇴실 : 11:00 (물놀이는 22:00까지니 참고해주세요.) http... 맛있어서 여행갈 때마다 하게되네요. 저녁으로 고기와 술을 먹고 나서 또 물놀이 타임 ~ 풀빌라를 왔으면 뽕은 뽑고 가야지요 >,< 물이 따뜻해서...",2021. 6. 11.
삼형제횟집0542427170경북 포항시 북구 죽도 시장 길 37매일 0000 2400,좋았어요~포항여행 다음에도 다시오고싶어지는 곳이었네요~ 삼형제횟집0542427170경북 포항시 북구 죽도 시장 길 37매일 0000 2400 요 죽도 깨알 별미였음 셋트로 시키니 상다리 부러지게 음식이 나온당~~!이렇게 푸짐하게 해산물을 먹는게 오랜만이라 넘 기분이 좋았다예상 못한건 아니지만...,2020. 2. 28.
경북 포항시 남구 호미곶면 대보리에 있는 호미곶해맞이광장에 다녀왔어요 근처...,안녕하세요 이제 완연한 봄날씨예요 집에만 있기 너무 갑갑해서 나선 길~ #경북 #포항 으로 출발했답니다 도착한 곳은 #경북 #포항시남구 #호미곶면... 있죠 #제주도 여행때 못본 유채꽃을 여기 #포항 에서 보니 좋았어요 이제 진짜 봄이랍니다~ #포항 에 봄비가 내리던 날이었던지라 #바다갈매기 들이...,2020. 3. 23.
"경북 포항시 남구 구룡포읍 장길리 '장길리 복합낚시공원' 일출, 아침 풍경 - 차박 여행",경북 포항시 남구 구룡포읍 장길리에 '장길리 복합낚시공원'이 있습니다. 이곳에서 아침을 맞이합니다. 해가 뜨고 나서야 잠에서 깨어납니다. 뒤 트렁크 문을 열어봅니다. 와~ 밖으로 나섭니다. 장관입니다. 아마도 이것은 현실이 아닌 것 같습니다. 아직 잠에서 덜 깬 상태에서의 선 잠에서...,2021. 9. 24.
경북 포항시 구룡포 일본인 가옥거리 : 걷기 딱 좋은 곳,요 몇일 비가와서 축축하고 습하기도 하지만 날이 맑은 날이면 가벼운 마음으로 어디든 떠나고싶은 마음이에요 대한민국 구석구석 여행지 포항시 구룡포 일본인 가옥거리 추천해드려요! 걷기좋은 데이트 코스라고하네요~ 구룡포 일본인 가옥거리는 1883년 조선과 일본이 체결한 ''조일통상장정...,2021. 5. 18.
[1년 전 오늘] 경북 포항시 남구 효자동 효자웰빙타운SK뷰2차아파트 린나이...,1년 전 오늘 경북 포항시 남구 효자동 효자웰빙타운SK뷰2차아파트 린나이 친환경 가스보일러 RC510-32KF 설치 이웃님 들 반갑습니다 ~ ^^자이언트 보일러 입니다.오늘은 장거리 여행을 다녀 왔습니다.그것도 보일러를 설치하러 거기까지 다녀 왔습니다. 알고 지내는 인테리어 업체 관계자분의...,2021. 3. 12.
경북 포항시 / 수제버거전문점 호랑이버거,포장해서 그런가?? 세트 메뉴이어서 같이 나온 버거용 감자튀김은 괜찮았습니다. 호랑이버거 호랑이버거 포장한 호랑이버거III 세트 괜찮은 감자튀김 차 안에서 시달린 호랑이버거III #경상북도 #포항시 #호랑이버거 #호랑이버거III #양념치킨소스 #감자튀김좋다 #국내여행 묵찌빠의 꿈꾸는 Maraopla,2020. 8. 12.
[경북포항시흥해읍/맛집] 내 인생 최고의 물회 '해주부물회' *정확한 주소 설명,경상북도 포항시 북구 흥해읍 흥해로82번길 15 주소는 여기로 찍고 가셔야해요. 동남물회 자리에 '해주부물회'가 있습니다. 건물 고층에... 포항여행가시는 분들 웨이팅 1시간씩 하는 맛집 말고 '해주부물회' 꼭 가보세요. 후회 안하실거예요. 내돈내산!!!!!!! 매운탕 살짝 아쉽지만 맛있는 물회 잘...,2021. 6. 6.
경북포항시#인생샷#사진#데이트장소#여행#카페#카페더헤이븐#솔직한후기,포항에 카페가 정말 이쁜곳이 정말 많은데 많고 많은 카페중에 선택한곳은 커페 더헤이븐이라는 곳을 방문했습니다 방문하신분이 블로그 올리신분들은 사진찍기 정말 좋다 이쁘다 그런데 가격이 비싸다 하시는분이 많더라구요 저도 여자 인지라 .. 사진 찍는걸 좋아해서 비싸더라도 방문 해봤습니다...,2020. 8. 20.
[20-153] 경북 포항시 장기면 해안가 2015년 신축 102평 건물 60평 2층 목조펜션을...,"2015년 신축 2층 목조펜션 대지 102평 - 계획관리 건물 60평 총 9실 - 1층 방 5, 2층 방 4 일반식당 영업허가, 편의점(담배)등 가능 해병대 신병훈련, 해돋이, 피서철, 낚시, 여행객 등 고객 多 매매가 3억 9천만원[당초 5억에서 대폭 인하] 경북 포항시 장기면 해안가에 있는 펜션입니다. 동해안 해안을...",2020. 5. 26.
하옥계곡 경북 포항시 사계절 맑은 물이 흐르는 곳,"하옥계곡 경북 포항시 사계절 맑은 물이 흐르는 곳 포항시 최북단에 숨은 계곡으로 북으로 청송군 부동면과 영덕군 달산면, 동으로 영덕군... 문의 및 안내054-270-5837 주소경상북도 포항시 북구 죽장면 휴일연중무휴 #가족과함께 #관광지 #여름여행 #여름피서지 #여름휴양 #자연",2020. 12. 21.
[경북 포항] 연오랑 세오녀 테마공원 /포항시 남구 동해면 호미로 3012 (임곡리 123),[경북 포항] 연오랑 세오녀 테마공원 /포항시 남구 동해면 호미로 3012 (임곡리 123) 여행지 : 연오랑 세오녀 테마공원 주 소 : 포항시 남구 동해면 호미로 3012 (임곡리 123) 누 가 : 바람 가족들 일 시 : 2021- 02 -13 캐논 EOS 700D 18-135mm 영일만 이 한눈에 내려다보이는 포항시 동해면 임곡리에 위치한...,2021. 2. 14.
역사여행(포항시 남구),역사여행(포항시 남구) 장기읍성. 장기유배문화체험촌 장기읍성: 포항시 남구 장기면 읍내리 127-2 문의 054)270-2271(문화예술과) 고려 2년(1011)에... 장기유배문하체험촌:경북 포항시 남구 장기면 장기로 452 문의)054)276-5978 포항시 장기면 일대는 조선시대 선비 220여 명이 유배를 다녀간...,2021. 1. 8.
경북 포항시의 둘레길 코스,"호수 한 바퀴를 모두 걸어서 돌기에는 살짝 부담스러운 거리이긴 하지만,가가이로는 전망테크가지 잛게 다녀올 수 도 있으니 따스한 봄날 사찰과 함께 삼림욕을 즐기며 숲 속 길을 걸어보세요. 괜챦은 힐링 여행 코스랍니다 포항시 남구 오천읍 오어로 1",2021. 3. 14.
경북 포항시 북구 오도리 '오도리간이해수욕장' - 차박여행,경북 포항시 북구 오도리에 해수욕장이 있습니다. '오도리간이해수욕장'입니다. 갑니다. 도착하였습니다. '오도 주상절리'도 있습니다. 저기 보입니다. 등대도 있습니다. 갈매기들이 휴식을 취하고 있습니다. 주위에 월포해수욕장 이가리간이해변 칠포해수욕장이 있습니다. 모두 차박...,2020. 10. 20.
【경북 포항시 영어회화】 청송 ·영덕원어민영어/원어민일대일영어/포항 영어회화,여행영어 등등 체계적인 커리큘럼들로 완벽하게 준비되어 있습니다. 입밖으로 내지 않는 영어는 이제 그만~~ 원어민과 일대일 영어 맞춤수업으로 말이되는 말하는 영어를 하시면 됩니다. 이것이 최고의 최선의 방법입니다. 경북 포항 청송 영덕에 계신 분들 뿐아니라 영어회화/영어공부가 필요하신...,2021. 7. 31.
"[경북/포항시 효자동] 튀김이 맛있는 텐동집, 포항 순이",안녕~ 이알양이예요 :-) 5월 연휴에 시부모님과 영덕에 다녀오면서 지난 포항여행때 너무 감동깊게 먹었던 우동집을 가려고 다시 포항에 들렀어요 그.런.데.... 띠로리- 5월 말까지 쉬신다고.... 별 수 없으니 다음으로 기약하고 로니 점심시간 맞춰 이동한거라 근처에서 대충 먹기로 했는데 이미...,2020. 5. 21.
경북 포항시 남구 효자동 효자웰빙타운SK뷰2차아파트 린나이 친환경 가스보일러...,"오늘은 장거리 여행을 다녀 왔습니다. 그것도 보일러를 설치하러 거기까지 다녀 왔습니다. 알고 지내는 인테리어 업체 관계자분의 간곡한 부탁으로 왕복 3시간 30분 소요 되었네요. 기운 빠집니다. ㅋㅋ 그곳이 바로 포항 입니다. 약, 28년 만에 경북 포항시 에 제 기억으로는 친구녀석 해병대 (오천)...",2020. 3. 12.
경북 포항시의죽도시장 맛있는 물회집,"죽도시장에 가면 전복죽과 물뢰 등 포항의 별미가 기다린다.죽도시장은 포항 여행에서 빠뜨릴 수 없는 곳. 동해안 최대 규모를 자랑하는 상설 시장이자,경북과 강우너도 일대의 농산물이 집결,유통되는 요충지다. 1960년대까지만 해도 작은 시장이었지만 1970년대 초 포항제철이 들어서면서 대형...",2021. 3. 13.
[아빠의 산책+운동] 대한민국의 근대적 사방사업을 기념한 곳에서!!!(경북 포항시...,"이 사방사업이 시작된 지 100주년이 된 것을 기념하여 2007년 11월 7일 경상북도 포항시 북구 흥해읍 오도리에 개장했다고 합니다. 오도리 일대는... #포항볼거리, #코로나아이놀거리, #코로나아이볼거리, #포항걷기좋은곳, #포항사방기념공원, #사방기념공원, #포항여행, #포항가볼만한곳...",2021. 5. 15.
[포항 여행]초록초록 포항여행 필수코스 포항시산림조합 '숲마을' :: 포항 가볼만한곳...,지역주민들 뿐만 아니라 관광객에게 필수코스가 될 것 같은 포항 산림조합의 숲마을. 다음번에도 포항을 방문한다면 꼭 다시 올 생각입니다. 숲마을 경북 포항시 북구 흥해읍 새마을로 331-6 포항 여행지 더보기 이주미 경북여행리포터의 12월 취재기사입니다,2020. 12. 17.
일본인가옥거리 랜선빵캉스포항삼시세끼 경북포항시여행지코스맛집,3GO 포항 3GO 여행 편 ▶ <영일대 해수욕장> 주소 : 경북 포항시 북구 두호동 685-1 ▶ <내연산> 주소 : 경북 포항시 북구 송라면 보경로 532 ▶ <호미반도 해안둘레길 2코스> 주소 : 경북 포항시 남구 동해면 호미로2790번길 20-18 맛의 승부사 이 맛에 포항간다! 싱싱함을 담아낸 등푸른막회 편...,2021. 7. 13.
경북 포항시 : NEST( 네스트 코퍼레이션),"#경상북도카페#포항카페#카페#바다뷰카페#카페여행#카페가자 두둥!! 다섯번째 카페입니다!! 이번카페는 경상북도 포항시에 위치한 NEST 카페 입니다!!!! 끝까지 읽어주세여 좋아요도 눌러주세여,,ㅠㅠㅎㅎ ㄱㄱㄱㄱ~~~~~~ NEST 카페 외관 모습입니다!! 대박이죠?!?!?!? 사진실력이 엉망인데도...",2021. 4. 9.
[경북 포항시 여행] 호미곶 새천년기념관, ,2021. 7. 24.
[국내신혼여행]7번국도여행3-경상북도 포항시/ 구룡포 일본인가옥거리/ 동백꽃촬영지...,#국내여행#국내신혼여행#7번국도여행 7번국도 여행: 춘천 ➡️평창➡️포항➡️경주 ⬇️7번국도여행 1st - 강원도 춘천 포스팅... 구룡포 일본인 가옥거리 경북 포항시 남구 구룡포읍 구룡포리 구룡포 일본인 가옥거리에 도착을 했습니다!! 입구에서 사진 한 장 찍어주고요~ '동백이네 까멜리아...,2021. 9. 13.
경북 포항시 남구 구룡포읍 장길리 '장길리 복합낚시공원' - 차박 여행,경북 포항시 남구 구룡포읍 장길리에 '장길리 복합낚시공원'이 있습니다. 차박할 곳을 찾다 보니 이곳을 알게 되었습니다. 도착하였습니다. 차박위치를 정하기 위하여 주위를 살펴봅니다. 이곳이 적당하겠습니다. 왼쪽 방파제 너머로 파도 소리가 들려옵니다. 방파제 너머로...,2021. 9. 24.
송도해수욕장 가는 길 포항시 북구 해안둘레길 이름 응모하고 겨울 포항 여행은 덤으로,"윤보영[다행] 사진:포항시청 오늘은 포항시 북구 해안둘레길 명칭 공모전에 응모하고 겨울 포항 여행 떠나보아요. ↓↓↘응모는 여기로↙↓↓ ● 공모기간 : 2020. 2. 5(수) ~ 2. 11(화) ● 명칭형태 : 8음절 이내 한글 또는 영문 ● 접수방법 : 직접방문, 우편접수, 이메일 ● 우편 : 경북 포항시 남구...",2020. 2. 5.
경북 포항시 호미반도 해안둘레길 1~4코스,"안내 사인이 잘 만들어져 있어야 하고, 응급 상황이나 길을 잃었을 때 전화할 수 있는 전용 콜센터가 있는 길이라면 여행 편의성이 훨씬 높아진다. 경북 포항시 호미반도 해안둘레길 1~4코스: 경북 포항시, 총 25.4㎞, 6시간30분 호미반도 해안둘레길은 각 5~7㎞ 구간 4개로 나뉘어 있다. 그리 어렵지...",2021. 1. 12.
있겠지~포항항ꉂꉂ(ᵔᗜᵔ*) 더헤이븐 경북 포항시 남구 장기면 동해안로 3952-44 1,경북 포항시 북구 흥해읍 해안로 1804 까멜리아동백 경북 포항시 남구 해동로 47-2 곡강힐즈 경북 포항시 북구 흥해읍 칠포로 80-23 컴페니언 경북 포항시 남구 상공로 42 지하1층 소디스커피 경북 포항시 북구 삼호로 246 열두달봄 경북 포항시 북구 양덕남로 137 출처 : 여행여기서행복할것,2021. 6. 13.
경북 포항시(송도) : CAFFE.MOKAMBO (모캄보),#경상북도카페#포항카페#카페여행#카페추천#카페가자 자아!!!!!! 오늘은 바로 포항 송도해수욕장에 위치한 카페 모캄보 입니다!!!! 끝까지 봐줘여?!!!!!!!(살짝 협박 이랄까?ㅎㅎ) 카페 외관 모습입니다!!! 전체적인 색은 하얀색!! 그래서 그런건지 빨간색 포인트 간판 잘했네여!!!! 멀리서도...,2021. 4. 20.
[경북 포항시 여행] 송라면 지경리 해변, ,2021. 7. 5.
"경북 포항시 북구 오도리 '오도리간이해수욕장' - 차박여행, 일출 및 아침 풍경",경북 포항시 북구 오도리에 위치한 오도리간이해수욕장에서 아침을 맞이합니다. 여명이 밝아옵니다. 오도 주상절리도 환해지기 시작합니다. 평화 평화 그 자체입니다. 태양은 서서히 떠오르려 준비를 합니다. 주위까지 붉게 물들입니다. 갈매기들로 해맞이를 합니다. 비상하는 갈매기의 모습이 정말...,2020. 10. 20.
"경북 포항시 남구 호미곶면 '해맞이로 46번 길' - 파도, 경치가 아름다운 곳",경북 포항시 구룡포에서 호미곶으로 향합니다. 가는 도중에 경치가 너무 아름다워 길가에 주차를 합니다. 차에서 내립니다. 바람도 거세게 붑니다.... 파도와 하늘과 구름이 정말 아름답습니다. 하늘은 완전 쪽빛입니다. 정말 멋진 풍경입니다. 계획에 없는 멋진 여행이었습니다.,2021. 9. 29.
"경북등산명소, 가을등산, 가을여행 :: 경북 가을 등산하기 좋은 장소 5곳",문화재 구역으로 입장료를 내셔야 입장할 수 있습니다. 맑은 공기를 마실 수도 있고 경관을 여유롭게 즐길 수 있는 가벼운 등산은 몸과 마음의 건강에 아주 좋다고 하네요. 가벼운 등산 하기 딱 좋은 곳입니다. 1. 주소: 경북 포항시 북구 송라면 2. 전화번호: 054-262-1117,2021. 9. 29.
"꼭 가봐야 할 경북 여행 관광지 100선, 지금 여기 오면 상품은 덤!","놓칠 수 없는 경북여행의 즐거움, 경북에 오면 100가지 행운이 쏟아진다. 경상북도는 경상북도문화관광공사와 함께 7.15일부터 ‘경북관광 100선... 부탁드립니다 :) * 경북관광 100선 챌린지 투어의 자세한 내용은 아래 링크를 확인해주세요. 경북관광 100선 시군 관광 100선 포항시 (8) ∘포항운하...",2021. 7. 15.
경북 포항 당일치기 여행 구룡포 일본인가옥거리 근대문화역사 거리,구룡포 근대역사관 (054)276-9605 경북 포항시 남구 구룡포읍 구룡포길 153-1 10:00~17:30 (월요일 휴관) 무료 구룡포는 아홉 마리의 용이 승천한 포구라... 찾았던 구룡포 일본인 가옥 거리에 있는 구룡포 근대역사관입니다. #경북여행 #포항여행 #포항당일치기 #당일치기여행 #구룡포일본인가옥거리 #당일치기,2021. 9. 12.
포항 여행 코스 경상북도수목원 경북 가볼만한곳,포항 여행 코스 선택한다면 경북 가볼만한곳 강추합니다. 2.이가리 닻전망대 경북 포항시 북구 청하면 이가리 산 67-3 경상북도수목원에서 차로 20여 분 걸이 이가리닻전망대가 위치하고 있어 포항 여행 코스로 찾아보기 좋은 위치였어요. 포항 바다를 마음껏 볼 수 있으며 우리나라 동쪽 끝 독도를...,2021. 9. 24.
"경북 포항여행 가볼만한곳 갯마을 차차차 촬영지 구룡포 해수욕장, 호미곶","요즘 인기 있는 갯마을 차차차 촬영지 요즘 인기있는 갯마을 차차차는 촬영지가 경북 여행 가볼만한곳인데요 조금 더 있으면 구룡포 해수욕장 포항... 곳인데요 포항시에서 124억원을 들여서 조성을 한곳이라고 하더라구요 천년의 눈동자, 연오랑 세오녀상, 상생의 손은 육지위에 왼손이 있구요...",2021. 9. 12.
"경북가볼만한곳 포항여행 볼거리 추천, 새천년기념관 포항바다 조망명소","경북가볼만한곳, 경북여행 명소, 포항여행 명소를 찾고 있다면, 새천년기념관을 추천한다. 포항의 대표 명소, 호미곶 해맞이광장에 자리하고 있는... 1층은 포항시 관련 전시관, 2층은 포항바다화석박물관, 3층은 한국수석 포항박물관이 자리하고 R층인 옥상에는 멋진 전망대가 있다. 일단 호미곶...",2021. 7. 25.
[경북 포항시 여행] 포항 장사리 해변, ,2021. 5. 3.
[경북 포항시 여행] 포항 화진리 해변, ,2021. 5. 3.
[경북 포항시 여행] LoveBlanc, ,2021. 3. 31.
[경북 포항시 여행] 포항 북구 송라면 지경리 해변, ,2021. 2. 16.
"[경북 포항 핫플] ""더 헤이븐 카페"" 해외여행 대신 오션뷰카페",오션뷰가 한눈에 보이는 더 헤이븐 카페 요즘처럼 해외여행도 못 나가는 코시대에 동남아 느낌 물씬 느낄 수 있는 카페를 찾아 떠났답니다!!... 대박 너무 좋고 설레고 그래요 ㅋㅋ 카페 더헤이븐 경북 포항시 남구 장기면 동해안로 3952-44 영업시간 : 9:00 ~ 21:00 (last order 20:30) 문의전화 : 054) 286-5104...,2021. 5. 26.
"뚫리는 포항 크루즈 탑승기 :: 포항 가볼만한곳, 포항 운하관, 포항 크루즈 여행, 경북관...",[이용 정보] - 문의: 054-253-4001 - 찾아가기: 경북 포항시 남구 희망대로 1040 포항운하관 - 운영시간: 매일 10:00 - 18:00(승선권 발권시간) - 운항소요시간: 약 40분 - 무료주차장 포항운하관 크루즈 경북 포항시 남구 희망대로 1040 물관리센터 3층 포항 여행지 더보기 이지은 경북여행리포터의 7월...,2020. 7. 28.
