header,contents,date
"[광주여행]광산구 평동 ""시골밥상""시즌(2) - 생사의 갈림길에서 선택지는 바로 요기~","광주 광산구 평동의 맛집 시골밥상 부모님과 가족들과 찾아도 최고, 젊은 사람들이 먹어도 부담이나 거부감 없는 맛이라 생각함. 맛없으면 댓글에 욕해도 됩니다.... 욕 댓글 한번 보고 제가 지우겠습니다... 마지막으로 시간은 매일 아침 09:00~16:00 보리밥 가격은 8000원 전화 062)432-7934 일요일 영업은...",2021. 10. 4.
광주 광산구 월계동 / 라운지 OIC / 첨단지구 카페,"중앙에 모래가 깔려있고 나무와 물도 있다. 동남아 여행 온 기분이 든다. 와웅 일반 테이블석 외에 원형, 썬베드, 마루, 소파 등 구역마다 다양한 좌석이 있다. 사진에 다 담아지지 않지만 상당히 넓고 분위기도 좋았다. 광주 광산구 월계동 / 라운지 OIC / 첨단지구 카페",2021. 9. 22.
광주 광산구 북구 렌트카 승합차 가능하다,"일정을 꽉 채워서 광주 광산구 북구 렌트카를 이용하고, 안전하게 집을 돌아왔어요. 오랜만에 떠나는 여행이었는데 안전하고 재미있고 편안하게 다녀올 수 있어서 너무 기분이 좋더라고요. 그렇게 멀리 가지도 못하고 가볍게 기분 전환하는 정도였지만 제대로 삶의 활력을 충전할 수 있었답니다.",2021. 7. 12.
수완맛집 광주 광산구쌀국수 맛있는곳 퍼땀,"흐흑 여행가고시푸다 하지만 사실 위생상태 살짝 걱정되는 베트남ㅎㅎㅎ 거리에서 ㅎㅎㅎ 먹눈 것보다 이렇게 깔끔하고 쾌적한 곳에서 먹는... 광산구쌀국수맛집 #광주광산구맛집 여러분의 공감과 덧글은 큰 힘이되어요❤️ 읽어주셔서 감사합니다. ※사진,포스팅 불펌 절대 금지 Copyright ⓒ2021...",2021. 6. 13.
광주 광산구 카페 첨단 oic 한국에서 동남아를 즐길 수 있는 곳,안녕하세요 :) 요즘 광주 광산구 카페에서 핫한 첨단 oic 오픈하기 전 부터 어떤 어마어마한 곳이 생기려나 궁금했던 곳 중 하나인데 광주에 이런 이국적인 곳이 생길 줄은 꿈에도 생각 못 했네요 ㅋㅋㅋ 요즘같은 코시국에 해외여행 못 나가서 아쉬우신 분들 한국에서 동남아를 잠시나마 즐길 수...,2021. 9. 16.
"[광산구 여행]광주는 무등산, 광산구는 어등산!!","#광산구 유명한 산은 #어등산!! 광주여자대학교 근처에서 등산을 시작!! 송산유원지 근처에서도 올라갈 수도 있답니다. (송산유원지 코스 부분 알고싶거나 석봉 사진 보고 싶다면 뒤로가기!!) 광산구 살면서 처음 어등산 와보네요~~ 한말 호남의병 어등산 전적지 1908년 4월, 김태원, 김율 의병장 등...",2020. 4. 16.
광주 광산구 마사지 뭉친곳 푸는 첨단 마사지 참손,명절이 껴있으면 여행을가거나 집안일 혹은 제사 운전등으로 몸이 뭉칠때가 많이 있죠. 그럴때 추천드리고싶은게 바로 마사지인데요. 이번에 광주 광산구 마사지 잘하는곳이 있다해서 첨단으로 날라갔습니다. 저는 뭐 항상 어깨나 이런곳이 뭉쳐있기때문에 이렇게 남의 손을 빌려 한번씩 풀어줘야...,2021. 9. 21.
광주 야간 여행 코스 광산구 소셜지기단 추천 수완호수공원 방문 후기,광주 야간여행 코스 광산구 소셜지기단 추천 수완호수공원 방문 후기 안녕하세요. 오늘은 광주 야간여행 코스로 광산구 소셜지기단이 추천하는 수완호수공원에 대해 이야기해보도록 하겠습니다. 수완호수공원은? 호남에서 최대 택지지구인 광주 수완지구의 중심에는 수완호수공원이...,2021. 5. 30.
<문화따라 광주 여행> 광주 광산구 여행 : 물길따라 걷는 산책길,광주광역시 광산구 : 물길따라 걷는 산책길 찾아가기 #광주관광재단 #광주광역시 #광주 #광주관광 #광주여행 #광주가볼만한곳 #광주나들이 #광주여행코스 #광주광산구 #광주광역시광산구 #풍영정천 #원당산 #원당산공원 #수완호수공원 #원당산청소년문화의집 #수완지구,2021. 2. 16.
광주 광산구 맛집 쌍교숯불갈비 송정점 떡갈비 먹고옴,그 유명한 쌍교숯불갈비를 광주에서도 맛볼수 있게 되었습니다 광주 광산구 맛집 송정 떡갈비 맛있는 곳 소개시켜드릴게요. 역시 입소문난 곳은... 하늘 좀 보세요^^ 집에서 좀 먼곳이라서 여행온 기분도 났습니다. 이렇게 큰 건물이 있으리라곤 몰랐는데~ 단체회식장소로도 좋을거 같아요....,2021. 3. 27.
