header,contents,date
광주 남구여행 물빛공원에서 힐링하기,"광주 남구 여행을 계획하고 있다면 이쁜 그림이 넘쳐나는 공원에서 힐링의 시간을 가져보시기 바랍니다. 산책을 즐기면서 걷다보니 바로 옆에 치매예방수칙이 나옵니다. 요즘 치매가 할아버지, 할머니에게 나타나는 현상이 아닌 우리들에게도 나타날 수 있는 사회적인 현상이라고 합니다. 시대가...",2021. 8. 31.
[광주 여행]남구 제석산 구름다리 - 남구의 허파 허파 허파 숨차다...,"수고했어 힘들었지..."" , 24시간 위기상담 전화번호, 자살예방 상담전화, 광주 남구 정신건강 복지센터..... 뭐지 하는 궁금증에 좀 인터넷을 뒤져보니 제석산 구름다리에서 자살 사고나 자살 시도 가 잊을만 하면 발생해서 저런 용기의 물약을 제공하는것 같다. 그리고 드디어 제석산 구름다리를...",2021. 10. 2.
제주도 감성의 스콘 맛집 광주 남구 카페 아르티오,"다양한 스콘을 만날 수 있는 카페 아르티오 안녕하세요~ 라이크윤입니다^^ 오늘은 주황색 벽이 매력적인 광주 남구 카페 아르티오를 소개해드릴까... 코시국으로 여행을 자주 못하는 분들을 위해 요즘에는 제주 감성, 동남아 느낌의 인테리어가 많이 보이던데, 이쁘기도 하고 여행에 대한 목마름이...",2021. 10. 10.
"[차박여행 Day3,4 - 남해 러닝 / 광주 호랑가시나무언덕 게스트하우스 / 광주남구 맛집]",비예보에 차위에 올려둔 자전거가 걱정이었는데 게하 사장님이 기꺼이 창고에 보관해주셨다 ♥ 맛집도 친절히 알려주시고 너무 친절하셨던 사장님 광주에 대한 좋은 기억만 생겨버림 ♥ 다음에 기회가 된다면 또 가야지 길고길었던(?) 4박 4일 5월 연휴 여행 끝 ♡,2020. 6. 25.
호평했던 광주 남구 맛집 코벤트 마켓,"친구와 진짜 진짜 진짜 오랜만에 1박2일 여행 다녀 왔어요. 광주에 사는친구가 초대를 해서 다녀왔답니다.미술선생님을 하다가 은퇴한 친구예요.... 주문을 하려고광주남구 맛집 메뉴판을 보니 피자, 파스타, 리조또 등 다양한 메뉴가 준비되어 있었는데요. 가격도 부담스럽지 않아 이것저것 주문을...",2021. 8. 27.
"세계일주강연, 광주남구생활문화센터, 여행 강의","세계일주강연, 광주남구생활문화센터, 여행 강의 2021년 두 번째 강연을 진행했습니다. ^^ 이번에도 역시 광주에서 기회가 주어졌네요. 광주남구생활문화센텅서 저녁 시간에 했습니다. 참석하신 분들은 대부분 성인이었습니다. 여행 없는 시대에 여행을 이야기 하는 것 마스크 때문에 표정을 제대로...",2021. 5. 31.
광주 남구 봉선동 맛집 제주생갈비,구워서 같이 먹었는데 이 집 묵은지도 찐이에요 구워서 먹으면 더 맛있는 묵은지 맛이었답니다!!! 흰 밥에만 올려먹어도 맛있고 고기랑 즐기면 맛은 두배! 제주도 여행갔을때 먹었던 고기보다 더 맛있게 먹었을 정도로 맛있게 먹고 온 광주 남구 봉선동 맛집 제주생갈비 찐 고기맛집 인정합니다 캬캬 ><,2021. 6. 22.
양림역사문화마을 / 양림쌀롱 여행자라운지 / 현완단겸 상추튀김 / 광주남구 평화의소녀상,2020년 8월 15일 토요일 뚜벅이의 나홀로 광주여행 1일차 ④ 광주 양림역사문화마을 / 양림쌀롱 여행자라운지 / 현완단겸 상추튀김 역사문화마을... 현완단겸상추튀김 만화도 재밌었다 먹다보니 생각보다 배가 불러서 세점정도는 아쉽지만 남기고 ㅠㅠ 다음 행선지로 고고 #광주남구평화의소녀상...,2020. 8. 17.
광주 나들이 / 남구 승촌보 / 드라이브 여행 / feat. 캠핑 축구 자전거 모든지 가능,영산강이 흐르는 모습을 보면서 드라이브도 하고 수풀이 어루어진 잔디밭을 거닐면서 묵은 마음들도 털어내고 리프레쉬 할 수 있었어요 담주엔 부모님 모시고 갈꺼에요 :) 광주 나들이 / 광주 근교 여행 / 드라이브 승촌보 / 영산강 / 자연명소 / 힐링 코로나에서 벗어나기 / 광주 남구 광주캠핑...,2021. 4. 26.
"후기 ♡ / 봉선동마사지, 광주마사지, 광주남구마사지, 광주건전마사지, 광주여행",봉선동 마이타이에서 타이마사지 받고 왔어요~ ᕕ( ᐛ )ᕗ 봉선동 마사지 잘하는 곳 마이타이 위치는 광주 남구 봉선중앙로 57 봉선동 삼익사거리 정류장 앞 사계진미 건물 2층입니다 봉선지웰아파트 건너편이고 봉선동 우체국 사거리와 가깝습니당 마사지 받은지도 꽤 되었고 몸이...,2020. 2. 24.
