header,contents,date
[광주 여행] 동구 광주영상복합 문화관(광주폴리 2) - 최고의 데이트 장소와 야경이...,여행과 관련된 케릭터나 관광상품 개발과 관련된 콘텐츠 제작 이런것... 관심이 무진장 많은데.. 역시 시간이 항상 없어서 문제이다. 그리고 6층에... 마무리 정리 광주 동구 광주영상복합문화관에 오면 6층에서 독립영화도 관람하고 옥상에서 광주 뷰 폴리 와 함께 무등산과 광주시내의 멋진...,2021. 9. 21.
광주 동구여행 싸목싸목 도심속 시간여행,그리고 밤이되면 예쁜조명이 불을 피운다고하니 광주 동구여행객들이 낮뿐만아니라 밤에서 산책하러 오기 좋은곳입니다. 국립아시아문화전당 ACC 아시아 과거 - 현재 문화예술과 혁신적 아이디어가 만나는 국제적인 예술기관이면서 518민주화운동의 인권과 평화의 의미를 예술적으로...,2020. 6. 27.
전일빌딩 광주 동구 나홀로 여행,저는 처음봤던 승강기라서 한참을 둘러본것 같습니다. 전일빌딩245는 관광지로써 부족함이 앖었고 쟁애인을 위한 보이지 않는 인테리어도 높은점수를 주고싶었습니다. 광주 동구여행을 계획해ㅗ 있다면 꼭 방문해보시기 바랍니다 광주여행 장애인과 함께 하는 여행 공존하며 함께 살아가는 세상,2021. 8. 14.
[광주여행] 광주 동구 산책,광주 동구에 있는 지하철역 '문화의전당역' 근처에는 불과 몇 백 미터 반경에 종일 다녀도 지루할 새 없는 핫플레이스들이 가득하다. 우선... 그래도 아닐거야...하고 들어갔지만 걷기 여행 중 일반 모텔 수준보다 훨씬 좋은 환경이었다. 룸이 깨끗한 것은 물론이고 각종 비품이나 전망도...,2021. 7. 16.
광주 동구 동명동 데이트 맛집 - 까라벨라 데오로에서 스페인 여행 함께 할래?,광주 동구 동명동 데이트 맛집 '까라벨라 데 오로'로 스페인 여행 함께 할래? 광주 동구 동계천로 131 2층 여행을 가고 싶어 미치는 요즈음. 광주에도 스페인음식을 전문으로 하는 곳이 있어 마주 멤버들과 다녀왔어요. 저는 예전에 가본 적 있는 까라벨라 데 오로. 마주 멤버들은 광주도...,2021. 9. 20.
광주 동구 문화마실 투어,"도심속 시간여행 ' 동구는 작은 광주라고 할수 있는 역사도시로 볼거리 가득 합니다. 도심속에서 찾은 시간여행. 색다른 경험이라 흔적 남겨 봅니다. 광주의 역사를 둘러보는 동구 문화마실투어는 전일빌딩245를 시작으로 비움박물관, 증심사, 미로센터를 둘러보는 일정으로 매월 토요일마다...",2020. 6. 20.
광주 동구 여행 놀거리&맛집(겹벚꽃보며 모노레일타자),#광주#동구#충장로#민속촌#불사리#무등산 모노레일#지산유원지#미미원 2020년 5월 광주는 동구/서구/남구/북구로 나눠질만큼 커서 이번에는 동구만 여행을 했어요. 동구의 중심 충장로는 명동과 비슷한 느낌의 거리에요. 로드샵 등 쇼핑하거나 놀기 좋아요. 광주를 여행하면서 재밌던건 서울과 달리...,2021. 2. 19.
[5월 10일] 광주 동구 주간 뉴스,"지난 3일 광주 동구 전담여행사 위촉식과 함께 체험·체류형 관광상품, 야간관광상품 개발을 위한 관광자원 팸투어를진 행했는데요. 팸투어는 국립아시아문화전당, 동명동 카페거리, 전통시장, 무등산국립공원, 지산유원지 등을 둘러보며 동구만의 특색있는 관광자원을 발굴하는데 초점이...",2021. 5. 11.
[여행후기]_광주 동구_지산유원지#2,#광주 #광주가볼만한곳 #광주데이트 #광주모노레일 #무등산모노레일 #지산유원지 #광주핫플레이스 #광주관광 지산유원지 광주광역시 동구... 저는 원래 도시 번화가 여행보다 이런 힐링여행을 더 좋아하거든요. 전라도에 가시게 된다면 꼭 들러보세요. #강추여행지입니다. 자연 그 자체입니다....,2021. 9. 23.
workation 광주 - 광주 동구에서 보낸 평화로운 일주일,"workation 광주 - 광주 동구에서 보낸 평화로운 일주일 광주 동구 여행에서 놓치면 안 되는 것 새로운 상상, 국민의 철도 플랫폼 SR 1. 광주폴리 새로운 상상, 국민의 철도 플랫폼 SR 폴리(folly)란 사전적 의미는 본래의 기능을 잃고 장식적 역할을 하는 건축물을 뜻한다. 광주 시내 곳곳에서는 총 30여...",2021. 8. 11.
