header,contents,date
광주 북구여행 청풍지구 탐방지원센터 백일홍 풍경,광주 북구여행 중 청풍 지구는 사계절 다양한 모습을 보여주는 쉼터입니다. 봄에는 청풍지구까지 오는 벚꽃길이 아름답고 여름에는 백일홍 풍경이 광주시민들의 기분을 기쁘게 해줍니다. 백일초는 다른 이름을 가지고 있는 백일홍은 높이 60~90cm로로 잎은 마주나고 달걀 모양을 하고 있습니다....,2021. 7. 31.
광주 북구 여행 추천 예향 코스 광주시립미술관 역사민속박물관 국립광주박물관...,"이상 우대고객 면제 면제 1,500 경로우대자 : 65세이상 우대고객 : 6세 이하, 국가유공자, 장애인, 기초생활수급자 중증장애인 : (1~3급) 동반보호자 1인은 무료 중복할인 불가 글, 이미지 출처 : 광주북구문화관광 네이버 체험교육정보 카페 광주전남체험학습 바로가기 http://cafe.naver.com/kjkidstudy &",2021. 4. 8.
"광주북구여행, 광주호호수생태원 후기","이번 광주북구여행으로 색다른 곳을 다녀 왔는데요~ 바로 이 곳은 도심 속의 자연 학습의 장인 광주호호수생태원이라는 곳입니다 고아주호 호숫가 인근에 있는 곳으로 잔디휴식광장, 자연관찰원, 수변 습지 등 테마별 단지로 조성 되어 있는 곳이랍니다 접근성도 좋고 무등산이 펼쳐져 있는 뷰까지...",2021. 6. 27.
[ 광주 북구 - 여행지 / 자연관광 ] 문화근린공원,"[ 광주 북구 - 여행지 / 자연관광 ] 문화근린공원 ■ 답사 기준일 : 2021. 02. 09. (화) ■ 인근 관광지 추천 : 전남대학교 박물관, 봉산공원, 광주문화예술회관, 중외공원 산책로, 광주민속박물관, 국립광주박물관 등이 있음. 1) 기본정보 - 주 소 : 광주 북구 대천로 86 - 지 도...",2021. 2. 17.
'광주 북구청' 개청 40주년 기념 - 추억으로 떠나는 북구 여행 1(feat. 국립광주박물관),"광주 북구청 개청 40주년 기념 추억으로 떠나는 북구여행 1 feat. 국립광주박물관 국립광주박물관은 1978년 개관 이후부터 지금의 자리에서 다양한 전시와 교육을 통해 광주·전남 지역의 전통문화를 알리고, 지역민의 문화 복합 공간의 역할을 이어 오고 있는 곳으로, 호남지역 첫 박물관이자 우리...",2020. 9. 23.
<문화따라 광주 여행> 광주 북구 여행 : 초록신사를 만나는 산책길,광주광역시 북구 : 초록신사를 만나는 산책길 찾아가기 #광주관광재단 #광주광역시 #광주 #광주관광 #광주여행 #광주가볼만한곳 #광주나들이 #광주미술관 #광주북구 #광주광역시북구 #용봉초록습지 #광주비엔날레 #디자인비엔날레 #비엔날레 #광주시립미술관,2021. 2. 15.
[광주 여행] 아기랑 함께한 북구 문화 센터 양산도서관 방문 후기!,"오늘 소개해드릴 국내여행지는 전남 광주의 북구 문화센터, 양산도서관이에요❤ 오늘은 도아를 데리고 최근에 개관한 광주 북구 문화 센터(북구 양산도서관)를 다녀왔어요. 사실 짝꿍이 먼저 도아를 유모차에 데리고 출발했었는데, 집에서 20분 정도 걸렸다고 하더라구요. 바로 옆에 양산제도...",2021. 3. 17.
[광주 여행] 북구 무진고성지 - 광주의 옛성터(광주 전망 좋은곳) 그리고 충민사,충민사는 광주 광역시 북구 화암동에 있는 사당으로 정묘전쟁때 평안남도 안주성 전투에서 전공을 세우고 순국한 전상의 장군을 모신 사당이다. 안주성에서 전사한 전상의 장군을 출생지인 이곳 광주까지 옮겨와 국장인 예장(세자.세자빈 급)으로 장례를 치렀다고 한다. 그런데 코로나로 임시 폐쇄...,2021. 10. 7.
광주여행 숙소 추천 북구 용봉동 오션호텔 조식 너무 좋네요,#광주숙소추천 #광주호텔 #광주조식호텔 #조식 #광주여행 #광주모텔 #광주숙박 #광주북구호텔 #오션호텔 #용봉동 #광주출장 #광주저렴한숙소 #가성비숙소 광주 여행&출장 숙소 추천 '오션호텔' 지난 7월 4일과 5일에 광주광역시로 업무차 출장을 다녀왔어요 요즘 광주 갈 일이 자주 있어서 이제 조금...,2021. 7. 28.
[맛집여행]광주 북구 옛날짜장 옛날중국집 아서원 이 가격 실화인가요?,#아서원 #광주아서원 #광주중국집추천 #광주북구중국집 #광주옛날짜장 #광주북구아서원 #광주옛날짜장면 #광주옛날짜장면파는곳 #오늘점심추천 김오빠는 입이 좀 까다로운 편인데 얼마전부터 옛날짜장면 옛날탕수육을 노래를 부르던 사람이다.. 그래서 광주의 이곳저곳을 엄청 찾다가... 중국요리...,2021. 9. 27.
추억여행 전남대 후문 맛집 양념 삼겹살 * 광주 북구 용봉동 동산 회관,"추억여행 가보아욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 매일 : 11시 ~ 22시 첫째, 셋째 월요일은 정기휴무 오후 3시 ~ 4시 30분 브레이크 타임(주말 제외) 062-265... #광주맛집 #광주북구맛집 #광주전남대맛집 #전남대맛집 #전대맛집 #전대후문맛집 #전대후문 #북구맛집 #광주동산회관 #동산푸드",2020. 12. 18.
광주북구카페 신상카페 고은,아마 해외여행 못간 후유증인가욤^^ 하와이~~가는거 아니니 이거입고^^백화점 편집 디자이너 브랜드 를 저렴히 구매가능하다는거~~~ 오늘도 우린 열심히 옷 구경 한듯~~ 광주북구카페 신상카페 고은 가면 이렇게 차도 마시고 아래 내려와 옷 구경도 할 수 있답니당!!! 편하게 구경하니 좋더라구요!!!...,2021. 4. 24.
♡흙꽁이 여행가요~ 광주전남지부 북구지회 용봉천정화활동^^,"흙꽁이여행가요 봄기운이 완연한 4월~ 전국 하천 25곳에 13,800개의 EM흙공을 투여될 예정이라고 합니다~ 우와~^^ 지구의 날(오는 4월 22일)을 맞아 전국적으로 우리 하천 살리기 '흙꽁이 하천으로 보내기' 행사를 펼칠 예정입니다 우리 빛고을 광주에서도 4월 4일 일요일 북구지회에서 흙꽁이도 만들고...",2021. 4. 5.
