header,contents,date
"전라도 광주여행, 광주 서구 상무지구에서 광주종합버스터미널 가는 거리풍경...","롯데마트 상무점 이벤트홀 광주광역시 서구 광주서구 8경이다. 요즘 전국 어느지역을 가나, 공사장에는 그 지역 8경,10경등등 홍보가 많다.이번여행에서 두곳은 다녀왓네요 상무대 표지석이다. 벤틀리프리미엄비즈니스호텔 카페 이쪼, CAFE IZZO 야자호텔 그랜드오픈, 요즘 국내여행을 다니다보니...",2021. 10. 8.
[광주 여행] 서구 상무 518자유공원 - 태진아 선생님의 미얀 미얀마~ 미안 미안해~,518 광주 민주화를 연상케 한다. 씁쓸한 마음(?)이 드는게 약간 오바한 표현일수 있겠다. 아무튼 그래서 오늘은 광주 서구 상무지구 있는... 만약 광주여행을 계획하고 있다면 상무 5.18자유공원을 그 코스에 꼭 집어 넣길 권하고 싶다. 시간이 다 되어 얼른 가봐야 겠다.....,2021. 3. 13.
광주 서구 금호동 술집 - 모토이시에서 야끼니쿠 먹으며 공짜로 일본여행 하기,광주 서구 금호동 술집 '모토이시'에서 야끼니쿠 먹으며 공짜로 일본여행 하기 광주 서구 금화로85번길 4-6 안녕하세요. 헤이즐이에요. 월요일 대체휴무일로 헤이즐은 너무 신나있는데요.! 오늘은 이웃님들과 함께 일본 감성이 가득한 호주산 와규를 사용한 야끼니쿠 전문점인 모토이시를...,2021. 10. 3.
청춘발산마을 젊은 청춘들의 열정을 응원! 광주서구여행,광주에서 꼭 가봐야 하는 곳을 알려주라고 하신다면 광주서구여행 중 청춘발산마을 추천드리고 싶습니다. 이곳은 젊은 청춘들에게 응원을 해주기 위해서 만들어진 장소이자 도시를 활기넘치는 장소로 만들기 위해서 재개발이 몇년간 진행된 장소로 도시재생사업의 모범적인 장소로 인정을 받고...,2021. 6. 30.
(광주 서구 / 용두동 지석묘) 광주광역시에서 만나는 지석묘. 고인돌을 만나러 가는...,"광주 서구 여행을 마치고 저는 광주의 중심 쇼핑거리인 충장로로 왔습니다. 저는 광주에 오면 꼭 이 충장로는 한 번쯤 걷고 갑니다. 여기에 와야 광주에 온 것 같은 느낌이 들더군요. 그리고, 이곳에서 빵 하나는 사 먹어줘야 미션을 해결한 것 같은 쾌감을 느끼게 되는데요. 바로 광주의 대표적인...",2021. 10. 10.
광주 서구 마사지 가온뷰티라인 전신관리 감동,광주 전신관리 잘하는 곳에서 감동 서비스 받고왔어요 광주 서구 마사지 중 이렇게 꼼꼼히 긴 시간 해주는곳 첨 봤어요 서구 유촌동에 있는... 사실 여행 갔을때나 한번씩 받는 그런 힐링 코스였는데 임신과 출산을 겪으면서 부종이 어마어마하게 생기고 몸이 전체적으로 다 망가졌을때 꾸준히...,2021. 8. 13.
[우리 기억 속의 서구] 광주시장을 아시나요,서구의 옛 모습을 사진으로 찾아보는 우리 기억 속의 서구 광주 100년 사진을 보다 우연히 보게 된 서구의 사진들! 추억을 불러일으키는 옛 사진! 옛날 갬성 소환 여행! 그 세번째는 ‘광주시장(光州市場)을 아시나요’ 입니다. 1940년~1960년대 양동시장의 모습입니다. 옛날엔 양동시장도 시골...,2021. 10. 6.
[광주맛집/서구소고기집] 일본여행 갬성 느끼며 와규 와구와구 먹은 금호동 소고기 맛집...,평소에 웨이팅이 많다고하니 ⭐네이버예약⭐하고가쎄유 코로나라서 해외여행은 꿈도못꾸니.. 여행기분이라도 느껴봅시닷ㅠㅠㅋㅋㅋ 입구부터... 1장제공 #광주맛집 #광주서구맛집 #광주금호동맛집 #광주소고기맛집 #금호지구맛집 #금호지구소고기 #금호동소고기 #금호동술집 #와규맛집...,2020. 11. 22.
광주서구 여행 세동마을 서창한옥문화회관,거사 야은 김용훈선생을 기리는 사당인 야은당과 서창향토문화체험관이 자리하고 있어 역사와 전통을 존중하고 이를 지키기위해 주택 이외 어떤 건물도 건축할수 없음을 마을 총회 의결로 회칙에 기록하였음을 알림니다. #광주서구 #광주서구여행 #세동마을 #서창한옥문화회관 #서창향토문화마을,2020. 4. 25.
제과기능사 필기 합격! 광주서구제과제빵학원에서 제과자격증 준비해요,"#제과기능사필기 #합격수기 #광주서구제과제빵학원 제과기능사 필기 합격했어요:-) 얼마전 필기 불합격 수기를 올렸었는데, 오늘은 합격 소식으로... 방학+여행+일 등에 밀려 이번에도 시험전 벼락치기로-;; 그래도 기출문제집에 있는 기본 이론들은 전부 한 번 읽고, 노트 정리 했습니다 개인적으로...",2021. 8. 9.
광주 서구 가을꽃 구경 랜선 타고 온라인으로 찾아갑니다.,수 있는 환경을 아름답게 채워주며 지친 마음을 위로해 줄 수 있는 꽃과 나무가 가득 담겼네요. #광주광역시서구 #광주서구 #서구프렌즈 #상무화훼단지 #가을국화 #가을꽃 #서양란 #핑크뮬리 #광주여행 #광주가볼만한곳 #우리동네이야기 #분재 #광주꽃구경 #광주서구여행 #가을꽃보고싶어요 #국화 #분경,2021. 10. 1.
광주여행.야경이 멋진 풍암호수공원 (광주서구제3경 관광명소),광주 여행 중. 광주 서구 에는 좋은 곳이 많습니다. 광주 서구에서 유명하고 관광지인 8경은 제1경 만귀정 (지난번 다녀옴) 제2경 금당산 제3경 풍암호수 (소개예정) 제4경 서창들녁 낙조 (시간이 안맞아 못봄 ㅜ.ㅜ) 제5경 용두동 지석묘 제6경 양동시장 제7경 운천사 마애여래좌성 제8경 5.18기념공원...,2021. 4. 30.
[맛집여행]광주 서구 상무지구 인도식당 인디 Indy,#광주인도식당 #광주탄두리치킨 #상무지구인도식당추천 #광주인도식당추천 이번주 말고 지난주 화요일에 피부과에 얼굴 치료 받으러 갔다가 생각보다 빠른 치료에 외식을 도즈언 하고자 피부과 근처에 있는 인도식당 인디를 갑니다. Indy 인디 라는 이름이구요 광주 상무지구에 위치해 있어요. 예...,2021. 4. 17.
[광주 여행] 서구 2경 금당산 옥녀봉 - 원광대 한방병원에서 속보로 옥녀봉 깃발 꽃기....,바로 원광대 한방병원 옆에 떡~ 하니 자리잡고 있는 광주 서구 8경중 제 2경인 금당산에 눈길이 간다. 틀림없이 나를 유혹하는 것이였다.... 금당산의 금당은 불교에서 본존불을 모신 집을 뜻한다. 산 이름에서 풍기는 포스가 남다르지 않은가??? 본존불을 모신 산 풍수지리적으로 옥녀봉등 음기가...,2021. 6. 14.
광주 벽화 여행. 서구 금호중학교 담장 벽화,"금호중학교 벽화를 보고 있으니 맑고 밝은 심성이 우러나는 것 같은데요, 거리도 꽤 길어서 기분 좋은 감성을 오랫동안 간직할 수 있었습니다. 금호 1동에 가시거든 꼭 금호중학교 담장에서 소소한 행복을 누려보시기 바랍니다. #광주벽화 #광주서구벽화 #금호중학교벽화 #광주서구여행",2020. 9. 15.
