header,contents,date
"[대구 남구 팸투어] 맛과 멋이 가득한 대구 남구 여행 :: 앞산 케이블카, 아눅 앞산...",٩꒰⍢ ꒱۶⁼³₌₃ 앞산 케이블카 대구 남구 여행의 첫 행선지는 바로 대구의 대표적인 도심 속 자연공원인 앞산 공원에 자리하고 있는 앞산 케이블카입니다. 하부 산록승강장에서 케이블카를 타고 올라가다 보면 산정승강장에 다다르게 되는데요. 현재는 앞산 전망대 리모델링으로 인하여...,2021. 10. 7.
아는 사람은 다안다는 대구 앞산맛집 앞산주택(대구 남구 맛집/대구여행 맛집/대구...,대구 앞산맛집 앞산주택(대구 남구 맛집/대구여행 맛집/대구 파스타 맛집/대구 소개팅 장소 /대구 앞산데이트/대구 앞산 카페거리 맛집) 이날은 마침 돌잔치가 있었는데 저희는 그시간전에 도착해서 먹을수 있었어요. 포토존도 있고. 요거는 원래있는 포토존 인지 돌잔치때문에 있는건지...,2021. 2. 23.
대구 남구 맛집 국밥 본연의 맛을 즐겼어,며칠 전에 친구랑 타지로 여행을 갔다가 어제저녁 늦게 돌아왔어요. 저희 동네에 도착한 시간이 9시쯤 이었는데 저녁 먹고 헤어지는 게 좋을 것 같아 대구 남구 맛집에 국밥 먹으러 갔어요. 다행히 그때까지 영업을 하고 있더라고요. 제가 간 국밥집 어땠는지 지금부터 보여드릴게요. 대구 남구 맛집의...,2020. 12. 2.
[대구여행] 대구 남구 대명동 빨래터 공원 앞산 해넘이 전망대에서 여름나기,대구 남구의 좋은 관광자원이 될 거 같네요 온 김에 걷기 운동도 하고 짧은 시간 알차게 보낸 거 같습니다 이만 마칩니다 봄이 얼마 전에 온 거 같은데 벌써 늦여름이네요 ㅋ #앞산해넘이전망대 #앞산빨래터공원전망대 #대구일몰 #대구야경 #앞산핫플 #앞산카페거리 #대구여행 #대구가볼만한곳...,2020. 8. 26.
[식도락여행]대구남구봉덕동고기맛집:남행,"스타트해야지 아니,지금 와서 보니깐 고기 집어먹느라고 정신팔려서 마늘도 안 구워먹었네ㅋㅋㅋㅋㅋ 전투적으로 먹어치웠다. 그리고 꼭 먹어줘야하는 김치말이국수!! 참기름 고소한 맛이 솔솔 난다. 후식으로 안먹고 고기 시킬때 같이 시켜서 얹어먹음ㅋㅋㅋ 내돈내산 리뷰 #대구맛집 #대구남구맛집",2021. 7. 31.
"대구 남구 맛집 가성비 쩌는 데이트코스, 중화비빔밥 꿀맛",아직도 생각나네요 또 먹고 싶은데 꾹 참아야겠죠 조만간 대구로 여행할겸 한번 더 가야겠어요 대구 남구 맛집 아니랄까봐 탕수육도 되게 맛있어요 소스를 따로 주문하고 소금에 고기를 찍어 먹을수도 있지만 저랑 제 남자친구는 둘다 부먹파라서 그렇게 먹지는 않았어요 소스에 푹 담겨져서...,2020. 11. 12.
"대구 남구 앞산 카페, 유얼턴 (Cafe urturn)",‘URTURN’ * #대구 #대구카페 #대구카페투어 #대구신상카페 #대구카페추천 #대구카페가볼만한곳 #대구남구카페 #대구대명동카페 #대구안지랑카페... 대구앞산맛집 #대구앞산디저트카페 #앞산카페거리 #카페유얼턴 #유얼턴카페 #유얼턴커피 #거북이키우는카페 #대구여행 #대구카페여행 #cafeurturn,2020. 5. 3.
대구 남구 스터디카페 다짐 영대병원점 독서실에서 시험막바지 준비,"하필 이 타이밍에 가을여행도 다니고 싶어서 몸부림이 쳐지고.. ㅋㅋ 마음도 다시 잡고, 효율도 극대화 하기 위해 선택한 스터디카페! 이름만큼 제 다짐도 이곳에서 도와줄 수 있길 기대해봅니다 ♥_♥ 시설 좋은 신축 대구 남구 스터디카페 다짐 영대병원점 열심히 하쟈 화이팅 ☆★☆★☆★",2021. 10. 11.
대구 남구 술집 추천! 이자카야 [하즈키]... 옛날통닭 맛집/대구여행/대구맛집/데이트,데이트 #데이트장소 #맛집추천 #맥주 #술집 #핫플 #대구맛집 #시내맛집 #동성로맛집 #동성로술집 #데일리 #약령시 #시내 #대구술집 #회식 #소프탭 #반영구 #반영구색소 #눈썹문신 #야식 #맛있다 #대구밥집 #오늘머먹지 #대구여행 #대구데이트 #이자카야 #옛날통닭 #앞산 #대명동 #남구 #술집추천 #데이트추천,2020. 2. 14.
"[Bassjeong여행_#30] 명덕 집밥 동이식당(대구맛집, 남구맛집, 명덕맛집)",버너를 줍니다ㅎ 코로나시대에 좋은 시스템인거 같아요 ㅎ 한번 끓여보겠습니다ㅎ 보글보글 아주 맛있겠죠?ㅎㅎ 이건 메밀소바에요ㅎ 가격도 착하고 맛도 있고 주차도 편하고 집밥 동이식당 명덕에 가시면 가볼만 한 식당이에요ㅎ 한번 가보세요ㅎ #대구맛집 #대구명덕맛집 #대구남구맛집 #동이식당,2021. 3. 29.
