header,contents,date
"대구 달성군 여행: 한훤당고택 by soga, 아담한 고택에서 카페 즐기기","대구 달성군에는 참 많은 여행, 관광지가 곳곳에 자리하고 있다. 비슷한 거리에 다양한 볼거리들이 즐비해있어 여러 곳을 같은 날 둘러보기에도 좋다. 이 날 남편과 먼저 방문했던 한훤당고택 by soga 고택을 구경하면서 카페를 즐길 수 있다. 꽤나 시골 느낌이 가득한 곳으로 좁은 길을 따라 가면...",2021. 10. 4.
대구 진짜 여행명소는 누가 뭐래도 달성군이야(한국일보 2020.10.30),"* 호찐빵 만두나라 본점 문의 : 053) 767-1007 메뉴 : 국산팥찐빵 3,000원, 고기만두 3,000원 주소 : 대구 달성군 가창면 가창로 1102 * 한국일보(온라인) 2020.10.30에 게재되었습니다. * 네이버에서 대구 달성군여행으로 확인할 수 있습니다. 박준규 올림",2020. 11. 8.
"[대구 황화코스모스] 논공삼거리 : 대구여행, 대구달성군, 논공꽃단지","꽃밭 찾아다니면서 불편했던게 이렇게 많은 곳은 처음이었다는,, 그럼 전 이만~~ 위치 #대구 #대구달성군 #논공삼거리 #논공꽃단지 #논공황화코스모스 #황화코스모스명소 #달성군꽃밭 #대구여행 #대구가볼만한곳 #대구꽃밭 #대구황화코스모스 #대구핫플",2021. 10. 7.
대구근교여행(달서구/달성군/고령군)달리고 여행을 가다.,그럼 결국 우리는 공.짜.여.행 대구시 달서구 달성군 고령군 지방자치단체에서 여행금액을 지원하지 않는다면 생각할 수도 없는 요금으로 떠나는 여행입니다 아래의 뉴스를 참고하시기 바랍니다. 감사합니다. http://webplusnews.kr/news/view.php?no=15016,2021. 10. 11.
대구 달성군 걷기 좋은 곳! 옥연저수지를 따라 송해 할아버지와 함께 산책 :) #대구여행,[송해공원 둘레길] 대구 달성군 걷기 좋은 곳! 옥연저수지를 따라 송해 할아버지와 함께 산책하기 :) #대구여행 친구랑 같이 주말마다 여행을 가기로 하다가 대구를 벗어나기에는 뚜벅이들에게는 너무 귀찮을것 같아 대구안에 혹은 근교로 여행 갈만한 곳을 찾아보다가 알게된 #송해공원...,2020. 2. 20.
대구_달성군_육신사_#배롱나무_#대구여행_#대구가볼만한곳,"애니웨이, 바이더웨이, 우야둥둥, 2021년 7월 25일 일요일 대구 달성군 육신사에 배롱나무를 담으러 다녀왔다. 2년만의 육신사 방문인데 본진(?)의 배롱나무보다 본진가는길의 가로수가 훨씬 이뻐서 감탄했었는데 여전히도 육신사는 이뻤고 많은분들이 여행을 하고 있었다. 이른 아침이었는데도 많은...",2021. 8. 2.
대구 달성군 여행 사문진 나루터 & 사문진 주막촌,대구 달성군 여행 사문진 나루터 & 사문진 주막촌 대구화원유원지에 갔다가 유원지입구에 있는 사문진주막촌과 나루터를 둘러봤어요. 운전을 해야해서 막걸리는 마실수 없지만 파전이 땡겨서 먹어보려 했는데 하필 월요일이 주막촌 휴무일이여서 못먹었어요. 비록 파전에 막걸리 한잔은 먹지...,2021. 5. 28.
대구 달성군 / 남평문씨본리세거지,코로나로 1년을 넘게 외출을 자제하다 보니 여행 가고 싶은 기분이 자꾸 든당ㅠㅠ 그래도 타지역으로 가는 건 그러니까 오늘은 대구 달성군에 위치한 남평문씨본리세거지로 고고~! 사실 대구에 이런 곳이 있다는 걸 처음 알았다. 대구 관광지로 선정되어 있는 곳이라 한번 가봐야겠다 싶어 지도...,2021. 3. 8.
대구 글램핑 오투글램핑 : 달성군 옥포 카라반 여행 추천,#대구글램핑 #대구카라반 #대구캠핑장 #대구달성군여행 #대구근교카라반 #대구옥포글램핑 #대구여행 오투글램핑 * 주소 대구 달성군 옥포읍 김흥리 952-1 / 옥포로111길 95-17 * 연락처 053-616-1844 / ***-****-**** * 입실 PM 3:00 퇴실 AM 11:00 대구 근교 나들이하기 좋은 오투글램핑 우리가 묵은 곳은 카라반...,2020. 10. 6.
대구달성군출장세차 대구스팀세차 잘하는 곳 MD오토 대구대곡점,"예약잡는거 여행 갔다와서 하자고 잠시 만류를 해뒀는데, 조만간 할 예정이라는- 이 꼼꼼함 때문인지 단골들이 많으시다고 하시더라구요 미리미리 예약해야 원하는 날짜에 세차받을 수 있답니다'-' MD오토 대구대곡점은 달서구와 남구, 달성군까지 출장세차가 가능한데 달성군의 경우엔 가창은...",2020. 9. 15.
