header,contents,date
"대구 동구 속 베트남맛집여행_ 리틀하노이, 카페반미콩",해외여행은 언감생신이다. 해외에 나가는 것이 불가능에 가깝다. 해외로 나간 기분을 낼 수 있는 방법은 외국 음식을 파는 맛집에서 이색 음식을 사먹는 것이다. 이틀에 걸쳐 베트남 음식을 먹게 되었다. 베트남에 가보려고 했는데 막혔으니 이렇게 음식을 접하며 느껴보기로 했다. 대구 동구에 있는...,2020. 10. 6.
"대구 동구 핫플, 팔공산 케이블카 - 김미래 기자 / 대구여행, 국내여행, 겨울 가볼 만한 곳",이용해 간단하게 즐길 수 있는 팔공산 나들이 코스 포스팅이었습니다. #대구 #대구동구 #동구청 #대구가볼만한곳 #팔공산케이블카 #장관이네요 #팔공산필수코스 #대구데이트 #팔공산데이트 #대구관광지 #대구명소 #대구여행 #가족나들이 #대구가볼만한곳 #국내여행 #케이블카 #대구드라이브,2020. 12. 23.
[반야월연꽃단지] 대구여행 동구 가볼만한 곳.,(가남지코스) 점새늪코스로 추천하는 금강역레일카페가 있는데 천천히 둘러보다보니 금강역레일카페에는 들르지 못해 이번 방문시는 꼭 들를예정이다. 위치 :대구 동구 대림동 378-1 #반야월연꽃단지 #대구근교여행 #대구여행 #6월가볼만한곳 #7월가볼만한곳 #대구동구여행 #인생샷 #대구연꽃 #연꽃,2021. 6. 13.
대구 동구 카페 직접 로스팅 해서 달라,외국 여행 갔을 때 비슷한 느낌을 많이 봤던 것 같아요 정말 누가 대구 동구 카페에서 이렇게 외국 느낌을 느낄 줄 알았겠어요 요즘 동구 쪽에는 팔공산 쪽이 아니면 갈만한 곳이 잘 없었는데 완전 신세계를 찾아서 정말 좋았답니다 그리고 생각보다 베이커리의 종류가 많아서 고르기가 좋았어요...,2020. 9. 23.
걷기좋은 돌담길. 숲길. 옻골마을. 대구 동구 나들이 여행,실제로 살고계신 집들이 많아 불쑥 들어가보면 안되요 돌담길이 정겹게 느껴집니다.. 주차장으로 돌아오는 길에 마을입구 숲속 큰 나무 아래 벤치에 앉아 한가로이 시간을 보냅니다. 잠시 도시의 답답함을 떠나 여유를 느껴보세요 여기까지 대구동구 나들이 샌책할만곳 옻골마을 소개였습니다.,2021. 9. 16.
대구 동구 안경점 대구 선글라스 여행떠나기전 다녀온 아이젠트리,대구 동구 안경점 대구 선글라스 여행떠나기전 다녀온 아이젠트리 새해들어 날이 은근 많이 차네요.. 해마다 요맘때면 우리 아부지 생신이 껴있기도 한데 곰곰 기억을 더듬어 보니 꼭 울 아부지 생신때쯤이면 따스하던 겨울 날씨도 추워졌던 기억이 나네요. 경신년 맞이 새해에도 어김없이 따스하던...,2020. 1. 13.
대구 동구 카페 낭만적인 호주 감성,예전에 해외여행을 다닐 때 경험한 그런 자유로움이 공존하는 감성이 느껴져서 여러 대구 동구 카페 중에서도 가장 이색적으로 남기도 했어요. 이국적인 분위기가 낭낭한게 좋더라고요. 군데군데 창으로 표현을 하는 인테리어는 더욱 감각적인 모습을 강조해 주기 좋았어요. 호주 감성이 낭낭하게...,2021. 1. 27.
<봄바람 따라 떠나는 랜선 여행> “아! 이토록 멋진 대구 여행” - 대구광역시 동구,"* 나라장터 종합쇼핑몰 바로가기 ▶ http://shopping.g2b.go.kr ★ 대구광역시 동구 여행 코스 ★ 도동측백나무숲 → 불로동고분군 → 불로전통시장 대한민국 천연기념물 제 1호, 도동측백나무숲 대구광역시 도동에 있는 측백나무숲은 높이 5~7m의 측백나무가 100여 그루 정도 모여...",2021. 5. 4.
대구동구여행 경주최씨문중 서당 독암서당,독좌암이다 대구동구 독암서당은 정면 4칸·측면 1.5칸의 규모에 홑처마 맞배지붕 건물이다 경주최씨는 대구광역시 동구 팔공산 자락에 세거하고 있는 주요 토박이 성씨 중 하나이로 그중에서도 강동·독암 지역의 최씨들은 봉촌(鳳村) 최상룡(崔象龍)의 후손들이 주축하며 따라서 최상룡의 손길이...,2020. 1. 12.
[물여행] 대구수목원 / 동구여행 / 식물원,"달구벌 맑은 물이 함께하는 물여행 감상하시죠! 먼저 대구수목원에 가기 위해서는 다양한 방법이 있습니다. 개인차량 : 주차장 있으며 무료로 운영되고 있습니다. [대중교통] 정류소 버스 노선 수목원 정문까지 소요시간 대진 중 고등학교 앞 달서 3, 달서 5 도보로 5분 정도 대진 중 고등학교...",2020. 5. 30.
2월 여행 | 거제정글돔_남해보리암 _대구동구아양기찻길,"대구 동구 아양기찻길, 나리꼬모 친정오면 한번 가봐야지 했던 나리꼬모 도넛 너무 맛있어 보였는데 먹기도 불편하고 내가 생각한 그맛이 아니다.... 가구와 소품 하나하나가 내 맘에 담겼다. 늦게 도착해서 양갱을 못먹어 조금 아쉬웠지만 다음 남해여행때 다시한번 찾아가야 겠다.",2021. 2. 25.
대구 동구에서 1박2일 알차게 즐기는 법!,저희 시민기자단만 따라오세요 대구 동구 여행 1박 2일 코스 추천 아쿠아리움-팔공산 캠핑-반야월 연꽃 단지-금강역-대구막창(대구 10미) 아쿠아리움 대구 아쿠아리움은 동대구역에 있기 때문에 제일 처음 일정으로 넣었답니다. 비가 와도 또 대프리카 뜨거운 더위에도 시원하게 여행할 수 있는 실내...,2021. 6. 19.
"대구 동구 계곡식당, 대구 동구 핫플카페 / 매남골식당, 수수밀소 대구에서 타지 여행...","대구 계곡 식당 , 근처 핫플 카페 매남골식당, 수수밀소 매남골 - 대구광역시 동구 매여로 190 수수밀소 - 대구광역시 동구 매여로 320 안녕하세요 연콩이에요 대구에 계곡식당이 몇개 없죠 팔공산까지 간다던지 가창이나 다른 곳으로 넘어가야지 나오는 계곡식당 더운 여름엔 꼭 한번은 가줘야 하는데...",2021. 7. 31.
[대구여행] 안녕.. 잠수교는 오래간만이지???.. 대구 동구 금강동 행복마을..,[대구여행] 안녕.. 잠수교는 오래간만이지???.. 대구 동구 금강동 행복마을.. 믿기지 않겠지만.. 방금 컴터 책상에 앉아 30분이나 졸았어요.. . 안심습지라 불리는 곳에.. 외계지용 첫 상륙???.. . 간만에 동구에 온 김에.. 매화 찾으러 벽화마을에 와봤는데.. 여긴 아직이네용.. ㅠ ㅠ . 그래서 매화는 바로...,2020. 3. 13.
일상 속 대구 가볼만한 곳[불로고분공원] 대구동구로 여행 떠나요.,강아지산책시 배설물수거 및 목줄착용으로 배려하는 여행이 됩시다. 위치 : 대구 동구 불로동 산5 대구동구여행시 가볼만한 카페추천! 마고플레인 아양. https://m.blog.naver.com/song_0215/222398508732 #대구여행 #대구동구여행 #불로고분군 #불로고분공원 #단산지 #불로전통시장 #대구불로동 #대구근교여행,2021. 6. 15.
"대구가볼만한곳, 동구아양기찻길, 동촌역, 옹기종기행복마을(대구경북여행)",여행에 앞서 대구동구청 블로그를 참고하여 여행계획 일정을 세워보았습니다. 그 첫번째로 다녀온곳은 대구도시철도 아양교역 1번출구에서 나와 금호강방면으로 420미터 이동하면 나오는 아양기찻길이었습니다. #아양기찻길 #동구아양기찻길 #지저동아양기찻길 #대구동구가볼만한곳...,2021. 10. 8.
대구 얼음물회전문점 한상바다 - 대구 동구 봉무동,분이라면 바다한상에 가셔야겠지요~~ 한상 가득히 먹거리가 나와서 아이 부터 어른까지 모두다 만족 할 수 있을 것입니다. 이제 곧 단풍이 들건데 가족들 모임을 이곳에서 하고 팔공산으로 단풍 여행 가시는 것은 어떨까요^^ 대구 동구 팔공로 51길 15-13 대구 동구 1539-7 ***-***-****,2021. 9. 25.
