header,contents,date
대구 북구 카페 애하 대프리카 힐링여행,해외여행도 쉽지 않은 요즘 대구 북구 카페에 이런 공간이 있다니! 침산동 이색카페로 대프리카 힐링여행 가고 싶을 때 한번씩 오면 좋을 것 같아요 약간의 벽으로 둘러쌓여 있어서인지 프라이빗하게 느껴지는 핑크피아노 고풍스럽고 르네상스 개화기 느낌이 나는 인테리어와 이렇게 약간의...,2021. 6. 24.
[물여행] 북구여행 / 대구혁신센터 / 스타트업 / 아이디어전시,대구지역 스타트업(초기 창업기업)의 제품을 전시ㆍ체험하고 구매까지 할 수 있는 오프라인 매장입니다. 달구벌 맑은 물이 함께하는 물여행 감상하시죠! 비가 오는 날 삼성창조캠퍼스를 찾았습니다. 푸르른 소나무에 빗방울이 맺혀 있네요. 기숙사 F동 1층 좌측에 위치하고 있습니다. 입구에서...,2020. 7. 30.
대구 북구 한주살이여행 한옥 숙소 포함 생활관광 7코스,대구 북구 한주살이여행 한옥 숙소 포함 생활관광 7코스 * 안녕하세요 여행미녀 제이드입니다. 현지인처럼 한 주를 살아보며 구석구석 돌아보는 #생활관광. 내 생애 가장 대구다운 일주일을 보낼 수 있는 달구벌 살아보기 #대구여행 을 다녀왔어요. 구암서원에서의 특별한 야경과 함께 한옥숙소에서...,2021. 6. 9.
[대구 여행] 대구 북구 관광 스탬프 투어,"올해는 해외여행은 꿈도 꿀 수 없고 국내여행도 조심스럽기만 하다 그래서! 내가 살고있는 대구 안에서 즐길방법을 찾아보았다. 좋은기회?가 생겨 체험해본 대구 북구 관광 ""스탬프 투어"" 네이버 검색창에서 ""북구 관광""을 검색하면 맨위에 뜨는 대구북구 스마트관광 전자지도 에 들어가면 북구...",2020. 10. 17.
대구 북구 카페 애하 여행,친정인 범어동에서 차로 10분 남짓인 대구 북구 카페 침산동 애하는 동남아 여행 온 듯 한 느낌이 드는 대구 이색카페에요. 여행 좋아하시는 부모님에게 잠시나마 힐링을 선물해주고파 다녀온 곳이랍니다. 이렇게 생긴 건물이에요. 하얀색 건물에 그리스 산토리니가 생각나는 블루컬러 인테리어...,2021. 6. 30.
"#대구여행, 북구 8경 벚꽃 명소! (꽃보라 동산/경북대 벚꽃길)",이 밑을 차로 지나가니 벚꽃팝콘 속에 파묻힌 느낌ㅋㅋㅋㅋ 할머니와 원 없이 함께한 대구 북구 벚꽃 명소 투어!!!♡♡♡ 아주 잘~~보고 왔습니다!! #대구벚꽃명소 #대구북구가볼만한곳 #대구여행코스 #경북대벚꽃 #꽃보라동산벚꽃 #꽃보라동산 #대구북구6경 #대구북구2경,2021. 3. 31.
[대구북구] 대구여행 시 필수 맛집 추천 걸리버막창/북구청역 근처 밥겸술집,"된장찌개를 불판 가운데에 두면 넘치기 때문에 가쪽에 두라고하셨어요 된장찌개 안에 버섯과 여러야채들이 듬뿍 들어가 있어 씹는 맛이 좋았어요 북구청 근처 맛집, 대구 여행 오신 분들은 방문해보세요 ㅎㅎ #대구 #부산 #북구청 #북구청역 #근처밥집 #근처술집 #막창 #삼겹살 #막창맛집...",2021. 9. 27.
"[대구/북구] 산격동 여행 컨셉츄얼 카페 커피 맛집 ""플랜어트립""",오늘은 대구 북구 산격동 커피 맛집 여행 컨셉츄얼 카페 플랜어트립의 후기를 가지고 왔어요 플랜어트립 매일 12:00 - 20:00 매주 일요일 휴무 산격동의 한 골목 안에 위치하고 있는 플랜어트립은 여행을 컨셉으로 하는 카페예요 여행의 설렘을 가지고 여행 계획을 짜기 좋은 카페라고 하더라구요...,2021. 5. 12.
"[대구/북구] 산격동 커피 맛집 여행 컨셉추얼 카페 ""플랜어트립""",플랜어트립 매일 12:00 - 20:00 일요일 휴무 대구 북구 산격동에 위치한 플랜어트립은 여행 소품으로 꾸며진 여행 컨셉추얼 카페예요 항상 큰 길로만 다녀서 골목에 이렇게 예쁜 카페가 있는지 몰랐네요 벽돌 + 화이트 조화 깰끔쓰 오토바이도 감성 철철 사장님도 너무 예쁘심ㅠㅠ 오토바이는...,2020. 12. 3.
"북구여행, 서리지수변생태공원/대구시민기자",북구의 새로운 명소 서리지 수변생태공원 정자에서 찍은 작품사진 한 장 https://blog.naver.com/daegu_news/222051643208,2020. 8. 5.
대구여행 대구가볼만한곳 하중도 유채꽃축제 북구 금호강변 작은결혼식현장 대구코로나...,대구여행 대구가볼만한곳 하중도유채꽃단지 소개드려요 이맘때면 사람들 발길에 유채꽃이 몸살을 앓을건데 오늘의 대구는 너무 조용하네요 대구여행 유채꽃밭속에서 작은결혼식도 할수있도록 장소도 마련되어있는데 아무도 찾는이가없어요 ㅠㅠ 북구 하중도 금호강줄기따라서 광활한 강변에...,2020. 4. 1.
대구 북구 8경 구암서원.. 대구시내가 다 보이는 뷰 맛집.. 만원 대구여행,대구 북구 8경 1경 금호강 하중도 2경 꽃보라동산 3경 운암지수변공원 4경 팔달대교야경 5경 경북대학교캠퍼스 6경 함지공원 7경 구암서원 8경... 후회할뻔한 대구시내 뷰더라구요 너무 너무 멋졌어요 오늘 대구 날씨도 좋아서 날씨도 도와주더라구요 하늘에 구름 한번 보세요 대구 한주살이 여행...,2021. 5. 3.
[물여행] 북구여행 / 대구오페라하우스홍보관 / 전시 / 오페라,"대구오페라하우스 홍보관입니다. 달구벌 맑은 물이 함께하는 물여행 감상하시죠! 무료로 언제든지 입장 가능합니다. 월요일은 휴무입니다. 입장은 발열 체크와 QR코드 확인을 합니다. 대구오페라하우스에서 만든 오페라 굿즈입니다. 공연에 쓰였던 복장과, 가면, 악보입니다. 귀중한 자료가...",2020. 7. 30.
[대구 맛집] 북구 대구보건대 앞 가성비 좋은 소문난 떡볶이로 추억여행 다녀왔어요!!,대구 북구 칠곡 대구보건대학교 대학로에 위치한 소문난 떡볶이를 소개합니다 위치 남겨드릴게요! 영업시간은 따로 있지 않으신 것 같았어요 너무 아침 일찍 말고 너무 늦게 말고는 항상 문이 열어 있는 것 같아요 주차장도 없으니 이 점 유의해 주세요! 가게 입구 모습이에요 ㅎㅎ 분식집 다운...,2021. 9. 6.
대구 북구 중식당 : 수봉반점,여기까지 대구 북구 중식당 수봉반점 이었어요. 대구 미식 여행 하면 빠지지 않고 등장하는 곳. 오픈 시간에 맞춰가 30분 정도 대기 후 맛보았는데요- 그냥 유명한 집 나도 맛봤다 정도의 감흥.. 맛은 있었지만 또 줄서서 먹을래?? 라고 하면 고민될 것 같아요. 어쨋든 대구에 도착하자마자 거하게...,2021. 7. 6.
[대구영상제작] 대구한주살이여행 대구 북구 구암서원 편 홍보영상,"Client : 영남선비문화수려원 Media Type : 홍보영상 Comm.Purpose : 대구한주살이여행 구암서원 편 홍보영상 Running Time : 5' 00"" Produced by NEWMAKE... 대구 북구 구암서원은 달성 서씨가 대대로 세거했던 곳으로 배려와 나눔을 실천한 구계 서침선생의 덕을 기리기 위해 구암서원을 세웠다고 합니다. ...",2021. 4. 4.
[대구북구맛집/복현동맛집]현대식당 - 된장찌개&비빔밥,대구 막간 방문 여행의 마지막 코스로 찾은 곳은 북구에 위치한 북현동의 현대식당 입니다. 사실 여행 와서는 갈 일 없는 동네인데 이 곳을 찾은 건 전부터 궁금했던 식당은 현대식당을 가기 위함이었습니다. 낮에만 영업하는 비빔밥 전문점 입니다. 동대구역에서도 버스로 15분 정도면 갈 수 있는...,2021. 8. 27.
"#대구여행, 도심 속 작은 공원! 운암지수변공원 (대구 북구 가볼만한 곳)","할머니와 함께라 못 가봤지만, 바로 옆에 함지산도 있어 도심 속 산행을 하며 봄을 느끼기에 참 좋은 곳일 것 같다. #운암지수변공원 #대구북구가볼만한곳 #대구가볼만한곳 #운암지 #대구북구8경 #대구북구3경 #대구여행 #대구여행코스",2021. 3. 30.
