header,contents,date
"대구 서구 시설 / 설레는 여행, 정다운 귀향길 대구 서구 북부시외버스터미널","여행이란 건 사람을 참 설레게 하는데요 여행 뿐만 아니라 사랑하는 사람을 보러가거나, 보고오는 귀향길이 되기도 하는 곳이랍니다 오늘은 여러 사람들에게 의미있는 장소인 대구 서구 비산동에 위치한 #북부시외버스터미널 일명 #북부정류장 대해서 자세하게 소개해드릴게요 이용문의...",2020. 6. 25.
대구서구주택매매 비산동 한옥 시간여행하는듯~,대구서부초등학교옆에 있는 #대구서구주택매매 는 공부상 맹지이지만 2m정도의 현황도로가 있어서 차량진입은 안되고 도보통행만 가능한... tv드라마세트장이나 어릴적 기억이 나는 구조에 시간여행을 온듯한 착각에 잠시 빠져봅니다. 대성초등학교 도보 9분 경상여자중학교 도보 7분...,2021. 4. 23.
"대구 서구 속눈썹, 이네잇뷰티, 대구 내당동 속눈썹",속눈썹 하시는 분들의 대표적인 고민은 바로 유지력과 세안할 때 불편함이 아닐까싶어요 저도 속눈썹을 여행을 가거나 특별한 모임이 아니면... 받고 싶으신분 대구 서구 내당동에 위치한 이네잇뷰티 추천드립니다:-) #대구서구속눈썹 #내당동속눈썹 #대구속눈썹펌 #삼익뉴타운속눈썹펌 #이네잇뷰티,2021. 9. 4.
대구 서구 족발 와따족발에서 시킨 시원한 냉채족발,"그래서 대구 서구 족발 맛집이 맞구나, 싶었답니다. 아무튼 이렇게 맛있는 음식이 세팅되었습니다. 흑흑흑.... 너무나 행복한 한상이네요 ㅠ.ㅠ 족발 위에 새콤한 겨자소스를 넣고... 이제 먹어 볼까요? 저는 냉채족발을 좋아해요. 음....냉채족발을 처음 먹었던게 아직도 기억나는데....부산여행을...",2021. 7. 14.
대구 서구 요양원 한신노인요양원 신체활동_ 나무블록으로 겨울여행 기차 만들기,대구 서구에 위치한 한신노인요양원입니다. 신체활동으로 어르신들과 나무 블록으로 겨울 여행 기차만들기 시간을 가졌습니다~~! 프로그램 진행에 앞서 어르신들께 나무 블록을 나누어 드리고 프로그램에 대해 설명을 하였습니다. 어르신들께서 나무 블록으로 겨울 여행 기차 만들기를 하며 팔의...,2021. 2. 27.
대구 국밥 맛집 - 무보까국밥 서구본점! 돼지국밥&갈비찜 JMT,"만의 여행단골집 이에요. 오빠도 이번주 너무 바빴는데 굳이 공부할꺼 들고 같이 내려오길래 내가.. 너무 무리하는거 아니냐. 고 물었더니 ""괜찮아. 국밥 한그릇 갈비찜이나 먹고 오면 되죠"" 국밥&갈비찜은 말 안해도 이미 한끼 포함되었다는 것. #대구맛집 #국밥맛집 #국밥의신세계 무보까국밥 서구...",2020. 1. 17.
대구 서구 카페 피아자,"공간마다 사장님의 센스가 보여요 평일오후시간에 방문했더니 이렇게나 여유롭네요! 물마저, 사장님의 배려가 보여요 레몬워터라구요! 분위기 최고, #대구서구카페 #대구신상카페 #피아자 추천해요! 대구에서 잠시나마 평일연차시간에 이렇게 해외여행다녀온듯 마음이 몽글해진 시간이였어요!",2021. 6. 7.
대구여행: 서구 이현공원/앞산 료미/밀게이트/고려빵과자점,"오랜만에 시내를 벗어나 서구 공원에 놀러갔다가 앞산 갔는데 대구에 사는데도 서구나 남구는 갈 일이 잘 없어서 대구 여행하는 기분으로 친구랑 놀다온 날! 그래서 오늘 제목도 대구여행 >_< ㅋㅋㅋㅋㅋ 친구랑 오랜만에 만났는데 할 게 너~무 없어서 간 공원 ㅎㅎ 시내는 너무 자주 가서 질려,,, 근데...",2021. 5. 10.
대구 서구 썬팅 레이노 단독 제주도여행 특별 이벤트!!^♡^ 프리미엄 얼티넘 유리막코팅...,"얼티넘 대구 서구 레이노썬팅 서구청점 JB HANDMADE 정문 사진 입니다 서구청 맞은편 대로변에 찾기 쉬울꺼에요!! 제주도 2박 3일 왕복 여행권 입니다 (2인 왕복권, 렌트카 48시간 이용권) 레이노 썬팅 서구청점에서만 '단독 진행' 하는 여름 휴가 이벤트 한정 수량인만큼 많은 관심 부탁...",2021. 4. 3.
"[대구여행] 이현공원 샤스타데이지 명소, 대구 서구 가볼만한곳",왜 장미까지 이뻐보이는지 정말 올해는 꽃따라 다니느라 정신이 없지만 그래도 꽃이 있어 하루하루 즐겁게 보내고 있어요. 인스타 @suuuuuyeoning 대구여행 . 대구가볼만한곳 대구산책하기좋은곳 .대구사진찍기좋은곳 대구공원 . 서구공원 샤스타데이지명소 . 대구샤스타데이지 대구나들이 . 대구피크닉,2021. 5. 9.
대구 서구맛집 서부시장 오미가미거리 조개구이 조개센터,야외에서 (지금 날씨에 야외에서 먹음딱인딩) 동생말로는 원래 아이스버킷 아이스 바게스에다가 술병담아준대여 라면도 너무너무 맛있어서 국물까지 다 흡입 동생동네 올때마다 가야겠으요 진짜!! #대구맛집 #조개구이 #오미가미거리 #서부시장맛집 #대구서구맛집 #비산동맛집 #맛집공유 #내돈내산,2021. 10. 8.
대구 서구 가을 행사 / 공원 속 음악여행 제3탄 코로나19극복! 대구서구 무료공연 '가을...,이렇게 다양한 개성을 가진 4팀의 공연으로 총 15개의 곡을 감상할 수 있었던 대구 서구 무료공연 '가을 음악 여행' 1시간이라는 시간이 어떻게 지나간지 모를 정도로 정말 금방 지나갔답니다. 모처럼 야외에서 멋진 공연 감상하면서 힐링 할 수 있는 시간이었어요. 세미클래식 가을 음악...,2020. 10. 19.
[대구] 서구 내당동 꿀막걸리 해산물 찐맛집,"- 새우버터구이와 꿀막걸리로 유명 :-) 막걸리를 시키고 2,500원 에 꿀 하나 추가! - 주차 : 근처 공영주차장 테이블당 2,000원 지원 #내돈내산 #내돈내먹 #대구서구맛집추천 #대구맛집추천 #대구여행 #대구서구해산물맛집 #대구서구막걸리맛집 #내당동섬 #내당동섬솔직후기 #대구꿀막걸리",2021. 8. 21.
대구서구맛집/평리동국밥/우복당,"비오는날 뜨끈한 국밥이 땡겨서 대구서구맛집인 평리동에 국밥먹으로 다녀왔어요~^^ 신랑은 예전 사무실근처기도 하고 평리동 국밥으로 유명해서 우복당을 자주왔다고 해요~^^ 우복당은 국밥뿐만아니라, 보쌈도 맛있기로 유명해요~^^ 가게바로앞에 주차장이 마련되어 있어 주차걱정없이 식사할수...",2021. 8. 24.
"Piazaa 대구 피아자 / 대구속의 유럽여행... 카페, 대구 브런치 / 대구 서구 카페","#대구루프탑카페 일단 주차장 너무 불편했다 건물 일층 주차장과 뒷편에 하나가 더 있다고 설명되어있기는 하나, 해당 건물에 골프장이랑... 요즘 코로나로 여행 못가는데 여기오면 쬐끔 여행 온 기분 + 나는 테라스는 아직 살-짝 휑한 느낌이었다 아쥬 살짝. 뭐 여기에 더 했으면 조잡할 것 같기도...",2021. 6. 11.
대구서구알루미늄징크 세련된 감각,본격적인 겨울을 맞이해서 겨울여행을 계획하고 계신 분들이 많으실 겁니다. 이번년도는 시국이 시국이다보니 국내여행으로 초점을 두시는 분들도... 대구서구알루니늄징크에서 꿈꾸시는 스타일의 집을 실현시켜 드립니다. 저희는 사용하는 징크는 디자인적으로 고급스러움을 추구하고 있습니다....,2020. 11. 5.
