header,contents,date
대구중구여행 반지길 투어 여성들의 길,대구 중구 여행 반지길 투어 여성들의 길 안녕하세요 다양한 것을 리뷰하는 대구 블로거 첼바입니다. 요즘 코시국이라서 많은 곳을 돌아다니기가 어려운데요. 오늘은 제가 살고 있는 대구의 관광지를 돌아보기로 했답니다. 대구분들이라면 누구나 근대골목투어는 한번쯤 해보신 적이 있으실텐데요....,2021. 10. 8.
[지역N문화 테마여행] 대구 중구 여행코스 :: 20세기 대구로 시간여행 떠나보이소,"대구 중구 여행코스 20세기 대구로 시간여행 떠나보이소 20세기 대구로 시간여행 떠나보이소 대구 중구 *출처 : 한국관광공사 근현대사의 중심 대구, 오늘 지역N문화 테마여행은 20세기의 살아있는 역사를 그대로 간직하고 있는 대구로 떠납니다! 대구의 골목길을 걸으며 그 속에 들어있는...",2020. 10. 31.
더 재밌게 즐기는 대구 근대골목투어 2코스 / 대구중구여행 / 대구 근대골목투어,"대구중규 근대골목투어2코스 대구 근대골목 투어 코스는 이야기가 중심이 된 대한민국 대표 관광 브랜드라고 말하고 싶습니다. 2코스는1.64㎞의 비교적 짧은 코스이지만 볼거리가 많습니다. 『대구근대골목』은 ‘한국관광의 별’, ‘한국관광100선’에 연속 선정된 곳으로 걷기 좋은 골목길입니다....",2021. 5. 23.
관덕정 순교기념관 입니다 :) @천주교 @대구 중구 여행,관덕정 순교 기념관 입니다. 월요일은 제외하고 오전9:30~ 오후5:00 입장료는 무료입니다. 기념관은 총 3층으로 되어있구요 생각보다 엄청 크고 자료들도 많이 있습니다. 근대골목투어 5코스에도 속해있는 곳이랍니다. 천주교 분들이 오신다면 정말 뜻깊은 곳이 될 수 있을 것같습니다.,2020. 3. 24.
대구 중구 여행 로맨스빠빠 한옥카페 좋았다 진심,대구서문야시장 가기 전 잠시 들린 곳 로맨스 빠빠 카페 이름 듣고 한옥카페라고 상상이나 했을까 다음엔 대구 근대골목투어를 하러 와야겠다 대구 로맨스빠빠 낮과 밤 영업시간 : 매일 12:00 ~ 22:00 골목사이에 위치하기 때문에 근처에 주차해야한다 노상공영주차장 있지만 우리는 동산주차장에 했다...,2020. 8. 21.
울산 중구 여행 한옥 숙박체험 '아름다운 말이 흐르는 집' 어련당,"울산 중구 여행코스로도 딱 좋은 어련당에서 한옥숙박체험도 즐기며 근거리에 위치한 병영성, 외솔기념관등을 코스로 구성해 보는건 어떠세요?... 이곳 샘물은 맑고 시원해 물동이를 이고 나르는 사람들 줄이 끊이지 않았는데 해방 후에는 미군부대에서 부산과 대구까지 실어갈 정도였습니다....",2021. 5. 31.
"청년의 꿈확행 [2,646] ""<대구여행!> 중구여행!""","청년의 꿈확행 [2,646] ""<대구여행!> 중구여행!"" ㅎㅎㅎ 지금은 다시 마산으로 왔지만 중구 여행을 참 많이 다녔었어요 ㅎㅎㅎㅎ 근대거리(대구)에 한번 더 가보고 싶네요!",2020. 11. 13.
"대구대교구 성지순례 가이드북, 죽도성당 첫영성체반 가족성지순례 가이드북![대구대교...",성당순례 #본당순례 #성당따라여행 #성당여행 #최애스팟 #대구여행 #칠곡여행 #대구중구여행 #대구동구여행 #경상도여행 #경주여행 #대구대교구성지순례 #김안나수녀님 #안나수녀님 #죽도성당 #죽도성당첫영성체반 #첫영성체반 #첫영성체반가족성지순례가이드북 #가족성지순례가이드북 #가족성지순례,2021. 9. 27.
[물여행] 경상감영공원 / 중구여행 / 공원,이곳은 대구 경상감영공원 입니다. 경상감영공원은 조선 선조 34년(1601) 경상감영이 있던 장소로서 대구 도심 중앙에 위치한다. 1910년부터 1965년까지 경상북도 청사로 사용하였다가 청사가 다른 장소로 이전되고 난 후 대구시에서 1970년 중앙공원으로 최초 개장하였다. 이후 1997년 도시 미관을...,2020. 7. 20.
"대구카페투어, 삼덕동카페 따스한 주택카페 엘아이티",#삼덕동카페 #대구시내카페 #대구중구카페 #대구벚꽃 #대구벚꽃카페 #대구중구커피 #삼덕동맛집 #삼덕동가볼만한곳 #벚꽃나무 #대구좌식카페 #대구시내좌식 #대구카페투어 #대구여행 #대구중구여행 #삼덕동핫플레이스 #대구핫플,2021. 6. 24.
[대구시/중구여행] 국채보상운동기념공원 - 꽃구경(21/03/13),끝으로 산책로 영상도 한 번 봐주세요~ 대구 도심임에도 불구하고 새소리ASMR도 들려요!! https://youtu.be/nRL1DpLcp2g #국채보상운동기념공원_꽃구경 #국채보상운동기념공원_꽃놀이 #대구_꽃구경 #대구_꽃놀이 #대구도심_꽃구경 #대구광역시림중앙도서관 #대구광역시립중앙도서관 #대구도서관...,2021. 3. 14.
"/ 대구 중구 가볼 만한 곳, 향촌문학관... 근대골목, 개화기 의상, 청라버스, 중구, 대구 투어","근대화 문물이 많이 남아 있는 우리 중구 근대화 골목을 1900년대 개화기 의상을 입고 다닌다면 대구 중구 여행이 화려하고 멋있어질 것 같아요. 마치 모던걸 , 모던보이가 되어서 흑백 영화의 한 장면처럼 내가 주인공이 되는 기분으로 떠나는 중구 근대골목투어. 생각만 해도 너무 근사하지 않나요...",2020. 3. 17.
대구 여행 / 우스끄 쇼룸 에서 귀여운 소품 구경,밤에도 잘보이지 흐흐 울애기도 좋아했던 선물 #대구 #대구가볼만한곳 #대구카페 #대구소품샵 #대구빈티지 #대구빈티지샵 #대구1박2일 #대구핫플 #대구맛집 #대구우스끄 #대구중구맛집 #대구중구 #대구중구여행 #대구칠성공원 #우스끄쇼룸 #복숭아블로그 #대구오빠랑 #대구친구랑 #대구숙소 #대구호텔,2021. 9. 16.
[블로그 기자단] - 대구 중구 근대골목투어! 청라언덕에서 3·1만세운동길까지~ /대구가...,"100여 년의 역사가 고스란히 남아있기에 대구 시민으로써 무척이나 자랑스럽기도 하거니와, 대구 중구 여행지 중 이곳이 우리 대구의 심장이라고 할 수 있는 장소가 아닐까 싶네요. 청라언덕에 도착하면 선교사 주택 주변으로 한 아름의 둘레를 자랑하는 소나무가 하늘을 떠받치고 있습니다. 푸른...",2020. 6. 18.
"대구 북성로 생고기 맛집 "" 녹향 생고기·육회"" 방문기",고기를 못먹어서 그런지 축 쳐진 댕댕이가 있어 한컷 ㅎ 몰카 대구 맛집 여행은 이제 뭉티기랑 육회로 시작하세용 ~! (๑¯﹀¯๑) #대구여행 #대구맛집 #대구육회 #육회 #육회맛집 #대구뭉티기 #뭉티기 #소고기 #생고기 #대구북성로 #대구중구 #대구중구맛집 #대구중구여행 #먹거리 #국내여행 #맛집,2021. 6. 8.
"[대구] 중구 가볼만한곳, 약령시한의약박물관",#대구중구가볼만한곳 #대구중구여행 #대구약령시 약령시는 자주 지나쳤었는데 박물관이 있을거 라고는 상상도 못했었는데 이렇게 박물관이 있다니! 대구 약령시는 360년 역사와 전통을 간직한 곳으로 우리나라는 물론 해외에 까지 한약재를 공급해온 세계적인 한약재 유통의 거점이었다고 한다....,2021. 8. 13.
대구경북을 한눈에! 대구경북박람회/대구시민기자단,"근대路의 여행(한국관광 100선)/대구 중구 골목 투어, 김광석길, 서문시장, 경상감영공원, 이상화 고택 등 중구의 관광자원을 홍보하며 청라 트롤라 버스로 떠나는 중구 여행 코스를 소개합니다. 룰렛 게임 이벤트를 통해서 상품을 제공했습니다. 결혼으로 희망을 찾다! '결혼친화도시' 달서구는...",2020. 9. 1.
"[대구]여행, 여행코스, 여행지 중구 골목투어 / 2코스(근대문화골목)",저번 대구 중구여행 코스인 2코스 근대문화 골목길에 이어 1코스인 경상감영달성길 들고 온 수죠미입니다. 저의 일정표 관광지는 많이 보고 싶고 다리가 불편한 동생을 위해 2코스에서 후다닥 보고 1코스로 넘어왔습니다. 또한 동생이 진로 캐릭터인 두꺼비를 엄청 좋아하는데 마침 1코스...,2021. 2. 23.
