header,contents,date
주말 일상 : 대전 동구 여행2 - 치앙마이방콕 / 카페 볕 / 대전역 성심당,안녕하세요 차초입니다 :) 친구들과 대전 동구 여행 두번째 포스팅이에요 친구집에서 뜨끈뜨끈 온수매트에 몸을 지지며 꿀잠자고 다음날 아침 스타벅스 대전터미널DT점 아아로 하루를 시작하는 상어른들 사람은 셋인데 왜 커피는 두개냐면 친구 한명이 씻는중에 두명만 호다닥 미리...,2020. 11. 12.
대전여행 사회혁신 마을 투어 대전 동구 미션 스토리,"대전 동구는 요즘 핫한 대전여행 명소로 떠오르고 있는 대동하늘공원과 대동벽화마을이 있는 곳입니다. 동구의 미션과제는 3곳의 필수코스 머물다가게, 쉐어푸드, 자양분 을 들러야 하고요. 밀소리, 동구동락, 대동하늘공원, 구름식당 등은 선택코스로 되어 있었습니다. 사회혁신 마을투어...",2020. 12. 10.
나랑 야경 보러 갈래? 설렘 가득 데이트 코스 [대전광역시 대전동구여행],"오늘의 추천 여행지는 [대전광역시 동구] 입니다. 출처: 한국관광공사 낮에는 너무 더워서 아무것도 하기 싫어진 요즘! 해가 진 다음 조금은 선선해졌을 때, 움직이기 좋은 코스로 찾아보았는데요, 나랑 야경 보러 갈래~? 하면서 데이트하러 갔다 오면 애인에게 칭찬받을 수 있는 대전여행코스! 그럼...",2021. 7. 27.
"[어쩌다 대전여행 둘째날 - 1부] 대전 동구 추천 핫스팟 - 대동 하늘공원, 대동 벽화마을","' 하고 불러내서 술래잡기, 다방구 같은 놀이를 했단다 하며 이야기를 들려주는 것은 어떨까? 대동 벽화마을은 자연스럽게 그런 분위기를 만들 수 있는 곳이다...ing https://in.naver.com/saeip-papa #추석여행 #대전여행 #대전핫스폿 #풍경맛집 #대전동구여행 #대동벽화마을 #대동하늘공원",2020. 10. 5.
[주말 여행] 대전 동구 상소동 산림욕장 (무료무료),내가 자주 가는 대전 동구.. 이곳에 8년만에 처음알게된 상소동산림욕장 (대전 동구 산내로 714) 애들 놀기 겁나 좋은 곳.. 근데 사유지였으면 본 받을만 했으나 시유지이자 도유지인 그곳.. 세금으로 운영중인 그곳.. 남이섬처럼 개인이 운영하는 곳이었으면 존경할만 했으나.. 국가에서 운영한다면...,2021. 8. 16.
"대전 여행 1일차 (유성구, 중구, 서구, 동구)","7주년 여행으로 갔었던 대전 여행 코스를 9월 23일 9주년 여행으로 다시 다녀왔다. 유성구에 있는 라마다 호텔에서 2박 3일 숙박을 했다. (조심 포함) 9월 22일 입실 → 9월 24일 퇴실 9월 22일 오후 9시 출발 → 10시 30분 도착 (수원에서 대전 유성구까지 1시간 30분 소요) 도착해서 짐을 풀고, 대전 라마다...",2021. 9. 25.
"[ 대전 동구 대동 카페 ] 카페 라노보 , 넓고... 추천 - 몽실이와 떠나는 국내여행 카페탐방",몽웃님들 반갑습니다 :) 오늘 소개할 몽실이와 떠나는 국내여행 카페탐방은 대전 동구 대동에 위치한 카페 라노보 LANOBO 대전 동구 대동초등2길 13 042-282-1003 영업시간 매일 9~23시 우송대 주변 카페 입니다 :) 이곳이 카페 라노보 인데요 :) 우송대 주변이라 우송대분들은 와보셨을 수도 있을 거...,2021. 3. 22.
[대전 동구 공정관광 여행가 양성과정] 프로그램 소개 및 이론교육 후기,밍토리입니다 :ㅇ 오늘 포스팅 내용은 '대전 동구 공정관광 여행가 양성과정'과 관련되어 있습니다. 호옥시나 저의 포스팅을 보고 관심을 갖고 다음 기수에 지원하게 될 지원자분들을 위하여 2021년도 대전 동구 공정관광 여행가 양성프로그램을 소개하고 저의 지원동기 및 이론 교육 후기를...,2021. 10. 7.
대전 동구 대동단결 카페 유퀴즈 촬영지,"퇴근하고 대전 동구에 사는 슨생님이 집에 가는 길에 저저저!! 동구쪽에 가보고 싶었던 곳이 있었어요!! 해서 같이 가보았다. 와... 차타고 올라가는... 일상이 축제가 되고 여행이 되는 삶! 주차하고 올라가는 길에 벽화들이 예쁘게 그려져있었다. 와.. 클림트, 키스도!! 대.동.단.결. 올라온 길을 내려다...",2020. 9. 10.
[지역N문화 테마여행] 대전 동구 여행코스 :: 개성만점 대전 뉴트로,"대전 동구 여행코스 개성만점 대전 뉴트로 개성만점 대전 뉴트로 부산광역시 *출처 : 대전문화관광 지역N문화 여러분, 대전에 여행해본 경험이 있으신가요? 과거 대전은 SNS에서 일명 '노잼도시'로 불릴 정도 였는데요. 최근에는 새로운 바람이 불기 시작했어요! 뉴트로 감성 가득해진...",2020. 10. 29.
대전 창고 공장 동구 2종근린생활시설 임대,코로나 때문에 여행 다니기도 힘드시죠? 저희는 아이가 어려서 제주도를 다녀왔어요 코로나 대전 2단계 제주도 2단계 였을때 다녀 왔습니다... 물건은 대전 동구 하소동에 위치한 매물입니다 대지 927㎡ (280) 연면적 374.56 ㎡(113) 103평은 우리가 사용하는 공장 면적 8평은 화장실 면적 입니다...,2021. 8. 9.
