header,contents,date
대전 서구 어린이 도서관에서 [길 위의 인문학] 여행 신청하세요!,"대전 서구 어린이 도서관 '길 위의 인문학' 여행 신청하세요! #대전 #서구어린이도서관 은 2008월 1일에 개관하여 서구 지역주민과 영, 유아부터 노인까지 편리하게 이용할 수 있도록 독서환경을 조성하고 #정보취약계층 을 위한 #도서관 서비스 확대 등 이용자 중심의 도서관을 운영 중입니다....",2021. 5. 4.
[대전여행/대전서구여행]어린이날 가고 싶은 여행지! 대전에서 아이들과 마음껏 뛰놀 수...,"대전 한밭수목원 대전 엑스포시민광장 대전 시립미술관 대전 예술의전당 공원, 놀이터, 박물관, 수목원 대전 서구 둔산대로 169 대전에 자주... 조각도 따라하고 술래잡기, 숨바꼭질도 하고 참 좋네요 정자들도 원근감을 주어 작품 같습니다 작품 몇 점 감상하시죠 #대전여행 #충청여행...",2021. 5. 4.
"대전 여행 1일차 (유성구, 중구, 서구, 동구)","7주년 여행으로 갔었던 대전 여행 코스를 9월 23일 9주년 여행으로 다시 다녀왔다. 유성구에 있는 라마다 호텔에서 2박 3일 숙박을 했다. (조심 포함) 9월 22일 입실 → 9월 24일 퇴실 9월 22일 오후 9시 출발 → 10시 30분 도착 (수원에서 대전 유성구까지 1시간 30분 소요) 도착해서 짐을 풀고, 대전 라마다...",2021. 9. 25.
대전 서구 모텔 장태산무인텔 깔끔하고 예쁜 객실 뷰 우정여행 혼여행에도 굳~,주변 여행지 대전 서구 모텔 장태산무인텔의 주변여행지로는요. 먼저 장안저수지가 있어요. 이곳에 오기 전까지는 사실 장안 저수지에 대한 기대가 엄청 컸었어요. 장안저수지 둘레길도 걷고 예쁜 호수와 산도 찍고 등등... 그런데 장안저수지의 예쁜 풍경 사진은 찍을 수 있었어요. 하지만...,2021. 8. 13.
대전 서구 맛집 흑산도 일식,아이들과 함께 다니기 힘든데 대전 서구 맛집 덕분에 잘 먹고 잘 버티다 왔던 여행길~! 여행에서 맛난 맛집은 쉬어갈 수 있는 쉼표 느낌인데요. 여행 가기 전 만나서 여행길에 맛본 맛집은 엄마가 챙겨주신 든든한 도시락같은 든든한 집밥 느낌도 나더라구요. 바리바리 싸들고 호텔 들어가 기분좋게...,2021. 3. 22.
대전(서구) : 갑천누리길 2코스 자전거라이딩 & 자전거여행,따라 대전 서구 정림동 수미초와 정림중 근처 갑천 자전거 전용길까지 제방길을 따라 자전거라이딩을 하는 코스이다. 이 구간은 구비구비 흐르는 갑천의 경치 그리고 노루벌과 구봉산 등을 보면서 구석구석 자전거여행을 할 수 있는 곳이다. ◆ 라이딩 개략도 ◈ tistory로 보기◈ https...,2021. 8. 2.
대전 서구 식당 퀄리티가 좋다,다녀온 대전 서구 식당은 이미 프랜차이즈로도 유명한 현대옥이라는 곳이었는데요 이제 다른 지역으로 여행 가지 않아도 먹을 수 있다 하더라고요 특히나 여기는 이 지역 1호점이라는 게 마음에 들었어요 게다가 차를 가지고 가더라도 테이블당 주차비 천원을 돌려준다고 하니 더 좋아 보였네요 이미...,2021. 10. 11.
"대전 서구 둔산동 ""설천순대국밥""","대전 설천순대국밥 영업시간 : 매일 00시 ~ 24시 (코로나때문에 24시 영업인지는 잘 모르겠어요) 전화번호 : 042-482-4801 주소 : 대전 서구 둔산로51번길... 대전오월드 동물원으로 출발 ! 이번 휴가엔 크게 다녀온곳이 없었어요. 코로나가 가장 큰 이유이기도 했지만, 아이 둘과 함께 하는 여행이라...",2021. 9. 3.
"대전 서구 네일, 네일 맛집 '네일 THE 사랑해'",제주여행을 위해 했던 네일이 시간이 지나서 새로운 가을가을한 느낌의 네일을 하기 위해 방문한 곳 ! 네일 the 사랑해 용문역에서 지하철 타고... 칭찬한가득 받으니 기분 괜히 뿌듯 >-<! #대전네일샵 #대전네일 #대전서구네일샵 #대전서구네일샵 #탄방동네일 #탄방동네일샵 오픈 카카오톡 인스타그램,2021. 10. 7.
대전맛집여행 대전서구차돌박이 이차돌대전괴정롯데점 feat.나도 드디어 가봤다 야호,"금방 먹더라구요 오늘도 맛있게 잘 먹었습니다 깔끔한 가게와 맛있는 차돌박이 돌초밥과 차쫄면은 무조건 시켜야합니다 참고로 6만원이상 식사 이후 리뷰 작성 시 기프트상품권 6,000원도 증정 중이예요 #대전서구차돌박이 #대전서구고기맛집 #대전서구외식 #이차돌대전롯데괴정점 #대전맛집여행",2021. 8. 2.
