header,contents,date
"대전 여행 1일차 (유성구, 중구, 서구, 동구)","대전 유성구 여행코스 1일차 오전 8시에 일어나서 3층에 있는 피트니스 시설을 이용했다. 숙소에 올라가서 손발만 가볍게 씻고, 3층에 있는 레스토랑에서 조식을 먹었다. (조식은 오전 7시 ~ 오전 10시까지 이용 가능) 조식을 마치고 주변을 산책했다. 그리고 숙소에 올라가서 2시간 정도 낮잠을 자고...",2021. 9. 25.
"대전 유성구 행사, 2020 신나는 예술여행, 달밤소풍이 시작되었습니다.","대전 유성구 행사, 2020 신나는 예술여행, 달밤소풍이 시작되었습니다. 매해 가을 저녁을 즐겁게 해주었던 달밤소풍이 돌아왔습니다. 끝날 듯 끝나지 않는 코로나-19로 인해 많은 지역축제가 취소되거나 언택트로 진행되고 있고, 이번 유성 국화전시회도 유성구 일원에 나누어져 진행된 가운데...",2020. 11. 11.
대전유성구호텔 :: 쾌적한 신축 호텔 대전라마다호텔,"그 외에 3층 레스토랑에서 치맥을 테이크아웃으로 즐길 수 있는 프로모션, 스테이크와 파스타, 와인 등의 H가든 커플세트 메뉴를 즐길 수 있는 라마다 커플패키지도 있답니다 :) 요즘 여행도 제대로 못가고 답답하셨다면 대전유성구호텔에서 행복한 호캉스 보내시길 바래요 ^-^ 대전광역시 유성구...",2020. 9. 30.
[대전 여행] 대전 유성구 / 대전선사박물관,지역의 중심 문화공간으로 확고히 자리매김할 수 있도록 앞으로도 최선의 노력을 다하겠습니다. - 대전선사박물관 고인돌 조명 아래의 고인돌 전시 요기 박물관은 그다지 콘텐츠가 없어서 다른 데랑 합쳐 크게 하나가 있었으면 2021. 9. @ 대전 유성구 노은동로 126 (노은동 523) 대전선사박물관,2021. 10. 9.
대전 언택트 관광지 추천 대전 유성구 수통골,"자체 입장객 수 제한을 통해 거리두기 여행을 실천하는 관광지 등의 기준 조건을 선정을 했습니다. 대전광역시에서는 동구 상소동 산림욕장, 식장산 문화공원, 만인산 자연휴양림, 대덕구 대청호 오백리길, 계족산 황톳길, 유성구 국립 대전현충원, 수통골, 서구 장태산 자연휴양림, 한밭수목원...",2020. 7. 27.
대전 유성구 숙소 :) 라마다호텔,대전광역시 유성구 계룡로 127 check in 15:00 check out 12:00 대전여행에서 제일 중요한 숙소고르기 찾다가 가성비 너무 좋고 후기마저 좋은 호텔인 #대전라마다호텔 아고다에서 부티크 더블룸을 미리 예약하고 드디어 방문!!! 주차장이 무슨 끝도 없이 내려가길래 진짜 크긴 크구나 하면서 차들은...,2021. 10. 1.
"[대전/유성구]도안신도시 둘러보기(9블,5블)","대전 도안 신도시 트리풀 시티 9단지 대전 유성구 상대동 대전 도안 신도시 트리풀시티 9단지 아파트 실거래가 앱 '아실'을 이용해서 대전... 그리고 아파트 내부가 깔끔하게 정된 느낌이었고, 아파트 한가운데 연못이 자리 잡고 있어서 가까운 곳에 여행을 온 느낌을 받았습니다....",2021. 3. 18.
대전 유성구 핫플 커피인터뷰 동남아온 느낌쓰,"비가 억수로 오던 날,,, 다녀온 대전핫플 INTERVIEW카페 커피인터뷰 카페 위치는 유성구에 있어서 ktx대전역에서는 위치가 좀 애매해요 하지만 대전은... 그래도 덕분에 주말인데도 포토존에서 줄 1도 안서고 바로 사진 찍었다며..셀프위안 동남아 느낌이 물씬 풍기는 커피인터뷰 여행도 못가니...",2020. 10. 3.
"대전 유성구 카페, 치앙마이가 생각나는 커피인터뷰(coffee interview)",대전 유성구 한밭대로371번길 25-3 영업시간: 매일 11:00 - 22:00 L.O 21:00/휴무없음 전화: 042-823-3712 커피인터뷰 입구 #커피인터뷰 #커피인터뷰입구 정말 이 경치와 건물에 반해♥ 이번 대전 여행때 원픽으로 방문한 곳이이에요! 해마다 떠났던 동남아를 못 가는 한을 여기서 풀기로요 진짜...,2021. 10. 8.
☕대전여행 유성구 카페 커피인터뷰,"내 얼굴은 부끄러우니 모자이크 헤헷 개인적으로 방콕을 좋아해서 나름 자주 여행 갔는데, 코**때문에 나가질 못하니 이런 방콕st 카페가... 또 대전을 가고 싶다는 생각을 하게 해준 초록초록한 예쁜 카페 [ 커피인터뷰 ] #대전카페 #유성카페 #유성구카페 #궁동카페 #대전핫플 #커피인터뷰...",2021. 10. 3.
