header,contents,date
울산 중구 여행 - 울산 '동헌 및 내아'/고복수길,#울산시 #중구 #울산중구여행 #역사유적지 #울산뚜벅이여행 #울산동헌및내아 #고복수길 네하! 20년 08월 21일 오랜만에 뚜벅이 여행 테마는 울산 역사... (한국향토문화전자대전) 여행 중 만난 반가운 어르신이었다 울산 동헌 맨 뒷편의 오송정 할부지 할무니가 마스크도 안하고 앉아계셔서 빠르게...,2020. 8. 23.
"인천 중구 당일치기 여행 (차이나타운, 하얀 짜장면) |지역 N 문화","지역 문화 스토리와 함께 하는 인천 중구 여행 ▶볼거리: 송월동 동화마을 ▶즐길거리: 차이나타운, 개항장 거리 ▶먹거리: 하얀 짜장+ 군것질... ▲ 삼국지, 초한지 벽화거리 ▲ 삼국지 벽화거리 중 적벽대전 삼국지 속 주요 장면들 적벽대전, 도원결의, 삼고초려 등 77개 스토리를 벽화로...",2020. 8. 27.
"보문산 브런치, 아인슈페너, 방방",보문산 전망대 가기 대전에서 최단시간 등산을 할만한 산은 역시 보문산 인거 같아요. Previous image Next image 보문산 가는길 ~! 여행 가는 듯한... 오랜만에 셀카도 찍!★ #야경 #전망대 #보문산 #등산 #동산 #도시락 #소풍 #브런치 #유부초밥 #샤인머스켓 #중구 #대전 #경치좋은곳 아인슈페너에 빠진...,2021. 9. 12.
역사가 문화가 되다 트렌드가 되다 #인천개항기역사길 #소제동철도관사촌,#인천중구 #인천광역시중구 #인천광역시 #인천 #개항기 #인천역 #인천항 #적산가옥 #차이나타운 #인천여관 #루비살롱 #인천개항박물관 #대전소제동 #소제동철도관사촌 #국내여행 #인천여행 #국내여행 #인천중구여행 #대전여행 #도시재생 #문화 #보존 #생활유산,2021. 2. 21.
"울산 성남동 시내 관광명소 동헌및내아, 중구 1박2일 여행코스","오송정엔 상시 바둑판이 몇 개나 놓여 있으니, 바둑 대전이 거행되는 신성한 장소겠죠? 잘 정비된 길을 따라 사뿐사뿐 걸으면 동헌 및 내아 전체를... 울산 중구 여행을 한다면 꼭 코스로 넣길 추천하고 싶은 의미 있는 장소예요. :) 매번 중구에 영화보고 밥 먹으러만 가는 젊은이들!!! 동헌 및 내아도...",2020. 2. 28.
인천 중구 [아이와갈만한곳] 자유공원 연안부두 어시장구경,제2차 세계대전이 일어나자 진주만을 기습한 일본을 공격하여 1945년 8월 일본을 항복시키고 일본점령군 최고사령관이 되었다. 6·25전쟁 때는 UN군... 아가들의 신남은 잠시 접어두고 얼른 나왔어요.. 그래도 잠시 숨통은 트였네요ㅋ 인천 중구 여행지 너무 좋은곳이 많아요 당분간 평일에 다니는걸로~^^,2020. 3. 31.
가맹점을 부탁해 - ㉔ 문화누리카드 신규가맹점 소식(2020.05.10~2020.06.09),"산림치유원, 횡성숲체원, 칠곡숲체원, 장성숲체원, 청도숲체원, 대전숲체원 등에서 산림의 다양한 기능을 체험할 수 있어요! 02. 국립수목원 관광 / 동식물원 경기도 포천에 위치한 국립수목원은 수목과 자연에 대한 이해와 관찰, 휴식공간 제공 및 현장학습을 제공하는 곳으로 방문 1일전까지...",2020. 6. 23.
전국 방방 곳곳 정보 모음/차량진입판 경사로 시공 및 안내,"보물섬투어, 서울시중구 여행사, 서울시종로구 여행사, 신혼여행, 수학여행, 단체여행 2012. 7. 4. (1) 세종강남태양열/대성셀틱... 공룡고기용전점,대전시동구 고기부페,대전시동구 생고기 무한리필,대전시동구 고기전문점,용전동고기부테,대전생고기전문,용전동맛집 2012. 6. 29....",2021. 5. 17.
울산여행 공룡발자국공원에서 화석찾기,큰애기 중구여행 가이드북 발췌 - 어릴 때 대전엑스포공원에 갔다가 공룡 입이 움직이고 소리나는 전시물을 보고 한참동안 잊혀지지않았던 기억이 나네요 그 때의 추억이 항상 마음 한 곳에 있었는데 가까운 울산 중구 공룡발자국공원에서 공룡 로봇들을 만나보니 더 반가웠어요 토요일엔...,2020. 6. 8.
 , , 
 , , 
 , , 
 , , 
 , , 
전국 방방 곳곳 정보 모음/차량진입판 경사로 시공 및 안내,"보물섬투어, 서울시중구 여행사, 서울시종로구 여행사, 신혼여행, 수학여행, 단체여행 2012. 7. 4. (1) 세종강남태양열/대성셀틱... 공룡고기용전점,대전시동구 고기부페,대전시동구 생고기 무한리필,대전시동구 고기전문점,용전동고기부테,대전생고기전문,용전동맛집 2012. 6. 29....",2021. 5. 17.
울산여행 공룡발자국공원에서 화석찾기,큰애기 중구여행 가이드북 발췌 - 어릴 때 대전엑스포공원에 갔다가 공룡 입이 움직이고 소리나는 전시물을 보고 한참동안 잊혀지지않았던 기억이 나네요 그 때의 추억이 항상 마음 한 곳에 있었는데 가까운 울산 중구 공룡발자국공원에서 공룡 로봇들을 만나보니 더 반가웠어요 토요일엔...,2020. 6. 8.
 , , 
 , , 
 , , 
 , , 
 , , 
