header,contents,date
부산여행 부산 강서구 가볼만한 곳,공방 소개는 내돈내산이 아니네요 ㅎㅎ 그럼 모두 코로나 바이러스 조심하시고 건강하세용~ 주차가능 #부산여행 #부산가볼만한곳 #명지가볼만한곳 #부산실내여행 #부산실내데이트 #부산강서구 #부산데이트 #부산근교여행 #부산추천여행지 #부산공방 #부산공방체험 #부산휴가 #부산여름휴가...,2021. 8. 18.
"부산 강서구 여행느낌 가득 카페, 비아조",#강서구카페 #비아조 #부산강서구 #여행 #여행느낌 비아조 부산 강서구 식만로 164 (식만동 828-8) 매일 10:00~22:00 (Last Order 21:30) 차 없이는 가기가 힘든 곳이지만 주차 공간도 널널하고 제주도(?)느낌 물씬나는 비아조 #주차가능 #제주도느낌 #외국느낌 Previous image Next image 날씨가 너무 더운...,2021. 6. 28.
걷기좋은부산 워킹투어..다크투어길(강서구),"떠나는 여행을 말한다. 가덕도는 1904년 러일전쟁이후부터 아시아태평양전쟁까지 '일본의 40년 전쟁기지' 였던 아픈 역사가 있는 곳이다. 걷기좋은부산 워킹투어 다크투어길(강서구)의 코스는 가덕도 대항마을, 외항포마을, 막사, 우물, 장교사저, 적산가옥, 포진지 이다. 가덕도는 경남인줄 알고...",2021. 10. 1.
부산 강서구 비아조 카페 여행 온 기분이에요!,시국에는 여행가기도 힘든데 같은 부산 카페에서 이런 뷰를 느낄 수 있다니 잠시나마 너무 힐링 되는 순간이였습니다 바다뷰가 아닌 강변뷰에요 강서구 카페들은 거의 강변뷰죠 그래도 이렇게나 좋을수가 있더라구요 아기들도 엄청 많았어요 아기들이 뛰어놀수있은 카페 ! 아기들과 함께 오기...,2021. 4. 11.
[부산여행] 부산 강서구 김해공항 근처 대형카페 '페리데스' 다녀온 찐 후기! feat....,부산여행 폿팅 여행은 참 효자네요ㅎㅎㅎ 아직도 몇개 더 남았어용!! 크크 울 잇님덜 질려하지 말아주세요 김해공항 가기 전에 한시간정도 비어서 울 잇님 부산 폿팅 보고 앗 여기 공항이랑 가까운데? 가보자! 완전 만족한 페리데스 카페였어욤 부산 페리데스 주소: 부산광역시 강서구 가락대로 1...,2021. 5. 22.
[부산 여행] 부산 강서구 명지에서 갈삼구이 먹고 온 이야기 (삼성갈미조개),사장님이 서비스로 사이다 한캔 주심 포스가 느껴지는 사장님과 친절한 이모님이 있는 삼성갈미조개 추천합니당 리얼 내돈내산 내 피 땀 눈물 #부산명지맛집 #명지맛집 #강서구맛집 #갈미조개 #갈삼구이 #갈미조개삼겹구이 #갈미조개맛집 #선창회센타 #삼성갈미조개 #서부산여행 #남치니랑,2021. 9. 4.
부산 강서구 신상카페 온든해 매력적인 쌀베이커리 카페,천천히 게임 리뷰랑 다른 여행 리뷰도 하나씩 올려볼게요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 사실 마음 같아선 하루에 2~3건씩 작성하곤 싶지만 노잼시기가 막... ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 얼마 전 부산에 놀러 갔다가 명지 스타필드 가기 전에 잠깐 쉬러 들렀던 부산 강서구 신상...,2021. 8. 25.
부산 강서구 가덕도 맛집 여행,#강서구 #가덕도맛집 #가덕도낚시 #대항마을 #외양포포진지 #맛집 #소희네 오랫만에 #가덕도로 가족이 함께 여행을 갔다. 가덕도 안내 표지판 부산시내에서 자동차로 30-40분거리에 위치해 있다 날씨가 여행하기에 너무 좋다. 입구에 #대항전망대에서 바라 본 가덕도가 아름답게 펼쳐져 있다. 멀리...,2021. 9. 27.
[부산카페/강서구카페] 휴양지 분위기 야외정원카페 '비아조' 아기랑 가기 좋아요!,저는 노엘이랑 친정 부모님과 함께 부산 강서구에 있는 핫플 카페 비아조에 다녀왔어요. 부산 아기랑 가기 좋은 카페 비아조 소개합니다. 한적한... 부산인데도 이렇게 해외여행 나온 분위기가 나니 너무너무 좋았어요. 여긴 또 김해공항 근처라서 실제로 날아가는 비행기도 바로 보이고...,2021. 5. 20.
[부산 : 강서구] 로빈 뮤지엄 / 강서구 카페... 부산 로빈 뮤지엄 / 부산 여행 /,"2021 로빈뮤지엄 부산 강서구 카페 전화 : 0507-1307-1719 주소 : 부산 강서구 신호산단1로140번길 71 1층 영업시간 : 금요일 11:30- 18:00 토,일요일 11:00 - 19:00 월요일 휴무 (매주) 화,수,목요일11:30 - 18:00 저~~~ 번에 언니 오빠 커플이 다녀온 카페 ㅇㅁㅇ ㅋㅋㅋ 언니가 완젼 추천했다구 해서 고고싱! ㅋㅋㅋ...",2021. 6. 25.
