header,contents,date
금정구 구서동 프렌치코드 호텔 부산여행하기 좋은 숙소,부산 금정구 구서동에서 해운대까지 먼거리일줄 알았었는데 자차로 이용해서인가? 그리 멀지 않던걸 부산에 갈만한 여행지 검색을 하다 잊고 있던 해운대 빛축제 정보를 발견하고는 광안리해변에서 해운대로 변경했다지 광안대교와 광안리 해변의 야경을 볼까 했었거든 빛축제도 보고 남푠이...,2020. 1. 28.
"[부산여행] 부산금정구카페 : 헤이든 신씨어, 부산노을뷰맛집","[부산여행] 부산금정구카페 : 헤이든 신씨어, 부산노을뷰맛집 안녕하세요 :) 예슐리입니다, 친구가 차를 뽑아서 친구차타고 멋진 노을뷰보러 달려간 금정구카페 헤이든신씨어 부산 사람이지만 여행든 느낌이 들게 만들었던 멋진 카페였기에 오늘 폴더는 '국내여행' 폴더로 쏘옥 넣었답니다...",2021. 2. 21.
부산 여행 코스 l 다양한 문화를 한 번에 만나다! 부산 금정구 문화 여행 코스,"✨ 그중 부산 금정구에서는 다른 곳에서는 보기 힘든 종교적 장소들이 모두 모여 있다고 해요! 금정구에서 만다는 다양한 종교&문화 여행! 오늘은 그중 3개 장소를 소개해봅니다. 같이 한 번 둘러보실까요?! [1] 범어사 금정구에서 어디를 가야 할까? 하면 빼놓을 수 없는 부산 대표 사찰, 범어사!...",2021. 8. 30.
부산 24시 헬스 금정구 남산동 K.S 바디스타 휘트니스 가족여행 경주 글램핑 두 바퀴로...,"부산 24시 헬스 금정구 남산동 K.S 바디스타 휘트니스에서 경주 글램핑 두 바퀴로 가는 자동차를 소개합니다. 요새는 코로나로 해외 여행을 못가니 국내 여행을 많이 가는거 같아요. 경주 글램핑 두 바퀴로 가는 자동차 위치는 경주 한적한 곳에 위치해 있어서 공기도 좋고, 주위에 산과 들,그리고...",2021. 10. 11.
부산 금정구 가볼만한곳 회동수원지 / 땅뫼산 황토숲길,"회동수원지에 있는 자연과 잘 어울리는 작품인 것 같죠? 오늘은 부산 금정구 가볼만한곳 회동수원지와 땅뫼산 황토숲길 소개해 드렸는데요, 저처럼 부산 금정구 여행이 처음이라면 한 번 찾아보셔도 좋겠습니다. ▼ 부산 금정구로 떠난 여행의 풀 스토리가 궁금하다면 (클릭)",2020. 5. 27.
[부산여행/등산/윤산] 낮은산이지만 경치 뷰가 좋은 부산 금정구 윤산 등산코스,#윤산 #등산 #산행 #부산근교 #낮은산 #경치 #부산여행 #금정구 낮은산이지만 경치 뷰가 좋은 부산 금정구 윤산 등산 오늘은 하루종일 바쁜 일정 일듯 하여 여러 시간 배분 고려하여 낮은산이지만 나름 지역 주민에게 사랑받는 부산 금정구 윤산을 올라갈 계획을 세우고 아침일찍 올라가 본다. 매우...,2021. 6. 27.
[비건과 함께한 부산여행] 금정구 비건 맛집 나유타카페 / 온천장역 카페 모모스커피,"서로 지쳐 제이다님과 인사를 나누는둥 마는둥 헤어짐으로써 10월의 마지막 여행, 부산 비건투어는 진짜로 종료되었다. 짤막한 에필로그. 수서역으로 마중나와준 돌진의 차를 타고 집 근처에 도착하여 버거킹에 들어갔다. 배는 전혀 고프지 않았는데도 이상하리만치 뭔가가 매우 먹고 싶었다....",2021. 7. 18.
"터키여행은 못가지만 부산에서도 터키음식을 먹을 수 있어 : 카파도키아, 금정구...","터키여행은 못가지만 부산에서도 터키음식을 먹을 수 있어 : 카파도키아, 금정구 부산남산동맛집 부산 터키요리 전문점 카파도키아 전경과 음식 둘러보기 이국적이고 멋진 장식품을 구경할 수 있는 레스토랑 카파도키아 입니다 부산 금정구 남산동에 위치해있구요 1호선 두실역과 가까워요 집이랑...",2021. 6. 2.
부산 금정구 맛집 양도 맛도 모두 만족,"분들은 쉬림프볼 적극 추천드릴게요 메뉴가 전체적으로 모두 성공적이었던 홍익돈까스 부산대점에서의 저녁 식사가 너무 만족스러웠어요 오랜만에 보는 친구까지 있으니, 하루의 마무리도 굉장히 기분 좋게, 만족스럽게 했던 날이었어요 #부산금정구맛집 #홍익돈까스 #홍익돈까스부산대점 #부산대맛집",2020. 9. 14.
♡여행♡부산 금정구 오벤느 플라워 앤 커피,남은 시간에 구비되어있는 오일 파스텔로 그리을 그려보았어요 #스튜디오하트 가 조금더 넓고 정리가된다묜 보다 많은 사람들과 만날수있지 안을까 상상해본 시간이였습니다 ☺ #부산 #부산여행 #부산꽃집 #금정구꽃집 #금정문화회관 #부산예술고등학교 #부산동래여중 #부산동래여고 #부산카페 #추석썰,2021. 9. 20.
