header,contents,date
"[부산/신혼여행] 부산 기장군 양장구밥(성게알밥) 맛집 ""미청식당""",미청식당 주소 : 부산 기장군 일광면 기장해안로 1303 시간 : 9시 ~ 21시 주차 : 건물앞 / 건물 옆 주차장 존재(주차 문제 없음) 미청식당은 앞에... (술 못먹은게 아쉽지만...ㅠㅠ) #부산맛집 #부산기장맛집 #기장맛집 #양장구밥 #부산양장구밥 #부산미청식당 #부산성게알밥 #기장양장구밥 #부산여행...,2021. 6. 19.
기장군 여행-기장 바닷가 인접한 곳에 위치하여 전망좋고 여유로운 휴식을 주는 '부산...,"그 여행의 편안한 휴식처를 제공해줄 곳은? 동해 바다가 보이고 한적하며 쾌적할 것. 이 조건을 충족하기 위해 선택된 부산 기장군의 '힐튼 부산' 예약은 아고다, 부킹닷컴, 익스피디아, 호텔스닷컴, 트리바고 등 많았지만 거기서 거기. 네이버 호텔 검색해서 최저가로 예약. 상호 : 힐튼 부산 홈피...",2020. 1. 30.
부산 핫플레이스만 콕콕 찝어 다녀온 여행 후기 (부산 기장군/해운대/광안리/전포동),있습니다 부산 기장군 여행 피크스퀘어 - 죽성드림세트장 #부산기장군 #부산기장 #기장 #기장여행 #감성카페 #감성카페추천 #피크스퀘어 <운영 시간> 매일 11:00 - 21:00 (Last order 20:00) 오션뷰가 기가 ~ 막히는 기장의 감성카페에 다녀왔는데요 부산 기장 여행 다니는 사람들 다 여기에 왔다할 수 있을...,2021. 8. 24.
[여행/부산] 올해는 '기장군'으로-!,"#여행 #부산 #기장군 #기장시장 #꼼장어 #해동용궁사 #기장해변 #송정해수욕장 #일광해수욕장 #마스크 #필수 안녕하세요 여러분 ㅎㅎ! 매년 2번 정도 부산에 가게 되는데, 갈 때마다 올해는 여기! 하고 테마를 잡고 갔었어요! 올해는 ""기장군"" 다녀오기! 사실 코로나-19 때문인지는 몰라도... 저번...",2020. 8. 25.
"별거없는 여름 부산 여행 이야기_ ( 합천국밥집 , 기장군 공극샌드커피 ,남포동...",오늘은 제가 7월에 부산 여행을 다녀온 후기를 이제야..(._.) 남겨 보려고 합니다. 친구랑 저는 완전 증흑적이라 미리 알아보고 간 곳은 거의... 공극샌드커피 주차장 O 부산 왔으니 뷰 좋은 카페는 한번 가야 하니까! 무작정 기장군 검색하고 도착해서 그 주변에서 가장 바다 잘 보이고 괜찮은 곳...,2021. 10. 11.
[부산 기장군]기아난티 힐튼 '이그제큐티브 오션뷰' 후기/친구 2명과 함께 떠나는 여행과...,"결혼 전, 제일 친한 친구들과 함께 부산 기장군에 위치한 아난티코브를 갔다왔어요. 부산에는 워낙 유명한 호텔이 많지만, 그 중 저희는 요즘... 이번 친구들과 여행은 저 포함해서 총 3명인데 제 친구들이 키가 좀 큰편이에요! 저는 평균키(163CM)인데.. 나머지 두명은 키가 167CM, 171CM에요.. (부럽다...",2021. 9. 17.
"나만의 취향을 찾아 떠나는 책 여행, 부산 기장군 이터널저니","나만의 취향을 찾아 떠나는 책 여행, 부산 기장군 이터널저니 부산 기장군에 조성된 휴양 단지 아난티코브에는 특별한 공간이 있다. 아난티힐튼호텔과 더불어 카페, 레스토랑, 스파 등으로 구성된 아난티타운 중심에 자리한 ‘이터널저니(Eternal Journey)’는 단순히 책을 사고파는 서점을...",2021. 9. 14.
부산 가족여행 기장군 해동 용궁사,"여기도 경치가 좋다고 해서 찾아간 해동용궁사 기장군에 있다. 입장료는 따로없었고 주차비는 3,000원이였음 용궁사 가는길에 있는 기념품 판매소 조카들이 사달라고 할까봐 모른척함 ㅋㅋ 12간지 석상들 재율아 너 삼재야 ㅋㅋㅋ 까불긴 용궁사 입구 몇층 석탑이지? 그렇다고 하노라 여기도 계단...",2020. 11. 11.
관찰카메라24 소피국수 파는곳 식당 위치 부산 기장군 먹방여행 190회 60년 전통...,관찰카메라24 소피국수 파는곳 식당 위치 부산 기장군 먹방여행 190회 60년 전통 소울푸드 채널A 관찰카메라24시간 190회 2021년 5월 26일 방송에서는 먹방 여행을 통해 부산 기장군을 방문하여 다양한 먹거리들을 만나 본다고 합니다. 그중에서도 가장 눈에 띈 이 메뉴는 바로 소피국수라는...,2021. 5. 26.
바다낚시여행 / 부산 바다낚시 하러 기장군 일광면 동백리 동백방파제 에 다녀왔어요,안녕하세요 춥지만 한번씩 떠나보는 #대구근교여행 #바다낚시 는 힐링의 시간이네요 오늘 저의 #네이버블로그 포스팅은요 #바다낚시여행 #부산바다낚시여행 입니다 #부산방파제낚시 하러 기장군 일광면 동백리 동백방파제 에 다녀왔어요 #동백방파제 는 부산광역시 기장군 일광면 동백리 위치합니다...,2021. 1. 29.
"[부산 기장군] 목란(木蘭, MOKRAN) - 멘보샤/탄탄면","*주소: 부산광역시 기장군 기장읍 기장해안로 268-32 *전화번호 : 051-604-7294 *영업시간: 매일 11:20 ~ 21:00 - Break Time : 15:00~16:50 - Lunch Last Order : 14:30... 그래도 부산여행 가면 한 번 쯤 다시 들러보고 싶긴 하네요 ㅎ 아난티코브 안에 있는 서점인 이터널저니를 들러보거나, 힐튼호텔 앞 기장 앞바다...",2021. 3. 18.
"부산 기장군 연화리 해녀촌, 전복죽과 푸른 바다",부산여행에서 계획에 없던 부전시장 구경을 한 뒤 원래 계획지였던 기장군 연화리 해녀촌으로 향했습니다. 부전역에서 연화리까지 가는 길은 제법 멀었어요. 전철과 버스를 갈아타고 한 시간 좀 넘는 거리였는데 창밖으로 부산의 모습을 보며 가는 길이 그리 지루하진 않았습니다. 버스로 환승할...,2021. 4. 17.
부산 여행 첫날 기장군 연화리 포장마차촌 다녀왔어요,부산 여행 첫날 기장군 연화리 포장마차촌 다녀왔어요 <2020년 11월 28일 방문 후기입니다> 여신님과 부산여행 떠나기 전 잠시 동대구 엠스타 웨딩홀에 친구 결혼식부터 참석해서 배부르게 먹고 부산으로 출발했습니다~ 뷔페에서 몇그릇을 먹은건지....ㅋㅋㅋㅋㅋㅋㅋ 오랜만에 가는 부산이라...,2020. 12. 5.
"[부산 기장군] 아난티 근처 더 이스트인 부산, 오리불고기 맛집 일등가","[부산 기장] 일등가 오리불고기 매일 11:00-22:00 입장마감 20:30 부산광역시 기장군 정관읍 정관7로 33 주차장O #부산오리불고기 #부산기장맛집... 오션뷰맛집 #부산여행기장맛집 #기장가족외식하기좋은곳 #주말나들이 #기장주말나들이 바람도 쐴겸 기장으로, 엄마가 예전부터 추천했던 일등가...",2021. 9. 4.
[중식당 목란/부산 기장군 힐튼호텔] 요리와 식사가 괜찮은 중식 맛집,가격이나 맛에 대해 호불호가 조금있던데 오픈한 지 수 년이 지났는데도 여전히 성업 중이고 개인적으로는 별다른 불만없었던 곳입니다. #목란 #중식당목란 #기장맛집 #부산맛집 #기장군맛집 #힐튼호텔부산 #힐튼호텔부산맛집 #기장힐튼 #아난티타운 #아난티타운맛집 #기장힐튼 #부산여행,2021. 8. 19.
"부산 기장군 멸치 한 상 요리, 소피국수 맛집, 관찰카메라24 먹방여행 부산 기장 대왕...","채널A <관찰 카메라24> 191회 방송 다시보기 2021년 5월 26일 수요일 저녁 8시 10분 <관찰카메라24> 방송에서는 먹방 여행 – 반백 년은 기본! ‘부산 기장군’ 맛 기행 편이 방영되며, 부산 기장에서 가볼만한 여행 장소와 먹거리, 맛집이 소개됩니다. 먹방여행 부산 기장 대왕 멸치 한 상 식당 위치...",2021. 5. 26.
[부산광역시/기장군] 카페공지 / 공지커피 / 기장군 카페 / 기장 카페 / 기장 여행,"다 팔리네. 안녕, 기장 카페 공지,카페 공지, 공지커피 뭐라 불러도 좋아.나는 지금 여행 중이니까. 다음에 또 올께라는 말을 남기며...안녕. 공지커피 카페공지 부산광역시 기장군 기장읍 기장해안로 509 부산광역시 기장군 기장읍 연화리 195-2 Tel. (051) 722-6060 Open 10:30 - Close 22:00",2021. 9. 8.
한국 삼대 관음성지 '해동용궁사(부산 기장군),수상 사찰 해동용궁사(海東龍宮寺) 교통안전기원탑 부산 기장군 소재의 해동용궁사는 여느 사찰과는 달리 산중이 아닌 동해의 최남단에 터를 잡은... 이런 계단은 한국에서 해동용궁사 한 곳뿐이라는 셀프 자랑 108 장수 계단을 지나 지상의 용궁 여행을 본격적으로 시작합니다. 바다 여행 중 해안가...,2021. 4. 12.
부산기장군 여행~동해남부선 타고 일광역 일광해수욕장까지~,기장군 일광면 일광역 앞에는 이렇게 직접 농사지은 농작물을 노점에 갖고 나와 파시는 아주머니 아저씨들이 매번 만나집니다. 우리도 고구마줄기 한봉다리 가득 사들었답니다 ㅋㅋ 일광역 앞 지난 휴일 동해남부선 타고 부산기장군 일광면 일광역까지 즐거운 여행의 일부 내용이랍니다.,2021. 7. 20.
[부산여행] 기장군 달음산 자연휴양림,같습니다 부산여행 계획하실때 참고하시라고 매장과 가까운 휴양림 하나 소개해 드리려구요~ 부산은 제2의 도시로 화려하고 사람들도 붐비지만... 명소인 부산 기장군에 있는 달음산에 위치하고 있는 국립 달음산 자연휴양림입니다 (출처: 국립달음산자연휴양림 홈페이지) 국립 달음산...,2021. 7. 7.
[부산 해동 용궁사]해동용궁사.부산여행.부산시 기장군 여행.,깊은 산속의 고즈넉한 절과 다르게 깊고 푸른 바다처럼 저희를 품어주는 절 역동적인 파도처럼 생기넘치는 절의 느낌이 듭니다. 코로나로 답답한 요즘 주말의 가족들과 한번 방문 해 보세요. 해동용궁사 : 부산 기장군 기장읍 용궁길 86 (지번) 기장읍 시랑리 416-3,2021. 2. 25.
부산 기장군 대변항 연화리,"역시 #부산여행 을 오면 필수코스인 이유가 있네요,,, #기장군여행 은 아울렛도 많이 가지만 예쁜 바닷가가 있어서 눈요기를 많이 할수 있어서 좋습니다. 콧바라 제대로 쐬고 있는 중입니다. 바닷가 갯바위에 올라가서 사진을 찍어봤는데요,, 운치 있네요~ 코로나가 기승을 부리고 있는 요즘인데도...",2021. 9. 6.
부산 기장군 지수농원 오리고기 3코스 가성비 철철 내 군침도 철철,"한식이어서 가족 여행 때 부모님과 함께 가도 정말 좋을 듯!~! 지수 농원, 멀지 않은 미래에 다시 가보고 싶은 곳이다. 오리고기 진짜 잘 먹고 왔다. 야~~~ Ho~~~~~~~ 지수농원 / 식당 지수농원 / 기장군 식당 / 기장군 오리고기 / 부산 식당 / 부산 오리고기 / 기장군 / 부산광역시 주차공간 식당 주위 길가?!...",2021. 9. 17.
부산 기장군 핫플 카페 웨이브 온 커피 (WAVE ON COFFEE) 바다뷰,부산여행 21.08.03 ~ 21.08.04 (여행 2일차) 안녕하세요 염식입니다 오늘 소개해드릴 곳은 부산 기장군 카페 웨이브온커피(WAVE ON COFFEE) 입니다. 여행 마지막 도착지로 기장에 있는 낮이고 저녁이고 둘 다 이쁘다는 카페를 오게 됐어요 웨이브 온 커피(WAVE ON COFFEE) 부산 기장군 장안읍 해맞이로 286...,2021. 8. 31.
부산 기장군에 등장한 5.8m 젖병? 과연 그 정체는?,"부산 기장군에는 해동용궁사, 죽성성당, 아홉산숲 등 멋진 자연 경관을 느낄 수 있는 곳이 가득하다. 기장으로 여행을 간다면, 앞서 소개한 이색 등대들도 함께 방문해보는 건 어떨지. 유건우 여행+ PD ↓↓↓ 이 글 영상으로 보기 ↓↓↓",2021. 3. 14.
[부산광역시 기장군 여행] 부산 기장에서 즐기는 1박 2일 바다 힐링 여행,"깔끔한 맛집 ⭐⭐⭐⭐ 1박 2일 부산 기장 여행과 함께한 하운드 호텔 일광 (주저리주저리,,, 제가 부산광역시 기장군에서 하운드 호텔 일광을 선택한 이유입니다.) 작년, 미소 엄니가 소방안전관리자 1급 자격증을 서둘러 취득해야 하는 상황이었기에 가장 빠른 시험을 접수했습니다. 그 당시, 가장...",2021. 7. 1.
