header,contents,date
9043-183 부산남구 우암동 여기저기... 옛모습 부산촬영 오늘일기 부산여행...,오늘일기 부산여행 부산 남구 우암동 여기 저기 2021년 5월 우암동 해양 어쩌고 저쩌고 한다고 공사중..... 무슨 자기네 나라 일도 제대로 못하면서 지구대통령꿈을 꾸다니..... 유아인이 어이가 없다고 하더라 정면에 저멀리 산에는 사라지고 없는 우암동 옛동네들... 그리고 지금은 조합원의...,2021. 5. 27.
부산 남구에서만 즐길 수 있는 특별한 당일치기 여행 (feat. 버스),"포토존에서 만난 어린왕자 내 고장 남구로 떠난 당일치기 여행, 일반버스를 타고 여행을 즐겨 더욱 편하고 여유롭게 즐길 수 있었어요. 대중교통(버스)와 함께한 당일치기 부산 남구 여행 남구 SNS 서포터즈 3기 김건호 취재 및 제작",2021. 5. 24.
[부동산]부산임장기#2/부산여행/북항재개발/해운대구/수영구/남구/동구/영도구,의왕 백운해링턴플레이스 B) 부산 부동산 임장이야기 1. 남구 용호동 오륙도 SK뷰 2. 남구 용호동 W 3. 서구 송도힐스테이트이진베이시티 4.... 저도 그동안 처음 몇 번의 부산 여행은 센텀시티와 마린시티에서 주로 시간을 보냈어요. 핫한 곳들도 가보고 주변을 많이 걸어보기도 했구요. 특히...,2021. 8. 26.
부산남구여행 속 못골골목시장의 매력은 어느정도일까?,#부산남구여행 어떻게 하면 좋을지 카드뉴스를 통해 만나보실게요! 부산에 살고 있는 현지인인 제가! 맛집도 찾아보고 인생사진도 찍을 수 있는 코스를 알차게 짜봤답니다! 다들 기대가 되시나요?'ڡ'४ 우선 부산역이 출발지라고 생각하고 #부산여행코스 를 짜보게 됐는데요 정말 갈 곳이 많아서...,2021. 9. 4.
"부산, 자연 속에서 잠시 쉬어가며 걷기 좋은 곳 [부산광역시 남구 힐링여행] ④","출처: 한국관광공사 오늘은 벌써 부산시리즈 4탄인데요, 열심히 준비한 만큼 알차게 소개해드리려고 노력하고 있습니다 부산광역시 남구 여행 코스 추천! 부산의 자연을 즐기며 여유 부리며 산책하기 딱 좋은 곳을 중심으로 준비해보았습니다. 부산은 서울에서 꽤 거리가 있으니, 저희...",2021. 9. 10.
"부산여행 남포동, 남구 맛집 봉오리산 탐방기 02","일상 자랑 부산여행 남구&남포동 맛집 봉오리산 탐방기 02 인스턴트 카레와 미트볼로 아침을 해결하고 첫날 숙소와 작별인사를 했습니다. 다음날 묵을 숙소 근처에 ""코쿠이""란 카페에서 커피를 한잔했습니다. 디테일이 여러모로 좋은 카페였어요! 저 티타늄컵이 예뻐서 구매 가능하냐고...",2021. 9. 13.
부산 남구 오륙도 스카이워크::부산여행 갈곳없을때 가볼만한곳 비추,부산 남구 오륙도 스카이워크::부산여행 갈곳없을때 가볼만한곳 부산 여행 많이도 갔고 가볼만한곳 웬만한곳 다 가봐서 안가본곳 한번 가보자 싶어서 검색하여 간 곳이 부산 오륙도 스카이워크 임. 부산 오륙도 스카이워크 네비찍고 해운대에서 출발. 시간은 30분 조금 안걸렸던것 같다. 부산 남구...,2021. 4. 28.
"[부산 여행 l 남구] 장어덮밥 히츠마부시 맛집 W스퀘어 ""코가네""",안녕하세요 코코다일이에요:) 부산 여행을 갔을 때 맛있게 먹었던 장어덮밥이 있어 소개해 드리려고 해요 코가네 부산 남구 분포로 145 W스퀘어 1층 A동 1074호 (이벤트홀 바로 옆) 매일 11:30 - 23:59 브레이크 타임 15:00 - 17:00 월요일 정기휴무 ***-***-**** 부산에 살지 않는 코코다일과 일행들은...,2020. 11. 15.
부산여행코스 해안따라 영동구 남구 해운대구 찍어볼까,부산여행코스 해안따라 영동구 남구 해운대구 찍어볼까 매년 겨울 빛축제로 매년 수국축제로 나를 유혹하던 부산 여행을 '코로나19'로 작년에 가지 않았다 다른 사람들에 비해 평균 이상으로 다니는 여행이기에 내가 참자 했는데 1년만에 다시 찾은 부산은 그새 바뀌기도 그대로이기도 하다 이번...,2021. 5. 12.
"부산남구] ""국립 일제 강제 동원 역사관""/ 아이가 있다면 꼭! 같이 가봐야 하는 우리의...",저는 비대면 강의도 있다하여 한 번 알아보려구요 #부산 #부산여행 #부산가볼만한곳 #부산초등학생 #부산남구가볼만한곳 #부산초등견학 #부산초등학생과가볼만한곳 #부산국립일제강제동원역사관 #국립일제강제동원역사관 #국립일제강제동원역사관견 학 #아이와함께국립일제강제동원역사관...,2021. 10. 10.
