header,contents,date
"부산, 가 볼 만한 곳 부산역과 가까운 동구여행, 부산역 앞 김해공항 리무진 버스도 있음....","동구에는 유난히 옛 힘들었던 시간들의 흔적이 많이 남아있다. 가 볼곳이 많지만, 부산국제영화제에 참석하고 잠시 틈이 난다면, 부산역에서 아주... 무료다 ~ 생각해 보니 우리가 유럽 여행 갔을 때 꼭대기 까지 올라갈 때 타는 푸니쿨라가 모노레일(?)이다. 잠시, 모노레일 타기 전, 계단 위 작은...",2021. 10. 9.
"부산 여행 코스, 동구 초량 이바구길 생활관광 브이로그 BEST 5","Busan 부산 여행 코스, 동구 초량 이바구길 BEST 5 - 부산의 찐 로컬을 만나고 싶다면 초량 이바구길 - 얼마 전 부산 가볼만한곳으로 동구 초량 이바구길 블로그 포스팅을 했는데요. 친구랑 함께 가서 찐으로 즐거웠던 여행이라 이참에 브이로그 영상도 만들어보았어요. 완성본은 망고요정 TV에도...",2021. 6. 18.
2021 생활관광:: 반나절 명란한 부산 동구 여행,"체험과 부산광역시 동구에서 진행되는 현지 나들이형 여행 중 어떤 것을 선택할지 고민을 많이 했어요. 강진군 2021 생활관광은 강진에서 1주일간 푸고 농가에서 농촌 체험을 하는 프로그램으로 짜여 있어요. 농촌 체험을 한 번도 안 해본 저로서는 농촌 생활이 궁금하기도 했고, 일주일간 도시...",2021. 6. 7.
"부산여행,부산가볼만한곳,동구도서관,책마루전망대","흐린 하늘과, 그리고 내리는 비까지 더할나위 없었던 부산여행, 동구도서관 책마루전망대에서 보낸 하루의 일기입니다. 부산동구도서관 옥상에 책마루전망대라는 곳이 있습니다. 여기는 부산동구시내가 훤히 보이는 전망 좋은 곳이에요 네비에 동구도서관으로 검색하시면 되구요 도서관 앞에...",2021. 8. 15.
부산 동구 여행 - 좌천동 기찻길 로드와 이바구길,부산 동구 가볼 만한 곳 - 좌천동 기찻길 로드와 좌천 이바구길 - 부산 동구 SNS 서포터즈 공민서 - 장마가 지나고 아주 오랜만에 맑은 날이 찾아왔어요. 그 틈을 타 간단히 산책할 수 있는 코스를 찾아보았는데요. 바로 부산 동구 좌천동에 위치한 이바구길입니다! 좌천역 지하철역 4번 출구로 나와...,2020. 9. 9.
이중섭전망대 거리미술관을 걸어보다 [부산동구/랜선여행],부산광역시 동구 증산로 168길에는 우리나라 미술계에 있어서 한 획을 그은 미술가를 기리는 장소가 조성되어 있는데요. 일제강점기에서부터... #이중섭 #이중섭전망대 #이중섭거리 #부산이중섭전망대 #부산이중섭거리 #부산여행지 #거리미술관 #범일풍경마루 #희망길100계단 #난간갤러리 #섭이...,2020. 10. 11.
"나훈아의 고향, 부산 동구로 랜선여행 떠나보자! 부산 동구 여행 코스",부산 동구 랜선 여행 코스 ' 울긴 왜 울어' 나훈아 님의 '머나먼 고향' 으로 '친구여' 함께 떠나자! 우리의 테스형! 나훈아님은 부산 동구 초량 출신의 대표 연예인이예요. 나훈아님의 흔적을 찾아 떠난 부산 동구에는 무궁무진한 매력이 숨어있었습니다 ❤ 나훈아님의 어린 시절 흔적부터...,2020. 12. 9.
[부산 여행] 동구의 명소 이바구길 - 웹툰 이바구길 + 좌천동 경사형 엘리베이터...,[부산 여행] 동구의 명소 이바구길 - 웹툰 이바구길 + 좌천동 경사형 엘리베이터 + 성북전통시장... 여행을 좋아하지만 솔직히 말해 국내 여행은 그닥 좋아하지 않는 편... 주말이면 어딜가나 길막혀 + 주차대란 + 바가지 요금에~~~ 성수기 제주 롯데나 신라 호텔의 요금이 왜 때문에 1박에 5~60만원씩...,2020. 4. 29.
[부동산]부산임장기#2/부산여행/북항재개발/해운대구/수영구/남구/동구/영도구,동구 북항재개발 생숙(G7/드메르/동원) 부산은 해-수-남-동 브역대신평초 해운대구 한신빌리지 / 우동 3구역 재개발 부산 부동산은 해 / 수 / 남... 저도 그동안 처음 몇 번의 부산 여행은 센텀시티와 마린시티에서 주로 시간을 보냈어요. 핫한 곳들도 가보고 주변을 많이 걸어보기도 했구요....,2021. 8. 26.
[부산가볼만한곳/부산여행](재)부산광역시도시재생지원센터 원도심재생투어 1탄(동구편),"일단 첫번째 지역으로 부산의 원도심 중에서 동구 지역을 여행합니다. 일정은 10월 16일부터 매주 목,금,토,일에 진행합니다. . . 그리고 제일 중요한것은... 참가 비용이겠죠? 참가비용은 바로! ""무료"" 입니다. (재)부산광역시도시재생지원센터에서 부산도시재생 체험으로 제공하는 기획상품으로...",2020. 10. 14.
