header,contents,date
[부산 여행] 부산 동래호텔 - '하운드호텔... 좋은 동래구호텔 발견(feat. 글램핑룸 숙박...,[부산 여행] 부산 동래호텔 - '하운드호텔 미남역점' 도심속 감성적인 글램핑에서 호캉스하기 좋은 동래구호텔 발견(feat. 글램핑룸 숙박 후기) 안녕하세요 잇님들~^^ 오늘도 날씨가 너무 덥네요! 가만히 있어도 숨이 턱턱 막히는데 정말 올해 여름에는 얼마나 더울지... 상상하기 싫네요~^^ 덥지만...,2021. 6. 23.
[부산여행] 부산 동래구 낙곱새 소문난원조조방낙지 본점 내돈내산 솔직후기/주차,오늘은 부산여행 둘째날 드디어 부산 낙곱새먹으러 동래구 소문난원조조방낙지 본점으로 출발!! 상호 : 소문난 원조조방낙지 본점 영업시간 : 오전 10시 30분 ~ 저녁 9시30분 쉬는시간 : 3시30분 ~ 5시 (주말 및 공휴일 제외) 쉬는날 : 매주 월요일 휴무 주소 : 부산 동래구 명륜로94번길 37 주차 : 가게...,2021. 5. 20.
부산호텔 동래구 브라운도트 호텔 사직야구장점,샤워기 수압은 어찌나 좋은지~~~ 따뜻한 물로 샤워하니까 여행 중 쌓였던 피로가 사르르 풀리더라구요!! 부산호텔 동래구 브라운도트 사직야구장점 객실 내부를 영상으로 담아봤습니다!! 사직야구장이 바로 근처라서 맛집도 다양하게 있었는데요~~ 이날 오후 일정으로 멀리 장림포구까지 다녀오느라...,2021. 4. 23.
"부산 동래구 활어회 전문점 ""사계"" 다녀왔었어요",위치 : 미남역 6번 출구에서 도보 2분 ( 191m ) 주소 : 부산광역시 동래구 미남로 126 운영시간 : 매일 17시 - 02시까지 저희는 주류를 곁들이기 위해... 가족들 모두 모여 맛있는 식사 자리도 만들고 싶고 친구들과 모여 술도 한잔하고 싶고 서방이랑 해외여행도 다니면서 로맨틱한 시간 만들고 싶고...,2021. 1. 9.
부산동래구 숙소좋은곳-농심호텔 -온천허심청,멋진 정원에 멋진 연못에 잉어들도 놀고 있네요. 여행첫날마지막으로 부산의 야경을 보러 갔어요. 택시를 타고 만덕고개 누리길 전망테크로 야경을 보러 갔는데 길이 꼬불꼬불했지만 넘 운치있고 좋았어요. #부산여행 #부산동래구숙소좋은곳 #부산농심호텔 #허심청 #비어가든,2021. 10. 6.
"[부산] 백객도 :: 동래구 간짜장, 탕수육 웨이팅 필수맛집! 배달불가! 부산여행 맛집!",탕수육 너무 맛있어ㅠㅠ 부산 소문의 간짜장 찐맛집 백객도! 간짜장 뿐만아니라 탕수육 도 찐맛집이다!!! 추천 100만개 맛집 인정!! #백객도 #부산간짜장 #부산탕수육 #부산여행 #국내여행 #동래구간짜장 #동래구탕수육 #옛감성맛집 #부산간짜장맛집 #부산탕수육맛집 #찐맛집 #내돈내산,2020. 8. 16.
"(부산 여행) 부산 동래구 가볼만한곳, 복천동 고분군 / 복천박물관 / 동래읍성...","마음만은 풍요로운 아니, 저처럼♥️ 마음도 풍요로운 추석 되시길 진심으로 바래봅니다 #부산동래구가볼만한곳 #동래구가볼만한곳 #복천동고분군 #복천박물관 #동래읍성 #장영실과학동산 #동래구민 #엠게이G의세상에도레미치다",2021. 9. 20.
[부산여행/녹천온천호텔] 부산 동래구 허심청 부근 녹천온천호텔 온천수 정말 좋답니다.,추천을 받아서 처음 투숙을 했을때 너무 좋아서 그후로는 자주 이용을 하고 있답니다. 성인 2사람이 들어가면 조금 비좁게 느껴질만큼 욕조는 작지만 깊이가 있어서 온천욕을 즐기기에는 안성맞춤이더라구요 여행이나 출장중 피로를 풀기에는 안성맞춤인 부산동래구 녹천온천호텔 강추합니다.,2020. 7. 21.
"부산 동래구 사직동 방4개 아파트 어디일까요②한신아파트,삼정그린코아1차","코로나가 장기화 되면서 여행이나 외부활동이 점점 어려워짐에 따라서 집 인근의 숲과 공원이 있어서 쉽게 산책이나 운동을 할 수 있는 아파트 단지가 점점 인기가 높아지고 있습니다. 숲세권, 공세권아파트의 수요가 증가하고 있습니다 부산사직동 동래구 사직동 아파트 가운데에서도...",2021. 7. 17.
부산빌라매매 동래구 안락동 전세가격으로 내집마련,부산빌라매매 동래구 안락동 전세가격으로 내집마련이 가능하다니 반갑습니다.3일간의 남해여행을 마치고 부산으로 오늘 복귀했는데요. 오자마자 계약이 있어서 이제야 시간적 여유가 생겼네요. 남해 갔는데 비도 안오고 날씨가 좋아서 너무 좋았었는데요. 폭염으로 온도고 36도까지...,2020. 8. 19.
