header,contents,date
"[부산진구] 양정동 다올막창 - 대구막창,문현곱창,뜻밖에 맛집 발견 / 부산여행,양정역...","부산여행에서 발견한 뜻밖에 맛집 소개합니다. 제목 보고 들어오셨겠을테니 곱창, 막창집랍니다. 다올막창 [ 영업시간 ] 매일 16:30 ~ 24:00 [ 주소 / 전화번호 ] 도로명 : 부산 부산진구 중앙대로909번길 6 지번 : 부산 부산진구 양정동 393-18 ***-***-**** [ 건물 외관 ] 대로변에서 조금만 들어가면 나오는...",2021. 9. 11.
[부산광역시/부산진구/전포동] 양산도... 부산 양산도 / 부산 장어 연어 맛집 / 부산 여행,"부산 여행 중에 검색과 동시에 네비 찍고 간다.필feel이 온다. 여기다. 바로 왔는데, 평일 점심시간인데, 웨이팅도 안 하고 왔더니... 기다려야... 양산도 히츠마부시 / 부산 맛집 / 부산진구 맛집 / 전포동 맛집 / 부산 양산도 예전에 정준하가 일본에서 장어 먹는 걸 봐서... 대충은 다양한 방법으로...",2021. 9. 13.
[부산여행] 부산 부산진구 서면 “아이비호텔”,"""아이비호텔"" 네이버 플레이스 - 아이비호텔 아이비호텔(IB Hotel) 0507-1410-5678 부산광역시 부산진구 서면로 15-14 주차는 건물 입구쪽으로... 좋았어요 ㅎㅎ 서면 번화가에 묵을땐 좋을거 같아요! #부산여행 #부산2박3일여행 #부산3박4일여행 #서면 #부산호텔 #서면호텔 #아이비호텔 #travelog #reviewlog",2021. 6. 21.
"부산 여행｜부산진구 야경명소 BEST 5곳 알아보고, 지도 받기","#부산야경명소 #부산진구여행지도 #부산진구의밤 1. 서면 젊음의 거리 (도심의 야경) 부산진구라고 하면 서면을 가장 먼저 떠올리시지 않을까 생각되는데요. 부산 도심의 야경을 가장 잘 볼 수 있는 곳이기도 합니다. 서면 쥬디스 태화 주변 일대의 거리를 젊음의 거리, 음식 거리, 학원 거리...",2021. 9. 23.
"부산 예술여행(사상구, 중구, 부산진구) 2020 공공미술프로젝트 우리동네미술...","문화체육관광부와 각 지자체가 주관한 2020 공공미술프로젝트 우리동네미술 공모사업으로 부산 16개 군·구의 유휴 공간은 새로운 명소로 탈바꿈했는데요. 모범 사례로 손꼽히는 사상구, 중구, 부산진구로 여행을 떠났습니다. ■ 서면愛 굴다리 아트벤치길(아트플랜 통) * 2020 공공미술프로젝트...",2021. 6. 26.
걷기좋은부산 워킹투어.. 또보길(부산진구),"나는 부산진구에 주소를 둔 사람이기도 하고, 코스를 살펴보니 새벽마다 걷는길이라서 오늘의 걷기는 또보길로 정했다. 또보길이 뭔뜻인고?... 서면과 전포동 카페거리 구경과 워킹투어 도장의 노예가 되고픈 사람들 있다면 고고고~~~~ #걷기좋은부산 #걸어서부산여행 #부산을걷는다 #또보길",2021. 9. 11.
[기자단] 시내버스 타고 부산여행 하자 - 부산진구편,"[부산시민공원] 그리고 추천하는 마지막 부산진구 여행지는 부산시민공원입니다!! 부전시장입구(서면역근처)에서 103번, 83-1번, 33번 버스를 타고 국립부산국악원에 하차해서 3분정도 걸으면 시민공원이 나옵니다! 서울한강에 맛들인 저는 부산에 내려와서 비슷한 곳을 찾다가 강은 없지만 숲에서...",2020. 8. 23.
[부산더존경매]부산진구 범천동 서면이편한세상 아파트경매,"대체공휴일로 여행가기 딱 좋은 시기지만 코로나로 자유롭지 못한 마음 붙잡고 ^^ 서면이편한세상 32평형 포스팅을 즐건 맘으로 시작해볼께요~ #[2021타경 694] 부산 부산진구 범천동 1054, 서면이편한세상 103동 302호/ 아파트 경매# 입찰정보 부산 법원 경매 본 물건은 감정가격...",2021. 10. 9.
부산진구맛집 ] 부산 3대 밀면 맛집 - 개금밀면,부산여행중 맛있게 먹었던 밀면집이 생각나서 구글사진첩을 뒤적여보다가 찾아냈습니다. 상호는 개금시장에 위치한 개금밀면입니다. 아마... 꼭 고기모듬 추가해서 드세요 개금밀면 ***-***-**** 부산 부산진구 가야대로482번길 9-4 영업시간 매일 10:00 - 19:30명절 당일 휴무,2020. 3. 16.
부산 여행 맛집 추천 부산진구 전포 서면 마라탕 마라훠궈전골 라라관,남 마라를 좋아하는 사람은 경험하기를 추천 난 좋았음 마라훠궈전골 마라탕 부산여행 서면 전포 부산 맛집 추천 라라관 이게 오일리한 기름장을 잘 보여줄 수 있는 영상임 마라탕 마라훠궈에 마늘 기름장 맛있음 부산여행 부산진구 전포역 서면역 마라탕 마라훠궈전골 맛집 라라관 가는방법 위치 지도,2020. 11. 30.
