header,contents,date
[부산여행 추천] 부산 북구 화명수목원,"오늘도 제 글을 읽어주신 이웃님들께 감사드리며 남은 오늘 하루도 좋은 시간 되시길 바랄게여:-) 그럼 저는 이만, 다음 포스팅에서 만나요~ #부산 #화명동 #화명 #화명수목원 #율리 #수정 #덕천 #부산볼거리 #부산놀거리 #부산가볼만한곳 #부산화명 #화명역 #부산북구 #피톤치드 #부산여행...",2020. 10. 13.
"한국의 성곽여행 부산 북구 ""구포왜성""","한국의 성곽여행 부산북구 ""구포왜성"" 구포왜성(龜浦倭城) 구포왜성은 임진왜란때 왜군이 낙동강을 기준으로 김해,양산을 연결하는 길목에 군사적 목적으로 쌓은 일본식 성으로 김해 죽도성의 지성이다 구포왜성을 감동포성이라 부르는데 구법곡의 진이라 고 한다. 조선시대때 지금의 구포역...",2020. 1. 6.
[연말 결산] 부산 북구를 대표하는 관광명소로 떠나는 1박2일 여행 코스~! #코로나가...,"▲ 매력이 넘치는 '부산 북구' 지금까지 제가 2020년 올 한 해를 보내며 선정해본 부산 북구 1박 2일 여행 코스 어떠셨나요? 아직까지 코로나19의 상황은 좀처럼 나아지지 않고 몸도 마음도 힘들지만, 또 다른 희망의 2021년을 기원하며 코로나가 종식되고 나서 갈 여행지를 찾아보거나, 새로운...",2020. 12. 18.
<부산북구아동발달센터> 아동의 우주여행,"이렇게 멋진 작품을 완성하였네요^^ 선생님들 눈에는 우주 여행을 하는 것 같은데 우리 아동은 무엇을 생각하며 작품을 완성하였는지 너무... 전화: 051-361-9377, ***-****-**** 카카오톡: 보듬아동발달센터 인스타: 보듬아동발달센터(bo.deum) #부산아동발달센터#부산북구아동발달센터#화명동아동발달센터...",2021. 9. 1.
부산 북구 문화예술 플랫폼 B 만세 갤러리 공간의 작가들 전시회,부산 북구 문화예술 플랫폼 B 만세 갤러리 공간의 작가들 전시회 안녕하세요 루미입니다. 오늘은 부산 북구 구포역 근처에 위치한 문화예술 플랫폼... 저기 바로 앞에 북구 여행 팸플릿과 오늘의 전시회인 공간의 작가들 팸플릿? 이 있어서 하나 들고 왔는데 저거 안에 전시회 사진들이...,2020. 12. 11.
부산_북구_일몰_#덕천동_#구포동_#부산북구일몰,부산 북구. 이제 이 오랜 이름이 바뀔지도 모를 것 같다. 뭔가 예감이 좋지 않다. 북구청에서 뭔가를 계속 시도하고 있다. 일본식 잔재적 이름이니... 출사를 소개하는 네이버 여행 인플루언서 부산남자진웅이입니다. 위의 링크를 클릭하셔서 팬하기 버튼을 부르시면 진웅이의 팬이됩니다. 퀄러티...,2021. 9. 20.
"부산 북구 가볼 만한 곳, 구포만세거리와 구포시장, 문화예술플랫폼","부산 북구 여행, 구포만세거리와 구포시장 그리고 문화예술 플랫폼 B 구포시장 주소 : 북구 구포시장 1길 17 문의 : 051-333-9033 (상인회 사무실) 400년 역사와 전통을 가진 부산 최대의 5일장이다. 야채 수산물, 의류 등 다양한 특성과 테마를 가진 거리들이 조성되어 있다. 매월 3일과 8일로 끝나는...",2020. 6. 1.
부산 마사지 만덕 커플 마사지 어제 오픈했네요 (풋 북구 덕천 화명동 동래),"제가 여행 갈 때마다 풋 마사지를 북구, 덕천, 화명동, 동래 등등 다양하게 돌아다녀 봤지만 제일 만족스러웠던 곳이에요 < 더하노이 풋앤바디 덕천점 > □ 주소: 부산 북구 만덕대로 169 보성빌딩 4층 □ 영업시간: 10:00 - 01:00 연중무휴 □ 예약전화: ***-****-**** □ 051-338-8567 덕천 마사지...",2021. 9. 3.
★부산 북구 햇빛 유치원 스페셜데이 – 인어공주와 바닷속 여행★,학부모님들 안녕하십니까 ~ ♥'-'♥ 부산 북구 햇빛 유치원입니다! 오늘은 인어공주로 변신하여 '바닷속 여행'을 준비했습니다>_< 인어공주로 변신한 햇빛둥이들과 인어공주 선생님과 함께 바닷속으로 출발~~ 알록달록 컵을 이용하여 Previous image Next image 인어공주가 사는 성을...,2021. 6. 29.
부산 북구 화명생태공원 튤립꽃말... 가족나들이 데이트코스 부산여행추천 봄꽃축제,부산 북구 화명생태공원 튤립 철쭉 장관 부산 아이와가볼만한곳 주말갈만한곳 가족나들이 데이트코스 부산여행추천 봄꽃축제 오늘 바람은 불어서 쌀쌀하긴했지만~ 날씨가 너무 맑아서 제과학원 끝나자마자 집으로 오니 집에있기 너무 아까운날씨더라고요~~~ 시계를 보니 오후 5시가 넘었지만...,2021. 4. 10.
"부산 북구, '2021 대한민국 책의 도시'로 선정","북구는 선포식과 함께, 이웃과 나누고 싶은 책을 여행 가방에 담아 전시하는 시민 참여 프로그램 ‘책 캐리어 컬렉션’ 등 다양한 독서 행사를 연중 운영하며, 누리소통망(SNS)을 통한 온라인 행사도 이어갑니다. 9월 3일(금)부터 5일(일)까지는 솔로몬파크 일원을 비롯한 부산 전역에서...",2021. 4. 28.
여행 :) 부산 북구 산책로 추천 구포 무장애숲길 갈맷길 추천 / 부산북구 EP.01,이곳에서 북구 전경이 다보이더라구요.ㅎ 이때부터 하늘 마당 전망대는 어떨지 엄청 기대 하기 시작했습니다 Previous image Next image 제가 부산에서 태어나긴 했어도.. 부산에서 계속 자란게 아니라. 봐도 어디인지는 모르지만. 이렇게 남근. 여근. 부부 바위가 어디에 있다고 설명 되어...,2020. 11. 5.
부산북구 초밥 맛있어서 자주 포장해 먹는 김영태스시앤사시미마을 부산화명점,사실 부산북구 초밥집이 별로 없어요~~맛도 있는데 소문까지 나서 더 그런것 같습니다^^ 각 자리마다 테이블매트도 다 있고 신기하게 전원코드도... 태교여행으로 갔던 오키나와에서 먹었던 초밥 맛집이랑 비교해도 손색없습니다. 마지막 남은 3점 ㅠㅠㅠㅠ 정신없이 먹었던거 같네요~사실 점심을...,2021. 7. 11.
"""유튜브와 함께 북구&부산 잼투어"" 1탄 - 북구편!","2021 대한민국 독서대전 ""유튜브와 함께 북구&부산 잼투어"" 1탄 부산 북구에서 시작됩니다! 아래 영상과 함께 부산 북구 여행 한 번 떠나볼까요? 많은 관심 부탁드립니다.^.^ 자세한 영상은 유튜브를 통해 확인해주세요! 그럼 영상 보러 GUGU~ ▼▼▼",2021. 4. 13.
"부산 북구 관광 명소 당일치기 여행 포트폴리오 - ""매력있는 북구, 느낌있게 즐겨 봐요!...","오늘은 제가 직접 기획하고 다녀온 '언제 찾아도 좋은 부산 북구 관광 명소 당일치기 여행 코스' 여행기를 갖고 왔습니다. 북구의 여러 명소들 중심으로, 누구나 가볍게 둘러보실 수 있도록 구성해 보았죠. 자 그럼, 함께 출발해 보실까요.^^ 부산 북구 블로그 기자의 우리 북구 관광 명소 당일 여행...",2020. 7. 3.
양산 부산 북구 캠핑용품 캠핑고래 양산물금점,부산 북구쪽과 가까워 부산 분들도 정말 많이 방문해주신다고 하더라구요 ㅎㅎㅎ 편안함 잠자리를 만들어줄 용품들도 다양했구용 ㅎㅎ 차에서 어떻게 잠을 자나ㅠㅠ 싶기도 했지만 이렇게 괜찮은 캠핑용품들이라면 오래도록 여행도 문제없을거같기도 해요 ! 요즘 처럼 사람 많은 곳이나...,2020. 7. 27.
[부산 북구 화명동] 이색 한옥카페 다락재-음악공연,"부산 북구 화명동에 위치한 한옥카페 다락재. 2018년 5월에 방문한 이래 오랜만의 방문이다. & 다양한 인문학 서적과 시집, 음악 CD... 전에 왔을 때도... 2021.7.9(금) 공연 - 노나 기타 등등, 아이씨밴드 이색 한옥카페에서 여유로운 실내여행 금요일 저녁 이색 한옥카페 다락재를 찾은 이유다. 茶 한...",2021. 7. 12.
부산_북구_야경_#덕천동_#구포동_#부산북구야경,"부산 북구. 예전에 고교생일때 북구출신이라고 하면 품안에 날카로운 뭔가를 품고 다닐 것 같다는 그런 이미지였다. 그만큼 북구의 깡다구가 장난이... 진웅이의 팬이 되어주세요. 퀄러티 넘치는 사진, 그리고 재치 넘치는 글로써 함께 랜선여행을 떠나보도록 하십시다^^",2021. 9. 22.
부산북구 중고주방용품 사상구 사상 중고집기 매입 중고제빙기 테이블 불판 판매,"만덕, 모라, 사상, 삼락 등 부산 북구, 사상구 중고 주방 최고 업체 그린 종합 요즘 사람들의 가장 큰 관심사는 맛있는 음식, 좋은 풍경을 보는 여행, 휴식, 그리고 안정적인 수입과 부수입 등 총체적인 관심사에서 먹을 건 빠질 수 없는 부분인 것 같습니다. 특히 술을 좋아하는 문화에서 음식 문화가...",2021. 5. 26.
<체험단 모집>- 부산 북구 하늘 취미 미술,<체험단 모집>-부산 북구 하늘 취미 미술 오늘은 미술 원 데이 클래스를 체험하는 모집 글을 쓰려고 합니다. 미술에 관심이 있는 분들에게 좋은... 아크릴화/수채화/인물화/펜화/여행스케치/어반 스케치/팝아트 등등 원하시는 그림을 진행할 예정입니다. 카톡 아이디 : simsun00 비밀 댓글로 신청해...,2021. 2. 17.
부산어촌민속관 방문 후기/부산북구 가볼만한 곳,"이번에 다녀온 곳은 부산 북구 화명동에 위치한 부산어촌민속관 이라는 곳인데요, 부산 북구 서포터즈를 하면서 찾아보다가 발견한 곳이에요!... 부산의 대표적인 먹거리인 고등어와 관련한 것들이 한가득 보입니다ㅎㅎ 예전에 부산여행 와보신 분들! 위 관광상품 가지고 계시나요?? 이렇게 부산에...",2020. 6. 25.
부산 북구 카페 동화속 마을 같은 파우제앤숨,"들었던 부산 북구 카페 , 파우제앤숨 SNS에 보니 밤에 조명들어왔을때도 정말 예쁘고 매력적이던데 낮에 더워서 바깥 나오기 힘드신 분들은 밤에 오셔서 카페 즐겨도 좋을 것 같아요 !! 부산근교 , 김해근교로 조금만 나와도 뭔가 멀리 여행온 것 같은 힐링을 느낄수 있었던 카페 파우제앤숨 이였습니다.",2021. 8. 11.
부산 북구 화명동 화명수목원 근처... 가족나들이 부산여행 데이트코스...,부산 북구 화명동 화명수목원 근처 주변 필수맛집코스 금정구 금정산 점심 저녁메뉴 서문국수맛집추천 가족나들이 부산여행 데이트코스 아이랑가볼만한곳 가봐야할곳 부산 화명수목원에서 아이와 꽃구경하고 동물먹이주기후 신나게 뛰어놀고 출출한 배를 부여잡고 화명수목원근처에 오면 꼭...,2021. 5. 4.
★부산 북구 햇빛유치원 스페셜데이 - 공항 가는 길★,여행 가기 힘든 요즘 아이들에게 여행의 설렘과 즐거움을 함께 느껴볼 수 있는 하루를 선물하고 싶었답니다 부산광역시 북구 효열로 117 햇빛유치원 ☎051)362-6636 ※교육 상담 문의 환영합니다!※ https://www.instagram.com/habitkindergarten/ 햇빛유치원 인스타그램으로 놀러오세요 ♡-♡,2021. 9. 8.
