header,contents,date
♥부산 사상구 삼락생태공원 코스모스 가을여행 자전거대여소 이용시간♥,"저 가까이에 부산 사상구 괘법동 한신1차 2차아파트와 강변동원아파트 동양한신아파트가 보입니다. 삼락공원과도 가깝고 참 좋아보입니다. 관리도 잘되어있어서, 쾌적하고 중간중간에 연못과 정좌 테라스들에 앉아서 쉬어가기 좋습니다. 봄에는 삼락벚꽃축제, 여름가을에는 락페스티벌...",2021. 9. 27.
"부산 예술여행(사상구, 중구, 부산진구) 2020 공공미술프로젝트 우리동네미술...","모범 사례로 손꼽히는 사상구, 중구, 부산진구로 여행을 떠났습니다. ■ 서면愛 굴다리 아트벤치길(아트플랜 통) * 2020 공공미술프로젝트 우리동네미술 부산진구 서면愛 굴다리 아트벤치길 주소 : 부산 부산진구 서면문화로 53번길 찾아가기 : 부산역(1호선) 서면역(2호선 11번 출구 도보이동)...",2021. 6. 26.
[4월 부산 여행] 부산 첫 코스는 돼지국밥! 공항근처 사상구 국밥 맛집 '합천일류돼지국밥',부추를 넣어서 섞으면 숨이 죽는데 개인적으로 식감 살아있는게 좋다. 아침부터 완뚝! 역시 부산 아침은 돼지국밥이다. 괘법 르네시떼역 주변 국밥집 찾을 땐 합천일류돼지국밥 추천! 부산 사람들도 계속 들어오고 회전율도 빠른 것이 인기있는 집같다. #합천일류돼지국밥 #사상구국밥,2021. 7. 8.
생태공원·웰빙숲길·거리예술... 부산 사상구 여행,"서부산권의 사상구는 여행지로 널리 알려지지 않았지만, 부산의 유명한 여행지와는 또 다른 매력을 지닌 곳이다. 코로나19 상황이 호전되면 뻔하지 않은, 그래서 새로운 부산의 모습을 만나보길 바란다. 연꽃 향기 가득 삼락생태공원 첫 일정은 삼락생태공원이다. 레포츠 시설을 비롯해...",2021. 7. 28.
부산사상구입주청소 우신아파트 먼지제거,날씨가 무척이나 좋습니다 산책하기 좋고 여행가기 좋은날입니다 일상생활에서 벗어서나서 드라이브 한번 해보시죠! 가벼운 마음으로! 출발!... 가성비를 생각한다면 경험이 많은 업체에 의뢰하는것이 정신건강에 좋습니다 부산사상구입주청소 창문청소간 창틀 유리등 작업해야 할곳이 여러곳...,2021. 10. 11.
부산 사상구 종가집 돼지국밥 맛집 아이들도 순삭해요 국내맛집여행,"부산 사상구 종가집 돼지국밥 맛집 아이들도 순삭해요 국내맛집여행 부산의 유명한 음식중에 빠지지 않은 것이 바로 돼지 국밥 입니다. 서울에서는 흔하지 않은 국밥중 한가지 인데, 요즘에는 조금씩 돼지 국밥집도 보이기 시작 하더라구요. 이곳은 사상구에 있는 돼지국밥집 입니다. 부산의...",2021. 9. 9.
[부산여행] 사상구 분위기 좋은 클래식캠퍼 카페 / 이색카페,"부산 여행 마지막날 김해공항으로 차 반납하고 비행기 타러 가기전에 시간 맞춰 국밥 먹고 마지막으로 여행비 탕진하러 도착한 곳이 바로 사상구에 있는 클래식 캠퍼 카페 인스타에 여기 다녀온 사진을 올려뒀더니 캠핑 다녀왔냐, 카라반 여행은 어떠냐 질문들이 너무 많아서 카페라고 하면 다들...",2020. 11. 20.
부산사상구한의원 후유증의 발생가능성을 낮춰요,"자동차 사고는 들뜨고 즐거운 여행길에서도 언제고 발생할 수 있기에 우리는 늘 긴장의 끈을 놓치지 말아야 하구요. 사고가 났다면 그 누구도 아닌, 나 자신을 위하여 부산 사상구한의원의 도움을 받아서 후유증 예방에 최선을 다해야 합니다. 그래야 앞으로 또 다른 여행을 준비할 수 있겠죠.",2021. 9. 14.
[카페]쿼피집-부산 사상구,쿼피집 부산 사상구 사상로356번길 16 매일 10:00-22:00 동생이랑 부산에 도착하자마자 간 카페! 쿼피집입니다~!~!~! 쿼카가 가득한 커피집이여서... ~ #쿼카집 #부산 #부산카페 #사진찍기좋은카페 #귀여운카페 #쿼카천국 #쿼카카페 #쿼카 #크로플 #쿠키 #라떼 #아인슈페너 #부산여행 #서이추...,2021. 6. 14.
"부산 맛집,'하동재첩국'(삼락동,구포역근처,삼락동,사상구,부산여행)",부산 삼락 하동재첩국 이번에 부산 여행을 가서 한시간이나 걸려 일부러 찾아갔다. 코로나로 식당은 거의 안가는데 이곳 만큼은 꼭 가고 싶더라. 그래서 사람이 거의 없을 시간에 맞추어 ~~ 추억의 그집. 세월의 흔적이 가득하다 ㅎ 메뉴 포장도 되는군 ㅎ 재첩국 2인 주문! 전체구성 그 시절 그 맛...,2021. 2. 14.
