header,contents,date
다대포해수욕장 노을 질 무렵 풍경 [부산사하구 랜선여행],"그렇기에 다대포해수욕장을 방문하신다면, 마스크 착용 및 사회적 거리 두기를 준수하시며 안전하고 건강한 언택트 나들이를 나서시길 바랍니다. #다대포해수욕장 #노을 #일몰 #낙조 #랜선여행 #부산사하구 #다대포 #부산사하구sns서포터즈",2021. 1. 4.
"[부산여행] 부산 사하구 감천문화마을 & 더플레이트카페, 영도구 영도해녀촌",부산여행 2일차 부산여행하면 많이들 떠올리는 “감천문화마을” 저도 부산왔는데 한번은 가봐야 하지 않을까? 해서 걷는거 싫어 하지만 한번... 감천문화마을 개방시간 3월-10월 09:00~18:00 11월-2월 09:00~17:00 부산 사하구 감내2로 203 (감천문화마을안내센터) 우선 주차 정보 먼저 알려드릴게요!...,2021. 6. 24.
부산 사하구 괴정동 맛집 일반가정식 파는 동네맛집 오사카,"부산 사하구맛집 오사카 부산여행,가덕도 여행을 갔던날 아무리 가덕도 맛집을 찾아도 맘에드는 맛집이 없는거에요, ㅠㅠㅠㅠㅠㅠ 먹는거 중요하단말이에요,, 나의 소듕한 한끼 전 뭔가 관광지 느낌말고 동네 찐맛집이 조크든요! 우연히 엄청난 검색도중 발견한 부산 오사카!! 부산 오사카...",2021. 2. 8.
부산사하여행 부산관광명소 부산가볼만한곳 부산 사하구 핫플레이스 부네치아 장림포구,부산사하구여행 부산관광명소 부산가볼만한곳 부산 사하구 핫플레이스 부네치아 장림포구 부산광역시의 사하구 장림동에 자리한 장림포구는 SNS에서 인기를 얻은 부산 사하구의 핫플레이스입니다 그렇지만 지금은 코로나 19의 재확산의 무려로 부산에도 관광지 패쇄와 통제를 하는곳이 있어...,2021. 1. 27.
"부산 언택트 여행｜사하구의 숨겨진 명소, '고니나루쉼터' 드라이브","#사하구가볼만한곳 #부산언택트여행 #고니나루쉼터 오랜만에 다대포로 나서는 길, 고니나루쉼터에 들렀습니다. 낙동강 하구로 저물어가는 일몰을 보며 드라이브를 하다보면 멍하니 지나쳐 버리기 쉽지만, 한번쯤 들러볼만한 일몰 명소랍니다. 야외 무대처럼 생긴 데크 전망대를 중심으로 작은...",2021. 1. 12.
[부산광역시/사하구/하단동] 복성반점 / 백종원3대천왕 복성반점 / 부산여행,지하에도 자리가 있다고 한다. 밥을 먹고 왔더니 어느새 해는 뉘엿뉘엿 지고 있다.부산 여행은 날씨가 다 했다고 누군가 말해주는 것 같지. 복성반점 부산광역시 사하구 하신중앙로 289 부산광역시 사하구 하단동 605-38 Tel. (051) 291-7834 Tel. (051) 202-5254,2021. 5. 16.
박희도 맛집 여행) 부산 사하구 참숯 한우 암소 소고기가 맛있는 느티나무 한우 숯불구이...,방문한 곳은 부산 사하구에 위치한 느티나무 한우 숯불구이! 입니다. 길가에 지나가다보면 항상 느티나무가 커다랗게 있고 분위기가 너무 좋아 항상 가보고 싶었는데 이렇게 가게 되어서 참 좋았습니다. 느티나무가 있어서 느티나무 한우 숯불구이인 것 같아요 ㅎㅎ 매번 똑같은 분위기의 식당만...,2021. 7. 31.
[부산/사하구] 정짓간 돼지국밥 부산여행 첫 끼니로 적절한 맛집,"원래 부산여행 첫 식사는 합천일류돼지국밥이었으나, 추석연휴 마지막날이라 영업을 안하더라구요ㅜㅜ 이때부터 예민보스가 등판하기... 했는지ㅎㅎ 부산 도착하자마자 왈왈왈왈 한바탕 하고 먹으러 간 정짓간 돼지국밥 후기입니당 0507-1411-2900 부산 사하구 비봉로 6 1층 정짓간 1신평역 6번...",2021. 10. 10.
[부산 사하구 다대포여행] 몰운대와 부산남해가 보이는 아미산 전망대 방문기,언제부터 부산 다대포 여행생각하고 있었는게 거의 일 년이 되어가는데 이번에 시간이 나서 부산 사하구 다대포 여행을 가게 되었어요!!~ 보통 부산이라 하면 동해바다를 떠올리잖아요? 그런데 신기하게도 부산 다대포는 동해가 아니라 남해인 것 아시나요??? 신기하죠??!!!!~~ 헤헿!!!~ 부산1호선을...,2021. 6. 5.
"부산, 아름다운 야경에 감성 한 스푼 더한 [부산광역시 사하구 감성여행] ⑤","그럼 부산여행 사하구 추천코스 함께 보러 가실까요~? 출처: 한국관광공사 첫 번째는 다대포해수욕장 입니다. 다대포해수욕장은 낙동강과 남해안이 만나 양질의 모래밭을 만드는 곳으로, 사진에서 보다시피 일출과 일몰이 아름다운 감성여행지입니다. 출처: 한국관광공사 다대포해수욕장은...",2021. 9. 11.
"부산 다대포 당일치기 힐링여행, 다대포해수욕장 사하구 고우니 생태길 포토존 (21....",이제는 동네친구가 아닌 송은지랑 부산여행 ! 맨날 광안리만 가다가 다른 곳 가고싶어서 알아보던 중 다대포가 그렇게 예쁘대서 다대포 당일치기... 있는 사하구 고우니 생태길 인스타에 엄청 올라오는 곳인데 네이버 지도에 안뜬다 일 좀 해 네이버 ! 요기 하트로 표시한 곳이 다대포 해수욕장 핫플...,2021. 6. 23.
"부산사하구맛집 40년 경력 주방장, 복어나라","넣어서 비벼먹더니 이 맛이라며, 이 맛이 생각났다며 맛있게 잘 먹더라고요,ㅎㅎㅎ 이제 복어요리 생각하면 여기가 먼저 제 기억속에 떠오르겠죠? #부산사하구맛집 #부산복국 #부산하단맛집 #부산여행맛집 #부산복집 #부산해장 #부산복불고기 #부산복요리 #부산복국 #부산복지리 #부산복어찜 #복어요리",2020. 7. 24.
부산 사하구 운전면허 학원 가성비 좋았던 고수의운전면허 하단점 후기,부산 사하구 운전면허 학원 가성비 좋았던 고수의운전면허 하단점 후기 안녕하세요. 올해도 벌써 100일이 채 남지 않았습니다. 벌써 이렇게 시간이... 올해는 토익도 850점 넘어보고 싶었고 친구들이랑 다 같이 여행도 떠나고 싶었고 자격증도 몇 개 따려고 했었는데 결국 이룬 것이 몇 없으니 제가...,2021. 10. 5.
부산 사하구 하단동 가성비부터 맛까지 최고인 오늘 김해 뒷고기,[ 오늘은 김해 뒷고기 ] 꼭 가보셔요 ~~~ ❤️ #부산 #부산여행 #부산맛집 #하단역맛집 #사하구맛집 #하단동맛집 #동아대맛집 #뒷고기맛집 #고기맛집 #하단동고기맛집 #동아대고기맛집 #사하구고기맛집 #맛집 #맛집추천 #먹방 #맛집블로그,2021. 10. 10.
부산 사하구 맛집 다대포 할매집,부산 여행 중 가본 사하구 맛집 다대포 할매집 SNS에 뜨더니 사람들로 바글바글 하다는 곳 그리고 바다를 보며 싱싱한 해산물을 먹을 수 있는 곳 다대포 해수욕장의 맨~~~ 안쪽! 몰운대 입구에 위치해 있다 주차는 다대포 해변공원 공영주차장에 하면되고 할매집 간판이 보이는 골목으로 들어간다...,2021. 10. 6.
부산 숨은 맛집 사하구 고기집 '톤보'에서 화로구이 냠냠,부산숨은맛집 #부산화로구이맛집 #하단화로구이 #하단맛집 #하단맛집추천 #사하구고기집 #하단고기맛집추천 #하단톤보 #하단일식 #하단화로구이 #숨은맛집 #톤보 내부는 아담하지만 있을 건 다 갖춰있구 특히 분위기 말해모해.. 정말 일본 이자카야 온 듯 한 느낌이 들었어요. 코로나로 인해 여행...,2020. 10. 7.
"부산복국, 사하구맛집 '복어나라' 은복코스",라고 했답니다 크크 그만큼 푸짐한 코스였어요 ~ 아무래도 코스요리다 보니 보는재미 먹는재미까지 다 잡은 식사였습니다 부산복국 맛집 복어나라 ! 모임이나 회식장소로 추천드려욤 :) #부산복국 #부산사하구맛집 #부산하단맛집 #부산여행맛집 #부산복집 #부산해장 #부산복불고기,2021. 2. 25.
부산 사하구 카페 만디 여유로운 분위기 커피 한 잔!,예쁘니까 부산 여행 시작부터 기분 좋아요 :) 친구 덕분에 예쁜 카페도 오고 오랜만에 여행 오니까 여행 온 이 기분도 좋고 많이 덥지 않아서 더 좋았던 우리 부산 여행 :) 부산 사하구 카페 만디는 생각보다 더 좋았어요. 각각 다른 느낌의 인테리어도 좋았고 무엇보다 테라스 쪽에 앉아서 밖으로...,2021. 8. 3.
부산 당리 관음사 사찰여행 부산 사하구 사찰,대한불교 조계종 늘기쁜마음 당리 관음사 안녕하세요 여행인플루언서 탱맘 요니야 입니다 :) 이번주 수요일 5월 19일 수요일 에는 석가탄신일 이라는거~ 사하구에 위치한 송광사 부산분원 관음사 를 석가탄신일 전에 잠시 다녀왔답니당! 주소 부산광역시 사하구 당리동 39-2 전화번호 051-294...,2021. 5. 17.
부산겨울여행 부산사하구관광명소 부산가볼만한곳 사하구 다대포해수욕장 몰운대해변...,부산겨울여행 부산사하구관광명소 부산가볼만한곳 사하구 다대포해수욕장 몰운대해변 고우니생태길 부산광역시위 사하구 다대동에 자리하고 있는 다 고우니생태길에서 시작하여 대포해수욕장과 몰운대해변까지 갔다가 다시 고우니생태길로 왕복했습니다 다대포해수욕장은 백사장의...,2021. 1. 28.
박희도 맛집 여행) 부산 사하구 하단역 하트몰링 마라탕 식당 '신룽푸 마라탕' 내돈내산...,오늘 방문했던 식당은 부산 사하구의 하단역에 위치한 아트몰링의 16층에 있는 마라탕 전문점 '신룽푸 마라탕'입니다. 하단역마라탕 식당에서 가장 접근성도 좋고 위생적으로도 쇼핑몰 내에 있다보니 깔끔하고 좋을 것 같아 방문했답니다~~ 보통 동아대 근처에 사하구마라탕 식당이 많이 모여...,2021. 8. 3.
부산여행 사하구 가볼만한곳 감천문화 마을,안녕하세요 ~~뚠블리 입니다~~^^ 너무 아름다운 부산여행 연일 소개해드리고 있는대요 오늘은 생활과 예술의 공존 한길로만 쭉 걸으면 모든길이 통하는 사통팔달 골목길 부산 관광여행지로 빠지지않는 감천 문화마을 소개해 드릴께요 감천 문화마을 주소:부산 사하구 감천동 1-14...,2020. 11. 11.
