header,contents,date
부산 서구 여행코스/ 송도해상케이블카 타고 가을나들이,바다와 하늘을 가로지르는 둥실둥실 캡슐 -송도해상케이블카- ✔️송도해상케이블카 ✔️주소 : 부산시 서구 송도해변로 171(암남동 124-1)... 굳이 추천하자면 낮이라면 크리스탈/ 밤이라면 에어타셔도 될 듯 ㅎㅎ #부산숨은명소 #부산여행지 #부산여행명소 #송도케이블카 특별한 경험과...,2021. 10. 4.
부산 서구 송도 여행,10월 첫날 부산여행~ 일상이 분주하지만 그래도 잠깐의 짬을 내어 부산으로 날아간다. 하지만 그냥 호텔 체험만;; 아쉽지만 부산의 서구와 해운대가 있는 곳의 차이를 느꼈다. 임시수도가 있던.그리고 비석마을.감천마을 등 가파른 언덕위에 건물들이 솟아있는 모습들이 부산의 서구이다....,2021. 10. 7.
부산당일치기여행)) 부산놀거리 부산서구 송도해상케이블카~,송도해상케이블카 부산 서구 옥당분식 - 초량밀면 - 그 다음 송도해상케이블카 타러 GOGO 옥당분식에서 송도해상케이블카 타러 가는 이동경로... 다음은 부산디저트카페 가기~ 광안리해수욕장에서 가까운 [겟오프]로 GOGO 부산여행 나혼자당일치기 뚜벅이여행 “어렵지 않아요~^^” #부산여행...,2021. 9. 15.
[부산여행] 부산 서구 송도해상케이블카 & 중구 부평깡통시장,부산여행 2일차 (아직도 2일차다!) 입안에 바다를 넣고 해상케이블카를 타러 가기로했어요! 근데 이상하게 해무가 엄청 많더라구요 영도해녀촌에서도 멀리 해상케이블카가 보였는데 해무가 덮치고 있더라구요… 걱정되긴 했지만 우선 타기로한건 탑시닷!! 1. 송도 해상케이블카 부산 서구...,2021. 6. 27.
"부산 서구 여행 5살, 2살 아이와 가볼만한 곳 - 송도해상케이블카",부산 서구 아이와 가볼만한 여행지 #1. 송도해상케이블카 부산으로 2020년 9월 추석 전에 이사를 오게 되었는데 연고도 없는 이 곳! 아이들에게도 좋은 추억 만들기 위해 남편이 쉬는 월요일마다 부산 여행을 떠나기로 했어요. 오늘은 그 첫번째로 서구로 이사온 후 5살 아들이 너무 좋아하는...,2020. 10. 28.
부산여행코스 서구의 감천문화마을 로구경하기,장사하시는분말고는 부산여행코스 감천문화마을 의일정과시간을잡았다면 근처는 송도바다가있답니다 그러니까반대로 송도바다를본다면 감천문화마을 의 부산여행코스 를잡는것이 바른구경이라고생각해요 푸른하늘밑 한국의마추픽추라고불리우는 옛피난처 ㅜ 사실이곳은 영화에서도나오듯이...,2020. 3. 16.
[도로명으로 떠나는 부산여행] #3. 전망이 아름다운 서구 천마산로,"누리바라기 전망대 부산광역시 서구 남부민동 50-40 버스 이용시 버스 134번/190번 대원사 정류소 하차 후 도보로 176m 천마산조각공원 마지막으로... 코로나19와 작별 인사를 나누고, 시간 나실 때 가까운 부산 도로 탐방해보시는 것 추천드려요. 2021 부산형 도로명 스토리텔링 여행 :: 전체보기...",2021. 7. 26.
부산 서구 서포터즈 8월의 소식,부산 서구 8월의 소식 마음 따뜻한 소식 가득 8월에는 유난히 마음 따뜻한 소식이 가득한 서구의 이야기를 알려드릴게요~ 취약계층을 위한 빨래방... 서구 모바일 스탬프 투어 서구 관광을 더 스마트하게 ! 스마트폰 앱으로 관광지에 대한 정보를 편하고 다양하게 제공 받고 재미있게 여행을 즐길 수...,2021. 8. 31.
"한 여름의 부산 원도심, 영도구 -서구 당일치기여행","** 나홀로 부산여행당일치기 코스로 추천하는 영도구흰여울문화마을과 서구 송도 !! ** 방문방법 다시보기 1. 지하철 남포역에 내려서 영도대교 버스 정류장에 내린다음 흰여울 문화마을까지 간다.(508번, 71번) 2. 흰여울문화마을에서 송도를 행선지로 잡아 버스를 타고 이동한다. (71번, 7번,6번, ) 그럼...",2021. 9. 24.
[마을이야기] 부산 서구 아미동 마을 여행을 갔다왔어요~,#부산도시재생지원센터 #부산도시재생 #부산광역시도시재생지원센터 #부산 #부산시 #부산광역시 #도시재생 #부산서구 #서구 #아미동 #부산서구아미동 #서구아미동 #마을이야기 #마을 #여행 #부산여행 #부산관광지 #부산관광 #마을여행 #기찻집 #예술체험장 #아미맘스 #서구비석마을...,2020. 7. 3.
[부산역사여행] 부산 서구 임시수도기념관 관람 후기,"부산의 역사를 찾아서 : 임시수도기념관 #부산여행 #부산서구가볼만한곳 #임시수도기념관 ● 운영시간 : 9시~18시(1월 1일, 월요일 휴관) ● 관람료 무료 ● 주차장 있음. 주차 무료 오늘은 부산의 역사를 찾아서 2탄으로 부산 서구에 위치한 임시수도기념관을 다녀왔다. 한국전쟁 당시 임시수도...",2021. 3. 7.
[2021 서구 SNS 서포터즈]스탬프투어로 즐기는 부산핫플레이스 여행,32존의 부산 지역 서구의 대표 여행지가 대상이다. 참여 방법은 모바일 스탬프투어 앱을 실행한 뒤 '부산 서구'를 찾아 해당 부산 핫플레이스를 방문하면 자동으로 나타나는 스탬프를 획득하면 된다. 스탬프 개수에 따라 매월 추첨을 통해 5천 원권(스탬프 5개 이상)과 1만 원권(스탬프 10개 이상)...,2021. 9. 7.
"부산 서구 감천문화마을/깡통시장 여행, 카페 오르다가/오늘일기","그런 드라마더라고요 우. 남포동 분짜라붐 반미 샌드위치+웨지감자 친구는 쌀국수! 쌀국수 사진은 못찍었어요 반미 샌드위치 첨 먹어보는데 참 맛있었네요,,(이쯤되면 맛 없는게 없음) 이상 부산 서구 여행 일기 마칩니다~~ (오늘일기 챌린지 3일째)",2021. 5. 3.
"1박 2일 부산여행 - 1일차(중구,서구 & 위키드♡)",아무 생각 없이 일단 뮤지컬 티켓을 사버리고 여행 계획을 짰다.ㅎ.ㅎ 위키드 볼 생각에 설레서 하루종일 콩닥콩닥거리는 심장 안고 부산 여행을 했담ㅎㅎ 부산 드림씨어터 이 곳에 갈려면 서구에서 동구로 넘어가야한다. 우리는 감천문화마을에서 택시를 타고 중앙역에서 내려서 1호선을 타고...,2021. 6. 27.
부산여행v.2 부산서구맛집 해신해물찜에서 해물찜 먹고왔어요!,부산여행 포스팅 제 2탄! 오늘의 포스팅은 제가 부산서구맛집 을 추천드리려고합니당!!ㅋㅋㅋ 부산 여행을 하면서 가장 중요하게 생각했던것중 하나가 맛집인데요! 제가 움직이는 이동경로에서 그쪽에 맛집이 어디있는지 엄청 샅샅이 뒤져보고 갔어요 ㅋㅋ 그렇게 해서 찾은 부산서구맛집...,2020. 11. 15.
부산에 가보고 싶었던 곳 1 (부산서구),73 #부산숲 #부산숲체험 #아이와함께부산 #부산아이와함께 #엄광산 #꽃마을 #부산꽃마을 #꽃마을부산 #송도오토캠핑장 #송도캠핑장 #캠핑장송도 #부산대신공원 #대신공원 #내원정사 #부산내원정사 #구덕문화공원 #부산구덕문화공원 #부산서구 #부산서구관광지 #부산서구여행 부산서구라서 살짝...,2021. 10. 4.
부산 서구 일식 코스요리 추천<송도공원>,이제 코로나 제한이 일부 풀린 관계로 지연되었던 가족모임이나 지인모임을 하실분들은 부산 서구 송도공원 추천드립니다. ^^ #부산맛집 #부산회전문점 #부산전망좋은음식점 #부산송도공원 #송도공원 #부산여행 #부산가볼만한곳 #부산갈만한곳 #부산음식점 #부산음식점추천 #부산송도맛집...,2021. 6. 22.
부산서구한의원 입원실에서 건강회복에만 집중을,갖춘 부산서구한의원이 이에 대해 알아보겠습니다. 1년 이상 실내에서 지내며 외출을 자제하는 생활에 지친 사람들이 가을을 맞이하면서 단풍을 구경하기 위해 산 혹은 계곡으로 여행을 떠나시다 보니 교통량이 늘어나면서 크고 작은 차량사고가 많이 발생하고 있는 추세인데요. 운전자 혼자서만...,2021. 10. 11.
