header,contents,date
"부산여행 - 돼지목살, 껍데기맛집 수영구 간판없는집",많은 부산 수영구에 제주생고기 목살로 굉장히 유명한 고깃집이 하나 있어요 두툼한 제주산 목살 고기 어떤가요? 상태 지리지요! 저와함께... ㅋ 부산에 계신다면 부산여행을 오신다면 광안리해수욕장에서 멀지않으니 한번 들러보시길 추천드립니다 주인장의 부산이야기는 계속 됩니다 아래...,2020. 5. 22.
"[부산여행] 부산 수영구 광안리해변 앞 오션뷰 이자카야 ""청담이상""","ㅋㅋㅋㅋㅋ 아까 걸어오면서 본 ""청담이상""이나 가쟈~ 했어요 청담이상 ***-***-**** 부산 수영구 광안해변로 197 해변가 앞이라 바다도 보일거 같구... 이제 부산여행 3일차! 좀 여유있게 다녀봤어요 부산여행 3일차 리뷰로 돌아올께용~❤️ #부산여행 #부산2박3일여행 #부산3박4일여행 #부산여행2일차...",2021. 7. 4.
[부동산]부산임장기#2/부산여행/북항재개발/해운대구/수영구/남구/동구/영도구,영도구 오션시티푸르지오 부산 부동산 임장기 #2 포스팅 순서 1. 해운대구 한신빌리지 재개발 : 우동 3구역 2. 수영구 남천삼익비치 재개발... 저도 그동안 처음 몇 번의 부산 여행은 센텀시티와 마린시티에서 주로 시간을 보냈어요. 핫한 곳들도 가보고 주변을 많이 걸어보기도 했구요....,2021. 8. 26.
부산 | 수영구 카페 '퍼스널 (1.personal)',"위스키도 파는 것 같던데 나중에 여행 갔을 땐 거기서 위스키도 마셔봐야지. 카페 퍼스널 (1.personal) 부산 수영구 수영로 666번길 60 2층, 퍼스널 수 - 일 12:00 - 20:00 (월, 화 휴무) 카페 군데군데 사장님이 직접 그린 그림들과 직접 찍은 사진들이 있어 구경하기 좋았다. 각종 술을 내어주는 바테이블과...",2021. 10. 2.
부산 수영구 맛집 엄백용 돼지국밥,부산 여행 마지막날 돼지국밥은 언제 먹지 고민하다가 가기전 마지막 식사로 결정! 부산에는 돼지국밥 집도 정말 많은데 첨 먹어보는거니깐... 이것도 주문 부산 수영구 맛집 엄용백 돼지국밥 기본 반찬이에요. 딱 국밥집 기본반찬 김치와 깍두기 고추 마늘 된장 사이드로 시킨 명란 젓 한눈에...,2021. 9. 5.
평생학습관 수영구빵집 광안리빵집 광안동 스콘 케이크주문제작 부산여행...,있게 해준거 같네요 집에 있던 초코크림으로 슬쩍~~ #광안동빵집 #신상빵집 #베이크시즌 #수영구도서관 #수영구평생학습관 #수영구빵집 #광안리빵집 #광안동스콘 #케이크주문제작 #부산여행 #우리동네 #신상맛집 #레터리케이크 #숨은카페 #부산블로그 #신상카페 광안리카페 광안동카페 신상카페,2021. 8. 2.
[부산여행] 수영구 핫플레이스! F1963 (아이랑 가면 더 좋아요),부산하면 떠오르는 장소와 먹거리들이 있을텐데요. 앞서 프롤로그에서 밝힌 것처럼 '날씨'와 '아이'를 위주로 여행 코스를 계획하였습니다. 첫번째 목적지는 F1963 입니다. 처음 도착했을 때는 조금 당황했습니다. '여기가 맞나?' 코스트코 옆에 있는 물류창고인가? 공장인가? 라는 생각이...,2020. 1. 3.
[부산]수영구 맛집 뉴러우멘관즈!! 대만여행 ㅎㅎㅎ,"맛있었어요,, 차갑구 맛있었어요ㅠ 그리구 저 튀김도 너무 맛있어서,, 휴 그냥 진짜 최고였어요! 맛있었어요ㅠ 꼭 가보세용 ㅎㅎㅎㅎ 더 유명해지기전에,,ㅠ 맛도리맛도리~~ #부산 #수영구맛집 #광안리 #대만 #뉴러우멘관즈 #우육면 #우육면맛집 #메뉴다주세요 #맛집추천 #메뉴 #점심메뉴 #부산맛집",2021. 8. 14.
"in Busan (부센동, 부산 카이센동, 광안리, 수영구, 부산맛집, 맛집추천, 부산여행...",했을텐데 아쉽 그래도 출장덕에 맛있는 카이센동으로 에너지 보충시간 #내돈내산 #카이센동 #드라이브 #부산 #핫플 #광안리 #해운대 #부산여행 #출장 #가볼만한곳 #감성사진 #부센동 #데이트 #맛집 #코로나 #힐링 #일상 #일식 #회덮밥 #인테리어 #디저트 #맛집추천 #일상블로그 #일상이야기 #나들이 #산책,2021. 5. 22.
"[부산 수영구] 부산 뚜벅이 여행 광안리 무료 짐 보관소, 광안리 관광안내소 이용후기","오늘은 저번 포스팅에 이어 부산여행 시 무조건 한번쯤은 고민해볼만한 곳을 한번 소개해드릴까 해요 그럼 바로 시작할게요~ 광안리관광안내소 영업시간 : 매일 10:00~19:00 저는 이번 부산 여행을 동생과 남자친구와 함께 1박 2일로 다녀왔는데, 부산이 운전하기도 어렵고 여기서 부산까지 가는데...",2021. 10. 2.
