header,contents,date
1박 2일 부산여행 -2일차(영도구),감성 조개 부산 영도구 태종로 824 이번 여행을 오면서 조개구이 무조건 먹자!! 라는 생각은 없었기에 고려하고 있지 않았는데 떡하니 앞에 조개구이집이 있길래 일단 들어왔다. 외관 찰칵 우리는 '감성세트 소(小)' 로 하나 시켰다. 감성세트는 조개구이와 해물칼국수가 같이 나오는 세트였다. 제일...,2021. 7. 7.
부산 영도구 걷기 좋은 곳 : 절영해안산책로,"깡통시장으로- 여기까지 간단히 풀어본 지난 2박3일 부산 여행의 시작 그리고 영도구 걷기 좋은 곳 절영해안산책로 였어요. 숙소 아래 위치한 곳이라 점심 먹고 잠시 산책 겸 걸어봤는데, 날씨가 따뜻해 걷기 너무 좋았던 시간이었어요. 잠시 바닷바람도 실컷 쐬고 쉬엄쉬엄 운동 겸 걷고- 집 가까이...",2021. 2. 6.
"[부산여행] 부산 사하구 감천문화마을 & 더플레이트카페, 영도구 영도해녀촌",부산여행 2일차 부산여행하면 많이들 떠올리는 “감천문화마을” 저도 부산왔는데 한번은 가봐야 하지 않을까? 해서 걷는거 싫어 하지만 한번... (자세히안나와있음) 부산 영도구 중리남로 2-35 네비에 영도해녀촌이라고 검색해 오시면되고 주차는 공영주차장있어요 근데 크진않아서 근처에...,2021. 6. 24.
"자전거 여행 전국일주 24일차, 부산 영도구 태종대 찜질방","자전거 여행 전국일주 24일차 부산 영도구 태종대 찜질방 2011년 7월 25일 <24일차 / 진해-부산 / 이동거리 96km / 누적 1588km> 아침 일찍 상현 형님 출근하면서 작별 인사를 나눴다. 일찍 나가지 않아도 되니, 푹 쉬다가 문 잘 잠그고 가라고, 몸조심하고 출발할 때 전화하라고 하신다. 나는 다시 잠이...",2020. 5. 31.
[여행]부산여행#1/부산임장/영도구/흰여울마을/피아크/국내여행,이번에는 부산에서 가장 낙후한 지역으로 알려진 영도구를 주로 여행했어요. 저는 2019년 봄에 벗꽃이 한창일 때 영도구를 처음 방문했었어요. 부산 / 영도구 / 한국 전쟁 / 영도다리 알쓸신잡 부산편 / 구글 한국전쟁 피란열차 / 대구에서 촬영 (출처 : 국제적십자위원회 동아시아대표처) - 한국...,2021. 8. 19.
부산여행 영도구 맛집 영도 원조밀면전문점,부산 영도구 영도맛집 원조밀면전문점 영도주민 추천 맛집이다. 마을에 사시는 분이라면 대부분 알고 있는 곳인듯 정말 깔끔하고 시원하고 매콤한 맛이 일품이다.. 영업시간 : 매일 오전 11:40분 - 15:30분 휴일 : 특별히 정해진 휴일은 없음 https...,2020. 12. 28.
"한 여름의 부산 원도심, 영도구 -서구 당일치기여행","** 나홀로 부산여행당일치기 코스로 추천하는 영도구흰여울문화마을과 서구 송도 !! ** 방문방법 다시보기 1. 지하철 남포역에 내려서 영도대교 버스 정류장에 내린다음 흰여울 문화마을까지 간다.(508번, 71번) 2. 흰여울문화마을에서 송도를 행선지로 잡아 버스를 타고 이동한다. (71번, 7번,6번, ) 그럼...",2021. 9. 24.
부산 영도구 아파트 인기순위,올해 코로나 영향으로 제대로된 여행 한번 못간것 같네요ㅠ 뭐 캠핑은 몇번 다녀왔지만 그것도 여유롭게간게 아니라 여행이 주는 힐링은 받지 못했더랬죠 언제쯤이 될까요.. 흠.. 이번 시간은 부산 영도구 아파트 인기순위 1위~10위까지 알아보는 시간을 가져볼게요~ 부산 영도구 아파트...,2020. 12. 20.
[부산 영도구 호텔] 베이하운드호텔(조식포함) 2박3일 이용 후기,내 인생에 첫 부산여행 2박3일을 어떻게 기록할까 나름 상당히 고민이 많았던 1인ㅎㅎㅎ 고민만 하다보니 부산여행의 '부'자도 못끄낼것같아서... 다녀온 부산 모습이 잊혀지기전에 빨랑빨랑 업데이트 해야하는데.......언제다하지ㅎㅎ (가볍게 읽어주시면감사하겠서요^^ㅎㅎㅎ) 부산 영도구 호텔...,2021. 6. 11.
"국내여행, 부산(영도구)","맛도 양도 달라져서 조금 놀랐다 내가 알고있던 밀면맛하고는 차원이 다르게 맛있었다 지난번에 먹었을 때 맛없다고 느낀건지는 모르겠지만 암튼, 초량밀면은 맛집이 맞습니다! 이번 여행동안 수고해준 코닥 필카! 재밌었다 부산~ #부산 #부산여행 #돼지국밥 #국밥 #흰여울문화마을 #부산역 #초량밀면",2021. 9. 26.
부산 여행의 필수코스 영도구 명승지 태종대에서 산책도 하고 유람선도 타보세요,부산 여행의 필수코스 영도구 명승지 태종대에서 산책도 하고 유람선도 타보세요 상호명 : 태종대 주소 : 부산 영도구 전망로 24 관람시간 : 하절기 3~10월 (04:00~24:00) 동절기 11~2월 (05:00~24:00) 주차 : 입구 전용주차장 이용(유료) 태종대 입구 모습입니다. 자가를 이용하시든 버스로 이용하시든 태종대...,2020. 5. 25.
걷기좋은부산 워킹투어.. 지림길(영도구),배 수리하려면 이 마을로 가야될것 같은데 소인에겐 배가 한척도 음네.. 영도대교 지금은 부산의 상징적 다리가 광안대교이지만 광안대교전에는 부산하믄 영도다리였지예~~ 제말이 맞지예~~ #걷기좋은부산 #워킹투어 #지림길(영도구) #부산관광공사 #부산을걷는다 #흰여울문화마을 #깡깡이예술마을,2021. 9. 29.
"♡부산 영도구 재기돼지국밥, 태종대&흰여울문화마을 여행 전 빈 속을 든든하게...","위치는 아래의 약도를 참고하세요~ 댓글과 공감, 남겨 주실거죠? 항상, 주어진 조건 속에서 최고의 결과를 만들 수 있도록 노력하는 공인중개사, 바름。입니다. #부산영도구돼지국밥맛집 #부산영도재기돼지국밥솔직후기 #부산여행태종대흰여울문화마을",2021. 8. 1.
[부산여행] 부산 영도구 영선동 / 흰여울문화마을,그렇게 맛있진 않고 ㅋㅋ그냥 잇으니깐~ㅋㅋㅋㅋ 이런건 먹어줘야지 ㅋㅋㅋㅋㅋ 여튼 나들이하기 좋은 날씨에 흰여울문화마을은 최고!ㅋ 주소 : 부산 영도구 영선동4가 605-3 전화번호 : 051)419-4067 http://www.ydculture.com/ http://www.ydculture.com/ 클릭하면 저의 인플루언서 검색 홈으로 들어갑니다. 저의...,2021. 3. 16.
2박3일 부산여행 1(이라고 쓰고 부산 영도구맛집 청해수산 다녀오기),"부산의 찐임 이게 새콤달콤 이걸먹어야 부산횟집갔다고 한다 ㅎㅎㅎㅎㅎ 그뒤로는 취해서 사진, 기억없음 ㅎㅎ JSJSJS 술과 함께 부산여행 1일차 끝.. #부산여행 #부산맛집 #부산 #영도구 #BIFF #국제시장 #봉래시장 #부산어묵 #삼진어묵 #영도구맛집 #보수동책방골목",2021. 6. 18.
"부산 영도구 카페추천, 그림같은 흰여울문화마을카페 [kunst204]",4 부산 영도 카페 [kunst204] 흰여울문화마을 초입부에 위치해있는 예쁜카페에 다녀왔어요. 뚜벅이여행이었지만 버스정류장 바로앞에... 10:30 ~ 21:00 / 토요일 10:30 ~ 22:00 인스타그램 http://instagram.com/kunst204 #부산영도구카페추천 #흰여울문화마을카페추천 #영도구루프탑카페 #부산카페추천,2021. 8. 6.
[부동산]부산임장기#2/부산여행/북항재개발/해운대구/수영구/남구/동구/영도구,B) 부산 부동산 임장이야기 1. 남구 용호동 오륙도 SK뷰 2. 남구 용호동 W 3. 서구 송도힐스테이트이진베이시티 4. 영도구 오션시티푸르지오 부산... 저도 그동안 처음 몇 번의 부산 여행은 센텀시티와 마린시티에서 주로 시간을 보냈어요. 핫한 곳들도 가보고 주변을 많이 걸어보기도 했구요....,2021. 8. 26.
"부산 영도구 봉래산 등산, 태종대 트레킹","어디든 가야지 싶어서 친구들이랑 부산 영도구 봉래산 등산, 태종대 트레킹을 하기로 했다. 산행코스, 거리, 소요시간 봉래산 4~5km, 2.5~3시간... 걸음수만 보면 해외여행 간 줄.... 오전 6시 20분에 집에서 나서서 집에 도착하니 저녁 8시... 하루를 아주 알차게 잘 보내서 뿌듯했고 인생사진도 건져서...",2021. 5. 20.
"[부산 영도구] 부산영도여행 , 부산영도카페추천 , 흰여울문화마을",#부산역 #부산여행 #부산여행지추천#부산데이트 부산역-흰여울문화마을 부산역에서 5km 가량 떨어진 곳으로 택시를 타도 6000원이네요. 저는 차를 타고 이동했는데 주차장이 정말 넓고 주차비도 저렴했던 것으로 기억해요. #흰여울문화마을 #흰여울문화마을주차장 #영도갈만한곳 주차장에서...,2021. 10. 1.
부산 영도구 재기돼지국밥 백종원 3대천왕에 나온 맛집,부산에 맛집하면 재기돼지국밥 이라고 말해주고 싶어요~ 영도구쪽으로 여행을 가시면!?!? 부산 영도구 재기돼지국밥 백종원 3대천왕에 나온 맛집에 오세요!! 부산 영도구 재기돼지국밥 백종원 3대천왕에 나온 맛집 #부산국밥 #영동구국밥 #재기돼지국밥 #돼지국밥 #국밥 #돼지국밥맛집 #백종원님...,2021. 7. 25.
흰여울문화마을 카페 추천 / 부산 영도구 루프탑 / Kunst204 / 쿤스트204,마음에 들어오어 흑당밀크티 이것두 대략 (5.3) 조아요오오옹 엄청 달달해서 당충전 1000000% 후후 집에서 4-50분 달려온게 다지만 여행 온 느낌 낭낭... 시원해 #부산영도구카페추천 #흰여울문화마을카페추천 #영도구루프탑카페 #부산카페추천 #부산카페 #영도카페 #영도구카페 #흰여울문화마을카페...,2020. 9. 1.
"[부산, 영도구-태종대] 짱이네조개구이집","전화번호 ***-****-**** 주소 부산 영도구 태종로836번길 66 지도보기 영업시간 매일 00:00 - 24:00 메뉴 50,000원 조개구이(소) 60,000원 조개구이(중) 70,000원... 오션뷰조개구이 #부산맛집 #영도맛집 #야경 #데이트코스 #영도핫플레이스 #가성비조개구이 #가리비 #사장님친절해요 #애견동반가능 #영도...",2021. 9. 27.
