header,contents,date
부산 중구 여행 철도왕 박기종 기념관 반나절 여행 코스,짧지만 결코 가볍지 않는 중구 여행 코스입니다. 부산 근대 선각자인 박기종 선생의 업적과 그가 노력하여 이루려 했던 뜻을 다시 한번 느껴보는 의미 있는 시간이 되리라고 생각해요 마음대로 다니지 못하는 요즘 같은 시기에 답답한 여러분의 마음에 조금이나마 힐링을 드리기 위해...,2020. 10. 28.
부산 중구 여행,영주동 오름길 모노레일 아것도 타보고 오랜만에 부산 갔습니다. 전국여행 부동산 여행 자주 가고 싶은데 쉽지 않네요. 부동산 세계여행 다니고... 영주동도 재개발 해야죠 너무 부산 중심인데 지키는 역사도 좋고 지킬건 지키고 개발 할건 개발 하고 산복도로 이야기 잼났어요. 부산을 개발한...,2021. 10. 4.
(부산 중구) 부산뚜벅이여행/부산중구여행코스/부산중구여행지도/ 중구 가볼만한 곳...,#부산여행 #부산뚜벅이여행 #부산중구여행 #부산갈만한곳 #부산중구지도 #부산중구여행코스 #깡통시장 #부평깡통시장 #국제시장 #보수동책방골목 #BIFF광장 #부산BIFF거리 #부산자갈치시장 #자갈치시장 #뚜벅이여행 #부산중구시장여행 #내돈내산 #직접체험 #리얼후기 #실제후기,2021. 6. 10.
족발골목 부산 중구 여행코스 홍소족발 반반냉채족발필수!,"오늘 소개해드릴 내용은 #부산 #부산족발골목 #부산중구 #부산맛집 관련하여 간단하게 포스팅해볼까해요 "" 홍소족발 "" 부산 중구 광복로 12-2 매일 12:00 ~ 01:00 연중 무휴 매장전용 주차장은 없지만 가게앞 유료주차장이 있기 때문에 차량이용에도 큰 불편함은 없었습니다. 부산 자갈치역에서 도보로...",2021. 8. 17.
부산중구여행 @ 용두산공원/국제시장/깡통시장/자갈치시장,"부산국제시장, 서울에 있는 시장은 비교도 안되던데? 부산의 절경을 한눈에 내려다 볼 수 있는 부산타워가 위치한 용두산공원. 그 아래 국내 최대규모의 전통시장인 국제시장과 깡통시장. 부산의 명물 자갈치시장에서 먹은 꼼장어구이까지 부산을 짧고 굵게 경험했다. 1/5 어제는 부슬부슬 비가...",2021. 8. 24.
"부산 중구 여행 :: 옛 분위기 속의 새로움, 보수동 책방골목 + 국제시장으로 떠나요~","헌색과 새책이 같이 어우러진, 보수동책방골목은 전국 어디에도 찾아볼 수 없는 문화의 골목으로 자리잡혀있는 부산문화의 상징입니다.... BOSU BOOK STREET 1950년 6.25 사변 이후 부산이 임시수도가 되었을 때 이북에서 피난 온 손정린씨 부부 [구. 보문서점]가 보수동 사거리 입구 골목 안 목조 건물...",2021. 1. 2.
(부산 중구 여행) 한옥호텔 코모도에서 엘레베이터 소음 들리네요ㅠ,코모도는 5성급 호텔로 부산의 대표적인 호텔 중 하나이자 한옥호텔의 대명사입니다 한옥이 이렇게 높다니요 너무 멋집니다 입구 전경 천장... 많습니다 길거리음식 파전과 오징어 무침 먹었는데 맛임ㅅ어요!!! 끝! #국제시장 추천 #코모도호텔 주의 #부산 #데이트코스 #추천 #크리스마스 #거루캥,2020. 1. 27.
울산 중구 여행 한옥 숙박체험 '아름다운 말이 흐르는 집' 어련당,"울산 중구 여행코스로도 딱 좋은 어련당에서 한옥숙박체험도 즐기며 근거리에 위치한 병영성, 외솔기념관등을 코스로 구성해 보는건 어떠세요?... 이곳 샘물은 맑고 시원해 물동이를 이고 나르는 사람들 줄이 끊이지 않았는데 해방 후에는 미군부대에서 부산과 대구까지 실어갈 정도였습니다....",2021. 5. 31.
울산 중구 여행 - 울산 '동헌 및 내아'/고복수길,#울산시 #중구 #울산중구여행 #역사유적지 #울산뚜벅이여행 #울산동헌및내아 #고복수길 네하! 20년 08월 21일 오랜만에 뚜벅이 여행 테마는 울산 역사... 서울이든 부산이든 어디든.... 자신이 오랫도록 살았던 도시도 가끔은 여행자의 눈으로 모험을 떠나보면 어떨까?!?!?!? 다들 다가오는 1-2주는...,2020. 8. 23.
부산 뚜벅이 당일치기 여행 코스 / 부산 송도 중구 여행 코스 추천 / 손쥬투어 코스 추천...,"이미 마음 먹었던거 같은..) 서치를 했는데 세 스팟들이 전부 가까웠고 부산을 나름 자주 간 나에게도 모두 새로운 장소들이었다! (란 합리적인 핑계거리 마련 성공!) 색다른 부산 여행 루트를 개척해보겠단 마음으로 친구를 꼬셔서 출발 (뽀야쉬 땡큐) #에어부산 ,,,시트가 이렇게 까지 작았었나 아...",2021. 2. 26.
부산 중구 여행 오름길 모노레일 골목 여행,"#언택트 #눈으로보는여행 #코로나19함께극복해요 #부산여행 #중구여행 #여행사진 #사진스타그램 #모노레일 #부산중구 #부산중구청 #여행스타그램 #비대면 <칙칙폭폭 워킹투어, 해설자와 함께 하는 무료 워킹투어 신청하세요~> https://blog.naver.com/bsjunggu/222130120814 <박기종 기념관> https...",2020. 10. 23.
[부산 중구 여행] 40계단 이야기와 40계단문화관,"●평일 - 10:00~18:00 ●토요일/일요일 - 10:00~17:00 ●매주 월요일 휴관, 국경일, 명절 휴관 ▼나이스 부산중구청 유튜브 내 40계단 홍보영상 https://youtu.be/I-bUcSu6lh0 ▼중구청 홈페이지 : 40계단문화관 소개 https://bit.ly/31kuBi7 #부산중구 #부산중구청 #부산여행 #중구여행 #부산중구40...",2020. 10. 20.
"부산 중구 여행 (용두산공원, 광복로, 영도대교, 유라리광장)",눈으로 보는 부산중구여행 가을빛이 드리워진 부산 중구의 모습! 부산 중구 개항과 더불어 전국 각처에서 모여든 상인들이...,2020. 10. 14.
[부산 중구 여행] 푸릇푸릇 부산의 늦봄을 내려다보자! 중앙공원과 역사의 디오라마...,"푸릇푸릇 부산의 늦봄을 가슴 가득 담을 수 있는 곳! 부산의 역사와 문화를 담은 곳! 스트레스 훌훌 날려줄 전망좋은 코스를 소개합니다! 중앙공원과 역사의 디오라마 전망대! (두 코스 모두 방문 소요 시간 : 30~40분 내외) -서포터즈 싱정웨이- 안녕하세요 , 오늘 여러분에게...",2021. 4. 23.
