header,contents,date
(부산여행 2일차) 부산해운대구 전통시장 '마산이모집' 아침으로 먹은 김치찌개,부산광역시 해운대구 구남로 41번길 8 ***-***-**** 영업시간 문의 부산 전통시장 김치찌개 '마산이모집' 드디어 부산여행2일차 포스팅이 되었네요. 원래는 여행 다녀오자마자 3일치 연달아 올릴 생각이었는데 주말에 다녀온 곳들도 올리고 싶었기에 부산여행 포스팅이 미뤄졌어요..하하.. 부산여행2일차...,2021. 6. 18.
부산 해운대구 중동 달맞이길 횟집 맛집... 복분자 양많은 존맛탱 집 부산 여행맛 집 추천,"안녕하세요, 부산 여행 전문 블로거 짱바리 인사드립니다 제가 이번에 오랜간만에 부산에 다녀왔습니다! 부산은.. 다섯번 넘게 갔는데 갈 때마다... 근질근질 포스팅 욕심 그럼 거두절미 하고 다 같이 부산으로 놀러가요! 부산 해운대구 퍼주는집 메뉴 및 가격 거두절미하고 바로 부산 횟집부터...",2020. 11. 4.
경상도 여행 ● 부산 해운대구 청사포 다릿돌 전망대 ●,경상도 여행 ● 부산 해운대구 청사포 다릿돌 전망대 ● 원래 청사포(부산 팔경)는 뱀‘사(蛇)’자가 들어간 청사포(靑蛇浦)였으나 언제부터인가 '푸른 모래'라는 뜻의 청사포(靑沙浦)로 바뀌었는데 미역과 일출이 아름답기로 정평이 나있단다. 그런데 이곳에 해운대서 송정으로 가는 해변 열차와...,2021. 8. 10.
[부동산]부산임장기#2/부산여행/북항재개발/해운대구/수영구/남구/동구/영도구,영도구 오션시티푸르지오 부산 부동산 임장기 #2 포스팅 순서 1. 해운대구 한신빌리지 재개발 : 우동 3구역 2. 수영구 남천삼익비치 재개발... 저도 그동안 처음 몇 번의 부산 여행은 센텀시티와 마린시티에서 주로 시간을 보냈어요. 핫한 곳들도 가보고 주변을 많이 걸어보기도 했구요....,2021. 8. 26.
부산 해운대구/시그니엘 호텔/시그니엘... 오션뷰/살롱드 시그니엘 /가족 여행 추천,8월 말~ 제 생일을 맞이하여~ 겸사겸사 시부모님께서 선물로 보내주신 티켓으로 시그니엘 부산 에서 하룻밤 숙박하게 되었어요~^^ 원래는 시그니엘 서울에 방문해 볼까도 했지만~ 코로나도 그렇고 해서 부산으로 방문하게 되었답니다^^ http://naver.me/xUSVHvnn 위치는 부산 해운대구 달맞이길...,2021. 9. 2.
"부산 걷기좋은 곳, 로컬인이 소개하는 광안리-해운대구간 부산 도보여행",오늘은 해파랑길 1코스에 포함되는 광안리-해운대구간도 작년 찍어놓은 사진을 활용하여 설명해드리려고 합니다. 나홀로부산에 오셔서 부산 도보여행하시거나 부산커플도보데이트 하실 분들 참고하세요. ♥ 위 내용에서 언급했다시피 해파랑길 1코스는 오륙도에서 해운대 시그니엘까지의 해변로가...,2021. 3. 26.
"부산, 해수욕장 말고도 볼 거리 풍부한 [부산광역시 해운대구 감성여행] ⑥","그럼 부산여행 해운대구 추천코스 함께 보러 가실까요~? 출처: 한국관광공사 첫 번째는 해운대해수욕장 & 달맞이 길 입니다. 부산하면 가장 먼저 떠오르는 부산의 대표적인 바다, 해운대 해수욕장은 넓은 백사장과 아름다운 해안선, 잔잔하고 얕은 수심을 자랑하며 해수욕장으로서 최적의 조건을...",2021. 9. 13.
부산여행코스 해안따라 영동구 남구 해운대구 찍어볼까,부산여행코스 해안따라 영동구 남구 해운대구 찍어볼까 매년 겨울 빛축제로 매년 수국축제로 나를 유혹하던 부산 여행을 '코로나19'로 작년에 가지 않았다 다른 사람들에 비해 평균 이상으로 다니는 여행이기에 내가 참자 했는데 1년만에 다시 찾은 부산은 그새 바뀌기도 그대로이기도 하다 이번...,2021. 5. 12.
"부산 해운대구_해변열차, 스카이캡슐 가족여행 (2021.3.7.)","부산 해운대구 송정해수욕장과 해운대 미포 사이를 운행하는 해변열차 그리고 미포와 해운대 청사포를 오가는 스카이캡슐. 해변열차를 타고 동해와 남해가 만나는 바다를 한 눈에 담을 수 있어서 좋았지만, 4인승인 스카이캡슐은 소음과 진동이 심해서 풍광을 감상하기에는 많이 불편하고 힘들었다....",2021. 3. 10.
"부산 해운대구 맛집, 해운대 신시가지 신상 술집 ""우심줄""","부산 해운대구 맛집, 해운대 신시가지 신상 술집 ""우심줄"" 부산 해운대구 양운로 80번 길 16 유니스 빌딩 주소 부산 해운대구 양운로 80번 길 16... 부산해운대신상맛집 #부산신상맛집 #해운대신시기지맛집 #해운대신시기지신상술집 #해운대스지맛집 #부산스지맛집 #부산맛집추천 #부산여행",2021. 9. 21.
