header,contents,date
서울봄꽃여행 서울강남구여행 서울의봄꽃명소 서울시 강남구 봉은사 홍매화,서울봄꽃여행 서울강남구여행 서울의봄꽃명소 서울시 강남구 봉은사 홍매화 서울시 강남구의 삼성동에 위치한 봉은사의 봄꽃소식입니다 서울에도 봄이 왔음을 알리는 홍매화는 끝물이긴 하지만 시기는 늦었어도 봄꽃들의 다양함에 잇점도 있었습니다 봉은사의 경내에는 홍매화 이외도 다채로운...,2021. 3. 22.
"[롤리트롤리 여행 정보] 도심 속 식물 카페여행 추천, 서울 [강남구]",당신의 즐거운 여행 동반자 롤리트롤리입니다☻ 늦은 장마가 시작된 7월이에요. 연두 빛이던 잎들이 초록초록 진해진 요즘! 도심 속 녹색 힐링... 11일 서울 강남구 광평로34길 24 식물과 사람이 함께 쉬는 고유한 경험의 공간 식물과 전시를 함께 감상할 수 있는 식물관 PH 문주호건축가가...,2021. 7. 6.
서울 강남구 별마당도서관,추운 겨울을 맞아 서울 강남구에 들리게 되어서 코엑스에 있는 별마당도서관을 직접 들려보게 되었네요. 서울 강남구 스타필드 코엑스몰에 있는... 잡지들도 전시되어서 볼 수 있는데 다양한 분야의 잡지들이 있어서 원하는 분야의 잡지를 볼 수 있고 여기에 여행잡지도 있어서 여행에 관심이 있다면...,2021. 2. 28.
"서울 강남구 신사동 크로플 맛집 [새들러하우스 SADDLER HAUS],초밥 맛집 은행골",새들러하우스 SADDLERHAUS 위치-서울 강남구 도산대로17길 10 B1 새들러하우스 월요일-off Open-12:00 close-20:00 재료 소진시 조기 마감 하신답니다 ! https://instagram.com/saddlerhaus_bakery?utm_medium=copy_link #서울여행 #새들러하우스 #크로플맛집 #서울크로플맛집 #강남구크로플 #신사역근처 #서울카페...,2021. 5. 21.
[서울 강남구 역삼동] 커피 앤 베이커리 파란만잔,[서울 강남구 역삼동] 커피 앤 베이커리 파란만잔 1층 내부 모습 입구로 들어서자마자 보이는 번쩍이는 베이커리 진열대! 따뜻한 빛깔의 조명에... 저도 여행을 가거나 놀러 가서 그 주변의 식당을 정할 때 그냥 제가 가고 싶은 곳에 들어가기도 하지만 때로는 다른 블로거님들의 포스팅을 보고...,2020. 1. 29.
서울 강남구 신사동 맛집 카츠바이콘반 (일식당),"서울 강남구 신사동 맛집 카츠바이콘반 (일식당) 전화번호 : 0507-1332-3903 주소 : 서울 강남구 선릉로153길 36 대표메뉴 : 로스카츠 정식, 히레카츠 정식 서울 여행시 꼭 여긴 가야겠다라고 정해둔 카츠바이콘반 입니다. 웨이팅 지옥이라는글을 보고 잔뜩 긴장하고 30분전에 방문했는데 (11시) 사람도...",2021. 8. 10.
"[정순균 강남구청장][제주도 여행][모녀 확진자][공개변호]서울 강남구 ""유학생 모녀는...","서울 강남구의 제7대 구청장으로, 소속 정당은 더불어민주당이다. 그리고 역사상 첫 민주당계 정당 소속 강남구청장이기도 하다. 1951년 전라남도 순천시에서 태어났다. 이후 서울로 이사하여 서울전곡초등학교를 졸업하였다. 서울전곡초등학교 졸업 후 고등학교 입학 자격 검정고시에...",2020. 3. 27.
서울 강남구 대치동 맛집 여의도떡방 k-tag 소상공인연합회 공동브랜드 선정,활동 중인 편가여 단장(편안한가족여행 단장) 소개하는 우수 소상공인 이번에 소개할 곳은 서울 강남구 대치동 은마아파트 바로 옆에 위치한 대한민국 최고의 떡집! 여의도떡방입니다. 30년 넘게 떡을 만드는 장인으로 살아오신 김옥희 대표님을 만나고 왔습니다. 우리 고유의 전통음식인 떡을...,2021. 1. 27.
서울 강남구 논현동 오피스텔 분양 보타니끄 논현 정보,"안겨줄 서울 강남구 논현동 오피스텔 분양 보타니끄 논현 현장정보를 안내해드리려고 합니다. 서울 강남구 논현동 오피스텔 분양 보타니끄 논현은... 가장 특별한 공간으로는 인피니티 풀을 꼽을 수 있는데요, 도심에서 충분히 힐링할 수 있는 인피니티풀과 루프탑 바는 마치 해외여행을 온것같은...",2021. 5. 24.
[5년 전 오늘] 황운풍 서울 강남구 ? 구경중,"5년 전 오늘 황운풍 서울 강남구 ? 구경중 압구정동 로데오거리 팝스쿨 이브 , ? 강남 청담동 꿈 이야기. ? 용산역 전자랜드 앞 생존게임 개미와 애벌레 사투중 입니다. 정심은 닭고기 초계탕? 냉면 오년전 바보 사진 . ? 황운풍luckycall님의 블로그 강남 청담동 도보 여행 중 사진 꿈 이야기....",2021. 6. 22.
"상가 사무실 인테리어, 리모델링 서울 강남구 청담동 트랜카디즘 빌딩 바닥타일보수와...","한번 갔다오면 끝나는 여름 휴가 여행대신에 공간 분위기를 한껏 살린 바닥타일보수, 바닥타일교체의 타일공사로 대체한 올해 여름 휴가! 서울 강남구 청담동 트랜카디즘 빌딩 바닥타일보수와 경기도 고양시 덕양구 행신동 미용실 바닥타일교체 공사 때문에 몸은 힘들어도 결과물을 보니 이것 또한...",2021. 3. 21.
서울 강남구 있는 건축설계기업의 AS후기 입니다.[후지제록스/컬러복합기/APV-C4476],"높은 가을하늘이 마음을 힐링시켜주며, 시원한 바람 맞으며 여행을 가고 싶은 날씨입니다. 최근 일교차가 큽니다. 건강관리 잘 하시기 바랍니다. ^^ 오늘은 서울 강남구에 위치한 건축설계기업에서 렌탈한 후지제록스 컬러복합기 APV-C4476의 AS후기를 남겨 보겠습니다. 본사 고객센터로 접수된...",2021. 10. 2.
코로나19 방역소독 업체 - 서울 강남구 신사동 gpnb 농구교실 학원,"코로나19 방역소독업체 - 서울 강남구 신사동 GPNB 농구교실 학원 에코몽키 #코로나방역소독 #학원방역 #코로나학원예방소독 학원, 대중식당... ▶ 중국 여행후 14일 이내 발열 또는 호홉기 증상(기침, 인후통 등), 폐렴이 발생한 경우 → 보건소, 콜센터(☎지역번호 + 120, 또는 ☎ 1339)로 문의...",2020. 2. 28.
미식 여행 편 ▶<항차이> 주소 : 서울 강남구 논현로150길 8 번호 : 02-515-6464 메뉴...,"먹킷리스트 식도락 천국, 대만 미식 여행 편 #항차이 주소 : 서울 강남구 논현로150길 8 번호 : 02-515-6464 메뉴 : 대만식 돼지고기 마늘 튀김 & 돼지고기 파 볶음 #미엔아이 주소 : 서울 송파구 오금로16길 5 번호 : 02-422-0652 메뉴 : 대만 우육미엔 & 마라 우육미엔 4. 자족식당...",2020. 12. 21.
서울 강남구 봉은사(奉恩寺),서울 강남구에 있는 봉은사의 모습. 어렸을 때인 국민학생 때부터 할머니와 함께 처음으로 들렸고 2009년에 이 블로그를 통해서 여행글을 올리면서 소개했었고 이후로는 매년 봄을 앞두고 홍매화를 구경할 목적으로 갔는데 12년만에 이 블로그를 통해서 여행글을 통해서 소개하게 되었지요. 이번에...,2021. 3. 1.
서울 강남구 카페 / 휴양지 카페 추천 ; ab카페 강남 2호점,코시국에 해외여행은 꿈도 못꾸는데 힐링하는듯한 느낌이였어요..ㅠㅠ 곳곳에 인테리어가 너무 맘에들어서 사진 몇십장은 찍은듯 ㅋㅋ 조명을 감싸고 있는 저 라탄도 너무 예뻐요 ㅠㅠ 서울 강남구 카페 휴양지 카페 추천 ab카페 강남 2호점 메뉴 적당한 음료 종류와 디저트. 약간은 비싼?...,2021. 3. 26.
"[서울 강남구 역삼동] 만두전문점 "" 대가 ""","[서울 강남구 역삼동] 만두전문점 "" 대가 ""식당 외부 모습 강남 뒷골목에 위치한 대가지만, 아는 사람들은 알아서 다 찾아오니 걱정 없을 듯.... 저도 여행을 가거나 놀러 가서 그 주변의 식당을 정할 때 그냥 제가 가고 싶은 곳에 들어가기도 하지만 때로는 다른 블로거님들의 포스팅을 보고 도움을...",2020. 1. 22.
[서울/강남구] 스시요아케,[서울/강남구] 스시요아케 주소_서울 강남구 신사동 648-14 JYC2빌딩 전화_010-8809-2344 영업시간_런치 12 : 00 - 15 : 00 디너 18 : 00 - 22 : 00 휴무_없음 / 발렛파킹 가능 안녕하세요. 핸님이에요. 커피바케이에 이어 오늘은 서울 여행 둘째 날 다녀왔던 스시요아케 후기를 남겨볼까 해요. 요아케는 스시...,2020. 7. 20.
[서울강남구] 서울 한우맛집 _ 내당한우 강남직영점(feat.맛있는녀석들),내당한우 소개해드릴게요 신논현 한우맛집 _ 내당한우 강남직영점 (홍고집) 주소 - 서울 강남구 강남대로114길 20 영업시간 - 매일 10:00 - 22:00 일요일... 효부리가 내돈주고 사먹은 리얼후기입니다 #서이추 #일상블로그 #맛집블로그 #데일리블로그 #여행블로그 #내당한우 #내당한우강남직영점...,2020. 4. 20.
