header,contents,date
"(통영여행), 우리동네 반찬가게(서울 강동구), 빅데이터랭킹맛집(수도권 꽃게탕TOP5)...",구석구석 골목여행 편 경기도 구석구석 관광 테마 골목 1. 경기도 김포시 군하리 군하리 만세로 군하길 문화해설 투어 찹쌀 막걸리... 대가(大家)의 건강 반찬 편 ▶ <항아리 반찬> 주소 : 서울 강동구 구천면로 508 1층 번호 : 02-471-9987 4. 빅데이터 랭킹 맛집 - 수도권...,2021. 9. 24.
"강동구맛집 / 천호맛집 / 천호회식 / 서울 마지막 여행 때 들린 [강동] ""온돌 the prime...",온돌 더 프라임에 대해서 소개해드리려해요 위치 및 영업시간 <주소> 서울 강동구 천호대로 1077 (래미안강동팰리스 이스트센트럴타워 지하1층 온돌더프라임 강동점) <영업시간> 매일 11:30 ~ 22:00 l.0 21:00 B.T 15:00 ~ 17:00(주말 및 공휴일 제외) <전화번호> 02-6377-8330 <인스타그램> @ondolpage 먼저 외관부터...,2021. 2. 9.
[지역N문화 테마여행] 서울 강동구 여행코스 :: 나 어릴적 그때로,"서울 강동구 여행코스 나 어릴적 그때로 나 어릴적 그때로 서울 강동구 동심을 갖고 어린시절로 돌아가는 서울 테마여행! 오늘은 서울 강동구로 추억여행을 떠나보아요. 어릴때 자주 불렀던 노래, 자주 봤던 만화영화, 자주 먹던 분식들까지~ 서울에 구석구석 숨은 추억 맛집들 따라...",2020. 10. 20.
6천년 전으로 시간여행 - 서울 강동구 암사동유적,"서울 강동구 암사동 유적 - 2021년 6월 서울 암사동 유적은 한강 유역의 대표적인 신석기시대 집터유적으로 지금까지 확인된 우리나라 신석기시대 유적 중 최대의 마을단위 유적입니다. 암사동에서는 3개의 문화층이 발견되었는데 빗살무늬토기가 출토된 신석기문화층, 민무늬토기를...",2021. 6. 4.
[SNS 기자단]누가 뭐래도 강동구 여행의 일번지는 『서울 암사동 유적』이다,우리가 말하는 옛날하고도 비교가 되지 않는 아주 먼 옛날의 그 시대를 살펴볼 수 있는 서울 암사동 유적은 강동구를 대표하는 여행지이다. 서울 암사동 유적을 가본 지 참 오래되었다. 그때는 암사동 선사유적지라고 불렀던 것으로 기억한다. 언제 가봤는지 생각이 나지 않을 정도로 오래되었지만...,2020. 11. 20.
게스트하우스發 확진자 총 4명 제주여행 후 서울 강동구서 코로나19 확진 판정,"- 지난 8월 23~27일 제주여행 후 출도 … 28일 서울 강동구서 확진(138번) 판정 - - 25일 게스트하우스 파티 참석 … 제주 36번 확진자 접촉자로 강동구 관리‧이관 - - 원희룡 지사,‘안하무인식’게스트하우스 불법 파티 철퇴 지시 - 게스트하우스와 관련 제주지역에서는 총 3명의 코로나19...",2020. 8. 29.
"스테이지28, stage28, 서울 가볼만한곳,서울여행, 강동구맛집,애견동반카페,데이트코스...",귀요미들과 인사를 한뒤 이곳 저곳을 둘러보았습니다 오늘 너무 예뻤던 저녁 하늘 분위기가 너무 좋았어용ㅋㅋㅋ 모기만 빼면 ㅋ 이 날의 무드를 함번 감상해 보아용! #스테이지28 #강동구맛집 #서울맛집 #하남맛집 #스테이크맛집 #분위기깡패 #데이트코스 #애견동반카페 #야외결혼식 #돌잔치,2021. 6. 20.
"폭설, 눈 내린 서울 밤 야경, 강동구 골목 여행(겨울 설경)","호미숙 여행작가 국내여행지추천 서울 여행코스 광나루한강공원 눈내린 풍경 설경 국내겨울여행지추천 설경 best 5 강화도 가볼만한곳 겨울여행지 best 5 폭설, 눈 내린 서울 밤 야경, 강동구 골목길 여행(설경) #폭설 #눈 #서울눈 #눈내린서울 #서울야경 #서울여행 #서울밤풍경 #강동구 #골목여행...",2021. 1. 7.
서울여행 강동구카페 인생 휘낭시에 진하고 진한 얼그레이케익 맛집 찾음!,"최근에 서울에 다녀오면서 유일하게 들렸던 강동구카페 MGMG 뭐든 진하고 깊은 맛 좋아하는 콩이에게 우리짱이 딱 제 입맛일거라며 추천해준 카페에요 정말정말 조그마한 카페 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 골목에 있어서 위치설명이 조금 어렵네요 하단에 지도 참고하세용 천호역, 둔촌동역에서...",2021. 2. 4.
서울 강동구 가볼만한곳 일자산 허브천문공원 팜파스그라스 예쁘고,그래 강동쪽에 갈 일이 있으면 하야지 했었는데 며칠 전 갈 일이 있어 다녀온 서울 강동구 가볼만한곳으로 봄에 가면 참 좋겠다 싶은 일자산... 이 년 전에 강진 여행 중에 만난 팜파스그라스 너무 예뻤는데 서울에서는 만나기 쉽지 않은 것 같아요. 그런데 많이는 아니지만 너무 예쁘더라고요. 너무...,2021. 8. 20.
[댕댕이타요 펫택시 여행_서울편] #.02 강동구 강아지 동반 까페 겸 강아지 운동장인...,"(내돈내후!!!!!!!!!!!!!!!) [댕댕이타요 펫택시 여행_서울편] #.02 강동구 강아지 동반 카페 겸 강아지 운동장인 ""스테이지28 웁시데이지"" 짠- 쭉 들어가면 마징가 로봇이 보이는데 이쪽 스테이지28은 아니구요, 반려견이 입장 가능한곳은 따로 있ㅇㅓ요~~!! 안내해주신분이 계시기 때문에 안내에 따라...",2021. 10. 3.
"[서울 강동구][고덕동]_""고덕 그라시움"" 알아보기","[고덕그라시움(Gracium)_서울시 강동구 고덕로 333] 5천여세대의 대규모 단지로써 대중교통, 광역교통망 우수하고 교통관련 추가 호재가 있으며... 신혼여행을 갔던 '바하마'도 찾아보고 ㅎ 불이 켜지고 물이 나올때 사진 찍었어야 했는데 ㅠㅠ 아쉽네요. 5. 총평 약 5천여 세대의 대단지 아파트. 임대...",2021. 8. 4.
"문화누리카드로 떠나는 우리동네 가맹점 여행 4탄! 강동구, 송파구 편","안녕하세요 서울문화누리입니다 문화누리카드로 떠나는 우리동네 가맹점 여행 제 4탄!✈️ 동남권역인 강동구, 송파구에는 어떤 가맹점들이 있을까요? 아이들과 가을 나들이하기 딱 좋은 동남권역의 문화누리 가맹점들을 만나보세요! 브이센터 더 라이브 뮤지엄...",2021. 9. 23.
"강동구, 공예주간 행사 ‘공예로 떠나는 강동여행'",2018년 서울·경기에서 시작하여 이제는 전국 단위 행사로 개최되고 있습니다. 구는 공예주간 기간 동안 구천면로 공방(온도도시 협동조합 운영)을 중심으로 ‘여행’의 주제에 맞게 강동구 곳곳에 위치한 공방(총 21개)에서 재밌고 다양한 공예 프로그램을 운영합니다. 사전 예약자는 공방 체험...,2021. 10. 1.
[여행] 서울 강동구 가볼만한 곳 실외 암사선사유적지 근처 암사역사공원,"ㅇ ㄱ 코스, 드라이브, 멋진, 목포, 미술, 박람회, 박물관, 방문기, 볼거리, 부산, 사진전, 서울, 신세계, 실내, 아이, 아이랑, 어린이, 여행, 여행지, 음성, 인천, 장흥, 재미있는, 전남, 전라남도, 전라도, 전시회, 주말나들이, 지도, 청주, 추천, 축제, 충북, 카페, 코엑스, 크리스마스, 12월, 1박2일, 가족...",2021. 1. 16.
