header,contents,date
서울 번동 창녕위궁재사 - 서울강북구여행.,"서울 번동 창녕위궁재사 서울특별시 강북구에 있는 조선후기 복온공주와 부마 창녕위 김병주의 재실.재사(齋舍). 등록문화재. 역사적 변천 순조의 둘째 딸인 복온공주(福溫公主, 1818~1832)와 부마인 창녕위(昌寧尉) 김병주(金炳疇, 1819~1853)의 재사(齋舍)이다. 복온공주는 순조와 순원왕후(純元王后...",2020. 7. 21.
"[여행] 도선사, 서울, 강북구","이번 추석에도 평소의 휴일과 다름없이 멍 때리며 굴러다니던 와중, 절에 가보고 싶다는 남편의 성화로 가족들과 함께 강북구 도선사에 처음으로... 하나쯤은 점지해 주실 것만 같은 이곳. 깨달음은 어디에? 그건 어차피 부처님도 책임 못 진다. 여러분께도 방문을 추천하며 간단한 여행기를 마칩니다.",2021. 9. 25.
서울전철여행 강북구 북서울꿈의숲,"서정적인 서울여행 서울시민이였으면 동네 산책하는거일텐데 경기도민은 여행입니다ㅠㅜ 최대한 동네공원 걷는것처럼 자연스럽게 행동해 고개... 한다 서울은 역시 좋다ㅜ 다음 목적지인 화랑대철도공원, 경춘선숲길을 가기위해 돌곶이역까지 걷기로 했다 강북구는 재개발이 한창인가 가는...",2021. 9. 15.
[부처님오신날] 강북구 템플스테이 서울산책로 주말가볼만한 곳 사찰여행 미륵전 화계사,#부처님오신날 #서울사찰여행 #화계사 #강북구템플스테이 #서울산책로 #주말가볼만한곳 #서울힐링장소 #서울산책코스 부처님오신날 서울사찰여행 화계사 내일이 벌써 5월 19일 부처님오신날이네요. 부처님오신날로인해서 회사를 쉬게 해주셔서 정말 감사합니다!!! 저는 저번주에 마음의 힐링을 하기...,2021. 5. 18.
북한산 둘레길에 펼쳐지는 강북구 근현대사 추리여행 프로그램,강북구 근현대사 추리 여행 프로그램 북한산 둘레길 펼쳐지는 강북구 근현대사 추리여행 프로그램 한걸음 더 다가온 가을 북한산 둘레길 1구간과... 서울특별시 유형문화재 제2호로 1912년에 세워진 3·1운동의 발원지 봉황각입니다. 이곳에는 천도교 제3세교조인 손병희 선생 초상화와...,2021. 9. 27.
서울여행 - 강북구 '북서울꿈의숲' 나들이,"북서울꿈의숲 청명한 가을날, 주변의 나뭇잎들이 알록달록 예뻐지는 시기여서 집에서 멀지 않은 곳에 있는 북서울꿈의숲을 찾았습니다. 방문자센터(꿈의숲이야기 전시관) 북서울꿈의숲 주 출입구(동문) 이야기정원 푸드트럭이 있는 꽃길 월광대와 애월정 월영대 상상톡톡 미술관 카페테리아...",2020. 10. 20.
"[스누피의 한국여행 81.2] 서울 강북구 북서울꿈의숲,수유시장,4.19묘역...","지난 2020.4.15 총선날 사전선거 때 투표는 이미하여 특별한 일이 없어 카메라와 마스크를 쓰고 경기도 고양시 화전동, 항공대학교를 방문하고 서울역에서 내려 4호선을 타고 서울 강북구 북서울꿈의 숲, 수유재래시장, 근현대사기념관, 4.19민주묘지, 솔밭근린공원과 봉황각 등을 돌아보고...",2020. 4. 8.
"강북구 우이동 MT촌 서울 근교 펜션 한미장 feat. 친구들과의 여행, 이마트...",한미장 위치 : 서울 강북구 삼양로181길 16 전화번호 : 02-993-1013 입실 15:00 · 퇴실 11:00 사내 녀석들만 가는거라 숙소의 시설따윈 중요하지 않았다. (여행 참석인원 6인^^) 그냥 공기좋은곳에서 맛있는 음식과 술을 마실수 있는 공간이 필요했다ㅎㅎ 한미장 홈페이지 http://hanmijang.modoo.at 를 보다가 4....,2021. 8. 5.
[서울 여행] 서울 강북구 / 북서울꿈의숲,"초화원은 계절수목원, 야생초화원, 브라운가든 등으로 꾸며져 있으며, 옆에 사슴방사장이 있다. - 출처 네이버 지식백과 3.5년 전 포스팅도 가능한 기억력 셀프칭찬해 2017. 4. @ 서울 강북구 월계로 173 (번동 산28-6) 북서울꿈의숲",2020. 11. 10.
서울 단독주택.. 북한산 조망이 있는 강북구 수유동 신축 분양,"그러나 작년부터 이어져온 코로나19로 재택근무가 늘어나고, 사회적 거리 두기의 강화로 여행 가는 것도 취미활동을 하는 것조차 자유롭지 못한... 서울시 강북구 수유동 더블루하우스 단독주택 분양 분양 중인 단독주택 평가항목은 다음 네 가지입니다. 첫째, 부동산 호재 둘째, 입지 평가 셋째...",2021. 8. 22.
서울 강북구 블로그 경진대회에서 장려상 수상,서울 강북구 블로그 경진대회에서 장려상 수상 안녕하세요? 소바칸입니다. 장마가 시작되었어요. 며칠 전에도 산에 갔다가 중도에 소나기 만나... 더구나 제가 여행하며 쌓아둔 외장하드도 문제가 생겨서 고민 중인 상황.. 오늘은 여행을 기록하기 어렵게 된 거죠. 대신 오늘은 제가 자랑질을 하려...,2021. 7. 4.
북서울꿈의 숲 - 서울강북구여행,"74대 (일반 48대, 장애인 6대, 여성전용 20대) 자전거도로 - 내부 : 길이 500m, 폭 2.5m (자전거보관소 150대) - 외부 : 월계로 - 미아사거리 ↔ 월계2교사거리. 오현로 - 삼양입구사거리 ↔ 강북구민운동장. 돌곶이길, 월계로(노원구) 추후연계실시 주소 : 서울특별시 강북구 월계로 173 전화 : 02-2289-4000~5",2020. 7. 21.
"강북구맛집 오봉집 수유점 오봉스페셜 후기, 식도락여행 수유역 맛집 추천!","동영상으로 오봉집 수유점 분위기와 음식 어떻게 나오는지 가시기 전에 체크해 보세요!! 이상 강북구맛집 오봉집 수유점 식도락여행 후기 끝~ 서울 식도락여행 추천, 오봉집 수유점 영업시간: 매일 11:00~ 23:00 (현재 정부 지침에 따라 오후 9시까지 한다고 하네요~)",2021. 9. 21.
"[서울/강북구] 수유맛집 통영산꼼장어 간장낙지, 멸치회무침","상호 : 통영산꼼장어 주소 : 서울 강북구 덕릉로 93-10 전화번호 : 02-902-9202 영업시간 : 매일 16:00~00:00 수유맛집 통영산꼼장어에 다녀왔습니다.... 수유맛집 통영산꼼장어 멸치회무침 서울에서 멸치회를 먹을줄은 몰랐습니다. 남해여행이나 기장가면 먹으려고 했는데, 멸치회무침 메뉴가 있어서 바로...",2021. 4. 20.
"사랑하는 아이를 추억하며, 합법 서울강북구애견장례식장 절차",이런 문제들을 없애고자 서울강북구애견장례식장 펫포레스트에서는 국내 최초로 반려동물 전용 화장시설을 도입하게 되었는데요. 일반 화장 시설과 다르게 아이들에 맞춤으로 되어 있어 유골 손실 없이 진행이 가능합니다. petforest 무지개다리로 여행을 가면 다른 친구들과 아픔도 슬픔도 없는...,2021. 3. 22.
"<서울 강북구/경기 양주시> 북한산둘레길21코스, 오봉산 '우이령길', 아낌없이 주는...",우이령탐방지원센터 : 서울 강북구 우이동 / 우이신설 '북한산우이역'에서 도보 10-20분 *인터넷 사전예약 필수 우이령 정류장에서 출발 3호선... 열매의 머나먼 여행 숲속 화장실. 산에서 본 화장실 중 가장 분위기 있는 화장실 공터 바위고개 노래에 이런 사연이 우이동까지 1.5km 대전차장애물을...,2020. 5. 28.
수유시장 419카페거리 살기좋은 곳 관광 人 in강북 강북구 여행 꼭 가봐야할 추천지,"코로나혜택(?) 도 있네요 집에서도 바로 수유시장 쇼핑을 할 수 있어요 !!!! 아래의 내용 ▼ 참고하시고 온라인쇼핑으로도 이용하세요 ▼▼ 수유시장 온라인 쇼핑하기 ▼▼ 지금까지 #강북여행 서울의 매력적인 지역 강북구 주변 관광지, 맛집 탐방일기였습니다 ! 그, 외 #강북구여행 추천지는 ????",2021. 5. 28.
