header,contents,date
서울여행_강서구_서울식물원,나중에 나갈때 보니까 사람들이 입장권 사는 대기줄에 엄청 길게 줄 서 있어서 깜짝 놀랬음 ㅎㄷㄷ 한 3시 4시 정도 였던거 같음! 만약 이 글 보고 가신다면 조금만 더 일찍 가시길 추천드립니닷! #서울 #서울식물원 #강서구갈곳 #강서구가볼만한곳 #식물원 #서울여행 #마곡 #마곡식물원,2021. 1. 31.
주말 서울 여행 : 강서구 방화동 방신전통시장 맛보기,"다음 주도 새로운 전통시장으로 찾아올게요. 다양한 시장 먹거리와 쾌적한 시장 환경을 만들어 나가는 상인분들의 노력이 빛났던 강서구 방화동 방신전통시장, 오늘도 잘 들렀다 갑니다 : ) ☎ 02-2666-4080 - 서울 강서구 방화동로16길 31",2021. 1. 18.
서울여행에서 발견한 강서구 맞춤정장 세인트브로,"오랜만에 찾아온 훌륭해맨이 소개할 곳은 “세인트브로(Saint Bro)” 라는 이름의 강서구 맞춤정장 가게예요! 서울여행 다니다가 발견한 이곳은, 다음에 맞춤정장이나 맞춤셔츠가 필요할때 꼭! 와봐야지 하고 위시리스트네 넣어두었던 곳이였어요! 마곡역과 발산역 중간 정도에 위치한, 외부에서...",2021. 8. 28.
서울 강서구 맛집 : 굿모닝 베이글,"다음날 아침에 여행 가면서 챙겨 가려고 에프기에 살짝 돌렸는데 겉바속초 아시죠? 아이까지 아주 맛있게 먹었답니다. 서울 강서구 맛집 중 베이글로는 탑일 것 같아요! 아참, 베이글은 냉장에서 3일 보관, 냉동에선 3개월 보관이 가능하다고 해요. 길게 먹을 수 있으니까 쟁이고 싶은 맛이었답니다.",2021. 5. 4.
"[Travel_ 국내여행 - 서울 개화산] 강서구 개화산 등산, 산책하기 좋은 개화산 둘레길...","강서구 개화산 개화산 ""서울특별시 강서구 방화동에 있는 산이며 행주산성과 한강을 사이에 두고 마주보고 있다."" -네이버 지식백과 친구 생일을... 비행기보면서 여행가고 싶다는 말을 조용히..외쳐봅니다.. 코로나19로 여행도 잘 못하고 해외는 더더욱 꿈도 못꾸는 요즘이라 그런지 비행기만 보면...",2021. 5. 8.
[서울식물원] 서울식물원 방문 후기 1)열대관/강서구 식물원 랜선 여행/파파야/망고...,열대관에는 없구 지중해관으로 들어가야 입구가 나온답니당 다음 지중해관 포스팅을 기대해주세요!! #블챌 #블로그챌린지 #내인생의100일 #서울식물원 #서울놀거리 #서울볼거리 #식물원 #가볼만한곳 #강서구식물원 #힐링여행 #열대과일,2021. 6. 1.
서울 강서구 가양동 빈집만들기... 청소기 pc방폐업 여행가방버리기 에어컨 매장정리,"인테리어폐기물 #가전제품버리기 #매장정리 #화단정리 #버리는업체 #사무실이사 #철거 #옥탑방 #자취방 #강서구 #염창동 #등촌동 #화곡동 #화곡본동 #발산동 #내발산동 #공황동 #방화동 #가양동 24시간 문자, 전화 상담 OPEN! *서울,인천,경기 전역* ***-****-**** 별빛자원 <아래 이미지 누르시면 전화연락>",2021. 3. 11.
서울 강서구 맛집 해성식당 숨어있는 보물같은 식당!,강서구 해성식당 #서울강서구맛집 #강서구냉삼맛집 #해성식당 #수요미식회 안녕하세요 잇님들 제니에요. 제 갤러리에 왜 먹는 것 밖에 없나 했더니 코로나 때문에 여행을 갈 수가 없으니 먹는 거라도 찍어서 올려야지 해서 마냥 먹는 것 뿐이네요ㅋㅋㅋㅋㅋㅋㅋ 오늘은 함께하면 즐거운 마이...,2021. 1. 18.
"서울 강서구 3성급 스탠다드 호텔, 등촌역 가성비 좋은 숙박",골목길이 좁고 따로 큰 주차공간이 없는 건 아쉽지만 이 정도야. 무료로 제공된 커피 쿠폰으로 아메리카노 한잔 챙겼다. 강서구 등촌역 주변 가성비 나쁘지 않은 숙박시설 찾는다면 스탠다드 호텔 참고해보시길~! #서울 #강서구 #가성비 #호텔 #스탠다드호텔 #고양이버스 #유튜브 #여행하는핑초,2020. 5. 14.
"강서구 가볼만한곳, 허준박물관... 허가바위, 짧은 시간에 둘러보기 좋은 서울 여행지","2시간도 넘게 걸릴 것 같고, 그냥 천천히 지나치듯 보고 지나가면 20분 정도면 충분할 것 같다. 중요한 건 아주 볼만한 곳이었고, 평소 잘 알지 못했던 부분들까지 알 수 있게 해 주는 알차고 유익한 시간이었다. #국내여행, #서울, #강서구, #강서구여행, #강서구가볼만한곳, #서울여행, #서울가볼만한곳",2021. 5. 21.
