header,contents,date
낙성대공원과 안국사(강감찬장군 사당) - 서울 관악구여행,"낙성대(落星垈) 낙성대(落星垈)는 강감찬이 태어난 곳으로, 서울특별시 관악구 봉천동 228번지에 위치해 있다. 낙성대는 그가 태어날 때 별이 떨어진 곳이라는 뜻이다. 강감찬(姜邯贊, 948∼1031) 이 태어난 낙성대를 보존하고, 강감찬을 기리기 위해 조성하였는데 1973년 11월부터 공사를 시작하여...",2020. 1. 14.
관악구 신림동 도림천 걸어보기 서울여행,"관악구 신림동 도림천 걸어보기 서울여행 관악구민으로 10년 살다가 영등포 구민으로 8월초 이사를 왔다. 관악구를 떠나기 전 신림역에서 내려 도림천을 걸어보았습니다. 주민들이 많이 나와서 산책도 하고 삼삼오오 앉아서 담소도 하면서 물 흐르는 소리도 듣고 해바라기도 하시고, 강아지랑...",2021. 9. 9.
서울 관악구 독립서점 책방여행마을 : 책배달 다녀왔어요!,바로 서울 관악구 독립서점 책방여행마을 입니다. 책방여행마을 매일 15:00 ~ 21:00 일요일 휴무 @traveltown_book 책배달 왔어요! 제작 에코백에 담아 책배달을 갔어요. (책6권 들어간 모습! 그래도 튼튼해요:) 봉천역과 가까운 곳에 위치해 있는데 간판이 없어서 찾기 어렵지만 네이버 주소를 따라오면...,2020. 5. 23.
"서울 관악구 쌀국수 맛집, 봉천 신림 쌀국수 포슈아","서울 관악구 쌀국수 맛집 봉천 신림 쌀국수 포슈아 안녕하세요 제제와앨리스 입니다. 술을 먹고 난 다음날 해장을 위해서 해장국도 즐겨 먹지만, 그보다는 시원한 냉면 또는 쌀국수를 즐겨 먹는 편입니다. 그래서 서울 쌀국수 맛집으로 관악구 신림 쌀국수 배달 전문점인 포슈아를 여러분들에게...",2021. 10. 4.
"[지극히 개인적인]오랜만에 옛추억의 관악구 다녀왔다.(추억여행, 킷사서울/희다솝...","[지극히 개인적인]오랜만에 옛추억의 관악구 다녀왔다.(추억여행, 킷사서울/희다솝/오목눈이) 지금은 서초구 주민이 된지 벌써 3년째지만, 사실을 20 초까지만해도 대전에서 지냈는데, 직장으로 인해서 서울로 올라오고 처음에 사회초년생이였는 나는 월세를 꼬박꼬박 내던 관악구 주민이였음ㅎㅎㅎ...",2021. 3. 8.
"(동해시 여행), 우리동네 반찬가게(서울 관악구), 빅데이터 랭킹맛집(초계국수)...",3GO - 동해시 3GO 여행 편 ▶ <서프팩토리> 주소 : 강원 동해시 대진항길 47-1 번호 : 0507-1411-6794 서핑 ▶ <영자네능이백숙문어보쌈> 주소... 우리 동네 반찬 가게 - 남다른 솜씨와 정성으로 완성한 일품 반찬 편 ▶ <맛깔 찬> 주소 : 서울시 관악구 남부순환로248길 57 1층 번호...,2021. 6. 21.
"(서울 여행)관악구 가볼만한 곳, 낙성대 공원 _ 강감찬 전시관, 관악 전통...",하늘에서 큰 별이 떨어진 곳 낙성대(落星垈) 서울여행. 관악구 가볼만한 곳 느낌인지 모르겠지만 숲이 바뀌고 있어요. 어느새 봄 내음이 스멀스멀 올라옵니다. 사람 만나기가 어려운 요즘 주로 숲으로 돌게 되는데 오히려 그것이 봄을 맞이하는데 큰 도움이 된 것 같아요. 최근에 관악산 둘레길을...,2021. 3. 1.
"[서울특별시/관악구] 서울여행-2 : 샤로수길카페 데일리오아시스, 소품샵 메니베리머치...","슈슈입니다 ღ'ᴗ'ღ 서울여행 그 두번째 이야기 시작할게요 ㅎㅎㅎ 하루는 집에서 빈둥거리면서 쉬었고, 또 하루는 샤로수길다녀왔어요. 평일에... 선택한건데 큰 만큼 사람도 많았답니다 ㅎㅎㅎ 데일리오아시스 샤로수길점 서울 관악구 관악로14길 74-3 전화 ; 070-7739-8282 영업 ; 매일 12:00 - 23:00...",2020. 6. 27.
추천 서울 관악구 미니코스 여행 / 남성사계 시장 등등,하지만 이 집 김밥 중 단연 최고는 방배김밥이니 방배김밥은 꼭 드셔보시길 바래요~ #방배김밥 #남성시장맛집방배김밥 #이수역맛집 #남성시장맛집 #시장여행 #서울관악구갈만한곳 #추천미니코스여행 #가족과함께갈만한곳 집에 가져와서 전자랜지에 통채로 30초간 데웠어요. 겨울이라 김밥이 많이...,2021. 1. 31.
⛑ 서울 관악구 신림동 코로나 19 의심증상 폐렴 사망 ! 중국 하이난 여행 38세 남성...,중국 하이난 여행 38세 남성 ! 질본 역학 조사 결과 음성 ! 서울 관악구 신림동 코로나 19 의심증상 폐렴 사망 중국 하이난 여행 38세 남성 관악구 코로나 코로나 19 개인 위생 관악구 코로나 음성 서울 관악구 신림동 ! 코로나 19 의심증상 폐렴 사망 ! 중국 하이난 여행 38세 남성 ! 질본 역학 조사...,2020. 2. 18.
서울 여행 관악구 봉천동 낙성대공원,★낙성대★ 전화 : 02-877-6896 관람시간 : 매일 09:00 - 18:00 입장료 : 무료 강감찬 장군의 사당이 있는 낙성대공원 ------------☆------------ 낙성대는 서울특별시 관악구 봉천동에 있는 강감찬 장군의 출생지로 '하늘에서 큰 별이 떨어진 날 장군이 태어났다.'라고 하여 붙인 이름이라고 한다. 낙성대...,2020. 2. 23.
[서울 관악구 가볼만한 곳]독립서점... 폴리스-달리봄-자상한시간-관객의취향-책방여행마...,여행 관련 서적이 많아서 좋습니다. 물도 시원하게 주셨어요^^ 관악구 책방 투어한번 해보시는 거 어떠세요! 지금까지 [서울 관악구 가볼만한 곳]독립서점 책방투어(살롱드북-엠프티 폴리스-달리봄-자상한시간-관객의취향-책방여행마을)이었습니다.,2020. 7. 15.
호람박물관 실내전시관 - 서울특별시 관악구여행,"그 후 1996년 3월에 서울시 관악구 신림동에 박물관을 확장·신축하여 1999년 5월에 재개관하였다. 호림박물관 신림본관은 연면적 4,627㎡규모로 지하 1층, 지상 2층의 건물에 4개의 상설전시실과 1개의 기획전시실, 야외전시장, 수장고, 세미나실, 자료실 그리고 커피숍, 선물코너 등의 편의시설을...",2020. 11. 21.
서울 관악구 당일치기 도심여행,서울시 #관악구여행 을 떠나볼께요! 굳이 멀리 나가지 않아도 가까이 있는 우리의 여행장소! 한번 같이 보실까요? 1. 관악산 * #관악산 최근 1주일 혼잡도 : 쾌적 * 상세정보 홈페이지 http://www.gwanak.go.kr/ 주소 서울특별시 관악구 관악로(신림동) 휴일 연중무휴 주차 주차 가능 관악산(높이 632.2 m)은...,2021. 2. 6.
독립서점 관악구에도 있어요 (ft. 서울 동네책방 탐방 1),"관악구 동네 책방 투어도 여기 여행마을 대표님이 직접 다섯 곳을 안내해 주셨다. 여행을 좋아하는 나로서는 들춰보고 싶은 책들이 참으로 많았다.... 공감과 댓글 감사하게 생각합니다. 고맙습니다 ^^ [함께 보면 좋은 글] 합정북카페 추천해요, 망원동북카페도 있어요 (ft. 서울 동네책방 탐방 2)",2020. 3. 5.
[서울 관악구] 샤로수길맛집 스페인음식점 모즈타파스라운지,"모즈타파스라운지 서울 관악구 남부순환로226길 36 지하 모즈타파스라운지 ☎ 0507-1406-8910 주차, 포장, 예약, 무선 인터넷, 지역화폐(카드형)... [내부] 곳곳의 소품들과 인테리어가 예전에 스페인 여행 갔을 때 현지식당의 분위기가 느껴져서 식사하는 내내 설레임 가득했다. 이전에 생생정보TV와...",2021. 8. 17.
"[서울-관악구봉천동맛집] 메뉴첨부, 한번 먹어보면 단골이 되는 '행수곱창 봉천점...",2021.09.29 #내돈내산 안녕하세요~ 경기도 볼일 보러 올라갔다가 #서울여행 까지 하게 되어 서울맛집을 발견 했어요!! 이날 갑자기 곱창이 너무... 맛있게 먹고 서울 야경보러 드라이브 갑니다~ 그럼 이만 모두들 즐거운 맛집탐방 하세요~ #서울맛집 #관악구맛집 #봉천동맛집 #봉천동술집 #봉천역맛집...,2021. 10. 3.
