header,contents,date
"<서울 광진구 자양동> 자양동중국음식골목과 한강뚝섬공원, 상해에서 하루 자유여행...","자동차로 10분이내 거리, 뚝섬한강공원 주차장 주소 : 서울 광진구 강변북로 139 한강쪽으로 가까이 보이는 롯데타워 청담대교 맑은날이라 강물이... 영화 한 편 보고 물만두식당에서 저녁먹고 귀가 상하이 자유여행 하루코스로 충분하다. *아쉬운대로 해외여행 금단현상 해결. 비행기값 절약했다.",2020. 12. 11.
[광진구 여행] 아차산 둘레길(feat. 서울 둘레길) 후기,만약 아차산 등산 예정이시라면 서울 둘레길 코스에도 속해 있는 아차산 둘레길코스를 추천드려요~ 총 8코스로 이루어진 서울 둘레길! 코스마다... 코스 설명은 광진구청 홈페이지를 참고해 주세요. https://www.gwangjin.go.kr/portal/main/contents.do?menuNo=201206 < < < < < > > > > > #광진구 #광진 #아차산둘레길,2021. 8. 26.
코시국 여행 스팟 추천 _ 서울 광진구 _ 저녁 산책 편,지정종목 서울특별시 유형문화재 지정번호 제134호 지정일 2001년 7월 16일 소재지 서울 광진구 능동 18번지 (어린이대공원 내) 지도 시대 대한제국기 종류/분류 석조각 두산백과 Previous image Next image 문화재를 지나 쭉 걸어가면 나오는 동화 콘셉트의 설치물들 (여기는 보수 중인 것 같아 혼자...,2021. 7. 31.
[서울여행] 서울 광진구 애견 수영장 도그베이 서울점에서 강아지와 함께 하는 물놀이!...,도그베이 서울점 서울 광진구 광나루로 441 이미 알고 계신 분들은 다들 알고 계신 도그베이!! 금액대도 저렴해서 놀다 오기 너무 좋은 곳이죠 ㅎ_ㅎ 서울 도심에 위치해있고 국내 최대 규모를 가진 애견 동반 워터파크!! 6400평이나 되는 엄청 큰 초대형 수영장입니닷!! 반려견들을 위한 포토존이 엄청...,2021. 8. 2.
서울어린이대공원 늦기전에 광진구 가을여행,"02-450-9311 서울 광진구 능동로 216 입장료 무료 아기화장실, 수유실 있음 씽씽카, 킥보드, 드론, 자전거 절대금지 유모차, 웨건 대여가능 아이들이 부딪쳐서 위험할 수 있는 자전거나 씽씽카는 아예 반입불가능하고 유모차나 웨건은 출입할 수 있고 대여도 가능하다. 그러나 아주 조금 드르븜 ... 아이를...",2020. 9. 29.
"[서울여행] #어린이날에는 어린이대공원이 정답입니다.(21.5, 서울 광진구 어린이대공원)","^♡^ 아침일찍 오시면 주차도 관람도 모두 가능!! 좋은 추억과 인생샷도 남겨보시구요. #아이들체험, #코로나아이볼거리, #코로나아이놀거리, #서울볼거리, #광진구가볼만한곳, #어린이대공원, #광진구볼거리, #주말나들이, #아빠어디가, #어린이날가볼만한곳, #서울어린이대공원, #동물농장",2021. 5. 4.
서울#광진구#여행#갈만한곳#서울어린이대공원#동물원#입장료무료#힐링#데이트,"저는 다음 서울 여행 때 또 가려구요!!ㅎㅎ 그럼 이만,, 총춍,,, 제 포스팅을 보시고 랜선 힐링 or 여행 계획에 도움되시길 바래요 :) ▼주소▼ 연중 무휴! 대공원 : 05:00-22:00, 동물나라 : 하절기(3.16~10.15일) 09:30-17:30 / 동절기(10.16-3.15일) 09:30-17:00, 재미나라 : 10:00-18:30, 자연나라 : 성수기(4~10월) 09:00-18:00...",2020. 11. 23.
"서울 광진구 코로나19 확진자 A씨, 확진 전 제주 여행","- 7월 9∼14일 제주 체류 … 도, 16일 통보받은 즉시 역학조사 착수 - 제주특별자치도는 16일 낮 12시 서울 광진구보건소로부터 지난 9일부터 14일까지 5박6일 일정으로 제주를 다녀간 A씨가 코로나19 확정판정을 받은 사실을 통보받고, 사실 확인 및 역학조사에 착수했어요. 1차 역학조사 결과...",2020. 7. 16.
광진구 호텔 뷔페 :: 그랜드 워커힐 서울 더 뷔페 주말 디너,그랜드 워커힐 서울 더 뷔페 광진구에 있는 호텔이에요. 서울 서쪽에 거주하는 사람들은 보통 강변북로 타고 쭉 오면 쉽게 찾아갈 수 있겠더라구요.... 동남아 여행갈 때마다 매번 시기 놓쳐서 못먹었는데 이번에야말로 먹어봐서 다행이네요. 그냥 뷔페 출구에서 사전 정산 하시는게 출차하시는데...,2021. 8. 9.
접이식 미니벨로 매디슨바이크 모노나 에센셜 입고. 서울 광진구 자전거매장 앤드류바이크,^^ 출퇴근이면 출퇴근 여행이면 여행. 접이식 미니벨로는 자전거를 탈 수 있는 사람이면 누구든 더 즐거운 삶으로 이끌어 줄겁니다. 오늘 소개 해... 서울 광진구 앤드류바이크에서 전문적으로 취급 하고 있습니다. 앤드류바이크 오시는 길 항상 즐거운 라이딩 되실 수 있도록 노력하겠습니다....,2021. 10. 8.
