header,contents,date
[도시락 특파원] 3대가 함께 기차여행 추억하며 가을 산책해 볼까? :: 서울 구로구 항동철길,"지금 코로나19로 기차여행이 쉽지 않지만요, 서울에서 기차여행 낭만을 추억할 수 있는 곳이 있습니다. 그게 어디냐고요? 서울 구로구에 있는 항동철길입니다. 처음 들어보신다고요? 항동철길은 폐철길을 이용해 만든 곳인데요, 도시재생의 새로운 발상으로 남겨진 명소입니다. 다 철거했다면...",2020. 11. 24.
서울 구로구 항동철길 레트로 기차여행을 추억하며 산책한다,"기차여행은 남녀노소 누구나 다 좋아하는 여행입니다. 서울 구로구 항동철길 서울시 구로구 오리로 1189 24시간 개방(주차는 푸른수목원) 코로나19로 기차여행이 쉽지 않지만요, 서울에서 기차여행 낭만을 추억할 수 있는 곳이 있습니다. 서울 구로구에 있는 항동철길입니다. 항동철길은 폐철길을...",2020. 10. 7.
"[스누피의 한국여행 81.9] 서울 구로구 푸른수목원,항동철길,기적의 도서관...","구로 기적의 도서관 인터넷을 검색하다가 구로구에 가 볼만 한 곳으로 되어 있어 항동철길을 구경한후 점심식사로 **민 김밥에서 김밥과 라면 한 그릇을 시켜 먹은 후 마을버스를 타고 방문한 곳이 구로 기적의 도서관이다. 전국에서 14번째, 서울에서 도봉구에 이어 두번째로 만들어진 곳으로...",2020. 4. 26.
화장실 하수구 냄새원인 트랩으로 해결 - 서울 구로구 구로동 삼성드림빌,- 서울시 구로구 구로동 삼성드림빌 실제 시공후기 에코몽키 홈케어 천팀장 #화장실냄새 #욕실악취트랩시공 #화장실하수구냄새해결 한낮 햇살이 따사로운 이른 봄의 문턱에 있는 요즘 여행가기 아주 좋은 날씨입니다. 그런데 날씨가 따뜻해 질수록 환기가 잘 되지않는 욕실에서의 악취로 인해...,2021. 3. 20.
"서울 구로구 개웅산 야경기행, 니콘 D7500","[야경기행] 서울 구로구 개웅산 야경기행, 니콘 D7500 안녕하세요? 사진작가 자유분방입니다. 이번 포스팅에서는 서울시 구로구 개봉동에... 그럼 이번 이야기는 여기에서 마치도록 하겠습니다. 감사합니다 :) 자유분방 여행이란 꿈을 꾸다 Copyright ⓒ 2012 All Rights Reserved by 자유분방",2020. 4. 7.
서울 구로구에 위치한 서울푸른수목원 여름날의 풍경,서울 구로구에 위치한 서울푸른수목원 여름날의 풍경 잇님들 안녕하세요ㅎㅎ 더워지니 밖에 나가기가 귀찮아지네요 여행도 가고싶은데 코로나 시국에 어딜 가지도 못하겠더라구요 뭐... 혼자 건전하게 방역수칙 잘 지키며 돌아다니면 상관없긴한데 암튼.. 휴가 때 뭘해야 될 지 고민이 되는...,2021. 7. 22.
[삼성 임직원 혜택/서울 구로구 여행/호텔] 쉐라톤 서울 디큐브시티 호텔 2박 3일...,"Sheraton Seoul D Cube City Hotel 쉐라톤 서울 디큐브시티 호텔 삼성 임직원 혜택으로 저번에 메리어트 플래티넘으로 업그레이드 받고, 웨스틴 조선 부산, 대구 메리어트에 이어서 이번에는 쉐라톤 서울 디큐브시티에 숙박했다 숙박일자 및 숙박요금 2021년 5월 31일 월요일 - 2021년 6월 2일 수요일...",2021. 5. 31.
서울여행) 동네사람들만 아는 구로구의 숨은 명소 푸른수목원,푸른수목원은 구로구 항동에 있어요 사실 항동은 정말 이 근처 사람이 아니면 잘 알 수 없는 동네인 것 같아요 경기도와 서울의 경계에 있는 동네죠 그래도 예전엔 정말 아는 사람들만 아는 곳이었는데 요즘엔 서울의 숨은명소로도 자주 소개되고 아파트도 많이 생겨서 사람들도 제법...,2020. 11. 23.
"[서울-구로구] 대림역, 엄청나게 맛있는데 가격은 8,000원 | 제주도초밥","제주도초밥 #위치 서울 구로구 가마산로26길 23 구로동 94-10 #연락처 02-830-6002 안녕하세요! 썬잉이에요! 오늘은 엄청난 맛집 리뷰를 들고왔어요!!!... 제가 유후인 여행을 가서 맛있게 먹었던 숙소 앞 작은 가게가 있었는데, 그곳이 생각나더라구요. 딱 소소한 맛집같지않나요? 좌석은 전부 바...",2020. 3. 24.
[서울/구로구] 얼큰한 해장과 새콤한 양무침을 먹을 수 있는 :: 제주은희네해장국...,배불리 먹고 나오는길에 보이는 작고 소중한 분수가 보여서 잠깐 보다가 왔어요 ㅋㅋ #은희네해장국 #제주은희네해장국 #해장국맛집 #제주맛집 #서울여행 #서울맛집 #서울투어 #양무침 #해장국 #내장탕 #얼큰해장국 #매콤양무침 #구로디지털단지맛집 #구로구맛집 #서울구로구 #구로구여행...,2021. 10. 3.
