header,contents,date
부동산 임장과 함께 하는 걷기여행 4탄(Feat. 경기도 광명 및 서울 금천구),"어디든 여행할 수 있는 신축 아파트인데 근처에 이케아, 롯데몰, 코스트코까지 있다니 대단한 입지입니다. 아파트를 나오니 저 멀리 KTX 역사가 보입니다 광명은 서울 금천구와 붙어있을 정도로 서울에 가까운 지역입니다. 광명 소하 1동에서 금천구청까지 차로 운전해보았습니다....",2021. 8. 29.
금천구 우마길 문화의거리로 중국시장여행을 떠나요,티케팅을 하지 않아도 됩니다. 공항을 가지 않아도 됩니다. 지하철을 타고 할 수 있는 중국시장여행~ 서울 금천구 우마길 문화의거리에서 할 수 있네요^^ 즐겁고 행복한 목요일을 위해서!! 오늘도 칼퇴근은 필수~ 사랑하는 가족과 맛있는 저녁식사하세요^^,2021. 4. 22.
[서울 금천구 사찰] 호압사+광명동굴_210711(일),a) 대가연 b) 생어거스틴 3) 광명동굴 : 경기 광명시 가학로85번길 142 4) 카페 : a) 아프리코 경기 광명시 밤일안로14번길 1 0507-1355-0526 5) 복귀 #서울사찰 #전국유명사찰 #금천구사찰 #금천사찰 #금천구산사 #서울산사 #사찰순례 #산사순례 #사찰여행 #산사여행 #광명동굴 #대가연 #아프리코...,2021. 8. 18.
하세요 신도리코 Rizium Cabon 카본 3D프린터 Rize 2XC 서울 금천구 복합기렌탈 전문,자유롭게 여행을 했던 그 시절이 정말 그립습니다~ 오늘은 최근 신제품 출시를 한 신도리코 3D프린터 Rize 2XC 를 소개 해 드리겠습니다.... — 3D프린터 렌탈 전문업체 자이온솔루션(주) 02-597-09820 中 서울 금천구 가산디지털단지 자이온솔루션(주)은 2011년 부터 시작된 프린터...,2021. 5. 15.
서울 가성비 호텔 금천구 숙소 호텔인카페 독산사거리점,"서울 가성비 호텔 금천구 숙소 호텔인카페 독산사거리점 다른 두 여행의 환승역 역할을 톡톡히 한 호텔인카페 독산사거리점은 이전에 잘 이용해본 경험이 곧장 선택으로 이끈 케이스다. 그 동기는 서해안 고속도로를 통해 서울로 진입하는 동선에서 비롯되었는데, 서서울TG를 통과하며 오늘...",2021. 5. 25.
200407 혼자놀기 2탄/ 서울근교 금천구 벚꽃여행 안양천 거리_금천구청역/독산교,"190407 혼자놀기 2탄/ 서울근교 금천구 벚꽃여행 안양천 거리_금천구청역/독산교 요즘 격일 출근으로 쉬는날이 많아서, 쇼파랑 한 몸이되어 뒹굴 거리기 보다는 많이 움직이기로 했어요. 쉬는 것도 넘나 지겹더라구요 ㅠ_ㅠ 아침부터 맡긴 세탁물을 찾아오고~ 봄 맞이 꽃놀이를 가려고 합니다 코로나에...",2020. 4. 14.
"금천구 호텔 : 신규오픈해서 깔끔한 서울 부티크 호텔, ""호텔 트리플 8""","5월 황금연휴 마지막 날, 아쉬운 마음을 붙잡고 서울 부티크 호텔 호텔 트리플 8에 다녀 온 우므 커플 :) 금천구 호텔에서 1박 호캉스를 즐기고 왔답니다. 2019년 12월에 새롭게 신규오픈한 곳이라 사진처럼 깨끗하고 좋은 룸 컨디션으로 즐겁게 묵고 왔는데요. 요즘 해외여행을 가기도 어려운...",2020. 5. 13.
서울 금천구 사무용 복합기 임대(렌탈) 설치,"코로나만 아니면 이곳저곳 여행 가고 싶은 날씨이기도 하지요! 오늘도! 컬러 복합기 임대(렌탈)를 위해 출발을 해볼까요~? 출~발~ 서울 금천구 사무용 복합기 임대(렌탈) 설치 위의 사진 속 제품은 IR ADV DX C3720 , 컬러 사무용 복합기입니다. 보시다시피 깔끔한 외관과 조작이 매우 쉬워요!...",2020. 10. 12.
"서울금천구에 배송된 원목평상침대 제작후기,","안녕하세요 , 수제가구부경 입니다, 오늘은 금천구독산동에 배송된 원목평상침대 제작후기입니다, 오늘소개드리는 원목평상침대는 지난주배송된 부여고객님께서 따님것과함께 동일한규격과 색상을주문주셨고 부여고객님댁에는 배송하였는데 따님은신혼여행중이어서 기다리다가...",2021. 5. 10.
"서울 금천구 엘지 스탠드, 대우 벽걸이 에어컨 분해청소 - 곰팡이 박멸",안녕하세요~ 냥집사클린에어랍니다 ^^ 오늘은 서울시 금천구 시흥동에 위치한 가정집에서 불러주시어 세척을 다녀왔답니다 ^^ 엘지 휘센 위너... 하수구로 긴 여행을 떠났다고~? 잘 가 ^^ 다신 돌아오지 말고 .. ㅎㅎ 이렇게 스탠드 에어컨 세척을 마쳤고 벽걸이 세척을 본격적으로 시작해볼까요? 바로...,2021. 4. 24.
