header,contents,date
[서울여행/노원구 가볼만한곳] 서울생활사박물관(+경춘선 엠티의 추억 특별전),"^^ 서울생활사 박물관은 노원구 공릉동 구 북부법조단지 부지에 조성된 박물관으로 도시재생 관점에서 기존의 법원 및 검찰청 건물을... 경춘선은 1939년부터 서울과 춘천을 잇는 중요한 수단이었고, 복잡한 도심을 벗어나 자연의 풍광을 만끽할 수 있는 낭만 여행 기차였다. 대성리,청평,강촌 등...",2021. 9. 2.
[서울 여행] 노원구 스시/초밥 맛집 추천 SUSHI TONG 스시통!,그래서 준비한 서울 노원구 맛집 포스팅. 맞죠? 말이 되죠? 그쵸? ㅋㅋㅋㅋ 요즘 다이어트를 하고 있는데 시작한 지 한달 정도 되어가고 있거든요. 댓글로 소식을 물어보시는 분들은 알고 계시지만 91kg에서 85kg으로 감량을 했답니다. 너무 갑작스레 많이 빼버리면 요요가 금방 오더라고요. 그래서 살짝...,2020. 10. 16.
"[서울여행] 불볕더위 한방에 물리칠 #불암산나비정원 히든플레이스(21.7, 서울 노원구...","#아이들체험, #코로나아이볼거리, #코로나아이놀거리, #서울볼거리, #서울가볼만한곳, #서울노원구가볼만한곳, #노원구볼거리, #주말나들이, #아빠어디가, #불암산나비공원, #서울데이트, #서울여행, #서울가볼만한공원, #불암산유아숲체험, #서울유아숲놀이터, #유아숲놀이터, #방학가볼만한곳...",2021. 7. 24.
서울 여행 ● 노원구 중계동 불암산 나비 정원 ●,서울 여행 ● 노원구 중계동 불암산 나비 정원 ● 예전 서울에 교육열이 높은 3지역이 있었는데 그곳이 강남과 중계동 그리고 목동이었다. 그런 중계동에 '불암산 나비정원의 철쭉이 이쁘다'는 것을 우연히 블로그에서 보게 돼 한번 찾아왔다. 마침 철쭉의 아름다움은 이번 주가 마지막인 것 같은데...,2021. 4. 29.
"(포항여행), 우리동네반찬가게(서울 노원구), 빅데이터랭킹맛집(뼈해장국), 인생분식...",3GO - 포항 3GO 여행 편 ▶<원수산> *과메기 문의 주소 : 경북 포항시 남구 구룡포읍 석병리 404번지 번호 : 054-284-5765 홈페이지 : http... 우리 동네 반찬 가게 - 젊은 감성으로 트렌드를 이끄는 이색 반찬 편 ▶<조이상점> 주소 : 서울특별시 노원구 공릉로 158 번호 :0507-1325...,2021. 1. 22.
서울 노원구 아이와 가볼만한곳 불암산나비정원 (feat.로또 43번째 1등 배출 명당...,"원래 자기가 살던 주변은 더 여행을 안 한다는 말이 있잖아요~? 그동안 서울 토박이로 서울에서만 쭉 살았는데, 그런 저도 정작 서울에 가볼만한... p.s_혹시 제가 내일 이후로 포스팅이 없다면 로또 1등된겁니다..ㅎㅎ 서울 아이와가볼만한 곳 첫번째였던, 노원구 불암산나비정원, 곤충을 좋아하는...",2021. 5. 21.
"[딸과함께한 시간여행]서울-노원구,경희대,북서울꿈의숲 기억이 새록하구나~",지난 #주말 #일상 남편하고 결혼한지도 벌써 횟수로11년째 ing♥ 이날따라 시간여행을 떠나자고 내가 졸랐었다^^ 딸과함께 남편과 내가 처음... 신혼집동네~ 노원구 월계동 너무 신기했고 여기를 다시 와볼줄이야!! 그때 당시 전세대란이라 가격에 맞는곳을 찾기가 너무 어려워 서울에서 그나마 제일...,2021. 1. 29.
서울 노원구 가볼만한곳 불암산 힐링타운 철쭉동산은 축제,서울 노원구 가볼만한곳 불암산 힐링타운 철쭉동산은 축제 따뜻한 봄 기운에 아름다운 꽃이 피어나고 나무엔 파릇파릇 새순이 올라 여린 연두빛을... 취소되고 여행 가기도 여의치 않은데...산세를 이용한 비스듬한 경사지에 수많은 분홍색 철쭉이 아름답게 피어나 정말 장관이다~!! -불암산 힐링타운...,2020. 4. 27.
서울 가볼만한곳 노원구 경춘선 숲길 화랑대 철도공원,이렇게 노면전차 하나만 가지고도 마치 일본 여행을 하고 있다는 생각이 들게 만든다. 하늘길이 막혀 해외로 나가지 못하고 있는 요즘 이렇게 해외의 감성을 느낄 수 있는 공간이 있는 것도 재미있는 거 같다. 서울 가볼만한곳 노원구 화랑대 철도공원을 돌아보면서 참 잘 만들어 놓은 거 같다는...,2020. 5. 23.
서울 단풍 명소 놀이구경 가볼만한곳 노원구 경춘선숲길,#단풍절정 #서울단풍놀이가볼만한곳 #단풍명소 #노원구 #노원구경춘선숲길 #공연 #가을단풍 #단풍구경 #단풍놀이 #경춘선숲길단풍 #공릉동 #태릉 #단풍여행 #경춘선숲길공원 #노원불빛정원 #노원구가볼만한곳 #서울데이트코스 #경춘선숲길주차,2020. 11. 3.
서울 노원구 일요일 문여는 소아과 연세프렌즈,여름에 여행을 다녀와서 아이가 설사를 계속했다 하루 그러다 말겠지 했는데 계속 물똥ㅜㅜ 토요일 저녁에 알아보다가 서울 노원구 일요일 문여는 소아과 발견*_* 바로 연세프렌즈소아청소년과의원 되겠다 아이가 별로 아픈적이 없어서 똑딱도 안깔았었는데 똑딱 너무 좋더라ㅎㅎㅎㅎ 누가...,2021. 8. 21.
[에어비앤비] 서울 노원구 상계동 루프탑 숙소 추천,국내여행할때 보통 에어비앤비를 사용하는데 서울에서 친한 언니들이랑 1박 2일로 다녀온 노원구 루프탑 숙소 함 보여드릴게요 :-) 짤언니가 열심히 세 개를 찾아온 숙소들 하나같이 다~~ 마음에 들었는데 4명이 한마음 한뜻으로 루프탑!!!을 외쳤어요 ㅋㅋㅋ 뚜벅이들의 여행 시작 서울 뚜벅이들...,2021. 4. 28.
문을열면) 서울 노원구 고등학교 방화문 시공,"어디 여행도 못가고 슬프다 슬퍼ㅠㅠ 언능 사라져 주세요 코로나 새 ㄲ ...ㅣ야 추석연휴때 맛있는거 많이 드시고 재미난거 많이 보시고 즐겁게... 서울 노원구에 있는 고등학교 였는데 음악전공을 꿈꾸는 아이들이 가득한 곳이였어요 음악 연습실, 강의실에 있는 방화문을 교체 하였습니다....",2021. 9. 23.
서울 노원구여행 상계동 불암산::진달래 만발한 일요일 암벽등반 부처바위 정복,"#서울 #노원구여행 #상계동 #불암산 #산행 #진달래 #만발한 일요일 #부처바위 #정복/ 서울 노원구 여행 상계동 불암산 진달래 만발한 일요일 부처바위 정복 2020년 3월29일(일)맑음,서울 노원구 상계동에 위치 하는 #불암산 산행을 모처럼 지인들과 하게 되었습니다. 불암산은 509.6m로 서울 노원구...",2020. 3. 29.
서울 노원구 :: <서울시립 북서울미술관>에서 무료 전시 관람하기,"처음 방문해 본 <서울시립 북서울미술관>에서 무료로 좋은 전시도 보고, 노원구는 처음 가본거라 여행 온 기분도 들었던 날! 내가 관람한 《자연을 들이다: 풍경과 정물》은 8월 22일로 종료가 되었고, 《한국여성사진사Ⅰ: 1980년대 여성사진운동》은 9월26일까지 관람할 수 있다고 한다. 다른...",2021. 8. 16.
서울 여행 ● 노원구 태릉의 봄 풍경을 따라 ●,"서울 여행 ● 노원구 태릉의 봄 풍경을 따라 ● 태릉은 조선 제11대 왕 중종(中宗 재위 1506∼1544)의 두 번째 계비인 문정왕후(文定王后) 윤 씨(1501~1565)의 무덤이고, 강릉(康陵)은 조선 제13대 왕 명종과 인순왕후 심 씨의 무덤이다. -네이버 지식백과- 태종의 묘는 서초구 헌인릉의 ‘헌릉’이라는데...",2021. 4. 6.
"○ Alpaka's 맛집 탐방 Ep2 - 서울 노원구 공릉동, 테츠로주방",맛집 탐방 Ep2 - 서울 노원구 공릉동 '테츠로주방'> 리뷰를 마칩니다. 아래에는 매장 인테리어 사진입니다 #테츠로주방 #공릉 #공릉역 #맛집 #공릉맛집 #태릉입구 #태릉입구역 #태릉입구맛집 #공트럴파크 #경춘선 #경춘선숲길 #이자카야 #선술집 #퓨전술집 #일식주방 #일식집 #맛집여행 #맛집탐방,2021. 9. 20.
서울 노원구 폐기물처리 전문업체 황소 환경(소사개발),서울 노원구 폐기물처리 전문업체 황소 환경(소사개발) 조선 중종의 두 번째 계비 문정왕후의 무덤인 태릉은 유네스코 세계문화유산에 등재되었으며 왕비의 무덤이라고 믿기 힘들 만큼 웅장하다고 합니다. 서울에 마지막으로 남은 달동네 중계동 백사마을은 과거 여행을 하는 것 같은 기분이...,2021. 8. 10.
