header,contents,date
[서울여행] 오! 아이들이 놀기 대박 좋은 곳... 끝내주네요.(서울시 도봉구 #초안산근린공원),멀리 나가는게 어려울 때는 서울시내에 가볼만한 곳이 있는지 생각해봅니다~ 아! 가을 날씨가 선선하니 산책겸 놀이터가 있는 곳이라면 더욱... 노원구 월계동과 도봉구 창동일대에 조선시대의 내관 분묘가 많다고 합니다. 그래서 그런지 이곳저곳 표지판은 있더군요 초안산은 115.5m로 30~40분 정도...,2021. 10. 3.
신혼여행 후 메르스 감염 의심자되어 음압격리병실 2박3일 입원한 후기...(서울 도봉구...,곳 서울 도봉구 한일병원 선별진료소 윗층에 있는 음압격리실에 입원하게 되었다 우리 신혼여행 다녀온지 12시간도 안 지났는데요 들어갈 때는 너무 아파서 정신이 없었기에 퇴원하고 나오면서 찍은 사진 .... 우린 당연히 가까운 명지병원으로 갈 줄 알았는데 거긴 경기도라 그런가 ㅠㅠ 메르스...,2020. 3. 18.
"우이천 둘리벽화 / 서울 도봉구 쌍문동 가볼만한 곳, 아기공룡 둘리 동네 여행",아기공룡 둘리를 찾아 서울 도봉구 쌍문동으로! 쌍문동에 오면 아기공룡 둘리가 생각난다. 고길동의 동네 쌍문동.. 지하철 쌍문역부터 둘리로... #쌍문동 #쌍문동여행 #아기공룡둘리 #둘리여행 #둘리투어 #둘리테마거리 #둘리뮤지엄 #doolymuseum #쌍문동둘리 #둘리동네 #쌍문동투어 #쌍문동가볼만한곳,2021. 9. 22.
[서울근교여행/도봉구] 북한산국립공원 등산코스 2021.04.25.일요일.,[서울근교여행/도봉구] 북한산국립공원 등산코스 2021.04.25.일요일. 안뇽하세욧??!! 등산하는 등산러 뿡이입니다. 오늘 포스팅은 북한산국립공원 도봉산 신선대 코스를 해볼까 합니다. 북한산 국립공원 사이트는 밑에 링크를 참고 해주세요. 히히 < <<< 차량이용시 주차는 도봉산 공영주차장에 하시면...,2021. 4. 20.
전형필가옥(간송옛집) - 서울도봉구여행,"현재는 간송미술문화재단과 서울 도봉구청에서 관리하고 있다. 등록 문화재 제521호. 참고자료 간송(澗松) 전형필(全鎣弼) 전형필(全鎣弼, 1906년 7월 29일 ~ 1962년 1월 26일)은 대한민국의 문화재 수집, 보존, 연구가이며 교육가이다. 자는 천뢰(天賚), 호(號)는 간송(澗松), 지산(芝山), 취설재...",2020. 2. 9.
"[도봉구맛집] 서울여행 골목식당 투어 (창동 피자,닭강정 맛집)","지니피자 서울에 느낌있는 피자집 슈퍼주니어 규현 사진이 있네요 지니피자 주소 서울 도봉구 도봉로110아길 12 매일 11:00 - 00:00 전화 예약 : ***-****-**** 메뉴 지니페페피자(11.0) 또노피자(10.0) 치즈피자 (0.7) 페퍼로니 / 또노피자 저는 페퍼로니피자, 또노피자 시켰습니다 또노피자는 참치의...",2021. 5. 19.
서울 도봉구 가볼만한곳 아이와 함께 공원 나들이,활동 중인 네이버 블로거 편가여 단장(편안한가족여행/단장) 소개하는 서울 도봉구 아이들과 함께 가볼만한곳! 바로 서울시 도봉구 창동에 위치한 유만어린이공원입니다. 이곳은 서울시에서 지원하여 어린이와 주민이 함께 만든 시민고객 참여형 상상어린이공원이라고 합니다. 상상어린이 공원에서...,2021. 7. 31.
서울여행 도봉구맛집 쌍문동산채정식,아이디는 #aromadokyung 입니다 저는 신청군에서 또아리틀다가 코로라백신2차를 맞기위해서 서울여행 을 왔답니다 이젠 서울을 여행하기 위해서... 이뻐여 #쌍문동맛집 #태림산채정식 #쌍문역4번출구 #자랑스런한국음식점 #도봉구의자랑 #맛깔나는한식 #sns강경아강사 #제페토연습 #제페토아이디...,2021. 9. 27.
사적 제440호) 서울 도봉구 초안산 무덤군 ~ 상궁 개성박씨묘 찾아가는 방법,"불교문화재연구소, 2019, 서울 초안산 분묘군 종합정비계획, 40-41쪽) (그림) 아기 소망을 담은 초안산 마을여행 안내 (인용; 도봉구청) ~ 1장짜리 안내서로 잘 만들어진 편. 그러나 이 안내서의 상궁개성박씨묘 위치는 조금 부정확.초안산을 품은 월계동이야기 안내그림(그림) 비석골근린공원...",2021. 7. 16.
[여행] 서울시 도봉구 서울창포원,서울시 북쪽 끝에 위치한 '서울창포원'이다. 인근에 평화문화진지 다락원체육공원이 있어서 서울시 끝에 있어도 찾아오시는 분들이 많은 것 같다. 특히 반려견을 산책하러 오신 분들이 눈에 띈다. 그런데 서울창포원 내에서 자전거와 이용은 불가능하다. 또한 주차장이 없어서 도봉산역 건너편...,2021. 6. 12.
아기랑 역사 스탬프여행하고 선물받기! (도봉구 역사문화관광밸트 수첩완성),"「 우리나라를 대표하는 인권운동가로 '서울의 소리'를 창간하고 시인, 교육자, 사상가, 언론인, 역사가로서 삶을 살았던 함석헌 선생(1901~1989)을 기리기 위해 마지막 여행을 보내셨던 도봉구 쌍문동 집을 보존, 리모델링 하여 작은 기념관으로 건립하였습니다. 이곳에서는 함석헌 선생의 유품과...",2021. 9. 5.
"서울관광재단, 멀리 가지 않아도 가족과 함께하기 좋은 도봉구 세대공감 여행 코스 소개","▶우이천 정보 ▷주소: 서울 도봉구 쌍문동 ▷찾아가는 길: 전철 4호선 쌍문역 4번 출구에서 도보 15분, 둘리 벽화를 보려면 쌍문교 또는 쌍한교에서 우이천 변으로 내려가면 된다. 만화 속 둘리를 실감 나게 체험하는 놀이 공간 ‘둘리뮤지엄’ 둘리뮤지엄, 2015년 도봉구 쌍문동에 아기공룡 둘리...",2021. 5. 21.
"[서울여행] 아이들과 아빠, 엄마도 좋아하는 둘리 만나러가요!!!(21.6, 서울시 도봉구...","더운 여름 그리고 늦은 장마~ 시작. 이웃님, 아빠님들도 무사히 여름나시길!!! #아이들체험, #코로나아이볼거리, #코로나아이놀거리, #서울볼거리, #도봉구가볼만한곳, #둘리뮤지엄, #도봉구볼거리, #주말나들이, #아빠어디가, #서울가볼만한곳, #둘리",2021. 7. 2.
쌍문동 가는 길 : 서울 도봉구 쌍문채움도서관 온라인 글쓰기 start!,"바라보며 서울 도봉구 쌍문동으로 발길을 옮겼다. '쌍문 채움 도서관'에서 온라인 글쓰기를 진행하기 위해서다. 내가 사는 인천 송도에서 도서관까지는 자동차로 편도 1시간 30분, 왕복 3시간이 소요된다. 코로나19로 가까운 거리도 잘 안 가는 터라 왕복 3시간은 여행이나 다름없었다. 창밖으로...",2020. 9. 8.
"[체험/서울] 도봉구 우이천에 떠내려온 둘리와 친구들, 둘리뮤지엄",둘리박물관 #서울가족여행 #아이와가기좋은곳추천 #아이와가볼만한곳 코로나 4단계 전 주말. 다행히 아직 문을 닫지 않은 박물관.. 감사. 사전예약은 필수. 둘리뮤지엄을 가보고 싶다는 그녀. 가기 전날 둘리 만화를 유튜브에서 찾아보며 예습까지 ㅎㅎ 도봉구 둘리거리를 지나 둘리뮤지엄으로....,2021. 7. 15.
서울 사람의 서울 여행 (도봉구),"북한산 둘레길 트래킹 북한산 둘레길 방학동길(도봉구 무수골~방학동)을 걸었다. 자전거를 들고 산길을 오르려니 힘들었다. 산길에서 만난 70대 노부부에게 멋쟁이라는 새해 첫 칭찬을 들었다. 4. 시간이 잠시 머물러 있는 동네, 방학동 벽돌로 만들어진 굴뚝이 있는 목욕탕, 우리 엄마가 혼수로...",2020. 1. 28.
"서울나들이 : 도봉구 명소 서울창포원. 다락원체육공원, 평화문화진지.중랑천...",서울 도봉구는 창포원뿐 아니라 많은 지역 명소를 가지고 있습니다. 서울 강북의 끝자락에 있는 도봉구에는 가장 유명한 도봉산과 둘레길... 원(院)은 나랏일로 여행하는 관리들이 쉬거나 잠을 잘 수 있던 공공 숙박시설이라 할 수 있습니다. 체육공원의 전망대. 저곳을 갈 수 없는 것이 아쉽움...,2020. 9. 13.
우이동 - 서울도봉구 여행,우이동 계곡 맑고 시원한 계곡물이 흐르는 우이동계곡은 도봉산과 북한산 사이에 있다. 입구부터 북한산 중 가장 완만한 코스로 알려진 백운대에 이르기까지 긴 계곡물줄기가 흐른다. 북한산 국립공원 내에 위치해있어 입수가 금지되어 있지만 바위에 걸터앉아 상쾌한 공기를 마시는 것 만으로도...,2020. 4. 14.
서울 둘리뮤지엄 리뷰! 서울 도봉구 가볼만한 곳 추천! (feat. 데이트 코스),시간여행을 할 수 있는 통로였답니다 ㅋㅋㅋㅋㅋㅋ 그래서 캐릭터들도 같이 빨려들어가요 ㅋㅋ 타임코스모스 고치기 성공!! 그 다음 코너는... 쌍문동둘리거리 #서울도봉구둘리뮤지엄 #서울쌍문동둘리뮤지엄 #둘리뮤지엄입장료 #둘리뮤지엄예약 #둘리뮤지엄시간제한 #둘리뮤지엄아이와함께...,2021. 7. 18.
[서울 가볼만한 곳]도봉구 평화문화진지,"도봉구 평화문화진지 도봉구 평화문화진지 대전차방호시설 평화문화진지는 옛 다락원이 있던 자리다. 다락(樓)으로 된 원집이 있어 붙은 이름이다. 관리들이 나랏일로 여행하며 쉬거나 잠을 자는 공공숙박시설이다. 6.25 당시 북한군 전차가 동두천, 포천, 의정부를 지나 서울로 들어오는...",2021. 6. 15.
[생방송 투데이]서울 도봉구 리얼 맛집 프라이빗 캠핑식당 인디언소울 여행본능 섬...,sbs 생방송 투데이 2645회 ▽ 생방송 투데이 서울 도봉구 리얼 맛집 숲속 캠핑느낌 100% 프라이빗 캠핑식당 여행본능 섬 흑산도 바비큐 펜션 홍어 홍어중매인 50번 두떼홍어 인디언소울 흑산도 통나무펜션 2645회 링크▽ https://fire8blog.tistory.com/2327 ▽ [생방송 투데이]...,2020. 8. 26.
서울창포원 도봉구 대전차 방호시설 공간재생 [평화문화진지],"평화문화진지 군사시설인 옛 대전차방호시설을 공간재생사업을 통해 새롭게 조성한 문화창작 공간 조선시대에 나랏일로 여행하는 괸리들이... 2016년 서울시, 도봉구청, 60보병사단과 대전차방호시설 리모델링 협약을 체결 이후 평화문화진지로 탈바꿈한 후 대전차방호시설의 흔적들을 보존한 채...",2021. 6. 5.
서울 연산군묘는 도봉구에 있습니다,"서울 연산군묘는 도봉구에 있습니다 도봉구 방학동 쌍문역사산책길 삼총사(방학동 은행나무, 원당샘공원, 서울 연산군묘)중 마지막 코스는 서울... 멀리는 못가더라도 도봉구에 있는 우리의 역사유적들을 탐방하면서 잠시 과거로의 여행을 다녀오시는건 어떨지요? 또한 그런 우리의 역사를 지키는...",2020. 9. 25.
서울 도봉구 도봉동 수학 과외 도봉산 영어 과외,"서울 도봉구 도봉동 수학 과외 도봉산 영어 과외 런던에서 정신과 의사였던 헥터는 부끄러움이 없는 삶을 살고 있었습니다. 하지만 도봉구과외... 그래서 그는 행복이 무엇인지에 대한 해답을 찾고자 충동적으로 여행을 결심하고, 세계를 여행하기 시작합니다. 그리고 다양한 사람들을 만나 뜻밖의...",2020. 7. 21.
도봉구 삼양동 아파트 이사청소 깔끔한 서울 청소전문 업체,"오늘의 포스팅은 서울 도봉구의 아파트 이사청소를 소개해드립니다. 손끝하나만으로 음식을 주문하고 물건을 사고, 여행을 예약하는 등 스마트한 미디어세상입니다. 하지만 세상이 스마트해진다해도 사람이 직접 해야할일이 다수 존재하는데요 바로 이사청소 입주청소 등 물리적인 움직임을...",2020. 1. 9.
[34회] 서울 도봉구 자유 독서모임 후기,"#34 서울 도봉구 자유 독서모임 후기 일시 : 21.02.21(일) 오후 2시 ~ 4시 장소 : 노원역 부근 스터디 룸 참석자 : 총 3명 / [별 헤는 밤], [붕붕], [상하] 34회... 위한 여행을 계기로 완전히 출가해 승려가 됩니다. '아잔 브라흐마'라는 이름은 그의 본명이 아닌 법명(스님 이름)이라고 보시면 좋을 것 같아요....",2021. 2. 26.
"[서울 도봉구 나들이] 서울창포원, 붗꽃이 가득한 생태공원",[출처 : 밴드 혼자여행하는 사람들(김진웅)] #서울시 #도봉구 #서울창포원 #붓꽃 #6월여행추천 #5월여행추천 #꽃구경 #꽃축제 #개화상태 #꽃 #꽃피는시기 #6월여행추천 #7월여행추천 #여름여행 #여행추천 #여자친구와여행 #남자친구와여행 #가족여행추천 #아이들과함께 #가볼만한곳 #여름휴가...,2021. 7. 8.
"[서울여행] 서울 도심 자연의 품 속에서... 힐링플레이스(21.9, 서울시 도봉구 #서울창포원)",서울에서 의정부 방향으로 길을 가다가 문뜩 연애때 방문했던 #서울창포원 이 생각나서 여기로 Pick!!!! #서울창포원 까지 도착은 했는데 어??? 어디에다 주차를 해야하는지... 멤붕 ㅠ 네비에 검색할 때 #서울창포원주차장 으로 했지만 여기는 버스정류장과 장애인주차장... 주차장은 없어요. 대신에...,2021. 9. 23.
서울 도봉구 아이와 갈만한곳] 뚝딱뚝딱 놀이터 & 창골 어린이공원 추천 / 지도...,아이도 넘 좋아하는 주말 서울 대중교통으로 아이와 가기좋은곳 추천합니다. #창골어린이공원 #뚝딱뚝딱놀이터 #창골마을 #붕붕도서관 #대중교통 #아이와갈만한곳 #서울아이와 #뚜벅이여행 #주말나들이 #주말아이와 #도봉구갈만한곳 #강북 #가볼만한곳 #녹천역 #놀이터추천 #이색놀이터 #평일아이와,2021. 3. 7.
암맹담과 정의공주 묘역 - 서울도봉구여행.,"[『세조실록』 세조 8년 12월 25일] 묘소는 정의공주의 묘소 옆에 나란히 있는데, 서울특별시 도봉구 방학동 산63-1에 위치한다. 봉분 2개가 나란히 위치하였으며, 봉분 앞에 석등과 4기의 문인석이 남아 있다. 묘소 앞에 있는 신도비의 비문은 첫째 딸의 시아버지인 정인지(鄭麟趾)가 지었으며...",2020. 2. 9.
