header,contents,date
[국내여행 서울당일치기] 동대문구 홍릉 수목원 숲탐방,"명상여행 가이드 도나입니다 (-: 10월의 어느 날, 가을 단풍 구경을 위해 서울 동대문구에 위치한 홍릉에 다녀왔습니다. #홍릉 #서울갈만한곳 #서울여행 #서울당일치기 #힐링여행 #홍릉수목원 은 원래 을미사변으로 안타깝게 생을 마친 명성황후가 묻힌 곳입니다. 이후, 고종이 승하(1931년)하신 후...",2020. 11. 24.
동대문구 여행 - 서울 약령시,"27 주 소: 동대문구 약령중앙로 10 일대 (제기동) 교통 지하철 : 1호선 제기역 2번 출구 방향 버스 간선: 105 , 147 , 201 , 202 , 241 , 260 , 261 , 262 , 270 , 271 , 272 , 420 , 421 , 720 , N13 ,N26 제기동역, 서울약령시 하 차, 지선: 2221 , 2233 제기동역, 서울약령시 하차 #동대문구 #동대문구문화탐방 #동대문구여행...",2020. 7. 23.
"""동대문구 기억여행 함께 떠나요"" - 옛극장 편","[동대문구 기억여행] 동대문구의 옛 극장들 출처: 한국영상자료원, 서울역사박물관 1960년대 말부터 1970년대 초 동대문구에는 오스카극장, 대왕극장, 답십리극장 등 여러 극장이 개관한다. 이는 해방과 6.25를 겪으면서 가난과 절망에 지친 사람들에게 간절한 희망과 영화의 대중적인 보급에 힘입어...",2021. 7. 9.
"[서울여행] 국내 최초 수목원에서 끝내주는 산림욕 즐겨보기(21.9, 서울 동대문구 #홍릉숲)","이럴 땐 아빠표 냉면으로 마무리해야죠.♡ 꼭 가보시길~♡ #아이들체험, #코로나아이볼거리, #코로나아이놀거리, #서울볼거리, #서울가볼만한곳, #서울동대문구가볼만한곳, #동대문구볼거리, #주말나들이, #아빠어디가, #홍릉숲, #서울데이트, #홍릉숲주차 #서울여행, #서울가볼만한공원, #홍릉시험림...",2021. 9. 14.
"#37 서울 동대문구, 교통이 완전 편한... (Near. 장한평역) ※알파씨의 국내여행※",추억에 동네이기도 하지만 호텔 컨디션도 완전 좋아서 굳굳굳 한 호텔 서울가면 또 가야지!! 다음에 또 가봐야지!!! #장한편역호텔 #장한평 #장안동 #서울가성비호텔 #서울호텔 #동대문구호텔 #장안동비즈니스호텔 #알파씨의국내여행 #알파씨여행기 #알파투어 #캠핑 #알파씨추천장소 #서울호캉스 #알파씨,2021. 7. 9.
[서울 동대문구] 경동시장 청년몰 분식,청년몰 분식집 아마 서울에서 가장 크고 오래된 시장인 동대문구 제기동 경동시장 오래된 재래시장이지만 이곳에도 많은 변화의 바람이 불고 있다 대표적인것이 아마 작년말쯤 개관한 청년몰인데 요즘 지방여행을 다니다 보면 각 지역 대표적인 재래시장안에 청년창업가들을 위한 공간을 만들어...,2020. 6. 28.
"[ 매일일보 ] 서울 동대문구, ‘인도 인문학 여행’ 강좌 개설",idxno=815129 - 한국외대 인도연구소와 연계한 특화 프로그램…8강으로 구성 [매일일보 송미연 기자] 서울 동대문구가 한국외대 인도연구소와 연계한 특화 프로그램을 8일부터 운영한다고 5일 밝혔다. 특화 프로그램으로는 인도의 철학과 문화에 대해 알아볼 수 있는 ‘인도 인문학 여행’...,2021. 4. 7.
서울여행 2탄: 제2의 고향은 동대문구,"나 사실 서울에 전입신고 한 적 한 번도 없지만,, 동대문구는 제2의 고향같다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 4년정도 꽉채워 살았고, 무엇보다 동네 분위기도... ㅠㅠ 조심조심 이주 정도 지나서 쓰는 일기인데도 아직 생생하다 역시 여행이었던건가^^ 복기하는 것도 즐거워 투비컨티뉴드",2021. 5. 25.
"[스누피의 한국여행 86.63] 서울시 동대문구 답십리동 답십리 고미술상가, 답십리...",장한평은 지금의 서울시 동대문구와 성동구 사이에 위치한 평야인 평야로 지금의 중랑천인 한천을 옆에 끼고 있었다고 한다. 지형이 기다란 모양이어서 조선시대 군마를 키우고 훈련시키던 곳인 이 곳이 일제시대에 일제가 이 곳이 목마장 안쪽에 있는 평야이니 장안평으로 불러야 한다고 해서...,2021. 6. 30.
서울 동대문구 숙소 추천 회기호텔 MOU,코로나바이러스 일이 생기기전 가족여행을 가게되어 하루 머물렀던 곳이에요. 여*어때 어플을 받아서 보던중 남편 사촌동생이 알아보고 괜찮은거 같다고 해서 예약을 했던곳이라 아무것도 모르는 상태에서 갔지요~ 한번 구경해보시죠 서울 동대문구 숙소 처음에 동대문구 이문동에 볼일이 있어...,2020. 2. 18.
"전국,서울, 동대문구 코로나 확진자 현황 및 첫 발생일과 해외 코로나현황(발생,사망)","이 확진자는 이탈리아 등을 여행 후 확진판정을 받아서 동대문구의 네번째 코로나 확진자가 되었습니다. 서울시의 코로나 확진자는 서울시 홈페이지에 나타난 숫자로는 오늘 오전 10시기분으로 114명이며, 전국적으로는 대구,경북,인천에 이어 코로나확진자가 100명이 넘는 4번째 지역이...",2020. 3. 7.
[5년 전 오늘] 서울동대문구장안동 연화궁 연화 신녀는 기도 여행중,5년 전 오늘 서울동대문구장안동 연화궁 연화 신녀는 기도 여행중 장안동 점집 연화궁 신녀는 기도여행중 입니다 소백산 백두대간 선황 들려서 인사 발원드리구 예천 용두사로 고고씽 날씨가 너무 좋으내요^^♡백두대간 선황 기도 발원 끝에 찾은 성황당 입니다바위가 옆에서 보면...,2021. 4. 1.
"[교육/경제] 코로나19와 여행업, 그리고 교육 (feat. 서울 동대문구와 특성화고)","서울 동대문구가 학생들의 해외 취업과 창업을 돕기 위해 특성화고 2곳에 보조금 3660만원을 지원한다. 이 특성화고는 본래 학생들의 외국어 능력과... 최근의 기사들을 보면 '코로나19로 가장 먼저 무너진 것은 여행산업' 이라는 기사들을 어렵지 않게 접할 수 있는데, 이것만으로도 코로나가 바꾸어...",2021. 8. 6.
서울 동대문구 상가교회리모델링공사사례와 엘이디무대조명설치사례,여러분들의 마음에 쏙 들만한 이야기를 준비했으니까 저와 같이 재미난 여행을 하자구요. 고고~고고~! 제가 여러분들에게 소개해드릴 이야기는 서울 동대문구 상가교회리모델링공사 이야기예요. 이전에 제가 여러분들에게 서울에 위치한 상가건물에 예배당을 지은 이야기를 여러분들에게...,2021. 4. 21.
포스트 코로나 시대의 동대문구 여행법,#동대문구 는 #포스트 #코로나 시대에 안전하고 건강하게 즐길 수 있는 한적한 #여행코스 6개를 선정했습니다. 요새는 혼자 또는 소규모로... 우산각과 동대문구·종로구의 주요 전통시장을 둘러보는 것으로 서울의 풍물을 살펴볼 수 있는 코스입니다. ▶ 예약하기 https://yeyak.seoul....,2021. 4. 1.
청계천 영도교와 주변풍경 -서울 동대문구여행,"청계천 영도교 영도교는 폭 26.2m, 연장 30.1m전통 대청양식을 도입한 아치교이고 주변엔 동묘공원, 종로 문화의 집, 숭인공원, 벼룩시장, 종로구민회관 등이 있다. 영도교의 유래 단종이 왕위를 빼앗기고 노산군으로 강봉되어 영월로 귀양갈 때 그의 비인 정순왕후 송씨가 이곳까지 나와 서로 영영...",2020. 9. 20.
"서울 동대문구 답십리동 보말칼국수가 맛있는 ""오소록""","오소록 서울특별시 동대문구 전농로3길 1-2 (답십리동 276-24) 제가 제주도 여행에 갔다가 보말칼국수를 먹어 본 뒤로 아주 푹~ 빠져있던 상태였는데요, 서울에서도 맛있는 보말칼국수를 먹을 수 있다하여 방문해봤어요 바로 동대문구에 위치한 ""오소록""입니다 보말칼국수 말고도 다른 국수종류도...",2021. 9. 8.
"문화누리카드로 떠나는 우리동네 가맹점 여행 3탄! 광진구, 동대문구, 성동구, 중랑구 편","안녕하세요 서울문화누리입니다 문화누리카드로 떠나는 우리동네 가맹점 여행 제 3탄!✈️ 동서울권역인 광진구, 동대문구, 성동구, 중랑구에는 어떤 가맹점들이 있을까요? 문화체험과 건강관리를 함께할 수 있는 동서울권역의 문화누리 가맹점들을 만나보세요! 감성공업...",2021. 9. 8.
