header,contents,date
동작구 여행> 사육신역사공원,"4학년 사회에 “서울의 생활”을 공부하는 아이, 동작구 명소를 가보고 싶다고 해서 가까운 “사육신역사공원”에 갔습니다. 묘역으로 들어가는 불이문 한창 포켓몬스터 게임을 할 때, 많이 갔었던 곳이죠. 그리고 2020년 코로나가 한창일 때도 갔어요. 나라를 위해 기도하는 마음으로 산책을...",2021. 4. 21.
[서울 여행] 동작구 충효길 - '서달산' 걷기,"주말에 동네 (동작구 상도동 부근)에 있는 서달산에 다녀와습니다. 서달산은 동작 충효길, 국립현충원 둘레길과 연결되어 있습니다. 등산이라기... 서울에는 동서남북 4방에 사당이 다 있었는데 현재는 지하철 동묘역의 동묘가 가장 크게 남아있는 관왕신의 묘입니다. 여기 남묘는 원래 남대문 쪽에...",2021. 5. 29.
효사정공원 서울 여행 동작구,"동작구 흑석동 한강변을 지나다 보니 효사정공원이라고 한강을 시원하게 볼 수 있는 곳이 있었습니다. 지나가는 길보다 높은 곳에 작은 정자가 있고 운치가 괜찮은 곳이었습니다. 서울 여행의 맛이 좋습니다. 혹시나 싶어서 자전거를 아래에 두고 올라왔는데, 생각했던 것 이상의 멋진 조망을 보게...",2020. 9. 26.
[시내] 조치원 - 서울(동작구)간 시내버스 여행,이번에 새로운 도전으로 시내버스 여행을 시도하였습니다. 다른 블로그의 글을 보면서 호기심이 생겨서 도전하게 되었습니다. 주로 서울 - 부산까지 루트가 거의 대부분 히트입니다. 저는 이번이 첫 시도인만큼 안전하게 단거리(?)로 한번 시도하였습니다. 글을 쓰기에 앞서 사진을 잘...,2021. 2. 26.
서울관광재단 주관 동작구 히든플레이스 서울랜선여행 공모전수상작품영상 더보팩토리,서울관광재단 주관이고 방탄소년단 콜라보레이션도 진행한것 같네요^^ 서울랜선여행이라는 공모전 인가봐요 ㅎㅎ 저희 더보팩토리는 동작구 도자기공방으로 제일 마지막 편에 플레이 하실수 있습니다 ^^ https://youtu.be/PLBKGvY2PPo 서울에 이런장소가 힐링 하기 좋은 히든플레이스!,2020. 11. 22.
"(거제3GO)여행, 우리동네반찬가게(서울 동작구), 맛스타그램(소갈비찜), 인생분식...","3GO-거제 3GO 여행 편 ▶<거제도 매미성> 주소: 경남 거제시 장목면 복항길 ▶<몽돌밭횟집> * 숭어국찜, 숭어회, 숭어튀김 판매 (주문 시 가능)... 우리 동네 반찬 가게-24년 한자리, 한결같은 최고의 반찬 편 ▶<고선경 반찬> 주소 : 서울 동작구 대방동길 9 번호 : 02-812-9910 3. #맛스타그램...",2020. 5. 2.
[동작구 공정여행가 양성과정⑥] 대덕구로 선진지 답사를 떠나다,"[동작구 공정여행가 양성과정⑥] 대덕구로 선진지 답사를 떠나다 글,사진_이두희 코디네이터 어느덧 동작구 공정여행가 양성과정 9회차! 수료식을 제외하고는 마지막 활동입니다. 아쉬움을 안고 서울에서 벗어나 대전광역시 대덕구 공정생태관광 현장을 방문했습니다. 대전광역시 대덕구는 2018년...",2021. 6. 19.
"서울특별시 동작구 상도동_팜아카데미:)2번째체험, 지하철여행","팜아카데미 여름방학동안 우리 별이와 함께 할 체험들을 계획해보았어요. 그 중 하나가 팜아카데미! 물론 1번 다녀온 적이 있었고, 주차가 안되서 대중교통을 이용해야한다는 불편이 있지만 불편을 감수하고 나서라도 우리 별이가 너무나 좋아하는 체험이라 예약을 했었지요 그때는 9,900원으로...",2021. 8. 30.
"서울 동작구, 금빛으로 빛나던 한강대교 야경","[여행지 추천] 서울 동작구, 금빛으로 빛나던 한강대교 야경 안녕하세요? 사진작가 자유분방입니다. 이번에 보여드릴 야경 포인트는 한강대교입니다. 한강에 있는 31개의 다리 중에서도 손꼽히는 야경을 보여주는 곳입니다. 이곳의 야경을 담기 위해서는 근처에 자리 잡고 있는...",2020. 2. 6.
동작구수방사 사전청약 2021년 서울신혼희망타운일정 서울에 내집마련하기 1편,코로나때문에 여행도 못가고 집에서 쉬면서 요즘 알아보고 있는 3기신도시에 대해서 포스팅했어요! 모두모두 내집마련했으면 좋겠습니다!!! 긴 포스팅 읽어주셔서 고마워요~ 저는 다시 육아하러 갑니다 동작구수방사신혼희망타운 임장후기 보러가기 2021년 서울 신혼희망타운...,2021. 7. 12.
