header,contents,date
"[서울여행] 마포구 상암동 가볼만한 곳, 하늘공원","그만큼 하늘공원이 서울시민 사이에 쓰레기산이 아니라 공원으로 자리매김했다는 이야기일 테다. 중앙교차로에서 남동쪽으로 뻗어, 살짝... 서울시에서 진행하는 공공미술 도시갤러리 프로젝트, ""도시가 작품이다""는 매년 진행된다. 2009년에는 임옥상의 작품이 하늘공원에 설치된 것이다....",2021. 10. 11.
"서울여행, 마포구 호텔 신라스테이마포에서~!","서울여행, 마포구 호텔 신라스테이마포에서~! 실시간 업로드하는 포스팅입니다~! 비가 추적추적 내리는 오늘 김해공항에서 비빔밥을 든든히 먹고 김포공항으로 향했습니다. 목적이 있는 서울여행을 위해서죠^^ 늘 강의로만 오던 서울에 여행으로 오니 또 다른 느낌으로 다가오네요. 마포구 호텔...",2020. 1. 7.
애견호텔 (서울 마포구 상암동) - 여행 중 강아지 맡기는곳. 5박6일 덕분에 안심으로...,집에 와서는 그래도 엄마가 최고라고 담번엔 같이가자며 캐리어 안에 들어가 시위하는 버들이 ㅋㅋ 아빠 환갑여행 ~! 동물의 숲 쥔장님 덕분에 맘 편히 잘 다녀왔습니다!! 서울 마포구 상암동 애견호텔 강아지 맡기는 곳 경험상 강추합니다 #상암동애견호텔 #애견용품 #마포구애견호텔...,2021. 3. 17.
서울여행 마포구 용산구 걸어볼까?,서울여행 마포구에서 용산구까지 지난번 경의선 숲길을 걸었었는데요. 내친김에 효창공원까지 걸어보기로 했어요. 아직 그곳은 가보지 않았거든요. 날씨도 너무 좋았고요. 이날 유산소운동도 할 겸 걸었어요. 공덕역 7번 출구 쪽으로 쭉 걸어가면 되더라고요. 퇴근시간 때가 되니 차도 사람들도...,2021. 6. 5.
"[마포 여행 #1 최종편] 서울의 젊은 내음, 마포구",chulcotte은 최근에 서울 마포구 여행을 다녀왔어요! 타지역에 비해 짧은 동선으로 많은 것을 즐길 수 있어 이곳을 택했습니다ㅎ 후회없이 굉장히 재밌는 여행이었어요. 두둥!!!!! 이번 여행의 시작점이 된 합정역입니다. 합정은 홍대입구역 바로 옆의 역이라 근처 어느 골목에 들어가든 갬성적인...,2020. 7. 26.
서울 마포구여행 근데 이제 주로 먹는 것 위주의 사진을 곁들인,딸기케이크 맛집 ‘피오니’ 유명세 때문에 맛집 찾는 거 그렇게 좋아하지는 않는데 여기에 가서 생각이 바뀌었다 그렇지 유명한 데에는 이유가 다 있구나 (끄덕) 맛있었다! 깔끔하다! - 안뇽 :) 노을지는 사진으로 띠용 스럽게 마무리 서울여행 또 가고 싶다...! 다시 가는 그 날을 기다리며 잘 지내자 :),2021. 5. 13.
"서울여행, 션투어 서울편 - 마포구 망원동에 있는 신상카페 선과점 2호점 과일디저트가...",카페 #모을 은 마포구 망원동에 있었어요. 강남에서 망원동 가기 참 복잡하더라고요. 환승을 2번이나 했습니다! 서울에서도 신상카페를 오게 될... 이번 서울여행 중에 선과점이든 모을이든 둘 중 한 곳은 꼭 가고 싶은 마음에 코스를 살피다가 모을을 일정에 넣었습니다. 모을도 마찬가지로...,2020. 6. 26.
서울 마포구 책테마거리 경의선책거리 걷기좋은길이에요,저는 서울 마포구에 위치한 책테마거리인 경의선책거리를 걸어보았습니다 알면서 못가는 사람보다는 몰라서 못가시는 분들이 많은것 같아서 쉽게... 지는곳이에요 여행산책 아동산책 인문산책 문학산책 테마산책에서는 도서를 사고 읽을수도있는 공간이랍니다 강아지를 데리고 나오시는 분들도...,2021. 9. 26.
서울 마포구 연남동/홍대입구/경의선숲길/태국음식점/툭툭누들타이,"연남동맛집추천 #마포구맛집추천 매일 11:30 - 21:20 브레이크타임 15:20 - 17:00 070-4407-5130 네이버에서 예약 가능 나의 첫 해외여행지는 태국 방콕이었고, 내 장기세계일주의 첫 여행지 또한 태국 치앙마이였다. 그래서 아직도 가끔 태국이라는 나라를 생각할 때면 마음이 두근거리고 몽글해지는...",2021. 9. 28.
"[서울함 공원] 서울아이랑가볼만한곳, 서울여행, 마포구여행",꽃을 보고는 그냥 지나칠 수가 없나봐요 꽃 이뿌다 하며 좋아하네요 마지막으로 핑크퐁음료수 한잔마시며 잘 쉬었다가 잘 놀다가네요 ❣❣ #서울함공원 #서울아이랑가볼만한곳 #서울여행 #마포구여행 #마포구아이랑가볼만한곳 #마포구데이트 #서울데이트 #서울공원 #육아맘 #도치맘 #서이추 #답방,2021. 7. 22.
