header,contents,date
서울 걷기여행 서대문구 안산자락길 걷다 홍제천 인공폭포까지,오늘은 좀 그런대로 시원한 것 같기도 하고 해서 서울 걷기여행 서대문구 안산 자락길 걷고 홍제천 인공폭포 까지 보고 왔답니다. 알고는 있었지만 봄에 한번 가야겠다 하면서도 못 가다가 오늘 드뎌 다녀왔지요. 안산 서대문구 안산을 걷다 왔지요. 아마도 오늘은 약 3시간 이상 걸은 것 같아요....,2020. 6. 17.
[서울 서대문구]스위스 그랜드 호텔 1박 여행 솔직후기 / 부모님과 내돈내산으로 다녀온...,진짜로 20000 #서울호텔 #서울호캉스 #서울근교호텔 #서울근교호캉스 #호캉스추천 #스위스그랜드호텔 #서대문구호텔 #서울5성급호텔 #그랜드힐튼 #홍제동호텔 #스위스그랜드호텔레지던스 #스위스그랜드호텔수영장 #서울뷰호텔 #서울수영장호텔 #호텔추천 #가족여행 #부모님여행 #1박여행 #호캉스...,2021. 6. 30.
서울 토박이도 신기한 ‘서대문구 랜선여행’,서대문구 사이버투어 ‘서대문 명소여행 360˚ VR’ >> 바로가기 ▶ ‘내 손안에 서울’ 앱으로 받아보기 ▶ ‘코로나19 서울생활정보’ 한눈에 보기 ▶ 내게 맞는 ‘코로나19 경제지원정책’ 찾아보기 출처 : 내 손안에 서울 시민기자 신예은,2020. 9. 28.
서울 등산 추천 서대문구 안산과 인왕산에서 바라본 서울 야경과 일출 feat. 왕초보 가능,오늘은 초보도 등산하기 쉬운 서울의 산 중에 오늘 서울 서대문구 안산에서 촬영한 서울 야경과 일출 그리고 예전에 눈 내린 날 인왕산에서... DHK.Photogallery Photogroup Soon-Gan 여행하며 사진 찍고 글 쓰는 여행 사진작가 김대형 창작자에게 힘을 주세요! 인플루언서 팬 하기! 아래 네임텍을...,2021. 9. 25.
서울시문화재 서울시서대문구여행 서울가볼만한곳 사적 제 324호 서대문형무소역사관,서울시문화재 서울시 서대문구여행 서울가볼만한곳 사적 제 324호 서대문형무소역사관 서울시 서대문구의 현저동에 자리하고 있는 서대문형무소역사관은 조국의 독립투쟁과 민주의 현장입니다 사적 제 324호에 지정되어 있는 국가지정 문화재입니다 서대문형무소역사관 지난시기 우리민족사에...,2021. 3. 13.
[국내여행 서울 당일치기] 서대문구 안산자락길 명상산책 코스,"명상여행 가이드 도나입니다 (-: 오늘 소개해 드릴 명상여행지는 가벼운 마음으로 다녀오실 수 있는 #서울근교여행지 서대문구 #안산자락길 입니다. 이미지 출처: 서대문구청 홈페이지 #서대문구안산 은 높이 296미터의 나즈막한 산이며, 총 길이 7km의 순환형 데크길이 놓여 있어 몸이 약간...",2020. 9. 1.
"여행] 여름철 무더위는 시원한 폭포와 숲속 허브가 있는 곳에서!!(21.6, 서울 서대문구...","서울 한복판 폭포도 즐기시길 추천합니다. #아이들체험, #코로나아이볼거리, #코로나아이놀거리, #서울볼거리, #서울가볼만한곳, #서울서대문구가볼만한곳, #서대문구볼거리, #주말나들이, #아빠어디가, #홍제인공폭포, #안산, #서울데이트, #서울여행, #서울가볼만한공원, #서울안산",2021. 6. 16.
서대문 신라스테이 / 서대문구 호텔 / 서대문구 호텔 / 신라스테이 서울 / 서울 여행,"이번 여름, 잠시 아니다 조금 길게 머물렀던 서울,오랜만에 서울 여행이었다. 사실 일반적인 여름이었다면, 여름 서울 여행은 숙박비가 저렴한 곳을 묵거나 저렴했을 건데...상황이 상황인지라 사람들은 생각보다 해외로 못 나가고 여행을 가지 않았고, 안전을 위해서 적당한 가격 대의 숙소를...",2021. 9. 30.
서울여행 / 서대문구 홍제동 예술공간 '홍제유연',^^ 서울에 무료로 이런 작품을 즐길 수 있다는 점이 다른 단점들을 커버한다고 생각해요. 홍제천의 물 흐르는 소리도 간만에 들으니.. 힐링되는 것 같구요~ 다만 주변지역이 오래된 상권이라.. 주변에 즐길만한 꺼리들을 별로 찾지 못했어요. 그 부분이 아쉽기는 해요. 안의 공간을 구경하는데 약...,2020. 10. 10.
[스누피의 한국여행 85.24] 서울 서대문구 홍제동 개미마을 방문기,"지금은 서울시에서 50~60년대 마을모습 보존을 위한 미래유산으로 지정하였다고 한다. 영화 7번방의 선물에서도 배경으로 나왔다고 한다. ⚽ 홍제동의 지명유래 ♥ 홍제동은 홍제원이라고 하여 조선시대에 역원중의 하나로 공무여행자들의 숙소였는데 동대문밖 보제원, 광희문밖 전관원, 이태원...",2020. 9. 19.
공모전〕 초록 희망으로 피어나는 홍제동 개미마을-경상도 토박이의 서대문구 여행,"교통의 발달로 전국이 일일생활권안에 들어있다지만, 경상도 사람이 일일여행으로 서울을 향한다는 것은 쉽지 않죠. 게다가 경복궁, 덕수궁 등 많은 사람이 쉽게 찾는 관광지도 아니고 서대문구의 한 마을을 찾아 떠나다니.. 그러나, 저는 경남 김해에서 서대문구 「개미마을」로 향하는 행복한...",2021. 4. 27.
[서울여행-9][서대문구카페][연희동카페] SWAY COFFEE STATION. 스웨이 커피...,날 좋을 때 초록 커피 정거장 스웨이 커피 스테이션 다시 방문하고 싶네요 :) - SWAY COFFEE STATION - 스웨이 커피 스테이션 - 서울 서대문구 연희로11길 61 (연희동 126-1) - 02-6348-0061 - AM 11:00 - PM 09:00 (연중무휴) - 가게 옆 주차 가능,2020. 2. 27.
"서대문구, ‘서대문 명소여행 360VR’ 운영",360도 VR영상으로 초고화소 제공…스마트폰·PC로 관람 ‘서대문 명소여행 360VR 서비스’로 본 서대문자연사박물관 [서대문구 제공] 서울 서대문구(구청장 문석진)는 스마트폰이나 PC로 간편하게 지역내 명소들을 관람할 수 있는 ‘360VR 콘텐츠’를 확대 구축하고 8일 서비스를 시작했다. 이용...,2021. 10. 8.
"[연희동 맛집] 서울 서대문구 연희동 한정식 잘하는 곳 ""고미정""","서대문구 연희동 한식 맛집 고미정 여러분 안녕하세요, 매일매일 맛집을 여행하는 먹깨비 아리 예요. 저는 양식을 좋아해서 외출을 하면 주로... #서울한식 #서울한정식 #서울저렴한한정식 #서울상견례 #서대문구맛집 #서대문구한식 #서대문구한정식 #연희동맛집 #연희동한식 #연희동밥집...",2020. 10. 29.
"서울 :: 서대문구 손세차 ""그린손세차장"" 빠르고 꼼꼼한 남가좌동 세차장 팰리세이드...","서대문구 빠르고 꼼꼼한 ""그린손세차장"" 안녕하세요 홍양입니다:) 해피 추석이네요~! 여행 전이나 오랜만에 시골길에 오를 땐 다들 세차 하고... ***-****-**** 서울 서대문구에 위치한 그린손세차장은 아침 8시부터 운영하기 때문에 아침일찍 후딱 세차하고 어디 출발하기 참 좋았어요 미리 예약을...",2021. 9. 21.
서울 서대문구 가볼만한 곳 : 홍제유연 추천해요,"https://youtu.be/0opksGpG8Yg <모든 사진의 저작권은 한국관광공사에 있으며 위 포스팅은 한국관광공사로부터 소정의 원고료를 받아 작성된 글입니다. > #한국관광공사, #숨은관광지, #스페셜플레이스, #여행, #가을여행, #겨울여행 #서울여행, #서울데이트, #홍제유연, #서대문구가볼만한곳, #홍제천",2020. 12. 4.
서울 서대문구 깔끔한 호텔 신라스테이 서대문,서대문구 깔끔하고 가성비 좋은 호텔 신라스테이 서대문 결혼하면 막 갑자기 여행떠나고 숙소도 급하게 잡아서 낭만있는 여행을 할 줄 알았지만... 집에서 여행은 계획있게 진행하고 있는 2년차 부부의 삶 ㅋㅋ 주문받은 상품 배송을 핑계로 대전 시골쥐들 서울 상경을 계획. 버는것보다 쓰는게 더...,2020. 4. 16.
콘서트~~/자연인 음식7/경주/서울커피점4/교육방송 KBS오스트리아 서대문구,"12코스-여행사 메일 받음 https://www.youtube.com/watch?v=ZIX1GAaeYFI&t ----------------------------------------- 부부 남미여행 100일... smenu=9725de&bbs_loc=T2005-0731-04-492860,read,,340,996832 19:10김영철의 동네 한 바퀴--서울 서대문구- 99회 http://program.kbs.co.kr...",2020. 12. 4.
서울시문화재 서울시걷기여행 서울시서대문구여행 서대문독립공원 사적 제32호인...,서울시문화재 서울시걷기여행 서울시서대문구여행 서대문독립공원 사적 제32호인 독립문 사적 제33호 영은문주초 독립문영천시장 오늘의 서울시 서대문구 걷기여행은 서대문독립공원안에 자리한 사적 제32호로 지정된 독립문과 사적 제33호인 영은문주초를 함께 살펴보고 서울의 서대문구...,2021. 3. 17.
서대문형무소 / 서울 여행 / 서울 8월 가볼만한곳 / 서대문구 가볼만한곳,"서울 여행 중, 사실 10여년 전에 들렸던 서대문으로 향하고 있다.서대문형무소로 불렸지만 명칭은 서대문형무소역사관으로 가고 있다. 독립문... 완성되면 가볼 요량이다. 서대문형무소역사관 서울특별시 서대문구 통일로 251 서울특별시 서대문구 현저동 101 Tel. (02) 360-8590",2021. 8. 14.
[서울 서대문구] 안산 둘레길 걷기_210519(목),[서울 서대문구] 안산 둘레길 걷기_210519(목) 늦은포스팅입니다. 81년 ~ 88년생들이 모여서 정기적으로 사찰 순례를 하고 있습니다. 소모임명은 산사... 사찰 여행일정은 홍제천 -> 안산둘레길 -> 로하스 입니다. 홍제천 인공폭포에서 출발하여 안산 둘레길을 걸어 연희동 로하스에서 차한잔 하고 모임...,2021. 6. 24.
서울 서대문구 숲속한방랜드 입장권,"한국 전통 찜질 SPA인 불가마에서 피부 속 노폐물을 모두 내보내세요! 3. 찜질방, 오락실, 사격장, 헬스장, 노래방까지 다양한 부대시설이 구비되어있습니다. * 예약하기 https://herewego.link/shop/item.php?it_id=PM_47347 #뜨거운청춘 #여행의희열 #히어위고 #서울 #서대문구 #숲속한방랜드",2021. 5. 1.
〔서울 서대문구〕 서대문구 안산 자락길,서울 서대문구에 위치한 안산. 말의 안장을 닮았다고 하여 안산이라 불린다고. 높이는 296m로 비교적 낮고 넓은 산지형 공원. '안산 순환형 무장애... 사진을 동생에게 보내니 해외 여행 간 것 같다고~ 신경을 많이 쓴 흔적이 곳곳에 방향 표지판도 잘 되어 있다. 정자가 나와 잠시 쉬어가기로...,2021. 4. 20.
"서울 서대문구 영어회화[천연동, 홍제동, 홍은동, 남좌동]원어민과 1:1 맞춤수업","보내세요~ 서울 서대문구 영어회화[천연동, 홍제동, 홍은동, 남좌동] 우리가 어릴 때 부터 필수 과목으로 배우고 있는 '영어' 여러분은 어떻게... 생활, 여행, 취업 면접, 시사토론, 비지니스회화, 프리토킹 등 다양한 커리큘럼 또한 구성되어있으며 수업의 전반적인 부분을 케어하고 코칭해주는...",2021. 8. 22.
서울 서대문구 빌라 하부레일원슬라이딩 화이트 슬라이딩 현관중문,"차가 막혀 아직 도착하지않은분들도 계실테고, 연휴를 활용해 여행중이신분들도 많이 계시겠죠!? 무쪼록 사고없이 안전하고 즐거운 귀성길되시길 바래봅니다 ♡ 오늘 보여드릴 글은 서울 서대문구 빌라 하부레일원슬라이딩 화이트 슬라이딩 현관중문 이예요 :) 너무 깔끔하고 예쁜 화이트...",2020. 1. 24.
서울 나들이) 서대문구 아이랑 나들이 가볼 만한 곳 '독립공원',여행 서울 나들이) 서대문구 아이랑 나들이 가볼 만한 곳 '독립공원'서울 나들이) 서대문구 아이랑 나들이 가곳 '원' 나라사랑. 민족의 얼을 느낄 수 있는곳 '서대문 독립공원' 에 대하여 포스팅 합니다. 독립문역에 내려서 4번출구(2021년 6월 현재 엘레베이터 공사중입니다)로 나오면 바로...,2021. 9. 27.
서울 서대문구 가까운 용한 점집 > 신림해월당 추천,하거나 여행을 가거나 홀로 시간을 많이 보내는 편인데요. 이번에는 여러가지가지로 고민이 많이 돼서 누군가의 조언이 좀 필요한 상황이였거든요. 그러던 끝에 난생 처음 점집이라는 곳에 가보기로 했어요. 서울 용한 점집을 찾던 중 서대문구와 가까운 신림해월당이 눈에 들어왔어요. 사실...,2021. 3. 12.
"서울 등산 코스 추천, 도심속 힐링 산행 - 서대문구 안산 봉수대","1/1일, 새해 첫날 의미있는 걸 하고 싶어서 아침에 떡국을 먹고 서울 서대문구에 위치해 있다는 도심 속 산, 안산 을 올라가보기로 했다. 원래 아침... 그야말로 서울이 한눈에 다 보이는 것이다. 남편과 얘기하길, 신혼여행으로 해외여행을 가서 케이블카 타고 어디 전망대 올라가서 보는 느낌이라고...",2021. 1. 2.
[서울여행] 서대문구 홍제역 유진상가 사진 찍기 좋은 곳 - 홍제천길 홍제유연,서울 서대문구 홍제역 유진상가 근처에 사진 찍기 좋다는 '홍제유연'이라는 곳이 있다길래 찾아가봅니다. 네이버 지도에서 '홍제유연'의 검색결과가 없어서 유진상가에 앞에 주차를 하고 한참 헤맸던 기억이 납니다. '홍제유연'으로 들어가는 길은 아래 지도에서 화살표로 표시한 곳으로 지하철...,2021. 3. 15.
서울 호캉스 서대문구 호텔 - 스위스 그랜드 호텔 (ex. 그랜드 힐튼 서울),"안녕하세요~ 오늘은 서울 호캉스가 가능한 서대문구 호텔 스위스 그랜드 호텔 (ex. 그랜드 힐튼 서울)에 대한 소개를 해드리겠습니다^^ 스위스 그랜드 호텔은 1988년 5월에 개관, 도심 속에 위치한 자연 친화적인 5성급 호텔입니다. 원래 그랜드 힐튼 서울로 힐튼 계열이었는데 2020년 올해부터는 스위스...",2020. 2. 27.
서울3대돈까스 긴자료코 연희직영점 찐 서대문구맛집 맞네!,서대문구맛집 서울3대돈까스 긴자료코 연희직영점 위치 서울 서대문구 연희로12길 8 1층 영업시간매일 11:30 - 22:00 라스트오더 21:30 여러분... 그릇 크기가 예전에 일본에서 먹었던 그릇 느낌이 나서 급 일본 여행 생각이 나더라구요..! 요즘에는 일본에 가지 못하니까 이렇게라도 일본을 느껴보기...,2021. 2. 24.
"[서울 서대문구] 신촌 미쉐린가이드 정육면체 - 우육면 맛집 - 깨부수면, 마파새우면...","정육면체 서울 서대문구 연세로5다길 22-8 1층 정육면체 #신촌미쉐린가이드맛집 #신촌정육면체 남편이 가보고 싶다고 하여 온 가족 출동한 신촌!... 후추 여행 못 다니는 우리 가족 오늘은 홍콩 또는 대만 쪽으로 여행 다녀온 셈 치자고!! 다음에 또 간다면 우육면 홍탕, 백탕만 시키고 보리밥을...",2021. 6. 30.
[서울특별시/서대문구/미근동] 서소문 아파트 / 서울 출사 / 서대문구 출사,"나도 오래된 아파트에 살고 있고, 뭔가 우연히 서소문 아파트 지역을 재개발한다는 이야기를 듣고, 서울 여행 중에 우연히 들리게 되었다. 사실... 서울특별시 서대문구 충정로 6길 59 (미근동, 서소문아파트)생뚱 맞기는 하지만 SK브로드밴드 케이블 안내라니... ㅌㄷㄹ 홍보하는 거 아닙니다.근데...",2021. 8. 27.
