header,contents,date
"서울 서초구 아파트 베란다 수납장 및 벽 곰팡이제거, 단열벽지시공",제대로 된 휴가나 여행도 가지 못하고 외출이나 나들이도 마음 편하게 다녀오지 못하고 있으니 답답함이 더 크게 느껴지는 것 같습니다. 그래도 조금만 더 참고 노력하다 보면 모두가 그리워하던 평범한 일상을 되찾을 수 있지 않을까 싶습니다. 함께 노력해봅시다 서울 서초구 신반포로에 위치한...,2021. 9. 1.
서울 추모공원 - 서울서초구여행,"서울추모공원 서울추모공원은 서울시립승화원의 포화 문제를 해결하기 위해 서초구 원지동에 들어선 화장장 및 추모시설이다. 1998년에 제2화장장 설립을 확정했으며, 2010년 3월 25일 기공식을 갖고 2011년 12월 14일 준공, 2012년 1월 16일 개원하였다. 양재대로와 헌릉로를 잇는...",2021. 7. 6.
서울 서초구 방배동 테이크아웃맛집... 하이나에서 든든한 간식과함께 떠나는 여행,"찍먹소스까지 먹으면 완전 환상적이다 ㅋㅋ 양손가득 푸짐하게 테이크아웃해서 여행떠나는길 ~ 맛있는 간식까지 함께라서 더더더 즐거운 여행길이다 ^^ 서울 서초구 방배로 13길 19, 1층 (방배동) 방배동 테이크아웃맛집. 샌드위치카페 하이나 업체로부터 경제적대가를 받아 주관적으로 작성하였습니다.",2020. 6. 23.
촬영기 겸 익산 식도락여행 2일차(전라북도 익산시 → 충청남도 천안시 → 서울 서초구),이후 여행 계획을 인터넷 정보를 검색하며 머리를 쥐어짜서 시간이 무섭게 경과했습니다. 그리고 낮 12시 59분에 컴퓨터를 끄고 16분 동안 짐을... 37분에 서울 서초구 서초4동 서초진흥아파트 집에 무사히 잘 도착했습니다. 아래 지도는 서울특별시 강남구 역삼1동에 위치한 수도권 전철 2호선...,2020. 7. 29.
강원도로 가족여행을 가기전에 아이들 목공체험 원데이클래스를 위해 서울 서초구에서...,"강원도로 가족여행을 가기전에 아이들 목공체험 원데이클래스를 위해 서울 서초구에서 오신 성남목공방 손으로꼽작여목공학교 회원모습 초등학교 5학년 오빠와 초등학교 2학년 쌍둥이의 우드카빙 원데이클래스 입니다. 몇 일 전 부터 월넛 뒤집개, 그립감이 좋은 월넛...",2021. 2. 26.
"[서울 서초구행정사] 서울역사편찬원, 강좌로 떠나는 랜선여행‘세계도시설명서’...","서울역사편찬원, 강좌로 떠나는 랜선여행‘세계도시설명서’수강생 모집 - 서울의 과거ㆍ현재ㆍ미래비전과 닮은 세계도시를 주제로 하반기... □ 이번 강좌는 단순한 도시 설명이 아니라 테마를 갖고 서울과 닮은 듯 다른 점을 찾아보는 세계도시여행으로 구성되어 있다. 코로나19...",2021. 8. 7.
[서울 여행]서울 서초구 양재천 산책,개포동에 볼일이 있어서 오면 항상 들르는 곳이 양재천이예요. 논현로 22길 공영주차장이 있어서 주차하기 편리하고 바로 건너편에는 양재천 산책로와 자전거길이 잘 조성되어 있거든요. 사진에 아무짓도 하지 않아도 하늘과 구름과 나뭇잎 하나하나가 너무 선명합니다. 온도도 따뜻하게 산책하기...,2020. 9. 27.
"서울 서초구 가볼 만한 곳 - 도시의 밤은 낮보다 화려하다, 세빛섬","세빛섬 1.가는 방법 : 공항철도 마곡나루역 하차, 서울 지하철 9호선 환승 ▶ 고속터미널역 8-1번 출구 하차, 도보 18분 2.주 소 : 서울 서초구 올림픽대로 2085-14 3.전화번호 : 1566-3433 4.홈페이지 : www.somesevit.co.kr & *공항철도 블로그 기자단 최재원님이 작성한 글입니다.",2021. 9. 14.
[서울 서초구/사당역] 사당 인도 커리 맛집 깔리에서 현지 여행온 느낌 만끽하기 서울...,그리고 배달의 민족에서 배달도 하고 있으니 집에서 인도요리를 즐기실 수 있어요. 제대로 인도풍으로 디자인 되어 있는 서초구 인도요리 맛집 깔리에 방문해 보세요! 이국적인 느낌이 들어서 해외여행을 온 느낌이 든답니다. 사장님도 너무 친절하셔서 식사하는 내내 기분이 좋았답니다!,2021. 4. 6.
사당역 비건레스토랑 남미플랜트랩. 서울 서초구 방배동. 20210727,#남미플랜트랩 #비건식당 02-522-1276 서울 서초구 방배천로4안길 55(방배동 455-20 2층) 12:00 - 21:00 평일 Breaktime 16:00-17:30 https://instagram.com... com/bluesoso/222475403471 #남미플랜트랩 #남미 #비건식당 #비건레스토랑 #사당역밥집 #사당밥집 #혼밥 #방배동밥집 #비건 #퓨전음식 #취미사진 #서울...,2021. 9. 8.
"[서울 서초구] 과하지 않은 달콤함이 가득한 카페 , 센트럴 터미널의 백미당~!!",있더라면 여행의 재미도 없고 몸은 지쳐가는데요. 때로는 이렇게 무료함을 느끼다가 만나는 맛있는 음료가 가득한 카페는 그렇게나 반가울 수... 센트럴터미널에서 만났던 최고의 맛이자 추억이라 생각됩니다. <백미당> 센트럴 터미널점 09:00~21:00 서울 서초구 신반포로 194 1층 서울 서초구 반포동 19-4 1층,2021. 10. 5.
[2년 전 오늘] [코리아샌딩] 서울 서초구 방배동 렐스빌 주택 >마루샌딩>마루도장 :),2년 전 오늘 [코리아샌딩] 서울 서초구 방배동 렐스빌 주택 >마루샌딩>마루도장 :) #마루샌딩#마루도장#멀바우#원목마루수리 안녕하세요^^ 어느덧 10월이 문턱에 왔군요!!! 이때 쯤이면 새롭게 단장하고 아름다운 단풍과 함께 여행도 하고싶어질 겁니당~ 원목이 우리 인체에 좋다는건 다 아실태고...,2021. 10. 1.
"서울 서초구 양재동 24시빨래방, 양재동 셀프빨래방 추천 - 더런드리 셀프빨래방 본점 -",이번에 서울여행을 하는동안 미세먼지도 심하고 썼던 이불도 세탁해서 주인한테 돌려줘야했는데 근처에 24시간 빨래방이 있다고해서 다녀와보았어요! 다른 세탁방에 비해서 코스가 참 다양했는데 여러분께도 소개해드릴게요! 저의 픽을 받은 더런드리랩 본점 축하드려요! 서울 서초구 양재동...,2020. 11. 17.
[ 서울 서초구 방배역 미용실 : 준오헤어 내방역점 ],다녀왔습니다 : ) 서울 서초구 방배역 미용실 : 준오헤어 내방역점 매일 10:00-21:00 ❗️ 위치는 지하철 7호선 내방역 3번 출구 직진 80m 내에 있습니다!... 취미 #여행 #이추 #이웃추가 #이웃환영 #이웃해요 #이추환영 #서이추 #서이추환영 #서로이웃환영 #서이추해요 #서로이웃 #서로이웃해요...,2021. 8. 16.
[서울/서초구] 교대역카페 - 이하나커피 (커피맛집/스페셜티/부루잉커피/주차장),교대역카페 - 이하나커피 주소: 서울 서초구 서초동 1656-4 롯데캐슬메디치 1층 전화번호: 079-4113-4300 영업시간: 평일 08:00~22:00 토요일 10:00 ~ 22:00... 가족여행이후 오랜만에 커피한잔을 마시고 왔습니다 교대역 13번출구쪽에 있는 이하나커피 최근 처가식구들이 자주 찾는 커피전문점이라고...,2021. 7. 21.
해변열차 탑승차 부산 1박 2일 여행 1일차(서울 서초구 → 충청남도 아산시 → 부산),"2일 여행 1일차 소감 솔직히 1박 이상 묵을 계획은 없었는데 부산광역시가 아직은 대한민국 제2의 도시라는 명성을 결코 무시할 수 없고 해변열차 승차권이 매진될 것 같은 기분이 들어서 이날 아침 9시 5분에 기상해서 식사를 한 후 바로 급거 여행 계획을 수립했고, KTX 승차권 예매를 했고...",2020. 10. 8.
"7월 24일 코로나19 발생 현황...신규 확진자 1600명 안팎 될 듯, 서울 서초구...","어제 밤 9시까지 1483명, 직전 일 보다 24명 줄어 서울 서초구 어린이집 관련, 중구 직장 관련 확진자 추가 방역당국 “여행, 만남, 이동 최대한 줄여 달라” [현대건강신문=김형준 기자] 코로나바이러스감염증-19(코로나19) 확진자 18일 연속으로 1천명 대를 기록할 것으로 보인다. 방역당국은 어제...",2021. 7. 24.
[서울에어비앤비] 서울 서초구 반포동 더캡슐 반포,"[서울에어비앤비] 서울 서초구 반포동 더캡슐 반포 진짜 오랜만에 서울을 다녀왔어요, 친구가 서울로 취업하고 놀러 간다고 하고선 코로나도 터지고, 바빠서 맨날 말만 하고 이제야 다녀왔어요 ㅠㅠ 친구네 집에서 잘까 하다가 모처럼 여행 갔으니 에어비앤비를 이용하자고 했지용 ㅎㅎ 저희는...",2021. 5. 20.
#평양냉면 탐방기 : 서울 서초구 <서관면옥>,[서관 면옥 교대 본점] ·서울 서초구 서초 대로 56길 11 ·교대역 2호선 1번 출구가 가장 가까워요. ·매일 11시~21시 20분 (주문 마감 20시 50분) -브레이크 타임 15시~17시 (점심 마감 14시 50분) -직접 구매한 솔직 후기입니다! 내용은 참고만 해주세요-,2021. 5. 4.
서울서초구 교대역숙소 >> 업플로호스텔(upflo hostel) 아늑하고 예뻤던 공간,여행 계획 중 가장 짜기 어려운게 숙소위치죠! 다음날의 일정까지 고려해서 찾던 중 #서울서초구 쪽으로 잡았어요 이번엔 #호스텔 에 묵어 보기로 *.* 가성비+ 평점까지 꼼꼼히 비교한 덕에 완전 만족했던 곳이랍니다♡ 업플로 호스텔 (upflo hostel) 체크인 16:00 / 체크아웃 12:00 밤에 도착했던 터라...,2020. 1. 11.
[서울 서초구] 하이디라오 서초지점,오기가 해외 여행갔을 때 아주 살뜰하게 대접받았던 체인점이라서 매우 긍정적인 이미지 ! 예약 못하면 못들어간다는 말이 있어서 미리 예약도... 어마어마한 먹부림이었다 서울 서초구 서초대로77길 54 서초 W-TOWER 서초동 1303-37 서초 W-TOWER 매일 10:00 - 09:00 02-533-8260,2020. 2. 8.
경기도 과천과 서울 서초구 사이의 산 우면산 남태령옛길,경기도 과천과 서울 서초구 사이의 산 우면산 남태령옛길 과천 선바위역앞 삼거리 관문사거리 (과천등기소 앞)에서 남태령 방향으로 갑니다.... 등등) 소망탑을 지나 이제 하산을 합니다. 갈림길에선 계속 직진.. 40분 정도 걸리더군요. 내려오는 길엔 낙엽이 좋았습니다. - 출처 / 국내여행 -,2021. 1. 9.
[서울 여행] 서울 서초구 / 서울고속버스터미널 화훼상가,나는 꽃 선물 좋아하지 않지만 친구가 좋아해서 선물했다. 고터 꽃가게에서 구입 2018. 5. @ 서울 서초구 신반포로 194 (반포동 19-4) 서울고속버스터미널 화훼상가,2020. 11. 15.
대한민국 국제요리&제과경연대회 서울 서초구,대한민국 국제요리&제과경연대회 2020 서울 서초구 ※ 코로나바이러스감염증-19 공지사항 ※ 내용 : 기존 5월 → 6월로 연기 → 코로나바이러스감염증-19 여행정보 변동사항 확인하기 대한민국 국제요리&제과경연대회는 대한민국 단일요리대회 중 전국 최대 규모의 행사로 세계적...,2020. 6. 24.
[서울/서초구] 날것 그대로의 차크닉,"현재 가진 것이라곤, 작은 돗자리와 여름용 침낭(두 차례 인도 여행에서 썼던... 낡고 얇은 침낭) 그나마 다행인 것은 내 차가 소형 suv에 속한다는... 다음에 또 이용할게요, 꼭이요~ 사실 나는 해외여행을 가도 꼭 강이나 호수가 있는 도시를 선호한다. 바라나시, 우다이푸르, 프라하, 드레스덴...",2021. 3. 9.
뭉티기' & '연탄 스테이크' 한 상 편 #우산식당> 주소 : 서울 서초구 강남대로 160-1,"1. 여행본능, 섬 2km 수국로드, 지금 이 계절엔! ‘연화도’ 편 #통영항여객선터미널 주소 : 경남 통영시 통영해안로 234 번호 : 055-641-6181... 리얼 맛집 딱풀육회 '뭉티기' & '연탄 스테이크' 한 상 편 #우산식당> 주소 : 서울 서초구 강남대로 160-1 번호 : 02-573-3272 4. 김PD가 떴다...",2021. 6. 23.
서울 서초구 맛집 : 반포대가삼 여기로 제주 흑돼지 오겹살 먹으러 가자,서울 서초구 맛집 반포대가삼 서울 서초구 맛집 : 반포대가삼 여기로 제주 흑돼지 오겹살 먹으러 가자 ♥ 거의 한달 간 야근 하다시피 힘든 시간을 마치고 진짜 오랜만에 평일 약속을 잡았다. 아니 이게 얼마만이야 ?! 찌든 직장인의 모습으로 도착한 ' 반포대가삼 ' 여기 제주도 오겹살이 그렇게...,2020. 1. 13.
