header,contents,date
서울여행 성동구 조선시대 매 사냥을 하던 응봉산,서울여행 성동구 조선시대 매 사냥을 하던 응봉산 안녕하세요. 천국나그네입니다. 날씨 좋던 주말에 응봉산에 다녀왔어요. 성동구를 대표하는 산이죠 ㅎㅎ 낮은 언덕보다 높고 높은 산보다 낮은 ㅎㅎ 간단하게 올라가서 경치를 구경하기 딱 좋은 곳이었어요. 81m의 낮은 봉우리 산이 되겠습니다...,2021. 6. 30.
서울여행 가볼만한곳 성동구 도심속 공원,활동 중인 네이버 블로거 편가여 단장(편안한가족여행/단장) 소개하는 서울 성동구 아이들과 함께 가볼만한곳! 바로 서울시 성동구에 위치한 응삼어린이공원입니다. 이곳은 서울시에서 지원하여 어린이와 주민이 함께 만든 시민고객 참여형 상상어린이공원이라고 합니다. 상상어린이 공원에서...,2021. 7. 28.
"전철타고 서울 여행,성동구, 서울숲,서울 가 볼 만 한 곳","#서울가볼만한곳 #성동구 #서울숲 #서울산책코스 #핵밥먹으러가야지 이상 전철타고 서울여행 끝. 20210817화요일 *써글저장공간부족은언제쯤풀리나ㅠㅠ #다음코스_북서울숲 https://blog.naver.com/djfdmaaksu27/220063645858 2014년 서울숲 그림,전화기 그림 ㅠㅠ",2021. 8. 19.
서울봄꽃축제여행 서울가볼만한곳 서울성동구여행 서울의봄꽃축제소식 응봉산...,서울봄꽃축제여행 서울가볼만한곳 서울성동구여행 서울의봄꽃축제소식 응봉산 개나리꽃 개화상태 2021년 3월 19일 금요일 오후 서울시의 성동구 금호동 응봉산의 개나리꽃 개화상태로 지금 막 개화가 시작된 상태로 조만간 만개하여 노오란 꽃동산이 장관을 이루어 서울에도 봄이 왔다는것을...,2021. 3. 21.
[서울 성동구] 마치 홍콩 여행 온듯한 느낌을 주는 성수동 맛집 시옹마오,시옹마오 서울특별시 성동구 뚝섬로9길 16 ☎0507-1463-0138 월요일 휴무 화요일~일요일 11:30-21:00 (브레이크 타임 15:00~17:30) 며칠 전 성수동에서... 향신료 등에서 한국에서 맛볼 수 없는 그런 음식점이었다. 코로나로 인해 해외 안간지 오래됐는데 진짜 가면 홍콩 여행 온듯한 느낌을 받을 수 있다!,2021. 6. 15.
서울 여행 ● 성동구 응봉산의 개나리 풍경 ●,서울 여행 ● 성동구 응봉산의 개나리 풍경 ● 장기적인 코로나 바이러스 때문에 서울 응봉산 개나리 축제가 작년에 이어 또 취소됐다. 게다가 이번 주(3월 27~28일)는 아예 교통 통제까지 한단다. 아마 개나리 축제는 취소돼도 봄 개나리 풍경을 보러 밀려오는 사람들의 출입을 막기 위함이 아닌가...,2021. 3. 27.
2020년 12월 서울 성동구 산과 언덕 나들이 01 (응봉산),2020년 12월 서울 성동구 산과 언덕 나들이 01 서울 성동구 한강변에 있는 산과 언덕 탐방 나들이. 경제적 형편도 좋지 않은 상태에 코로나-19 시국이라 어디 여행 가기에도 쉽지 않은데 너무 집 구석에 박혀만 있으니까 몸이 너무 연약해짐을 느껴 가까이 나들이 외출이라도 꼭 가야겠다고 마음 먹고...,2020. 12. 15.
[서울혁신로드 ⑩] 마을여행으로 만나는 성동구 사회적경제,"'성동구 소셜밸리'는 참가자들이 좀 더 편안하게 마을을 여행할 수 있도록 설계되었다. 정책연수프로그램 서울혁신로드는 이러한 관점에서 사계절공정여행 프로그램과 맞닿아 있다. 서울의 혁신현장을 궁금해하고, 배우고 싶은 시민들에게 현장에서 당사자와 직접 소통하며 얻어가는 즐거움을...",2020. 8. 18.
(서울 성동구) 전시회 추천 뚝섬미술관 여행갈까요 후기 / 뚝섬역 카페 추천 플디 Plate D,"안녕하세요- 오늘은 성동구 나들이>< #전시회추천 #11월전시회추천 #서울전시회 #서울데이트 #서울전시회 ""뚝섬미술관 여행갈까요"" 뚝섬역 3번 출구로 나가면 바로 보이는 위치에 있어요 몸은 서울에 마음만은 해외로 떠날 수 있는 이색 전시회라고 합니다ㅎ 입장권이 티켓 모양이에요>< 느낌있죠잉ㅎ...",2020. 11. 17.
[일상 여행] 성동구 서울숲 낮산책과 밤산책(feat. 서울 최고의 숲),"고민을 많이 했었고 제가 내린 결론은 일.상.여.행 꼭 멀리 가야만 여행인 것은 아니잖아요. 그래서 저는 산책을 즐기고, 근처에서 커피를 많이 마시는 일상을 즐기게 되었어요. 오늘 소개할 곳은 성동구의 쉼터, 서울숲 성동구에서 가장 예쁜 숲, 서울숲이에요. 서울숲은 분당선 서울숲역에서 갈...",2021. 8. 26.
"응봉산, 서울 성동구 야경명소","[야경기행] 응봉산, 서울 성동구 야경명소 안녕하세요? 사진작가 자유분방입니다. 예전에는 응봉산을 검색하면, 삼척에 있는 응봉산이 먼저... 그럼 이번 이야기는 여기에서 마치도록 하겠습니다. 감사합니다 :) 자유분방 여행이란 꿈을 꾸다 Copyright ⓒ 2012 All Rights Reserved by 자유분방",2020. 1. 26.
"[스누피의 한국여행 85.47] 서울 성동구 성수동 수제화거리, 공간 와디즈...","⚽ 성수근린공원 ♥ 성수근린공원은 서울시 성동구 성수2가3동 302-25에 위치해 있는데 2015.10월에 성수동 수제화거리 조성에 발맞춰서 구두테마공원으로 2013년에 시민의 제안에 따른 시민참여에산사업으로 만들어 졌다고 한다. ♥ 면적은 5,197제곱미터 규모로서 아주 아담하지는 않은 적정한...",2020. 11. 7.
성동구여행 문화재 보물1738호 서울 살곶이 다리,"성동구여행 문화재 보물1738호 서울 살곶이 다리 안녕하세요. 천국나그네입니다. 요즘 해가 길어서 열심히 성동구를 돌아다녀봅니다. 성동구하면 서울숲, 왕십리, 성수카페거리 등등 먹고 놀 수 있는 공간도 많이 있지만, 곳곳에 숨은 역사의 장소들이 있답니다. 저의 성동구여행은 유명 맛집, 유명...",2021. 5. 6.
