header,contents,date
서울관광명소 서울성북구걷기여행 서울가볼만한곳 삼각산 길상사와 만해한용운심우장,서울관광명소 서울성북구걷기여행 서울가볼만한곳 삼각산 길상사와 만해한용운심우장 오늘 서울걷기여행으로는 서울시 성북구에 자리하고 있는 삼각산 길상사에서 만해한용운심우장까지입니다 삼각산 길상사는 서울 도심속에 자리한 한가로운 모습의 사찰입니다 원래에 이곳은 대원각이란...,2021. 3. 8.
"정릉 (서울가볼만한곳, 신덕왕후릉, 서울 역사여행, 성북구 정릉동/중구 정동 유래)","신덕왕후릉인 정릉은 서울 성북구, 북한산 자락에 위치해있습니다. 그리고... 차로 가기에는 참 불편한 위치에 있습니다. 지금까지 제가 보아온 조선왕릉과는 달리 민가가 밀집한 동네에 자리잡고 있거든요. 무엇보다 북한산 자락에 있다보니, 가는 길도 굴곡진 언덕입니다. 도로 폭도 좁아서...",2020. 3. 31.
★방구석1열★ 성북구 추억여행,자~ 그럼 다함께 시간여행 떠나볼까요? 지금은 사라진 삼*라면 공장 모습입니다~ 남녀노소 모두 좋아하는 라면~ 여기 라면회사에서 우리나라... 1972년 서울숭곡국민학교(왼쪽 위부터 시계방향) ★우리 성북구에 한옥이 많았다는 사실 알고 계신가요? 지금은 완전히 사라져버린 한옥밀집지역 모습을...,2020. 5. 7.
길상사(서울 성북구),무여스님과 함께하는 사찰 여행-길상사(서울 성북구) 방송 시간은 약 18분. 반갑습니다. 얼마 전 입춘이 지났습니다. 봄의 기운이 느껴지시는지요? 아직까지는 날씨가 많이 쌀쌀하니 건강 조심하시기 바랍니다. 입춘에는 대문 앞에 “입춘대길 건양다경”이라는 문구를 써서...,2021. 3. 4.
"서울 여행, 신덕왕후의 명복을 빌기위해 지은 절, 성북구 ""흥천사""","서울 성북구 위치한 흥천사를 다녀왔습니다. 신덕왕후의 왕릉인 정릉을 보고 난 후 근처 신덕왕후의 명복을 빌기 위해 지은 절입니다. 대한불교조계종 직할교구 조계사의 말사이다. 1395년(태조 4) 왕이 신덕왕후 강씨가 죽자 능지를 정릉에 조영(造營)하고, 왕비의 명복을 빌기 위해 1396년 창건하기...",2020. 8. 12.
[서울 성북구 리얼 숨은 맛집] 베트남 쌀국수♥,"한달전, 전국 여행을 다녀온 적이 있었어요. 그때 서울도 갔다 왔는데 그때 서울에서 먹은 정말 맛있는 베트남 쌀국수 집을 오늘 리뷰해 볼까... 동생은 출근을 해야해서 저 혼자 갔어요ㅎ 지번 - 서울특별시 성북구 종암동 3-262번지에 위치하고 있어요. 상호는 베트남 쌀국수 입니다. 밖에서 봐도...",2021. 8. 12.
성북구 절 - 서울 안암동 개운사 방문기!,ㅎㅎ 그래서 결국 조금 작은 절이 있다는 것을 알게 되어 이 곳에 방문을 하게 되었어요~ 성북구 절 서울 안암동 개운사 입구의 모습 그리고 이 날... 수학여행 등으로 가게 되면 저기에 동전을 세우고 소원을 비는 친구들이 종종 있었던 기억이 나더라구요 ㅎㅎ 그리고 조금 더 위로 발걸음을 옮기니...,2021. 7. 9.
제주여행 일가족 4명 중 3명 확진! 4월 21일 제주 도착→4월 22일 서울 성북구 보건소...,"제주여행 일가족 3명 코로나 확진 4월 21일 제주도착, 서울 확진자 접촉자로 통보받아 서울 성북구에서 제주여행을 위해 4월 21일 제주도에 도착한 일가족 4명 중 3명이 제주에서 코로나 검사를 받고 확진자로 확인됐다. 제주-691번~693번 확진자로 서울 확진자 성북구-1535번 관련이다....",2021. 4. 24.
"성북구 성신여대 맛집 제주고깃집 성북구청점, 서울에서 제주여행하기","성북구 맛집 제주고깃집 성북구청점입니다. 맘놓고 어디 놀러가기 힘든 요즘, 이곳에서 제주 봄여행 간 기분을 내보기로 합니다 :) 6호선 보문역... 맛있게 잘 먹었습니다 ^^ 제주고깃집 성북구청점 주소 : 서울 성북구 보문로 144 전화 : 02-921-0505 영업시간 : 매일 11:00 - 23:00 라스트 오더: 22:00 **가게...",2020. 3. 31.
[서울 성북] 태조감자국 : 3대째 역사가 숨쉬는 찐로컬 성북구 맛집,태조감자국 주소 서울 성북구 보문로34길 43 전화 02-921-7667 위치 성신여대역 2번출구로 나온후 직진 다이소지나 돈암성당 사거리의... 속초당일치기여행 로컬맛집 한성칼국수 [강원 속초] 속초 당일치기여행 맛집 청초수 물회 [강원 강릉] 초당할머니순두부 : 백년가게로 선정된 진짜 강릉맛집...,2021. 7. 12.
[서울 빵지순례] 성북구 카페 - 베이커리 뮈에 방문 후기,북서울꿈의숲 들르시는 분들은 꼭 가보길 추천드려요~ 베이커리카페 뮈에 전화번호 : 0507-1330-0854 주 소 : 서울 성북구 돌곶이로 205 [ 본 포스팅은 업체로부터 제품 또는 서비스를 제공받아 작성된 글 입니다. ] #성북구맛집 #성북구카페 #성북동맛집 #성북동카페 #서울빵지순례 #서울빵맛집...,2020. 10. 25.
[서울 성북구]고향처럼 정겨운 카페...정릉천의 천변풍경,돈암동 뿐 아니라 서울의 골목길 문화여행을 선생님과 떠나고 싶은 생각이 들었다. 동대문구 정릉천이 아니라 성북구 정릉천에 애정이 듬뿍~~ 자주 가야겠다~~ 카페 정릉천변의 모습 김란기 선생님의 작품 카페 내부 모습 (이 포스팅에 사용한 사진 중 일부는 함께 한 동행분이 찍으신 것입니다.),2020. 9. 8.
여행_서울) 성북구 맛집 팔백집 돼지갈비,지윤이랑 해령이가 성북구 오면 꼭 가야 하는 곳이 있다며 데려간 곳! 팔백집 돼지갈비 추운 날 웨이팅 한 시간 넘게 한 건 또 첨이다 저번에는 2시간 넘게 기다렸다더니.. 휴 얼마나 맛집인가 보자.. 하고 옆에 쓰윽 봤더니 볶음밥 비주얼.. ♥ 이러면 또 내가 넘어가지 >< 돼지갈비가 유명한 맛집!...,2021. 1. 10.
"서울 성북구 한적하게 산책하기 좋은 ""의릉""과 하늘이 숨겨놓은 ""천장산""","서울 성북구 의릉 & 천장산 서울이 맞나 싶을정도로 한적한 의릉 앞 고향 생각나는 분위기 자전거타는 아이들 몇명, 그늘에서 바둑 두시는 어르신 몇분, 그게 전부였다. 80년대로 시간여행한 기분이랄까? 산에 오르기 전 가볍게 요기나 하자며 김밥천국에 들려 치즈 쫄볶이와 참치김밥을 먹었는데...",2020. 9. 29.
용인 와우정사 / 서울 성북구 길상사 / 고양 흥국사 / 서울 강남 봉은사,"https://1boon.kakao.com/datepop/602c928211938e26337f8d80?view=katalk 용인 와우정사 / 서울 성북구 길상사 / 고양 흥국사 / 서울 강남 봉은사 일상에 지쳐 아무... 동남아 쪽으로 여행온 듯한 느낌도 들더라고요. 와우정사에는 무려 3천 점의 불상이 있다고 하는데요, 인도네시아 향나무로 만든 세계 최대의...",2021. 2. 18.
